"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"1","약국","01_01_06_P","5350000","PHMD120255350351084000004","2025-12-31","","01","영업/정상","13","영업중","","","","","055-724-0450","","","경상남도 김해시 삼계동 1501-2","경상남도 김해시 삼계중앙로 22, 1층 107호 (삼계동)","50902","하루약국","2025-12-31 09:40:55","I","2026-01-03 00:20:02","","369881.292422865","197245.819039752","66.08","20251231",
"2","약국","01_01_06_P","4610000","PHMD119934610020084000003","1993-10-23","","02","휴업","02","휴업","","2026-01-01","2026-06-30","","041-335-6199","","","충청남도 예산군 예산읍 예산리 381-8","충청남도 예산군 예산읍 신흥길 54","32437","오행당약국","2025-12-31 17:32:32","U","2026-01-03 02:40:00","","186305.556369816","352907.76834326","27.86","19931023",
"3","약국","01_01_06_P","3070000","PHMD120123070034084000002","2012-02-16","","01","영업/정상","13","영업중","","","","","02-941-3802","","","서울특별시 성북구 하월곡동 230 동일하이빌 뉴시티","서울특별시 성북구 종암로 167, 지하1층 700호 (하월곡동, 동일하이빌 뉴시티)","02734","화인온누리약국","2025-12-31 09:14:51","U","2026-01-03 02:40:00","","202667.468802014","455858.920803881","32","20120216",
"4","약국","01_01_06_P","3980000","PHMD120223980021084000001","2022-04-26","","01","영업/정상","13","영업중","","","","","031-552-2500","","","경기도 구리시 교문동 244-6","경기도 구리시 경춘로 165, 1~2층 (교문동)","11923","바로약국","2025-12-30 17:19:04","U","2026-01-03 02:40:00","","211732.907131375","455403.093633264","142","20220426",
"5","약국","01_01_06_P","3900000","PHMD120233900028084000007","2023-08-11","","01","영업/정상","13","영업중","","","","","02-2687-5850","","","경기도 광명시 광명동 158-795","경기도 광명시 광명로 891-1, 1층 일부호 (광명동)","14286","사거리약국","2025-12-31 11:05:30","U","2026-01-03 02:40:00","","186995.652891353","441843.578572626","122.75","20230811",
"6","약국","01_01_06_P","3120000","PHMD120233120033084000008","2023-07-17","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 홍제동 90-19","서울특별시 서대문구 통일로27길 5, 1층 4호 (홍제동)","03730","케이약국","2025-12-30 14:54:52","U","2026-01-03 02:40:00","","195432.285773269","453467.338107246","29","20230717",
"7","약국","01_01_06_P","4170000","PHMD120134170019084000001","2013-05-27","","03","폐업","03","폐업","2025-12-30","","","","031-773-9151","","476-863","경기도 양평군 청운면 용두리 650번지 1호","경기도 양평군 청운면 용두로139번길 1","12530","건강약국","2025-12-31 09:27:06","U","2026-01-03 02:40:00","","262533.566633176","450480.903015846","36","20130527",
"8","약국","01_01_06_P","3910000","PHMD120243910165084000008","2024-10-08","","03","폐업","03","폐업","2025-12-30","","","","","","","경기도 평택시 장당동 483-4 엘림하우스","경기도 평택시 탄현로1번길 11, 202호 (장당동, 엘림하우스)","17783","생명나무약국","2025-12-30 14:26:59","U","2026-01-03 02:40:00","","204813.601004976","394653.833486982","20.81","20241008",
"9","약국","01_01_06_P","3530000","PHMD120063530019084000005","2006-03-22","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 구월동 1475 벽성빌딩","인천광역시 남동구 인하로507번길 4, 벽성빌딩 102호 (구월동)","21574","윤슬약국","2025-12-30 11:22:23","U","2026-01-03 02:40:00","","173666.597202762","437966.878473039","35.62","20060322",
"10","약국","01_01_06_P","5530000","PHMD120225530439084000002","2022-02-08","","01","영업/정상","13","영업중","","","","","031-296-0365","","","경기도 화성시 봉담읍 상리 690-3","경기도 화성시 봉담읍 상리2길 51, 101-105호","18309","365봉담약국","2025-12-30 13:41:23","U","2026-01-03 02:40:00","","195238.534634398","413630.318703919","222","20220208",
"11","약국","01_01_06_P","3940000","PHMD120223940140084000003","2022-03-22","","03","폐업","03","폐업","2025-12-31","","","","031-975-0321","","","경기도 고양시 일산서구 일산동 955 아카메디 106호, 117호","경기도 고양시 일산서구 고양대로 632, 아카메디 106호, 117호 (일산동)","10352","샤인약국","2025-12-31 09:05:34","U","2026-01-03 02:40:00","","179311.215713947","464812.311698401","99.38","20220322",
"12","약국","01_01_06_P","4020000","PHMD120234020028084000001","2023-06-07","","01","영업/정상","13","영업중","","","","","031-395-9475","","","경기도 군포시 산본동 1240 래미안 하이어스 아파트 상가(145동)","경기도 군포시 금산로 89, 래미안 하이어스 아파트 상가(145동) 1105호 (산본동)","15815","힐링약국","2025-12-31 16:03:53","U","2026-01-03 02:40:00","","194189.37215072","429607.667400243","33.49","20230607",
"13","약국","01_01_06_P","3700000","PHMD120083700018084000006","2008-05-02","","03","폐업","03","폐업","2025-12-31","","","","052-261-7510","","680-803","울산광역시 남구 달동 758번지 2호 2층 202호","울산광역시 남구 신정로 9, 2층 202호 (달동)","44724","동인당한약국","2025-12-31 15:11:56","U","2026-01-03 02:40:00","","410568.920931292","228390.494859375","37.92","20080502",
"14","약국","01_01_06_P","3720000","PHMD120123720017084000007","2012-09-24","","01","영업/정상","13","영업중","","","","","052-297-9334","","683-480","울산광역시 북구 상안동 357번지","울산광역시 북구 신답로 48 (상안동)","","정성약국","2025-12-31 10:26:40","U","2026-01-03 02:40:00","","412186.126630814","239113.362725732","84.06","20120924",
"15","약국","01_01_06_P","4820000","PHMD120184820026084000008","2018-05-18","","01","영업/정상","13","영업중","","","","","061-745-3311","","","전라남도 순천시 덕암동 157번지 9호","전라남도 순천시 팔마로 217, 1층 (덕암동)","57964","새하나약국","2025-12-30 13:26:41","U","2026-01-03 02:40:00","","246516.337801062","160288.246587363","54.02","20180518",
