"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광펜션업","03_11_02_P","5530000","CDFI3261092024000005","2024-10-25","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 42-25","경기도 화성시 서신면 해안길 138","18553","정우펜션","2025-12-31 14:59:57","U","2026-01-03 02:40:00","","166556.117666667","407099.490666666","관광펜션업","","","2","기타","","","숙박시설","2","1","0","0","","","0","0","","0","0","","0","276.48","","0","","","","","","","0","","","","276",
"2","관광펜션업","03_11_02_P","5530000","CDFI3261092024000003","2024-07-16","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 198-6","경기도 화성시 서신면 해안길178번길 96, 할리우드 펜션","18553","할리우드 펜션","2025-12-31 14:55:00","U","2026-01-03 02:40:00","","166133.398427111","407705.74054242","관광펜션업","","","1","","","KB손해보험","숙박시설","1","0","0","0","","","0","0","","0","0","","0","185.25","","0","","","","","","","0","","","","185",
"3","관광펜션업","03_11_02_P","5530000","CDFI3261092024000004","2024-07-24","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 290-19","경기도 화성시 서신면 해안길 344, 제부촌 펜션 1동 2층","18553","제부촌 펜션","2025-12-31 14:59:38","U","2026-01-03 02:40:00","","166017.218499516","407905.454144679","관광펜션업","","","1","기타","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","937","","0","","","","","","","0","","","","937",
"4","관광펜션업","03_11_02_P","4990000","CDFI3261092017000002","2017-11-22","","01","영업/정상","13","영업중","","","","","061-554-1009","","","전라남도 완도군 보길면 예송리 225-2","전라남도 완도군 보길면 예송로 264-10","59162","블랙스톤펜션","2026-01-15 13:40:12","U","2026-01-17 02:40:00","","159606.753365205","71753.6260806657","관광펜션업","","","3","","","","숙박시설","2","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","1800000000","","","","0",
"5","관광펜션업","03_11_02_P","5530000","CDFI3261092017000001","2017-03-07","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 40-1","경기도 화성시 서신면 해안길 96-19","18553","바다뜰이야기펜션","2026-01-12 19:55:13","U","2026-01-14 02:40:00","","166764.150384121","407389.345993853","관광펜션업","","전용주거지역","3","","","","숙박시설","3","0","0","0","","","0","0","","0","0","","0","323.54","","0","","","","","","","0","","","","324",
"6","관광펜션업","03_11_02_P","5530000","CDFI3261092017000002","2017-07-14","","01","영업/정상","13","영업중","","","","","031-356-0838","","","경기도 화성시 서신면 제부리 10-20","경기도 화성시 서신면 해안길442번길 62-6","18553","다소니펜션","2026-01-12 19:57:59","U","2026-01-14 02:40:00","","166921.61548985","407989.596010521","관광펜션업","","","2","","","","숙박시설","2","0","0","0","","","0","0","","0","0","","0","285.2","","0","","","","","","","0","","","","285",
"7","관광펜션업","03_11_02_P","5530000","CDFI3261092017000003","2017-08-10","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 270-8","경기도 화성시 서신면 해안길 377","18553","수에뇨펜션","2026-01-12 19:57:30","U","2026-01-14 02:40:00","","166186.773053346","408147.714051199","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","412.49","","0","","","","","","","0","","","","412",
"8","관광펜션업","03_11_02_P","5530000","CDFI3261092017000004","2017-08-10","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 103","경기도 화성시 서신면 해안길178번길 48-7","18553","미고펜션","2026-01-12 19:59:17","U","2026-01-14 02:40:00","","166228.363812239","407237.685927784","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","320.64","","0","","","","","","","0","","","","321",
"9","관광펜션업","03_11_02_P","5530000","CDFI3261092019000006","2019-11-27","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-95","경기도 화성시 서신면 해안길 246-3","18553","나그랑펜션","2026-01-12 19:48:14","U","2026-01-14 02:40:00","","166108.558660819","406925.909451732","관광펜션업","","","2","","","메리츠화재해상보험","숙박시설","2","0","0","0","","","0","0","","0","0","","0","236.65","","0","","","","","","","0","","","","237",
"10","관광펜션업","03_11_02_P","5530000","CDFI3261092017000005","2017-08-14","","01","영업/정상","13","영업중","","","","","031-356-9050","","","경기도 화성시 서신면 제부리 40-5","경기도 화성시 서신면 해안길 96-1","18553","초원펜션","2026-01-12 20:00:30","U","2026-01-14 02:40:00","","166820.63672527","407379.727151416","관광펜션업","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","393.12","","0","","","","","","","0","","","","393",
"11","관광펜션업","03_11_02_P","5530000","CDFI3261092018000002","2018-04-24","","01","영업/정상","13","영업중","","","","","031-357-3717","","","경기도 화성시 서신면 제부리 96","경기도 화성시 서신면 해안길178번길 40","18553","좋은이웃펜션","2026-01-12 19:42:27","U","2026-01-14 02:40:00","","166204.971154148","407160.240538658","관광펜션업","","","2","","","현대해상화재보험","","2","0","0","0","","","0","0","","0","0","","0","238.28","","0","","","","","","","0","","","","238",
"12","관광펜션업","03_11_02_P","5530000","CDFI3261092018000003","2018-04-26","","01","영업/정상","13","영업중","","","","","031-355-3399","","","경기도 화성시 서신면 제부리 102","경기도 화성시 서신면 해안길178번길 50","18553","애플펜션","2026-01-12 19:44:17","U","2026-01-14 02:40:00","","166190.61564341","407249.041117098","관광펜션업","","","2","","","농협손해보험주식회사","","2","0","0","0","","","0","0","","0","0","","0","394.56","","0","","","","","","","0","","","","395",
"13","관광펜션업","03_11_02_P","5530000","CDFI3261092018000007","2018-10-04","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 288-106","경기도 화성시 서신면 해안길 391","18553","오브레펜션(카사)","2026-01-12 19:45:16","U","2026-01-14 02:40:00","","166265.780988114","408244.333753446","관광펜션업","","","2","","","현대해상책임보험","","0","0","0","0","","","0","0","","0","0","","0","668.02","","0","","","","","","","0","","","","668",
"14","관광펜션업","03_11_02_P","4430000","CDFI3261092024000001","2024-01-05","","01","영업/정상","13","영업중","","","","","","","","충청북도 옥천군 이원면 지탄리 692","충청북도 옥천군 이원면 지탄길 266","29062","스테이 옥천 키즈","2026-01-15 15:32:36","U","2026-01-17 02:40:00","","261729.063847139","305043.713841449","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0",
"15","관광펜션업","03_11_02_P","4160000","CDFI3261092026000001","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 북면 제령리 544-2","경기도 가평군 북면 꽃넘이길 87-19","12405","카사레스 펜션","2026-01-09 16:30:27","I","2026-01-11 00:20:02","","245816.750327506","488479.234128976","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","관광펜션업","03_11_02_P","4341000","CDFI3261092026000001","2026-01-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 고성군 토성면 천진리 89","강원특별자치도 고성군 토성면 천진해변길 71","24764","연잎위 청개구리","2026-01-14 13:38:04","I","2026-01-16 00:20:02","","336272.330095545","529712.138816866","관광펜션업","","","3","","","","","3","0","0","0","","","0","0","","0","0","","0","126.99","","0","","","","","","","500000000","","","","127",
"17","관광펜션업","03_11_02_P","3930000","CDFI3261092026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 대부남동 1043-60","경기도 안산시 단원구 대남로354번길 14 (대부남동)","15653","로태세","2026-01-02 17:23:21","I","2026-01-04 00:20:12","","161936.035169714","412876.68294111","관광펜션업","","","3","","","","","3","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"18","관광펜션업","03_11_02_P","4170000","CDFI3261092026000002","2026-01-13","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 양동면 고송리 863","경기도 양평군 양동면 고송길 38","12533","스테이 호은","2026-01-13 14:38:18","I","2026-01-15 00:20:35","","261653.775844132","442799.379344689","관광펜션업","","관리지역","1","","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","125.74","","0","","","","","","","0","","","","126",
"19","관광펜션업","03_11_02_P","4160000","CDFI3261092026000002","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 설악면 사룡리 609-25","경기도 가평군 설악면 자잠로 188-98","12460","디나우스 독채펜션","2026-01-12 10:20:11","I","2026-01-14 00:20:02","","243106.350096118","465736.118017257","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"20","관광펜션업","03_11_02_P","5360000","CDFI3261092026000001","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","경상남도 밀양시 단장면 구천리 505","경상남도 밀양시 단장면 표충로 1131-10","50418","물소리새소리펜션","2026-01-12 14:15:22","I","2026-01-14 00:20:02","","375603.604421745","227236.568649562","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"21","관광펜션업","03_11_02_P","4170000","CDFI3261092026000001","2026-01-08","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 옥천면 용천리 887-2","경기도 양평군 옥천면 사나사길 6","12506","뮤트스톤","2026-01-08 16:39:13","I","2026-01-10 00:20:07","","242406.148366485","447676.650380078","관광펜션업","","관리지역","1","","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","95.95","","0","","","","","","","0","","","","96",
"22","관광펜션업","03_11_02_P","4990000","CDFI3261092023000001","2023-05-24","","01","영업/정상","13","영업중","","","","","061-552-7203","","","전라남도 완도군 신지면 신리 813-2 모래뜰, 세븐일레븐","전라남도 완도군 신지면 명사십리길 74, 모래뜰","59146","모래뜰 펜션","2026-01-15 14:30:57","U","2026-01-17 02:40:00","","182132.606757954","92241.4792436757","관광펜션업","","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","271.05","","0","","","","","","","0","","","","271",
"23","관광펜션업","03_11_02_P","5530000","CDFI3261092024000001","2024-04-11","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 서신면 제부리 190-130","경기도 화성시 서신면 해안길 260-14","18553","더(the) 머물다 펜션","2025-12-31 14:52:53","U","2026-01-03 02:40:00","","166116.865929311","407056.725603229","관광펜션업","","","3","기타","","DB손해보험","숙박시설","3","0","0","0","","","0","0","","0","0","","0","455","","0","","","","","","","0","","","","455",
"24","관광펜션업","03_11_02_P","3730000","CDFI3261092025000001","2025-11-03","","01","영업/정상","13","영업중","","","","","","","","울산광역시 울주군 서생면 신암리 291-28","울산광역시 울주군 서생면 당물길 33-33","45014","기리기리풀빌라","2026-01-12 10:35:59","U","2026-01-14 02:40:00","","411762.223741991","207805.084804059","관광펜션업","","","0","","","객실 3","","0","0","0","0","","","0","0","","0","0","","0","228.96","","0","","","","","","","0","","","","229",
