"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경측정대행업","09_30_17_P","6460000","646000008202600001","2026-01-01","","01","영업/정상","N","신규","","","","","","","","전라남도 나주시 빛가람동 353-1 스마트파크지식산업센터","전라남도 나주시 교육길 13, 스마트파크지식산업센터 지동 205호 (빛가람동)","","주식회사 정온테크","2026-01-01 20:21:52","I","2026-01-03 00:20:02","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"2","환경측정대행업","09_30_17_P","6460000","646000008202300009","2025-12-31","","01","영업/정상","N","신규","","","","","","","58024","전라남도 순천시 해룡면 성산리 241번지","전라남도 순천시 해룡면 정채봉길 77-1","58024","(주)주원이테크","2025-12-31 08:59:20","U","2026-01-03 02:40:00","","250289.685609586","157938.279608185","88.87","측정대행업","0","","4615031027","58024","0","241","0","","","","","","46150","4615031027","0","4649949","","0","77","1","58024",
"3","환경측정대행업","09_30_17_P","3740000","374000066201500003","2015-10-21","","01","영업/정상","BBBB","영업","","","","","070-4204-1050","","","경기도 수원시 팔달구 화서동 436-3 농민회관","경기도 수원시 팔달구 수성로 92, 농민회관 5층 (화서동)","16432","(주)대한환경기술연구소","2025-12-31 09:02:21","U","2026-01-03 02:40:00","","198939.951346024","420004.023620364","0","측정대행업","0","","4111513800","","1","436","3","","","농민회관","","","41115","4111513800","1","3175034","농민회관 5층 (화서동)","0","92","","16432",
"4","환경측정대행업","09_30_17_P","5670000","567012366202000003","2020-06-05","","01","영업/정상","BBBB","영업","","","","","055-601-1112","","","경상남도 창원시 의창구 팔용동 34-2 동진빌딩","경상남도 창원시 의창구 사화로 372, 동진빌딩 3층 (팔용동)","51393","주식회사 다온환경연구원","2025-12-31 13:22:42","U","2026-01-03 02:40:00","","349252.687304138","194397.102925332","84","측정대행업","0","","4812112900","","1","34","2","","","동진빌딩","","","48121","4812112900","1","3327025","동진빌딩 3층 (팔용동)","0","372","","51393",
"5","환경측정대행업","09_30_17_P","6410000","641000008202600001","2026-01-02","","01","영업/정상","N","신규","","","","","","","","경기도 광명시 철산동 626-3 광명테크노타운 701호","경기도 광명시 안양천로502번길 15, 광명테크노타운 701호 (철산동)","","(주)한솔환경산업","2026-01-02 10:15:20","I","2026-01-04 00:20:12","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"6","환경측정대행업","09_30_17_P","4050000","405000066202500004","2025-01-02","","01","영업/정상","BBBB","영업","","","","","0318982937","","","경기도 용인시 기흥구 중동 1033 에이스 동백 타워","경기도 용인시 기흥구 동백중앙로16번길 16-4, 에이스 동백 타워 1동 1809, 1816호 (중동)","17015","(주)대신환경기술","2026-01-02 09:07:25","I","2026-01-04 00:20:12","","214576.223559246","417184.705782403","28","측정대행업","0","","4146311600","","1","1033","","","","에이스 동백 타워","","","41463","4146311600","1","4412115","에이스 동백 타워 1동 1809호 (중동)","0","16","4","17015",
"7","환경측정대행업","09_30_17_P","6300000","630000008202500004","2026-01-02","","01","영업/정상","N","신규","","","","","","","","","충청남도 논산시 시민로194번길 11-7 (내동)","32989","(주)푸른환경","2026-01-02 16:14:12","U","2026-01-04 02:40:00","","208822.096245132","298325.944350608","0","측정대행업","0","","","","","","","","","","","","30110","3011011400","1","3010014","","0","371","1","34529",
"8","환경측정대행업","09_30_17_P","6260000","626000008202100006","2026-01-02","","01","영업/정상","N","신규","","","","","","","","부산광역시 기장군 장안읍 반룡리 850번지 그린컨기술주식회사","부산광역시 기장군 장안읍 장안산단1로 11, 그린컨기술주식회사 디동 2,3층","","승보환경기술(주)","2026-01-02 10:59:05","U","2026-01-04 02:40:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"9","환경측정대행업","09_30_17_P","6300000","630000008202500001","2026-01-02","","01","영업/정상","N","신규","","","","","0428636018","","34000","대전광역시 유성구 신동 662-7","대전광역시 유성구 국제과학8로 33(신동)","34000","(주)대덕분석기술연구원","2026-01-02 17:00:32","U","2026-01-04 02:40:00","","233269.27462576","330163.808843393","170","측정대행업","0","","3020015100","34000","0","662","7","","","","","","30200","3020015100","1","3352520","","0","33","0","34000",
"10","환경측정대행업","09_30_17_P","5670000","567015666201900001","2019-11-11","","01","영업/정상","BBBB","영업","","","","","055-249-2773","","","경상남도 창원시 마산합포구 월영동 449 경남대학교","경상남도 창원시 마산합포구 경남대학로 7, 경남대학교 제4공학관동 5층 (월영동)","51767","경남대학교 산학협력단","2026-01-02 09:12:04","U","2026-01-04 02:40:00","","341573.310930471","187948.090866043","73","측정대행업","0","","4812513400","","1","449","","","","경남대학교","","","48125","4812513400","1","3331077","경남대학교 제4공학관동 4층 (월영동)","0","7","","51767",
"11","환경측정대행업","09_30_17_P","6270000","627000008202300003","2026-01-04","","01","영업/정상","N","신규","","","","","","","","대구광역시 수성구 범어동 477-16","대구광역시 수성구 상록로 47, 1층 (범어동)","","(주)에이앤에이환경측정","2026-01-04 09:52:37","U","2026-01-06 02:40:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"12","환경측정대행업","09_30_17_P","6280000","628000008202500006","2025-08-26","","01","영업/정상","N","신규","","","","","","","22829","인천광역시 서구 가좌동 539-8 한국화학융합시험연구원 0호","인천광역시 서구 가재울로 68, 한국화학융합시험연구원 2층 (가좌동)","22829","(재)한국화학융합시험연구원","2026-01-04 10:08:11","U","2026-01-06 02:40:00","","171640.607487559","441848.898170264","0","측정대행업","0","","2826011200","22829","0","539","8","","","한국화학융합시험연구원","","2층","28260","2826011200","1","3008036","한국화학융합시험연구원","0","68","0","22829",
"13","환경측정대행업","09_30_17_P","6270000","627000008202000005","2026-01-04","","01","영업/정상","N","신규","","","","","","","41701","대구광역시 서구 비산동 2028-56","대구광역시 서구 염색공단천로14길 12 (비산동)","41701","(주)대구환경연구소","2026-01-04 09:44:48","U","2026-01-06 02:40:00","","339429.923719934","266688.38114492","0","측정대행업","0","","2717010200","41701","0","2028","56","","","","","","27170","2717010200","1","4229264","","0","12","0","41701",
"14","환경측정대행업","09_30_17_P","3780000","378000066201800001","2018-12-20","","01","영업/정상","BBBB","영업","","","","","031-743-6517","","","경기도 성남시 중원구 상대원동 344-5","경기도 성남시 중원구 순환로 111 (상대원동)","13215","(주)이푸른환경","2026-01-05 10:49:41","U","2026-01-07 02:40:00","","215710.812392661","436860.993563671","0","측정대행업","0","","4113310500","","1","344","5","","","","","","41133","4113310500","1","3179014","(상대원동)","0","111","","13215",
