"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","문화예술법인","03_08_03_P","6270000","A0100627000020080010","2008-08-22","","01","영업/정상","1","","","","","","0536612833","","","대구광역시 중구 동인동2가 177번지 4호 (중구청길 1)","대구광역시 중구 국채보상로139길 1 (동인동2가,(중구청길 1))","","재단법인 대구광역시 중구 도심재생문화재단","2025-12-31 10:37:30","U","2026-01-03 02:40:00","","344977.845662724","264442.068378927","문화(재단)","","","","","","","","0","","대구광역시 중구 도심재생과 문화예술진흥을 도모하여 쾌적하고 살기 좋은 도시 환경 조성","허위 기타 부정한 방법으로 설립허가를 받은 때
목적달성이 불가능하게 된때
목적사업 이외의 사업을 한때
공익을 해하는 행위를 한 때 등","","재단법인 대구광역시 중구 도심재생문화재단",
"2","문화예술법인","03_08_03_P","6270000","A0100627000020260001","2026-01-07","","01","영업/정상","1","","","","","","","","","대구광역시 북구 팔달동 132번지 4호 2층","대구광역시 북구 작원길 9-0, 2층 (팔달동)","","사단법인 대한불교참선조계종","2026-01-07 14:58:23","I","2026-01-09 00:20:01","","339825.100268907","267546.269807641","종교(사단)","","","","","","","","0","","구태불교를 개혁하고 이 시대가 요구하는 올바른 불교의 모습을 정립함을 목적으로 함","","","사단법인 대한불교참선조계종",
"3","문화예술법인","03_08_03_P","6530000","A0100642000020100013","1999-12-27","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 삼천동 200번지","강원특별자치도 춘천시 금강로 11-0, 1동 3층 301호 (소양로3가,KT춘천지사)","","재단법인 강원문화재단","2026-01-07 16:09:19","U","2026-01-09 02:40:00","","261638.06885953","485738.768274014","문화(재단)","","","","","","","","0","","지역의 문화예술활동을 지원하고 우수인재를 양성하며 문화유산을  발굴보존하여 강원도 역사와 전통을
계승발전시키고 강원문화를 창달함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","재단법인 강원문화재단",
"4","문화예술법인","03_08_03_P","6500000","A0100650000020260001","2026-01-08","","01","영업/정상","1","","","","","","","","","제주특별자치도 제주시 일도이동 160번지 8호","제주특별자치도 제주시 고마로 31-0, 6층층 (일도이동)","","(사) 청솔장애인협회","2026-01-08 17:10:37","I","2026-01-10 00:20:07","","157081.244685827","1749.90147894322","행정(재단)","","","","","","","","0","","장애인 문화예술인이 필요로 하는 문화예술 습득할 수 있도록 선도 지원함으로써 사회참여와 자기 결정권 행사하여 스스로 미래를 설계하여 자립할 수 있는 기회를 함께 만들어 사회적 사회통합에 기여함으로써 국가경제발전과 생산적 복지실현을 목적으로 의료기관 설치 운영한다","","","(사) 청솔장애인협회",
"5","문화예술법인","03_08_03_P","6530000","A0100642000020210021","2021-09-07","","01","영업/정상","1","","","","","","","","","강원특별자치도 철원군 서면 와수리 562번지 0호","강원특별자치도 철원군 서면 약수로 3-0","","철원문화재단","2026-01-08 08:56:08","U","2026-01-10 02:40:00","","237362.853765533","526979.842147451","문화(재단)","","","","","","","","0","","군의 전통문화예술 전승과 새로운 문화예술 창조, 다양한 문화교류 사업을 통하여 지역문화예술을 활성화시키고 군민들이 쾌적하고 수준높은 문화생활을 스스로 누릴 수 있도록 함으로써 철원군의 정체성을 확립하고, 문화도시 실현을 목적으로 함","","","철원문화재단",
"6","문화예술법인","03_08_03_P","6470000","A0100647000020230003","2023-03-21","","01","영업/정상","1","","","","","","","","","경상북도 예천군 호명면 산합리 1497번지 0호 서진타워 1동","경상북도 예천군 호명면 수변로 125-0, 1동 4층 (서진타워경북문화재단)","","(사)경북메세나협회","2026-01-12 16:10:55","U","2026-01-14 02:40:00","","333007.213116947","342531.21360492","문화(사단)","","","","","","","","0","","문화와 예술의 균형발전","","","(사)경북메세나협회",
"7","문화예술법인","03_08_03_P","6500000","A0100650000020260002","2026-01-13","","01","영업/정상","1","","","","","","","","","제주특별자치도 서귀포시 동홍동 114번지 7호 동홍동대림아파트","제주특별자치도 서귀포시 동홍중앙로 61-0, 101동 8층 802호 (동홍동,동홍동대림아파트)","","(사) 석파시선암문화예술원","2026-01-13 12:13:52","I","2026-01-15 00:20:35","","159973.385406769","-26578.1926179944","행정(재단)","","","","","","","","0","","석파 강문신 시조 시인이 한평생 일군 문화유산의 원형보존을 위한 전승·보존·활용·예방 관리사업을 체계화, 표준화하고,
문화재 돌봄사업의 상호교류, 협력 및 정보 공유와 문화유산의 보존활용을 위한 연구수행 및 정책개발 보급과
문화유산 관광자원 개발, 전통문화예술진흥, 지역문화예술진흥 등 제반사업의 추진함을 목적으로 한다.","","","(사) 석파시선암문화예술원",
"8","문화예술법인","03_08_03_P","6270000","A0100627000020120018","2012-07-31","","01","영업/정상","1","","","","","","0535891151","","","대구광역시 달서구 갈산동 966번지","대구광역시 달서구 성서공단북로 194 (갈산동)","","재단법인 사야문화재단","2026-01-14 15:32:03","U","2026-01-16 02:40:00","","334843.255289453","261430.703107415","행정(재단)","","","","","","","","0","","문화예술 진흥을 위하여 전통문화예술 계승과 새로운 문화예술 창조, 다양한 문화사업 지원 및 육성을 통한 
문화예술인 양성 및 지역문화 창달에 기여","허가조건: 법인이 다음 각호의 1에 해당하는 사유가 있다고 인정될 때에는 그 설립허가를 취소할 수 있음
   ○ 허위 기타 부정한 방법으로 설립허가를 받은 때
   ○ 목적달성이 불가능하게 된 때
   ○ 목적사업 이외의 사업을 한 때
   ○ 공익을 해하는 행위를 한 때
   ○ 정당한 사유 없이 설립허가를 받은 날로부터 6월 이내에 목적사업을 
      개시하지 아니하거나 1년 이상 사업실적이 없을 때
   ○ 관계법 또는 관계법에 의한 명령이나 정관을 위반한 때","","재단법인 사야문화재단",
"9","문화예술법인","03_08_03_P","6270000","A0100627000020210012","2021-06-07","","01","영업/정상","1","","","","","","0533127788","","","대구광역시 북구 읍내동 1234번지 12호","대구광역시 북구 팔거천서로 257-0, 3층 (읍내동)","","사단법인 라따나상가","2026-01-14 13:50:07","U","2026-01-16 02:40:00","","340162.758972212","272861.651626616","종교(사단)","","","","","","","","0","","부처님의 가르침을 통해 모든 존재들이 삶의 고통으로부터 벗어나 지극한 행복을 성취하고, 충만한 평화에 이르는 불교포교활동을 하는 것을 목적으로 함","","","사단법인 라따나상가",
"10","문화예술법인","03_08_03_P","6310000","A0100631000020250003","2025-05-29","","01","영업/정상","1","","","","","","","","","울산광역시 중구 성안동 831번지 0호","울산광역시 중구 백양로 62-0 (성안동)","","사단법인 태화복합문화공간","2026-01-14 09:45:36","U","2026-01-16 02:40:00","","409593.535105698","232900.675542174","문화(사단)","","","","","","","","0","","복합문화공간 만디 운영과 자체 기획 사업 전개","","","사단법인 태화복합문화공간",
