"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","전화권유판매업","08_26_03_P","3160000","2025316015924200012","2018-08-31","","03","폐업","03","폐업처리","2025-12-31","","","","02-575-3040","","","서울특별시 구로구 구로동 ***-*** 현진그린빌","서울특별시 구로구 구일로*길 **, A동 ***호 (구로동, 현진그린빌)","08324","건강백수연","2025-12-31 17:59:43","I","2026-01-03 00:20:02","","188691.648831047","443596.897316993","0","0","0","",
"2","전화권유판매업","08_26_03_P","4060000","2025406055224200002","2021-05-10","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 문산읍 선유리 ***-*","경기도 파주시 문산읍 사임당로 **","10813","(주)지안컴스","2025-12-31 17:26:00","I","2026-01-03 00:20:02","","182181.609940379","484348.999284826","1041258300","280371008","200000000","",
"3","전화권유판매업","08_26_03_P","3680000","2012368009224200003","2012-10-09","","03","폐업","03","폐업처리","2025-12-31","","","","042-337-1900","","306-824","대전광역시 대덕구 중리동 ***번지 *호 *층","대전광역시 대덕구 한밭대로 ****, *층 (중리동)","306-824","상생방송주식회사","2025-12-31 16:24:11","U","2026-01-03 02:40:00","","238016.738515433","317700.618087003","1079072770","405133600","1200000000","",
"4","전화권유판매업","08_26_03_P","3940000","2024395005224200006","2024-10-31","","03","폐업","03","폐업처리","2025-12-31","","","","","","","경기도 고양시 덕양구 토당동 ***-* 선정빌딩","경기도 고양시 덕양구 토당로 ***, 선정빌딩 ***호 (토당동)","10506","큐필드시스템","2025-12-31 09:31:43","U","2026-01-03 02:40:00","","183873.53603434","458331.669021881","0","0","0","",
"5","전화권유판매업","08_26_03_P","3350000","2024335014624200001","2024-07-15","","03","폐업","03","폐업처리","2025-12-31","","","","","","","부산광역시 금정구 남산동 ***-**","부산광역시 금정구 학산로**번길 **, *층 (남산동)","46224","고려식품유통","2025-12-31 14:20:14","U","2026-01-03 02:40:00","","390096.576255848","198209.29953976","0","0","0","",
"6","전화권유판매업","08_26_03_P","3930000","2015393028724200016","2015-06-01","","03","폐업","03","폐업처리","2025-12-30","","","","031-406-0100","","","","경기도 안산시 상록구 양지편로 **, ***호 (이동, 조강빌딩)","15494","주식회사엠아이씨티","2025-12-31 18:44:19","U","2026-01-03 02:40:00","","186725.823336385","423033.453773718","1192706690","85604800","33665864","",
"7","전화권유판매업","08_26_03_P","3940000","2016396012824200009","2016-03-22","","03","폐업","03","폐업처리","2025-12-31","","","","","","","","경기도 고양시 일산동구 무궁화로 **, ***호 (장항동, 남정씨티프라자)","10401","제이비즈웍스(jbizworks)","2025-12-31 12:54:28","U","2026-01-03 02:40:00","","179492.666132508","462272.008263397","0","0","0","",
"8","전화권유판매업","08_26_03_P","3010000","2015301013024200021","2014-08-20","","04","취소/말소/만료/정지/중지","07","직권말소","2025-12-31","","","","02   7550119","","","서울특별시 중구 을지로*가 ***번지 *호 한양빌딩","서울특별시 중구 명동*길 **, 한양빌딩 ***호 (을지로*가)","04534","코끼리(gg통신)","2025-12-31 09:00:37","U","2026-01-03 02:40:00","","198560.694554378","451400.785003747","0","0","0","",
"9","전화권유판매업","08_26_03_P","3010000","2023301020524200003","2023-04-04","","04","취소/말소/만료/정지/중지","07","직권말소","2025-12-31","","","","02-831-8824","","","서울특별시 중구 만리동*가 *** 서울역센트럴자이 ***동 ***호","서울특별시 중구 만리재로 ***, ***동 ***호 (만리동*가, 서울역센트럴자이)","04500","칠성교육도서","2025-12-31 09:06:47","U","2026-01-03 02:40:00","","196697.116895888","450217.095147509","0","0","0","",
"10","전화권유판매업","08_26_03_P","3440000","2025344014924200002","2025-11-05","","03","폐업","03","폐업처리","2025-12-31","","","","02 - 1661 - 1510","","","대구광역시 남구 대명동 ***-*","대구광역시 남구 현충로**길 **, ***호 (대명동)","42488","아이엔티컨설턴트","2025-12-31 21:09:44","U","2026-01-03 02:40:00","","342583.555682976","260969.475618477","0","0","0","",
