"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물판매업","02_03_07_P","4050000","562000004520250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","경기도 용인시 처인구 모현읍 능원리 **-*","경기도 용인시 처인구 모현읍 오포로 **, *층","16884","놀러오개 애견연구소","2025-12-31 09:21:48","I","2026-01-03 00:20:02","","215553.519332344","426737.950446495","동물판매업","동물판매업(일반)","L00","0",
"2","동물판매업","02_03_07_P","3610000","361000004520250001","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","광주광역시 남구 주월동 ***-** SK텔레콤","광주광역시 남구 서문대로 ***, SK텔레콤 *층 (주월동)","61721","광주고양이분양 도로시펫","2025-12-31 13:58:56","I","2026-01-03 00:20:02","","190702.58012788","181282.284703896","동물판매업","동물판매업(일반)","000","0",
"3","동물판매업","02_03_07_P","3610000","361000004520250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","광주광역시 남구 주월동 ***-** SK텔레콤","광주광역시 남구 서문대로 ***, SK텔레콤 *층 (주월동)","61721","광주강아지분양 도로시펫","2025-12-31 14:00:32","I","2026-01-03 00:20:02","","190702.58012788","181282.284703896","동물판매업","동물판매업(일반)","000","0",
"4","동물판매업","02_03_07_P","4070000","407000004520250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","경기도 이천시 부발읍 신하리 ***","경기도 이천시 부발읍 대산로 ***-*, 서화상가 ***호","17327","헤이댕댕 2호점","2025-12-31 11:14:22","I","2026-01-03 00:20:02","","242440.010569709","417634.839971485","동물판매업","동물판매업(일반)","000","0",
"5","동물판매업","02_03_07_P","3510500","351050004520230003","2023-07-24","","04","취소/말소/만료/정지/중지","0004","말소","2025-12-31","","","","032-888-9910","0","","인천광역시 미추홀구 용현동 ***-**","인천광역시 미추홀구 인주대로 ** (용현동)","22177","D&C Land","2025-12-31 18:16:42","U","2026-01-03 02:40:00","","168839.819084359","439481.746469013","동물판매업","동물판매업(일반)","000","0",
"6","동물판매업","02_03_07_P","4721000","472100004520230001","2023-03-01","","01","영업/정상","0000","정상","","","","","","0","","전북특별자치도 완주군 소양면 황운리 ***-*","전북특별자치도 완주군 소양면 전진로 ***","55356","레이지포","2025-12-30 15:06:01","U","2026-01-03 02:40:00","","220696.134179838","261414.307636199","동물판매업","동물판매업(일반)","000","0",
"7","동물판매업","02_03_07_P","5710000","571000004520230006","2023-06-23","","03","폐업","0002","폐업","2025-12-30","","","","","0","","충청북도 청주시 상당구 낭성면 추정리 ***-*","충청북도 청주시 상당구 낭성면 단재로 ****","28194","달멍하우스","2025-12-30 15:44:11","U","2026-01-03 02:40:00","","254807.445506829","343750.139357389","동물판매업","동물판매업(일반)","000","0",
"8","동물판매업","02_03_07_P","3410000","341000004520240002","2024-06-18","","03","폐업","0002","폐업","2025-12-29","","","","","0","","대구광역시 중구 봉산동 **-*","대구광역시 중구 달구벌대로 ****-* (봉산동)","41943","댕오빠","2025-12-30 10:47:47","U","2026-01-03 02:40:00","","344059.09168626","263979.32719694","동물판매업","동물판매업(일반)","000","0",
"9","동물판매업","02_03_07_P","3510500","351050004520240003","2024-04-01","","03","폐업","0002","폐업","2025-12-31","","","","","0","","인천광역시 미추홀구 학익동 ***-* 법조빌딩","인천광역시 미추홀구 소성로 ***, 법조빌딩 ***호 (학익동)","22224","어린이놀이터파충류샵","2025-12-31 17:42:57","U","2026-01-03 02:40:00","","170416.543064875","437782.211544992","동물판매업","동물판매업(일반)","L00","0",
"10","동물판매업","02_03_07_P","5530000","553000004520250011","2025-08-21","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 반송동 ***-* 동탄 스카이뷰 빌딩","경기도 화성시 동탄반석로 ***, 동탄 스카이뷰 빌딩 ***호 (반송동)","18455","동탄강아지분양 고양이분양 댕댕즈","2025-12-31 15:05:07","U","2026-01-03 02:40:00","","206250.284055209","411094.328135401","동물판매업","동물판매업(일반)","000","0",
"11","동물판매업","02_03_07_P","3740000","374000004520220040","2022-09-05","","02","휴업","0001","휴업","","2025-12-31","2027-01-01","","","0","","경기도 수원시 권선구 구운동 ***-*","경기도 수원시 권선구 구운중로*번길 **, *층 (구운동)","16410","펫트리멍","2025-12-31 15:24:42","U","2026-01-03 02:40:00","","197703.217748019","419294.833554404","동물판매업","동물판매업(일반)","000","0",
