"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의료법인","01_01_08_P","3070000","PHMA420053070034021400001","2005-12-01","","01","영업/정상","10","변경","","","","","02-919-2700","","136-826","서울특별시 성북구 장위3동 50번지 50호","서울특별시 성북구 화랑로 271 (장위동)","","의료법인유라의료재단","2026-01-08 17:17:06","U","2026-01-10 02:40:00","","205115.270098014","456653.34725952","","0","0","0","0","","","","","","0","0","","","0","",
"2","의료법인","01_01_08_P","4170000","PHMA420054170019021400001","2005-08-27","","01","영업/정상","10","변경","","","","","031-771-3140","","","경기도 양평군 용문면 중원리 556 브니엘노인전문병원","경기도 양평군 용문면 중원산로490번길 30, 브니엘노인전문병원","12512","의료법인 브니엘의료재단","2026-01-09 10:30:27","U","2026-01-11 02:40:00","","254731.360848532","449261.458075044","","0","0","0","0","","","","","","0","0","","","0","",
"3","의료법인","01_01_08_P","5600000","PHMA420105600005021400001","2010-12-17","","01","영업/정상","10","변경","","","","","","","487-823","경기도 포천시 소흘읍 송우리 116번지 11호","경기도 포천시 소흘읍 호국로 661","487-823","의료법인 일심의료재단 포천우리병원","2025-12-31 11:06:46","U","2026-01-03 02:40:00","","212952.818008333","480548.964457835","","0","0","0","0","","","","","","0","0","","","0","",
"4","의료법인","01_01_08_P","4050000","PHMA420164050149021400002","2016-10-05","","01","영업/정상","10","변경","","","","","","","","경기도 용인시 수지구 풍덕천동 514번지 1호 제지층제비101호,제4층제401호,제5층제501호,제6층제601호","경기도 용인시 수지구 풍덕천로22번길 15 (풍덕천동, 제지층제비101호,제4층제401호,제5층제501호,제6층제601호)","16846","의료법인 수지의료재단","2026-01-12 09:49:19","U","2026-01-14 02:40:00","","207457.23245973","423870.022361978","","0","0","0","0","","","","","","0","0","","","0","",
"5","의료법인","01_01_08_P","3930000","PHMA420193930154021400001","2019-12-05","","01","영업/정상","10","변경","","","","","031-8040-5527","","","경기도 안산시 단원구 초지동 745-2 , 초지동 744-8","경기도 안산시 단원구 원포공원1로 20, 원포공원1로 10 (초지동)","15457","의료법인 플러스의료재단","2026-01-05 16:31:02","U","2026-01-07 02:40:00","","183372.493821792","422042.507943631","","0","0","0","0","","","","","","0","0","","","0","",
"6","의료법인","01_01_08_P","3740000","PHMA419943740032021400001","1994-11-29","","01","영업/정상","10","변경","","","","","031-229-9777","","441-390","경기도 수원시 권선구 권선동 967번지 1호","경기도 수원시 권선구 권선로 654 (권선동)","441-390","의료법인 청파의료재단","2025-12-31 18:12:03","U","2026-01-03 02:40:00","","201953.834413132","417553.806938151","","0","0","0","0","","","","","","0","0","","","0","",
"7","의료법인","01_01_08_P","5530000","PHMA420125530021021400001","2012-08-14","","01","영업/정상","10","변경","","","","","031-8015-9999","","445-170","경기도 화성시 석우동 42번지 1호","경기도 화성시 삼성1로 144-6 (석우동)","445-170","의료법인 상운의료재단","2026-01-05 09:47:27","U","2026-01-07 02:40:00","","206894.690660412","412755.867174553","","0","0","0","0","","","","","","0","0","","","0","",
"8","의료법인","01_01_08_P","4090000","PHMA419924090023021400001","1992-04-02","","01","영업/정상","10","변경","","","","","031-985-6061","","","경기도 김포시 풍무동 67-19 3층","경기도 김포시 장릉1로 11, 3층 (풍무동)","10117","삼송의료재단","2026-01-02 13:38:31","U","2026-01-04 02:40:00","","175421.166871948","456304.400496548","","0","0","0","0","","","","","","0","0","","","0","",
"9","의료법인","01_01_08_P","3150000","PHMA420013150037021400001","2001-05-19","","01","영업/정상","10","변경","","","","","02-2608-8855","","157-010","서울특별시 강서구 화곡동 349번지 3호","서울특별시 강서구 강서로17길 24 (화곡동)","","(의료법인)필의료재단","2026-01-09 15:41:25","U","2026-01-11 02:40:00","","186171.569591143","447873.285103959","","0","0","0","0","","","","","","0","0","","","0","",
"10","의료법인","01_01_08_P","3090000","PHMA420003090033021400001","2000-01-01","","01","영업/정상","10","변경","","","","","","","132-703","서울특별시 도봉구 쌍문동 388번지 1호 한일병원","서울특별시 도봉구 우이천로 308 (쌍문동,한일병원)","","의료법인한전의료재단","2026-01-08 11:17:36","U","2026-01-10 02:40:00","","202466.119176743","460394.329853007","","0","0","0","0","","","","","","0","0","","","0","",
