"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유판매업","09_28_08_P","3660000","2000366011101500002","2000-06-15","","02","휴업","05","사업휴지","","2025-10-30","2026-01-31","","042 545 5185","1403","","대전광역시 서구 가수원동 210-7","대전광역시 서구 계백로 1176 (가수원동)","","주식회사 가수원주유소","2025-12-31 15:10:18","U","2026-01-03 02:40:00","주유소","231750.306663669","311639.816071453","","",
"2","석유판매업","09_28_08_P","5350000","2008535016401500020","2008-12-24","","02","휴업","05","사업휴지","","2026-01-01","2026-12-31","","055-322-5150","644","","경상남도 김해시 관동동 359-1","경상남도 김해시 관동로 5 (관동동)","","율하주유소","2025-12-31 15:34:10","U","2026-01-03 02:40:00","주유소","364271.499868137","187963.744479006","","",
"3","석유판매업","09_28_08_P","3730000","2009373008801500003","2009-04-15","","01","영업/정상","07","영업개시","","","","","052 243 2051","1510","","울산광역시 울주군 범서읍 입암리 1100-1","울산광역시 울주군 범서읍 울밀로 2330","","기분좋은주유소","2025-12-31 16:26:56","U","2026-01-03 02:40:00","주유소","400248.078341409","232495.380822962","","",
"4","석유판매업","09_28_08_P","5130000","1983513001701500001","1983-07-10","","02","휴업","05","사업휴지","","2025-12-15","2026-12-14","","053 852 7773","1049","","경상북도 경산시 와촌면 소월리 73-1","경상북도 경산시 와촌면 금송로 377","","글로벌네트웍스(주) 본점","2025-12-31 11:57:42","U","2026-01-03 02:40:00","주유소","365478.652184869","272971.116984144","","",
"5","석유판매업","09_28_08_P","5670000","1994532001401500027","1994-11-26","","01","영업/정상","01","신규등록","","","","","055 5439090","698.2","","경상남도 창원시 진해구 태평동 45","경상남도 창원시 진해구 태평로 40 (태평동)","","대광주유소","2026-01-01 11:54:40","U","2026-01-03 02:40:00","주유소","351544.129148669","184198.82181142","","",
"6","석유판매업","09_28_08_P","5080000","2006508013301500010","2006-07-24","","02","휴업","05","사업휴지","","2025-12-04","2026-11-30","","054 451 5145","412.3","","경상북도 구미시 봉곡동 429-1","경상북도 구미시 봉곡로 83 (봉곡동)","","글로벌네트웍스(주)구미지점주유소","2025-12-31 15:44:22","U","2026-01-03 02:40:00","주유소","317816.846244951","294747.170864696","","",
"7","석유판매업","09_28_08_P","5080000","2009508013301500003","2009-04-28","","01","영업/정상","07","영업개시","","","","","054 440 2525","1490","","경상북도 구미시 신평동 299-3 롯데마트행복드림주유소","경상북도 구미시 구미대로 296, 롯데마트행복드림주유소 (신평동)","39255","(주)한진 구미롯데마트주유소","2025-12-31 15:22:06","U","2026-01-03 02:40:00","주유소","322765.021540308","291154.576577775","","",
"8","석유판매업","09_28_08_P","4820000","1990482001301500024","1990-03-31","","01","영업/정상","06","휴지사업재개","","2010-09-01","2011-08-31","2011-09-05","061 723 0066","1633","","전라남도 순천시 해룡면 남가리 1130-1","전라남도 순천시 해룡면 여순로 1594","58005","덕양(유) 남쪽주유소","2026-01-01 13:37:42","U","2026-01-03 02:40:00","주유소","248442.070483783","157716.543166126","","",
"9","석유판매업","09_28_08_P","4080000","2019408020801200001","2019-12-20","","02","휴업","05","사업휴지","","2025-12-30","2026-12-29","","","","","경기도 안성시 당왕동 139-5","","","반석알라딘석유","2025-12-31 16:21:23","U","2026-01-03 02:40:00","일반판매소","223786.080252665","390584.784638177","","",
"10","석유판매업","09_28_08_P","5600000","2019560017001500002","2019-10-17","","02","휴업","05","사업휴지","","2026-01-01","2026-12-31","","031 533 5184","710","","경기도 포천시 신읍동 242","경기도 포천시 포천로 1651 (신읍동)","11141","대박셀프주유소","2026-01-01 16:20:20","U","2026-01-03 02:40:00","주유소","217320.585797237","488896.258156442","","",
"11","석유판매업","09_28_08_P","3530000","2004353004901500004","2004-08-09","","01","영업/정상","01","신규등록","","","","","032 4675188","345","","인천광역시 남동구 수산동 206-5 수산주유소","인천광역시 남동구 호구포로 622, 하이웨이주유소 (수산동)","21590","수산주유소","2025-12-31 13:16:17","U","2026-01-03 02:40:00","주유소","174991.06436778","437332.522590865","","",
"12","석유판매업","09_28_08_P","3030000","1990303007401200001","1990-08-01","","01","영업/정상","01","신규등록","","","","","22973500","","","서울특별시 성동구 금호동4가 1526","서울특별시 성동구 매봉길 22 (금호동4가)","","경일석유","2025-12-31 16:39:07","U","2026-01-03 02:40:00","일반판매소","201311.491347486","449288.246801163","","",
"13","석유판매업","09_28_08_P","3030000","2013303013201200001","2013-12-02","","01","영업/정상","01","신규등록","","","","","02  465 4881","330","","서울특별시 성동구 성수동2가 277-141","서울특별시 성동구 아차산로 131 (성수동2가)","","대세석유","2025-12-31 16:42:16","U","2026-01-03 02:40:00","일반판매소","205088.472341397","449096.144779246","","",
"14","석유판매업","09_28_08_P","4080000","1991408006701591008","1991-12-03","","02","휴업","05","사업휴지","","2025-12-30","2026-12-29","","031 676 2212","792","","경기도 안성시 당왕동 164-6 2통1반","경기도 안성시 안성맞춤대로 1168 (당왕동)","","(주)반석에너지","2025-12-31 16:20:31","U","2026-01-03 02:40:00","주유소","223774.165318927","390613.539909806","","",
"15","석유판매업","09_28_08_P","5600000","2021560017001500001","2021-10-25","","03","폐업","03","폐지","2025-12-31","","","","","843","","경기도 포천시 화현면 화현리 1148","경기도 포천시 화현면 금강로 3645-67","11123","태영로지스","2026-01-01 16:18:00","U","2026-01-03 02:40:00","주유소","226471.340541042","486811.727615455","","",
"16","석유판매업","09_28_08_P","5670000","2002532001401500002","2002-10-17","","01","영업/정상","01","신규등록","","","","","","722","","경상남도 창원시 진해구 안골동 324-7","경상남도 창원시 진해구 안골로 242 (안골동)","","대호주유소","2026-01-01 12:06:16","U","2026-01-03 02:40:00","주유소","364256.513344077","178864.779746896","","",
"17","석유판매업","09_28_08_P","5670000","2003532001401200035","2003-10-31","","01","영업/정상","01","신규등록","","","","","055  5527695","","","경상남도 창원시 진해구 남양동 205","","","조만포석유","2026-01-01 12:29:02","U","2026-01-03 02:40:00","일반판매소","362445.375312729","180900.22537856","","",
