"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","원목생산업","09_27_02_P","5360000","536000090202500008","2025-12-29","","01","영업/정상","1","정상","","","","","","","","경상남도 밀양시 무안면 성덕리 656-1","경상남도 밀양시 무안면 사명로 18","50408","주식회사 윤성","2025-12-31 09:10:20","I","2026-01-03 00:20:02","","349782.874746471","215464.37284436","원목생산업","1종","","","0","0","영업",
"2","원목생산업","09_27_02_P","4390000","439000090201600005","2016-06-21","","01","영업/정상","1","정상","","","","","043-857-9180","","","","충청북도 충주시 봉계10길 8 (봉방동)","","(주)예성","2025-12-31 10:30:30","U","2026-01-03 02:40:00","","","","원목생산업","1종","원목","산림경영기술자 기술2급외 1명","0","105","영업",
"3","원목생산업","09_27_02_P","6520000","652000090202000001","2020-02-21","","01","영업/정상","1","정상","","","","","","","","제주특별자치도 서귀포시 하원동 939","제주특별자치도 서귀포시 하원북로 182 (하원동)","63553","서귀포시산림조합","2025-12-31 17:51:37","U","2026-01-03 02:40:00","","149839.190550912","-23973.1669967866","원목생산업","1종","","","0","0","영업",
"4","원목생산업","09_27_02_P","6520000","652000090201900001","2019-02-08","","03","폐업","3","폐업","","","","","0647643893","","","","제주특별자치도 서귀포시 남원읍 남한로351번길 122","63614","한남제재소","2025-12-31 17:55:02","U","2026-01-03 02:40:00","","170969.22339925","-20735.1924462137","원목생산업","2종","어상자, 각재","오승열","0","0","폐업",
"5","원목생산업","09_27_02_P","5360000","536000090202600001","2026-01-02","","01","영업/정상","1","정상","","","","","","","","경상남도 밀양시 내이동 122-4","경상남도 밀양시 창밀로 3496 (내이동)","50424","(주)태송임업","2026-01-02 09:29:26","I","2026-01-04 00:20:12","","357064.412739387","224501.586682522","원목생산업","1종","","","0","0","영업",
"6","원목생산업","09_27_02_P","5400000","540000090202600001","2026-01-02","","01","영업/정상","1","정상","","","","","055-763-3574","","","경상남도 함안군 군북면 장지리 665-3","경상남도 함안군 군북면 장백로 369","52062","주식회사 다인임업","2026-01-02 20:37:54","I","2026-01-04 00:20:12","","321427.100044401","200624.221734683","원목생산업","2종","소나무류, 참나무류, 기타 침·활엽수 등","산림경영기술자 기능2급","5000","100","영업",
"7","원목생산업","09_27_02_P","5150000","515000090202600001","2026-01-06","","01","영업/정상","1","정상","","","","","","","","경상북도 의성군 의성읍 후죽리 486-24","경상북도 의성군 의성읍 군청길 14, 2층","37338","(주)산과나무","2026-01-07 10:34:57","I","2026-01-09 00:20:01","","352117.402251304","318229.805602317","원목생산업","2종","원목","교육이수","5000","150","영업",
"8","원목생산업","09_27_02_P","4181000","418100090202600001","2026-01-02","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 스포츠타운길 460 (삼천동, 춘천파크자이)","24472","***","2026-01-06 11:02:57","I","2026-01-09 00:20:01","","262236.027353812","485157.316438971","원목생산업","1종","원목","2명","10000","50","영업",
"9","원목생산업","09_27_02_P","4671000","467000090201300004","2013-08-12","","01","영업/정상","1","정상","","","","","063-466-0475","","","전북특별자치도 군산시 나운동 100-14 유앤미프라자 3층","전북특별자치도 군산시 하나운로 72, 유앤미프라자 3층 (나운동)","54140","(유)은진우드","2026-01-07 10:22:25","U","2026-01-09 02:40:00","","173081.140951224","273852.871738357","원목생산업","2종","국내산 원목","교육이수 1명","0","49","영업",
"10","원목생산업","09_27_02_P","3740000","374000090201800004","2018-10-17","","03","폐업","3","폐업","","","","","","","","","경기도 수원시 권선구 서수원로 589, 301동 107호 (금곡동, 삼익3차아파트)","16392","***","2026-01-07 18:45:34","U","2026-01-09 02:40:00","","195874.133997715","419474.405510355","원목생산업","2종","","","5000","10","폐업",
"11","원목생산업","09_27_02_P","4181000","418100090202500001","2025-01-23","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 사북면 화악지암길 421-31","24200","***","2026-01-06 11:06:24","U","2026-01-09 02:40:00","","252989.439268542","498051.829394173","원목생산업","1종","제재목","2","6000","50","영업",
"12","원목생산업","09_27_02_P","3920000","392000090202600001","2026-01-08","","01","영업/정상","1","정상","","","","","","","","","경기도 동두천시 어수로102번길 4 (생연동)","11333","***","2026-01-08 14:42:51","I","2026-01-10 00:20:07","","204648.515932363","488833.756433443","원목생산업","2종","참나무 등","교육이수자1명","5000","120","영업",
"13","원목생산업","09_27_02_P","5440000","544000090202600001","2026-01-07","","01","영업/정상","1","정상","","","","","","","","경상남도 하동군 하동읍 읍내리 232-2 모닝글로리","경상남도 하동군 하동읍 시장1길 24, 모닝글로리","52329","김정영","2026-01-09 18:03:04","I","2026-01-11 00:20:02","","268234.876039528","174644.777878848","원목생산업","2종","","","0","10","영업",
"14","원목생산업","09_27_02_P","4570000","457000090201500002","2015-07-16","","01","영업/정상","1","정상","","","","","","","","충청남도 부여군 홍산면 조현리 42-3","","","***","2026-01-09 17:36:31","U","2026-01-11 02:40:00","","181685.734666667","303594.168666667","원목생산업","2종","펄프원목,표고목 등","","5000","10","영업",
"15","원목생산업","09_27_02_P","4520000","452000090201300004","2013-07-25","","01","영업/정상","1","정상","","","","","","","","","충청남도 아산시 시민로329번길 7-12 (용화동)","31566","***","2026-01-14 11:21:46","U","2026-01-16 02:40:00","","199609.505958779","364184.120081265","원목생산업","2종","","","0","10","영업",
