"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","개인하수처리시설관리업(사업장)","09_30_03_P","4580000","458000053201900001","2019-01-24","","01","영업/정상","11","영업","","","","","041-952-3445","","","충청남도 서천군 종천면 석촌리 416-29 서천포장","충청남도 서천군 종천면 종천공단길14번길 48, 한울환경(주)","33613","한울이엔텍(주)","2025-12-31 10:45:09","U","2026-01-03 02:40:00","","172547.235262254","290332.484079863","분뇨등관련영업관리","","","","","0","","0",
"2","개인하수처리시설관리업(사업장)","09_30_03_P","4040000","404000053202300001","2023-08-25","","02","휴업","1","휴업","","2026-01-01","","","031-793-5474","","","경기도 하남시 풍산동 588-5 미사동일 넥서스","경기도 하남시 미사강변중앙로31번길 30, 미사동일 넥서스 6층 609호 (풍산동)","12939","(주)대성이엔에스","2025-12-31 14:23:40","U","2026-01-03 02:40:00","","216820.141311837","449810.642846627","분뇨등관련영업관리","","","","","0","","0",
"3","개인하수처리시설관리업(사업장)","09_30_03_P","6510000","651000053201500003","2015-06-24","","01","영업/정상","11","영업","","","","","064-747-1877","","","제주특별자치도 제주시 애월읍 광령리 3290-8","제주특별자치도 제주시 애월읍 광령서길 28","63062","주식회사 한라환경산업","2026-01-01 10:54:11","U","2026-01-03 02:40:00","","146691.581449765","-4324.06791030492","분뇨등관련영업관리","","","","","0","","0",
"4","개인하수처리시설관리업(사업장)","09_30_03_P","4050000","562000053200400004","2004-10-25","","01","영업/정상","11","영업","","","","","","","449-924","경기도 용인시 처인구 김량장동 79-6","","","(주)경기환경","2026-01-02 10:55:02","U","2026-01-04 02:40:00","하수, 분뇨 및 축산폐기물 처리업","","","분뇨등관련영업관리","하수, 분뇨 및 축산폐기물 처리업","","","","0","","0",
"5","개인하수처리시설관리업(사업장)","09_30_03_P","4050000","405000053200600001","2006-10-09","","01","영업/정상","11","영업","","","","","031-334-6180","","449-825","경기도 용인시 처인구 양지읍 제일리 640-9","경기도 용인시 처인구 양지읍 중부대로 2374-41","449-825","(주)에코니티","2026-01-02 10:54:59","U","2026-01-04 02:40:00","","226759.163594428","414649.73395216","분뇨등관련영업관리","","","","","0","","0",
"6","개인하수처리시설관리업(사업장)","09_30_03_P","4050000","405000053200700002","2007-07-27","","03","폐업","2","폐업","2008-04-16","","","","","","449-823","경기도 용인시 처인구 양지읍 양지리 120-19","경기도 용인시 처인구 양지읍 죽양대로 2287","","대양건설","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","226351.170572356","414492.981960947","분뇨등관련영업관리","","","","","0","","0",
"7","개인하수처리시설관리업(사업장)","09_30_03_P","4050000","405000053200400001","2004-10-25","","01","영업/정상","11","영업","","","","","3235790","","449-924","경기도 용인시 처인구 김량장동 79-6","경기도 용인시 처인구 금령로106번길 18 (김량장동)","449-924","경기환경(주)","2026-01-02 10:55:02","U","2026-01-04 02:40:00","하수, 분뇨 및 축산폐기물 처리업","218386.801051524","414704.954411564","분뇨등관련영업관리","하수, 분뇨 및 축산폐기물 처리업","","","","0","","0",
"8","개인하수처리시설관리업(사업장)","09_30_03_P","4050000","405000053200800003","2008-08-08","","03","폐업","2","폐업","2010-05-12","","","","0313369905","","449-923","경기도 용인시 처인구 고림동 784 3층","경기도 용인시 처인구 고림로74번길 3-3  (고림동,3층)","","창성환경","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","219014.1269533","415373.874674598","분뇨등관련영업관리","","","","","0","","0",
"9","개인하수처리시설관리업(사업장)","09_30_03_P","4050000","405000053200700001","2007-07-25","","03","폐업","2","폐업","2008-04-17","","","","","","449-823","경기도 용인시 처인구 양지읍 양지리 120-19","경기도 용인시 처인구 양지읍 죽양대로 2287","","대양건설","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","226351.170572356","414492.981960947","분뇨등관련영업관리","","","","","0","","0",
"10","개인하수처리시설관리업(사업장)","09_30_03_P","3570000","357000053200400001","2004-12-10","","01","영업/정상","11","영업","","","","","032-934-5518","","","인천광역시 강화군 강화읍 남산리 11-3","인천광역시 강화군 강화읍 남문로 59","23037","(주)하늘이엔씨","2026-01-02 10:33:35","U","2026-01-04 02:40:00","","154690.782571883","471414.649574852","분뇨등관련영업관리","","","","","0","","0",
"11","개인하수처리시설관리업(사업장)","09_30_03_P","4490000","449000053200300005","2003-12-05","","01","영업/정상","11","영업","","","","","0415567393","","331-958","충청남도 천안시 서북구 두정동 660 306호","충청남도 천안시 서북구 늘푸른5길 26, 306호 (두정동)","331-958","(주)유성환경개발","2026-01-05 13:00:11","U","2026-01-07 02:40:00","","211540.584633576","369540.002583523","분뇨등관련영업관리","","","","","0","","0",
"12","개인하수처리시설관리업(사업장)","09_30_03_P","4390000","439000053200900002","2009-12-23","","01","영업/정상","11","영업","","","","","043-845-9004","","","충청북도 충주시 금릉동 154-9","충청북도 충주시 응골1길 37-6 (금릉동)","27336","(주)좋은이엔지","2026-01-05 17:12:27","U","2026-01-07 02:40:00","","282360.288222387","388615.927770523","분뇨등관련영업관리","","","","","0","","0",
"13","개인하수처리시설관리업(사업장)","09_30_03_P","3570000","357000053201000002","2010-03-04","","01","영업/정상","11","영업","","","","","","","","인천광역시 강화군 선원면 금월리 341-1 1층 4호","인천광역시 강화군 선원면 연동로 256, 1층 4호","23043","푸름환경산업","2026-01-05 14:25:57","U","2026-01-07 02:40:00","","154925.597765451","467469.370584264","분뇨등관련영업관리","","","","","0","","0",
"14","개인하수처리시설관리업(사업장)","09_30_03_P","5670000","567012353200000021","2000-01-19","","01","영업/정상","11","영업","","","","","055-277-6536","","","경상남도 창원시 의창구 명서동 83-11 지하","경상남도 창원시 의창구 우곡로3번길 63 (명서동, 지하)","51384","(주)태원산업","2026-01-05 15:53:00","U","2026-01-07 02:40:00","","349396.169111031","195438.113250759","분뇨등관련영업관리","","","","","0","","0",
