"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","가축인공수정소","02_04_02_P","5110000","511000000320260001","2026-01-01","","01","영업/정상","0000","정상","","","","","","0","","경상북도 상주시 사벌국면 묵하리 961","경상북도 상주시 사벌국면 자전거마을길 35-6, 다6호","37127","다복 인공수정소","2026-01-01 17:00:49","I","2026-01-03 00:20:02","","311185.020180057","330537.736216142","가축인공수정소","","0","000","0",
"2","가축인공수정소","02_04_02_P","4420000","442000000320250003","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","충청북도 보은군 속리산면 하판리 68-5","충청북도 보은군 속리산면 속리산로 1190","28907","이정준 수정소","2025-12-31 14:47:43","I","2026-01-03 00:20:02","","270206.224966963","337685.832624548","가축인공수정소","","0","000","0",
"3","가축인공수정소","02_04_02_P","5480000","548000000319800001","1980-11-10","","01","영업/정상","0000","정상","","","","","055-933-4392","92","","경상남도 합천군 삼가면 일부리 933-4","경상남도 합천군 삼가면 삼가중앙1길 33","50222","삼가가축인공수정소","2025-12-31 16:04:11","U","2026-01-03 02:40:00","","301697.96680232","213299.644519564","가축인공수정소","","0","000","0",
"4","가축인공수정소","02_04_02_P","5480000","548000000320060001","2006-01-04","","01","영업/정상","0000","정상","","","","","","0","","경상남도 합천군 가야면 황산리 18-8","경상남도 합천군 가야면 가야시장로 53-1","50201","해인사농업협동조합","2025-12-31 16:11:13","U","2026-01-03 02:40:00","","302891.593586511","251637.283708462","가축인공수정소","","0","L00","0",
"5","가축인공수정소","02_04_02_P","5480000","548000000320060002","2006-01-04","","01","영업/정상","0000","정상","","","","","","129","","경상남도 합천군 삼가면 일부리 918-1","경상남도 합천군 삼가면 일부4길 21-1","50223","합천가축병원","2025-12-31 16:05:21","U","2026-01-03 02:40:00","","301771.784647638","213222.445158017","가축인공수정소","","0","000","0",
"6","가축인공수정소","02_04_02_P","5480000","548000000320120002","2012-03-13","","01","영업/정상","0000","정상","","","","","","9513","","경상남도 합천군 합천읍 합천리 1547 미림타운","경상남도 합천군 합천읍 충효로 106-4, 미림타운","50232","강형모 동물병원","2025-12-31 16:01:12","U","2026-01-03 02:40:00","","305190.476729988","230169.530992132","가축인공수정소","","0","000","0",
"7","가축인공수정소","02_04_02_P","5390000","539000000320260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","75.4","","경상남도 의령군 가례면 수성리 304-6","경상남도 의령군 가례면 가례로 238-15","52132","금동","2026-01-02 15:55:03","I","2026-01-04 00:20:12","","312983.576394949","205480.450234115","가축인공수정소","","0","000","0",
"8","가축인공수정소","02_04_02_P","5080000","508000000320260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 선산읍 완전리 401","경상북도 구미시 선산읍 선산들길 61-8","39134","다온수정소","2026-01-02 16:17:00","I","2026-01-04 00:20:12","","316713.068726529","303756.5710695","가축인공수정소","","0","000","0",
"9","가축인공수정소","02_04_02_P","3600000","360000000319960001","1996-02-24","","03","폐업","0002","폐업","2026-01-02","","","","","33","","광주광역시 서구 광천동 596-16 18통다가구주택 3층동 302호","광주광역시 서구 죽봉대로147번길 18 (광천동)","61914","비아수정소","2026-01-02 15:34:34","U","2026-01-04 02:40:00","","189169.013058467","185308.751569863","가축인공수정소","","0","000","0",
"10","가축인공수정소","02_04_02_P","4751000","475100000320260001","2026-01-05","","01","영업/정상","0000","정상","","","","","","12.5","","전북특별자치도 장수군 장수읍 노곡리 361-1","전북특별자치도 장수군 장수읍 신리길 41-1","55629","무진장 거점수정소","2026-01-05 15:44:48","I","2026-01-07 00:20:36","","249559.66651469","239897.653641584","가축인공수정소","","0","000","0",
