"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의원","01_01_02_P","3900000","PHMA120253900028041100033","2025-12-19","","01","영업/정상","13","영업중","","","","","02-6953-0822","","","경기도 광명시 철산동 426","경기도 광명시 디지털로 19, 오렌지에비뉴 신관 5층 (철산동)","14240","서울원안과의원","2025-12-31 10:18:23","I","2026-01-03 00:20:02","의원","188403.235849449","441325.837932445","의원","2","0","0","550","112","안과","","","","0","0","","","0","",
"2","의원","01_01_02_P","5580000","PHMA120255580013041100002","2025-12-31","","01","영업/정상","13","영업중","","","","","0423000606","","","충청남도 계룡시 금암동 163-1 천마빌딩","충청남도 계룡시 장안로 59-3, 천마빌딩 403호 (금암동)","32826","이음조산원","2025-12-31 17:08:06","I","2026-01-03 00:20:02","조산원","222440.162450552","308002.690224818","조산원","1","1","1","103.8","","","","","","0","0","","","0","",
"3","의원","01_01_02_P","3330000","PHMA120253330024041100028","2025-12-30","","01","영업/정상","13","영업중","","","","","051-711-2877","","","부산광역시 해운대구 우동 1518 센텀메디컬센타","부산광역시 해운대구 센텀2로 10, 센텀메디컬센타 202호 (우동)","48060","센텀하트치과의원","2026-01-01 22:43:21","I","2026-01-03 00:20:02","치과의원","394130.22185237","187482.443775739","치과의원","1","0","0","320.79","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"4","의원","01_01_02_P","3220000","PHMA120253220033041100244","2016-12-20","","01","영업/정상","13","영업중","","","","","02-543-3050","","","서울특별시 강남구 논현동 199 센트럴스퀘어강남 2층","서울특별시 강남구 강남대로 488, 센트럴스퀘어강남 2층 (논현동)","06120","프라움비뇨의학과의원","2025-12-30 18:44:08","I","2026-01-03 00:20:02","의원","202077.94256829","444851.373830073","의원","2","0","0","274.97","115","비뇨의학과","","","","0","0","","","0","",
"5","의원","01_01_02_P","3220000","PHMA120253220033041100250","2025-12-29","","01","영업/정상","13","영업중","","","","","02-2088-4260","","","서울특별시 강남구 청담동 78-9","서울특별시 강남구 압구정로60길 8, 2층 일부호 (청담동)","06014","뉴영의원","2025-12-30 13:53:59","I","2026-01-03 00:20:02","의원","203628.066203081","447189.565193732","의원","1","0","0","146.72","114 108 101","내과, 성형외과, 피부과","","","","0","0","","","0","",
"6","의원","01_01_02_P","3940000","PHMA120253940139041100011","2025-12-30","","01","영업/정상","13","영업중","","","","","031-994-4225","","","경기도 고양시 일산동구 장항동 846 센트럴프라자","경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 308, 309호 (장항동)","10402","정발산연세마디마취통증의학과의원","2025-12-31 10:08:47","I","2026-01-03 00:20:02","의원","179935.267998763","461800.124782342","의원","1","0","0","272.16","120 109 106 105","정형외과, 신경외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"7","의원","01_01_02_P","3000000","PHMA120253000034041100010","2011-07-04","","01","영업/정상","13","영업중","","","","","02-396-9988","","","서울특별시 종로구 종로4가 8","서울특별시 종로구 종로 195, 4층 (종로4가)","03130","서울에이스치과의원","2025-12-31 15:54:40","I","2026-01-03 00:20:02","치과의원","199870.080275739","452092.183279631","치과의원","1","0","0","82.38","411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과","","","","0","0","","","0","",
"8","의원","01_01_02_P","5380000","PHMA120045380021041100005","2004-06-24","","01","영업/정상","13","영업중","","","","","055-387-9119","","626-842","경상남도 양산시 덕계동 732번지","경상남도 양산시 번영로 13 (덕계동)","50554","새로운정형외과의원","2026-01-01 20:13:20","U","2026-01-03 02:40:00","의원","395434.324833665","210384.571380568","의원","3","0","0","461.5","105 106 109 120 101 111","내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 재활의학과","","","","0","0","","","0","",
"9","의원","01_01_02_P","5340000","PHMA120175340030041100002","2017-02-06","","01","영업/정상","13","영업중","","","","","055-850-7575","","","경상남도 사천시 사천읍 수석리 258-4 우리메디컬빌딩","경상남도 사천시 사천읍 진삼로 1481, 우리메디컬빌딩","52519","우리메디컬의원","2026-01-01 20:43:30","U","2026-01-03 02:40:00","의원","298932.632856202","176578.915139836","의원","15","13","29","1899.07","126 125 123 122 121 120 119 118 117 116 115 114 113 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 핵의학과, 응급의학과, 예방의학과","","","","0","0","","","0","",
"10","의원","01_01_02_P","4470000","PHMA119934470017041100001","1993-04-23","","01","영업/정상","13","영업중","","","","","043-882-4555","","369-851","충청북도 음성군 감곡면 왕장리 436번지 8호","충청북도 음성군 감곡면 장감로125번길 6","27603","새한정형외과의원","2026-01-01 20:21:49","U","2026-01-03 02:40:00","의원","256478.325191644","402117.991468425","의원","2","6","26","818.56","105 101 111 116","내과, 정형외과, 소아청소년과, 영상의학과","","","","0","0","","","0","",
