"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"1","안경업","01_02_01_P","3210000","PHMB220253210034082200012","2018-05-30","","01","영업/정상","13","영업중","","","","","543-8882","","","서울특별시 서초구 방배동 3005 인산타워","서울특별시 서초구 동작대로 90, 인산타워 지하1층 (방배동)","06675","LUBET EYEWEAR","2025-12-30 15:41:28","I","2026-01-03 00:20:02","","198380.114292953","442484.119734686","1","1","1","1","2","1","1","1","1","53.77",
"2","안경업","01_02_01_P","3830000","PHMB220253830263082200004","2025-12-31","","01","영업/정상","13","영업중","","","","","031-360-0050","","","경기도 안양시 동안구 호계동 904","경기도 안양시 동안구 시민대로 138, 뜨레모아타워 1층 105호 (호계동)","14077","라운즈안경 안양범계점","2025-12-31 17:56:26","I","2026-01-03 00:20:02","","195309.771741621","431819.106824718","1","0","0","1","1","0","0","0","0","36.97",
"3","안경업","01_02_01_P","3510500","PHMB220253510513082200004","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","인천광역시 미추홀구 주안동 0 포레나 미추홀 2층 2035호","인천광역시 미추홀구 경인로 372, 2층 2035호 (주안동, 포레나 미추홀)","22148","조은아인안경원","2025-12-31 17:51:01","I","2026-01-03 00:20:02","","","","1","0","0","1","1","0","0","0","0","38.35",
"4","안경업","01_02_01_P","3210000","PHMB220173210034082200007","2017-03-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 반포동 19번지 11호 강남고속터미널역","서울특별시 서초구 신반포로 지하 188, 강남고속터미널역 026호 (반포동)","06545","오렌즈엔터식스강남점","2025-12-31 14:21:29","U","2026-01-03 02:40:00","","200361.368180707","444737.116217031","1","0","1","0","1","0","0","0","0","41",
"5","안경업","01_02_01_P","3430000","PHMB220083430019082200004","2008-06-19","","01","영업/정상","13","영업중","","","","","053)553-5550","","","대구광역시 서구 내당동 890-5","대구광역시 서구 달구벌대로375길 1-1, 1층 (내당동)","41871","런던아이 안경.콘택트","2025-12-31 09:03:43","U","2026-01-03 02:40:00","","341865.828844857","263708.435762337","1","1","1","1","2","1","1","1","1","96",
"6","안경업","01_02_01_P","4191000","PHMB220184190023082200006","2018-12-17","","01","영업/정상","13","영업중","","","","","033-748-3390","","","강원특별자치도 원주시 반곡동 1884-3","강원특별자치도 원주시 혁신로 39-2, 1층 105호 (반곡동)","26465","글라스바바안경원-원주혁신도시점","2025-12-31 14:03:33","U","2026-01-03 02:40:00","","286744.412549836","425122.558535185","1","1","1","1","2","1","1","2","4","153.9",
"7","안경업","01_02_01_P","4641000","PHMB220154640131082200001","2015-01-13","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 효자동2가 1244번지 3호 101호","전북특별자치도 전주시 완산구 홍산로 237, 103호 (효자동2가)","54966","다비치안경 전주신시가지도청점","2025-12-30 17:43:20","U","2026-01-03 02:40:00","","209461.518172874","257203.694147703","2","2","2","1","3","1","1","2","2","251.99",
"8","안경업","01_02_01_P","3690000","PHMB220073690018082200001","2007-07-16","","01","영업/정상","13","영업중","","","","","969-9059","","","울산광역시 중구 우정동 284-3 삼우아파트","울산광역시 중구 명륜로 40, 1층 105호 (우정동, 삼우아파트)","44534","천리안안경원","2025-12-31 14:45:32","U","2026-01-03 02:40:00","","409312.382123812","230905.000185581","1","0","0","1","2","0","0","0","0","0",
"9","안경업","01_02_01_P","3160000","PHMB220113160034082200007","2011-12-08","","03","폐업","03","폐업","2025-12-30","","","","02-2211-0677","","","서울특별시 구로구 신도림동 692번지 디큐브시티","서울특별시 구로구 경인로 662, B2층 (신도림동, 디큐브시티)","08209","아이데스크 디큐브점","2025-12-30 13:35:23","U","2026-01-03 02:40:00","","190107.045415333","445157.626366229","1","1","1","1","1","1","1","1","1","39.09",
"10","안경업","01_02_01_P","3940000","PHMB220253940140082200003","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산서구 주엽동 105 주엽역 삼부르네상스","경기도 고양시 일산서구 중앙로 1425, 주엽역 삼부르네상스 2층 215호 (주엽동)","10386","으뜸 4U 안경원","2026-01-02 10:35:53","I","2026-01-04 00:20:12","","178921.755604618","462986.547889216","1","0","0","1","1","0","0","0","0","84.77",
"11","안경업","01_02_01_P","3000000","PHMB220263000034082200001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 필운동 103-2","서울특별시 종로구 필운대로 11, 1,2,3층 (필운동)","03039","에딧(EDIT)안경원","2026-01-02 13:18:10","I","2026-01-04 00:20:12","","197209.804320433","452786.302189067","2","0","0","2","4","0","0","0","0","311.73",
"12","안경업","01_02_01_P","3470000","PHMB220263470022082200001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달서구 이곡동 1196-7","대구광역시 달서구 계대동문로 110, 1층 (이곡동)","42612","아이젠트리 안경 성서점","2026-01-02 13:45:38","I","2026-01-04 00:20:12","","335818.38717264","262683.981158618","1","0","0","1","1","0","0","0","0","73",
"13","안경업","01_02_01_P","3530000","PHMB220093530019082200010","2009-12-08","","01","영업/정상","13","영업중","","","","","473-4567","","","인천광역시 남동구 만수동 908-27","인천광역시 남동구 백범로227번길 95, 1층 일부호 (만수동)","21542","베네치아안경원","2026-01-02 17:37:13","U","2026-01-04 02:40:00","","175476.264525399","439339.539413737","2","5","5","2","5","1","1","5","5","152.92",
"14","안경업","01_02_01_P","5350000","PHMB220185350029082200005","2018-10-24","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 삼계동 1512번지 1호","경상남도 김해시 삼계중앙로 66, 1층 101호 (삼계동)","50900","글라스온안경","2026-01-02 13:28:04","U","2026-01-04 02:40:00","","370314.834233425","197297.439281807","1","1","1","1","1","1","1","1","1","0",
"15","안경업","01_02_01_P","3940000","PHMB220253940140082200004","2025-01-02","","01","영업/정상","13","영업중","","","","","031-977-0502","","","경기도 고양시 일산서구 일산동 2148 e편한세상 일산 어반스카이","경기도 고양시 일산서구 고양대로 666, C동 2층 206,207호 (일산동, e편한세상 일산 어반스카이)","10353","으뜸50안경 일산역점","2026-01-05 16:38:08","I","2026-01-07 00:20:36","","","","1","0","0","1","1","0","0","0","0","60.5",
"16","안경업","01_02_01_P","3340000","PHMB220263340025082200001","2003-02-08","","01","영업/정상","13","영업중","","","","","051-325-2080","","","부산광역시 사하구 다대동 909-2 다대포항역","부산광역시 사하구 다대로 지하548, 다대포항역 (다대동)","49524","으뜸50안경 다대포항역점","2026-01-05 10:08:35","I","2026-01-07 00:20:36","","379747.663188666","174914.414620229","1","1","1","1","2","1","1","1","1","110.79",
"17","안경업","01_02_01_P","3010000","PHMB220173010033082200004","2017-03-31","","01","영업/정상","13","영업중","","","","","02-752-1655","","","서울특별시 중구 남창동 50번지 57호 2층 11-12호","서울특별시 중구 남대문시장4길 28-12, 2층 11-12호 (남창동)","04528","수정광학안경","2026-01-05 10:25:09","U","2026-01-07 02:40:00","","197864.564761519","450776.970697936","1","1","1","1","1","1","1","1","1","12",
"18","안경업","01_02_01_P","3110000","PHMB220003110032082200003","2000-06-27","","01","영업/정상","13","영업중","","","","","02-382-4388","","122-842","서울특별시 은평구 대조동 187번지 1호","서울특별시 은평구 통일로 821, 1,2층 (대조동)","03385","다비치안경연신내점","2026-01-05 16:59:34","U","2026-01-07 02:40:00","","193125.267795154","457168.575653346","3","3","3","2","3","1","1","2","2","211.6",
"19","안경업","01_02_01_P","5130000","PHMB220055130030082200001","2005-05-10","","03","폐업","03","폐업","2026-01-02","","","","053-802-2297","","712-778","경상북도 경산시 옥곡동 동화프라임빌301동2호","경상북도 경산시 경산로 37, 301동 2호 (옥곡동, 동화프라임빌)","38692","안경명가 옥곡점","2026-01-05 16:05:52","U","2026-01-07 02:40:00","","356506.289583443","258258.571114768","1","1","1","1","1","1","1","1","1","0",
"20","안경업","01_02_01_P","3050000","PHMB220063050034082200001","2006-01-06","","03","폐업","03","폐업","2026-01-05","","","","02-965-4242","","130-817","서울특별시 동대문구 용두동 33번지 1호 홈플러스, 1층","서울특별시 동대문구 천호대로 133 (용두동, 홈플러스)","02565","아이피아동대문홈플러스점","2026-01-05 15:42:45","U","2026-01-07 02:40:00","","203356.957362754","452469.300221465","1","1","1","1","1","1","1","1","1","43.12",
"21","안경업","01_02_01_P","3930000","PHMB219943930154082200002","1994-05-09","","03","폐업","03","폐업","2026-01-02","","","","031-484-9551","","425-775","경기도 안산시 단원구 원곡동 846번지 3호 라성쇼핑 1층","경기도 안산시 단원구 화랑로 103 (원곡동)","15382","종로안경","2026-01-05 10:23:54","U","2026-01-07 02:40:00","","182294.985340242","425039.319016326","1","1","1","1","1","1","1","1","1","0",
"22","안경업","01_02_01_P","3220000","PHMB220233220033082200012","2021-06-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 개포동 189 개포자이 프레지던스","서울특별시 강남구 삼성로 14, 상가동 1층 110,111호 (개포동, 개포자이 프레지던스)","06331","마음,안경원","2026-01-05 13:58:32","U","2026-01-07 02:40:00","","206239.623997375","442598.51298973","1","0","0","1","1","0","0","0","0","110",
"23","안경업","01_02_01_P","3620000","PHMB220173620020082200004","2017-06-22","","03","폐업","03","폐업","2026-01-07","","","","","","","","광주광역시 북구 갈마로 45, 1층 (두암동)","61161","더글라스(두암점)","2026-01-07 14:30:45","U","2026-01-09 02:40:00","","194049.844402867","184766.460192847","1","1","1","1","1","1","1","1","1","307",
