"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물제작업","03_05_02_P","3660000","CDFF2241082025000006","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 둔산동 ****","대전광역시 서구 둔산로 ***, ****호 (둔산동)","35240","세니티 체크 스튜디오","2025-12-31 11:05:57","I","2026-01-03 00:20:02","","234813.042861149","316821.363503794","게임물제작업","유통관련업","0","","게임","35.68","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","게임물제작업","03_05_02_P","3940000","CDFF2241082025000011","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 정발산동 ****-*","경기도 고양시 일산동구 경의로 ***-***, *층 (정발산동)","10406","스토리게임","2025-12-31 16:43:07","I","2026-01-03 00:20:02","","181013.448156691","463094.574220299","게임물제작업","유통관련업","0","","PC게임","10","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","게임물제작업","03_05_02_P","4641000","CDFF2241082025000012","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 만성동 ****-* 전북콘텐츠기업육성센터","전북특별자치도 전주시 덕진구 만성북로 **-**, 전북콘텐츠기업육성센터 ***호 (만성동)","54858","토스트 애니메이션 스튜디오","2025-12-30 16:05:21","I","2026-01-03 00:20:02","","206941.026984157","261262.238436101","게임물제작업","유통관련업","0","","체험형 게임 제작","104.56","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","게임물제작업","03_05_02_P","3660000","CDFF2241082025000007","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 관저동 *** 원앙마을*단지","대전광역시 서구 관저북로 **, 원앙마을*단지 ***동 ***호 (관저동, 원앙마을*단지)","35358","비비기획(be-bee)","2025-12-31 17:50:09","I","2026-01-03 00:20:02","","230352.548455899","312093.725149194","게임물제작업","유통관련업","0","","게임물 기획, 복제 제작 및 수입 일체","59.47","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","게임물제작업","03_05_02_P","4050000","CDFF2241082025000045","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 구갈동 ***-* 골드프라자 ***-D*호","경기도 용인시 기흥구 구갈로**번길 *, 골드프라자 *층 ***-D*호 (구갈동)","16972","둥지","2025-12-31 16:51:41","I","2026-01-03 00:20:02","","209846.133179956","419772.046513407","게임물제작업","유통관련업","0","","모바일게임 등","3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","게임물제작업","03_05_02_P","4050000","CDFF2241082025000046","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 영덕동 *** 광교호수 아델리움 ***동 ***호","경기도 용인시 기흥구 흥덕*로***번길 **, ***동 ***호 (영덕동, 광교호수 아델리움)","16951","샌디고","2025-12-31 17:19:21","I","2026-01-03 00:20:02","","206802.764368735","419596.591319675","게임물제작업","유통관련업","0","","콘솔게임","84","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","게임물제작업","03_05_02_P","4090000","CDFF2241082019000001","2019-03-05","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 김포시 하성면 원산리 *** 나동","경기도 김포시 하성면 원통로**번길 **-**, 나동","10011","상호기획","2025-12-31 16:36:53","U","2026-01-03 02:40:00","","166504.815618578","468650.892799466","게임물제작업","유통관련업","","","온라인, 아케이드성인게임기, 뽑기게임기(크레이)","171","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","게임물제작업","03_05_02_P","4020000","CDFF2241082019000002","2019-06-10","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-29","","","","","","","경기도 군포시 당동 ***-** 우진아트리움","경기도 군포시 산본로***번길 *, 우진아트리움 ***호 (당동)","15839","모비딕2019","2025-12-30 16:40:01","U","2026-01-03 02:40:00","","195164.851897358","428187.493724013","게임물제작업","유통관련업","0","","게임제작","9.37","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","게임물제작업","03_05_02_P","5070000","CDFF2241082024000003","2024-08-09","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 동부동 ***-* 경북문화콘텐츠진흥원","경상북도 안동시 영가로 **, 경북문화콘텐츠진흥원 *층 **호 (동부동)","36705","사운드렌더","2025-12-31 13:53:59","U","2026-01-03 02:40:00","","355129.128609438","341785.593726872","게임물제작업","유통관련업","0","","게임","6.76","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","게임물제작업","03_05_02_P","4020000","CDFF2241082023000001","2023-04-11","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-29","","","","031-391-1006","","","경기도 군포시 산본동 ****-* 태경빌딩","경기도 군포시 산본로***번길 **-**, 태경빌딩 ***호 (산본동)","15865","주식회사 가이아유니버스","2025-12-30 16:40:45","U","2026-01-03 02:40:00","","193845.329586023","428566.867599072","게임물제작업","유통관련업","6","","게임물","666.6","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
