"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","체육도장업","10_41_01_P","3450000","CDFH3301022025000009","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","대구광역시 북구 칠성동2가 140-2 오페라명작","대구광역시 북구 중앙대로105길 25, 오페라명작 B동 3층 (칠성동2가)","41586","범 태권도장","2025-12-31 10:48:15","I","2026-01-03 00:20:02","태권도","343807.8969936","265609.346222831","체육도장업","사립","","0","1","730.98","0","","",
"2","체육도장업","10_41_01_P","4610000","CDFH3301022025000002","2025-12-31","","01","영업/정상","13","영업중","","","","","041-335-5988","","","충청남도 예산군 예산읍 예산리 431-4","충청남도 예산군 예산읍 예산로 188, 2층","32436","KBF 복싱클럽","2025-12-31 11:26:17","I","2026-01-03 00:20:02","권투","186152.384572879","353084.707189098","체육도장업","사립","","2","1","3215.49","0","","",
"3","체육도장업","10_41_01_P","5400000","CDFH3301022025000002","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경상남도 함안군 칠원읍 오곡리 1-1 광려천메트로자이상가2","경상남도 함안군 칠원읍 호암길 11, 광려천메트로자이상가2 201호","52028","Zest 강무태권도장","2025-12-31 09:34:52","I","2026-01-03 00:20:02","태권도","338641.594057524","198233.974684866","체육도장업","사립","","1","0","0","0","","",
"4","체육도장업","10_41_01_P","4840000","CDFH3301022025000005","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","전라남도 광양시 성황동 1874-3","전라남도 광양시 성황7길 5 (성황동)","57767","퍼스트태권도장","2025-12-31 17:04:04","I","2026-01-03 00:20:02","태권도","","","체육도장업","사립","","1","1","137.34","0","","",
"5","체육도장업","10_41_01_P","3160000","CDFH3301021994000002","1994-11-23","","03","폐업","03","폐업","2025-12-31","","","","","","152-090","서울특별시 구로구 개봉동 126-21","서울특별시 구로구 고척로30길 5 (개봉동)","08235","경희대 광진 체육관","2025-12-31 15:57:58","U","2026-01-03 02:40:00","태권도","186556.336188419","444436.376041202","체육도장업","사립","","0","0","0","0","","",
"6","체육도장업","10_41_01_P","4900000","CDFH3301022007000001","2007-11-01","","03","폐업","03","폐업","2025-12-31","","","","061-371-3993","","519-806","전라남도 화순군 화순읍 만연리 229","전라남도 화순군 화순읍 광덕로 169-4, 2층","58125","드림태권도장","2025-12-31 17:02:24","U","2026-01-03 02:40:00","","199145.269387537","173456.032556311","체육도장업","사립","","0","0","763.33","0","","",
"7","체육도장업","10_41_01_P","4810000","CDFH3301022009000002","2009-02-24","","01","영업/정상","13","영업중","","","","","061-691-8879","","","전라남도 여수시 신기동 75-1","전라남도 여수시 새터로 66 (신기동)","59683","유성태권스쿨","2025-12-31 13:31:02","U","2026-01-03 02:40:00","태권도","261682.466302431","140576.31098337","체육도장업","사립","","1","1","687.73","","","",
"8","체육도장업","10_41_01_P","6510000","CDFH3301022018000005","2018-07-02","","03","폐업","03","폐업","2025-12-31","","","","(064)748-7494","","","제주특별자치도 제주시 연동 304-18","제주특별자치도 제주시 신대로 131, 지하 1층 (연동)","63134","일도복싱체육관 신제주관","2025-12-31 15:09:08","U","2026-01-03 02:40:00","권투","153154.607598388","-1101.0948374006","체육도장업","사립","","0","1","1082.92","0","","",
"9","체육도장업","10_41_01_P","4010000","CDFH3301022010000005","2010-08-30","","01","영업/정상","13","영업중","","","","","031-313-7575","","","경기도 시흥시 신천동 878-7","경기도 시흥시 신천로19번길 8, 2층 (신천동)","14951","한마루 라온 태권도장","2025-12-31 17:09:24","U","2026-01-03 02:40:00","태권도","181403.500639867","436793.121277625","체육도장업","사립","","1","0","0","0","","",
"10","체육도장업","10_41_01_P","4830000","CDFH3301022021000004","2021-12-29","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 196-1","전라남도 나주시 우정로 56, 토담리치타워 A동 401호 (빛가람동)","58217","보현검도관","2025-12-31 11:10:57","U","2026-01-03 02:40:00","검도","180394.775027509","169433.317182781","체육도장업","사립","","1","0","0","0","","",
