"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","제재업","09_27_03_P","4880000","488000090202500002","2025-12-31","","01","영업/정상","1","정상","","","","","070-0514-0338","","","전라남도 고흥군 풍양면 상림리 ***-* 공장","전라남도 고흥군 풍양면 풍남로 **-**, 공장","59549","주식회사 토모우드(3종)","2026-01-02 13:59:59","I","2026-01-04 00:20:12","","223608.275113513","119874.780112301","제재업","3종","데크재","","0","0","영업",
"2","제재업","09_27_03_P","4880000","488000090202500001","2025-12-31","","01","영업/정상","1","정상","","","","","070-0514-0338","","","전라남도 고흥군 풍양면 상림리 ***-* 공장","전라남도 고흥군 풍양면 풍남로 **-**, 공장","59549","주식회사 토모우드(1종)","2026-01-02 13:58:25","I","2026-01-04 00:20:12","","223608.275113513","119874.780112301","제재업","1종","데크재","","0","0","영업",
"3","제재업","09_27_03_P","4201000","420100090202600001","2026-01-07","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 강릉시 운정길**번길 ** (운정동)","25464","***(4종)","2026-01-07 14:45:27","I","2026-01-09 00:20:01","","365629.02940078","477661.47583012","제재업","4종","목재펠릿, 목재칩","","60000","31","영업",
"4","제재업","09_27_03_P","3500000","350000090202600001","2026-01-06","","01","영업/정상","1","정상","","","","","032-719-7180","","","인천광역시 동구 만석동 *-** A동 ***호","인천광역시 동구 보세로**번길 **-**, A동 *층 ***호 (만석동)","22501","글로벌우드(1종)","2026-01-06 16:23:49","I","2026-01-09 00:20:01","","166348.747686906","443133.101272599","제재업","1종","제재목","1명","1000","200","영업",
"5","제재업","09_27_03_P","4960000","496000090201500001","2015-08-10","","01","영업/정상","1","정상","","","","","061-323-2222","","","","전라남도 함평군 해보면 해보농공길 **, 주식회사울림","57118","(주)울림(1종)","2026-01-06 11:13:53","U","2026-01-09 02:40:00","","163988.528","185461.029","제재업","1종","제재목 등","1","0","310","영업",
"6","제재업","09_27_03_P","4351000","435100090201600002","2016-06-02","","01","영업/정상","1","정상","","","","","0336725501","","","강원특별자치도 양양군 양양읍 포월리 ***","강원특별자치도 양양군 양양읍 포월새말길 **-**","25013","주식회사 시원건설(1종)","2026-01-08 13:54:54","U","2026-01-10 02:40:00","","342274.093470548","512442.370756032","제재업","1종","목재판재, 목재데크재, 각재","임산가공기능사","4500","30","영업",
"7","제재업","09_27_03_P","4450000","445000090202600001","2026-01-12","","01","영업/정상","1","정상","","","","","5327400","","","","충청북도 진천군 문백면 계산*길 ***-** ((주)코시플러스)","27870","(주)코시플러스(4종)","2026-01-12 14:49:53","I","2026-01-14 00:20:02","","238158.127517925","363613.184865087","제재업","4종","우드칩","이미영","0","900","영업",
"8","제재업","09_27_03_P","4191000","419100090202000005","2020-11-26","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 태장공단길 **-**, 파란나라주식회사 (태장동)","26311","***(1종)","2026-01-14 18:05:30","U","2026-01-16 02:40:00","","283803.674756549","434235.1648237","제재업","1종","목재덱","","0","300","영업",
"9","제재업","09_27_03_P","5050000","505000090202600001","2026-01-15","","01","영업/정상","1","정상","","","","","","","","경상북도 경주시 용강동 ****-* 지오헤어클럽","경상북도 경주시 양정로 ***, 지오헤어클럽 *층 (용강동)","38096","에스엘(4종)","2026-01-15 16:11:27","I","2026-01-17 00:20:02","","400796.847979198","264611.980476333","제재업","4종","","","0","0","영업",
"10","제재업","09_27_03_P","4671000","467100090202600002","2026-01-15","","01","영업/정상","1","정상","","","","","","","","전북특별자치도 군산시 오식도동 ***-* 한국산업단지공단 전북지역본부 ***-*호","전북특별자치도 군산시 산단남북로 ***, 한국산업단지공단 전북지역본부 ***-*호 (오식도동)","54001","주식회사 청연에너지(4종)","2026-01-15 13:08:39","I","2026-01-17 00:20:02","","160294.467546814","273495.828659442","제재업","4종","우드칩, 우드펠릿 등","1명","100000","30","영업",
"11","제재업","09_27_03_P","5360000","536000090202500006","2025-05-07","","01","영업/정상","1","정상","","","","","","","","경상남도 밀양시 내이동 ****-*","경상남도 밀양시 내이*길 **-*, *층 (내이동)","50423","(주)이젤에코(4종)","2026-01-15 11:28:07","U","2026-01-17 02:40:00","","358247.094922411","223249.190263165","제재업","4종","목재칩, 목재팰릿, 미이용 산림바이오매스 등","허수임","0","100","영업",
