"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","수질오염원설치시설(기타)","09_30_12_P","4201000","420100025202500002","2025-12-31","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 강릉시 옥계면 남양리 산 287","강원특별자치도 강릉시 옥계면 산계길 559-1136","25646","한라시멘트(주)석회석 광업소","2025-12-31 13:10:20","I","2026-01-03 00:20:02","","374823.666298077","451229.772679481","기타수질오염원관리","","","","","0","","0","",
"2","수질오염원설치시설(기타)","09_30_12_P","4201000","420100025199500001","1995-03-08","","01","영업/정상","11","영업","","","","","033-530-1464","","","강원특별자치도 강릉시 옥계면 산계리 280-1","강원특별자치도 강릉시 옥계면 산계길 225","25645","한라시멘트(주)","2025-12-31 11:15:53","U","2026-01-03 02:40:00","","377317.711567857","456045.680054891","기타수질오염원관리","","","","","0","","0","2268122191",
"3","수질오염원설치시설(기타)","09_30_12_P","4830000","483000025200600004","2006-05-26","","01","영업/정상","11","영업","","","","","","","","전라남도 나주시 봉황면 용전리 270-1 외 1필지(270-24)","전라남도 나주시 봉황면 용두길 186","58238","삼현수산","2025-12-31 11:23:05","U","2026-01-03 02:40:00","","180054.840286705","164149.209829395","기타수질오염원관리","","","","","0","","0","4129700746",
"4","수질오염원설치시설(기타)","09_30_12_P","3410000","341000025200600012","2006-08-18","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","053-252-7200","","","대구광역시 중구 대신동 259-5 계성빌딩","대구광역시 중구 달성로 37, 계성빌딩 2층 (대신동)","41927","큰나래연합외과","2025-12-31 10:40:14","U","2026-01-03 02:40:00","","342795.702037009","264290.45146831","기타수질오염원관리","","","","","0","","0","5049084861",
"5","수질오염원설치시설(기타)","09_30_12_P","3430000","343000025200600002","1998-09-22","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","0537121312","","","대구광역시 서구 평리동 1368-1","대구광역시 서구 국채보상로46길 16 (평리동)","703-848","인구보건복지협회대구경북지회","2025-12-31 09:24:40","U","2026-01-03 02:40:00","","340441.100966021","264324.764809609","기타수질오염원관리","","","","","0","","0","5038204006",
"6","수질오염원설치시설(기타)","09_30_12_P","3000000","300000025202000016","2020-06-19","","03","폐업","2","폐업","2025-12-31","","","","","","","서울특별시 종로구 권농동 184-1 성우빌딩","서울특별시 종로구 율곡로10길 63, 성우빌딩 3층 (권농동)","","라라쥬얼리","2025-12-31 15:04:03","U","2026-01-03 02:40:00","","199190.271703465","452491.784661974","기타수질오염원관리","","","","","0","","0","4412601078",
"7","수질오염원설치시설(기타)","09_30_12_P","5680000","568000025201200010","2012-07-20","","04","취소/말소/만료/정지/중지","4","폐쇄","2024-09-26","","","","","","","충청남도 당진시 신평면 상오리 998","충청남도 당진시 신평면 덕평로 1326","","농업회사법인 진생바이오텍(주)","2025-12-31 17:15:33","U","2026-01-03 02:40:00","","177904.693336857","374681.520788584","기타수질오염원관리","","","","","0","","0","3118142710",
"8","수질오염원설치시설(기타)","09_30_12_P","3970000","397000025202100008","2021-06-14","","03","폐업","2","폐업","2025-12-30","","","","02-3418-2525","","","경기도 과천시 별양동 1-19 이마트 과천점","경기도 과천시 별양상가3로 11, 이마트 과천점 1층 (별양동)","13837","모노클 과천점","2025-12-31 11:04:01","U","2026-01-03 02:40:00","","199209.021144538","436019.965418918","기타수질오염원관리","","","","","0","","0","3367200134",
"9","수질오염원설치시설(기타)","09_30_12_P","5380000","538000025201800004","2018-06-12","","01","영업/정상","11","영업","","","","","0557811001","","","경상남도 양산시 북정동 236-11","경상남도 양산시 북정공단1길 63, 미성강업 (북정동)","50571","(주)르노코리아 지정정비센터 양산스마트","2026-01-01 17:12:48","U","2026-01-03 02:40:00","자동차 종합 수리업","385722.706986896","209357.866065645","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","5168803397",
"10","수질오염원설치시설(기타)","09_30_12_P","3390000","339000025201800007","2018-07-06","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","051 317-1001","","","부산광역시 사상구 주례동 691-17","부산광역시 사상구 가야대로195번길 12-14 (주례동)","617-839","주례자동차정비(주)","2025-12-31 13:37:17","U","2026-01-03 02:40:00","","381692.531819264","185298.416247391","기타수질오염원관리","","","","","0","","0","6068185505",
"11","수질오염원설치시설(기타)","09_30_12_P","3720000","372000025201900001","2019-12-28","","01","영업/정상","11","영업","","","","","052-702-8361","","","울산광역시 북구 진장동 283-1 롯데마트 진장점","울산광역시 북구 진장유통로 64, 롯데마트 진장점 3층 (진장동)","44248","(주)동성모터스 울산 롯데 패스트레인","2025-12-31 10:03:06","U","2026-01-03 02:40:00","","413714.69829242","233252.48521044","기타수질오염원관리","","","","","0","","0","7418501029",
"12","수질오염원설치시설(기타)","09_30_12_P","3740000","375000025200300112","2003-12-17","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","0312527510","","","경기도 수원시 장안구 조원동 743-5","경기도 수원시 장안구 조원로 91 (조원동)","","우리내과소아과의원","2025-12-31 11:06:02","U","2026-01-03 02:40:00","","201309.531535412","422109.995503714","기타수질오염원관리","","","","","0","","0","1359060737",
"13","수질오염원설치시설(기타)","09_30_12_P","3370000","337000025202100026","2021-06-23","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","","","","부산광역시 연제구 연산동 1972-5","부산광역시 연제구 연수로 121 (연산동)","47604","눈사랑안경","2025-12-31 17:13:43","U","2026-01-03 02:40:00","","389787.668823898","188213.318773904","기타수질오염원관리","","","","","0","","0","1952200329",
"14","수질오염원설치시설(기타)","09_30_12_P","3370000","337000025202100027","2021-06-24","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","","","","부산광역시 연제구 연산동 825-9","부산광역시 연제구 연수로 106 (연산동)","47608","으뜸아이안경연제","2025-12-31 17:16:07","U","2026-01-03 02:40:00","","389621.700309052","188185.025897407","기타수질오염원관리","","","","","0","","0","4271400347",
"15","수질오염원설치시설(기타)","09_30_12_P","3370000","337000025202100024","2021-06-21","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","","","","부산광역시 연제구 연산동 1949-12","부산광역시 연제구 연수로 148 (연산동)","47610","보이다안경원","2025-12-31 17:12:57","U","2026-01-03 02:40:00","","390039.638977551","188127.275567908","기타수질오염원관리","","","","","0","","0","",
"16","수질오염원설치시설(기타)","09_30_12_P","3370000","337000025202100030","2021-06-25","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","","","","부산광역시 연제구 연산동 726-7","부산광역시 연제구 반송로 9 (연산동)","47520","유니안경원","2025-12-31 17:16:57","U","2026-01-03 02:40:00","","389589.959698912","189488.83234429","기타수질오염원관리","","","","","0","","0","5663000318",
"17","수질오염원설치시설(기타)","09_30_12_P","4420000","442000025202100005","2021-06-07","","01","영업/정상","11","영업","","","","","0435442894","","","충청북도 보은군 보은읍 삼산리 93-10","충청북도 보은군 보은읍 보은로 93","28951","서독안경원","2025-12-31 14:15:30","U","2026-01-03 02:40:00","","264347.609000431","331653.018288166","기타수질오염원관리","","","","","0","","0","3020181153",
"18","수질오염원설치시설(기타)","09_30_12_P","3040000","304000025200500022","2005-10-19","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-30","","","","02 4637075","","","서울특별시 광진구 자양동 553-280 (1층)","","","이다종합동물병원","2025-12-31 10:41:19","U","2026-01-03 02:40:00","","","","기타수질오염원관리","","","","","0","","0","2061947041",
"19","수질오염원설치시설(기타)","09_30_12_P","3370000","337000025202100040","2021-07-01","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","710-9016","","","부산광역시 연제구 거제동 1177-42 메디컬센터 법원점","부산광역시 연제구 월드컵대로 221-4, 메디컬센터 법원점 1층 (거제동)","47525","아이템 안경콘택트","2025-12-31 17:17:24","U","2026-01-03 02:40:00","","388686.159873386","189707.220657804","기타수질오염원관리","","","","","0","","0","2371701308",
"20","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025202300005","2023-09-11","","01","영업/정상","11","영업","","","","","","","","경기도 용인시 처인구 양지읍 양지리 547","경기도 용인시 처인구 양지읍 양지로 67","17158","(주)용인양지전국모터스","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","224437.60093487","414595.894331924","기타수질오염원관리","","","","","0","","0","1420971059",
"21","수질오염원설치시설(기타)","09_30_12_P","3620000","362000025201400006","2014-06-12","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-01-02","","","","268-9955","","","광주광역시 북구 두암동 881-12","광주광역시 북구 서방로107번길 39 (두암동)","","제일튼튼의원","2026-01-02 11:05:08","U","2026-01-04 02:40:00","","193099.889116307","185900.477149969","기타수질오염원관리","","","","","0","","0","4109203252",
"22","수질오염원설치시설(기타)","09_30_12_P","3980000","398000025202100027","2021-07-01","","03","폐업","2","폐업","2025-12-05","","","","0315643241","","","경기도 구리시 수택동 383 동진빌딩","경기도 구리시 경춘로 208, 동진빌딩 1층 (수택동)","11927","아이데코 안경","2026-01-02 09:44:59","U","2026-01-04 02:40:00","","212155.48","455330.145","기타수질오염원관리","","","","","0","","0","6962900777",
"23","수질오염원설치시설(기타)","09_30_12_P","3980000","398000025202100028","2021-07-01","","03","폐업","2","폐업","2025-12-11","","","","0315556543","","","경기도 구리시 수택동 515-53","경기도 구리시 검배로 37 (수택동)","11929","아이패밀리","2026-01-02 09:46:25","U","2026-01-04 02:40:00","","212620.537276746","455100.723388908","기타수질오염원관리","","","","","0","","0","1322794345",
"24","수질오염원설치시설(기타)","09_30_12_P","3980000","398000025202100021","2021-06-28","","01","영업/정상","11","영업","","","","","031-568-7778","","","경기도 구리시 인창동 676-6 동원플에이스테이션","경기도 구리시 경춘로 249, 동원플에이스테이션 (인창동)","11922","아이마트안경","2026-01-02 09:58:36","U","2026-01-04 02:40:00","","212530.771272955","455539.108427022","기타수질오염원관리","","","","","0","","0","8757600020",
"25","수질오염원설치시설(기타)","09_30_12_P","3390000","339000025199500018","1995-01-10","","01","영업/정상","11","영업","","","","","0513141201","","","부산광역시 사상구 감전동 160-9","부산광역시 사상구 가야대로133번길 15 (감전동)","617-801","DS Motors","2026-01-02 15:27:11","U","2026-01-04 02:40:00","","381017.105553097","185323.872055176","기타수질오염원관리","","","","","0","","0","3613001823",
"26","수질오염원설치시설(기타)","09_30_12_P","3740000","377000025201700001","2017-10-30","","01","영업/정상","11","영업","","","","","296-9944","","","","경기도 수원시 팔달구 수성로 92, 1층 (화서동, 농민회관)","16432","(주) 청도 수원공장","2026-01-02 15:50:31","U","2026-01-04 02:40:00","","198939.951346024","420004.023620364","기타수질오염원관리","","","","","0","","0","1258531852",
"27","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025200700005","2007-03-13","","01","영업/정상","11","영업","","","","","","","449-821","경기도 용인시 처인구 양지읍 남곡리 645-2","경기도 용인시 처인구 양지읍 은이로 164","","양지식품","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","224662.102819157","412818.688194853","기타수질오염원관리","","","","","0","","0","",
"28","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025201400006","2014-07-10","","01","영업/정상","11","영업","","","","","","","","경기도 용인시 처인구 양지읍 남곡리 251 ,819-59","경기도 용인시 처인구 양지읍 중부대로 2038-8","449-821","용인현대자동차공업(주)","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","223925.62908515","413818.698455799","기타수질오염원관리","","","","","0","","0","1358128278",
"29","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025202100034","2021-06-30","","01","영업/정상","11","영업","","","","","031-336-8383","","","경기도 용인시 처인구 양지읍 양지리 586-1","경기도 용인시 처인구 양지읍 양지로 152","17158","안경이야기","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225232.236186552","414748.182943376","기타수질오염원관리","","","","","0","","0","1420520682",
"30","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025199500155","1995-04-10","","03","폐업","2","폐업","2009-11-23","","","","0313383017","","","경기도 용인시 처인구 양지읍 양지리 593-3","경기도 용인시 처인구 양지읍 양지로143번길 3","","아름사진관","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225145.134689988","414826.850758098","기타수질오염원관리","","","","","0","","0","",
"31","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025200900009","2009-08-27","","01","영업/정상","11","영업","","","","","","","","경기도 용인시 처인구 양지읍 주북리 735-2","경기도 용인시 처인구 양지읍 주북로5번길 139","","(주)신성자동차공업사","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","221740.327345774","417295.135701154","기타수질오염원관리","","","","","0","","0","",
"32","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025201400008","2014-10-06","","01","영업/정상","11","영업","","","","","0313355253","","","경기도 용인시 처인구 양지읍 주북리 89-1 외1필지(89-10)","경기도 용인시 처인구 양지읍 주북로 281","449-822","-","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","223262.17513402","416193.614980612","기타수질오염원관리","","","","","0","","0","",
"33","수질오염원설치시설(기타)","09_30_12_P","4050000","562000025202000009","2020-11-05","","01","영업/정상","11","영업","","","","","0313322201","","","경기도 용인시 처인구 양지읍 양지리 106-8","경기도 용인시 처인구 양지읍 중부대로 2318","17158","양지대형서비스기아오토큐주식회사","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","226495.126922705","414742.710532253","기타수질오염원관리","","","","","0","","0","2618600929",
