"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"1","체력단련장업","10_42_01_P","3560000","CDFH3301062025000023","2025-12-31","","01","영업/정상","13","영업중","","","","","","97.92","","인천광역시 서구 가정동 645-6 SD프라자","인천광역시 서구 봉오재3로 116, SD프라자 3층 306호 (가정동)","22883","강자존 리햅 1대1 PT샵 루원시티점","2025-12-31 13:56:55","I","2026-01-03 00:20:02","","170994.37078137","447259.376607743","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"2","체력단련장업","10_42_01_P","5680000","CDFH3301062025000004","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 당진시 송산면 유곡리 1296","충청남도 당진시 송산면 서정6길 16, 1층","31711","캡트피트니스","2025-12-31 09:54:52","I","2026-01-03 00:20:02","","172564.378329448","384295.310729792","체력단련장업","사립","","0","0","452.88","0","0","0","0","","",
"3","체력단련장업","10_42_01_P","3230000","CDFH3301062025000043","2025-12-31","","01","영업/정상","13","영업중","","","","","","209.07","","서울특별시 송파구 오금동 18-7 삼광빌딩","서울특별시 송파구 위례성대로20길 33, 지하1층 (오금동)","05657","올바른 피티 헬스장","2025-12-31 18:14:15","I","2026-01-03 00:20:02","","211170.826409202","445161.476159198","체력단련장업","사립","","1","1","1133.44","0","0","0","0","","",
"4","체력단련장업","10_42_01_P","3660000","CDFH3301062025000018","2025-12-31","","01","영업/정상","13","영업중","","","","","","172.45","","대전광역시 서구 둔산동 1088 더 팰리스","대전광역시 서구 대덕대로195번길 63, 2층 (둔산동, 더 팰리스)","35230","제로짐","2025-12-31 09:42:48","I","2026-01-03 00:20:02","","233542.545261361","316829.614558541","체력단련장업","사립","","1","0","5897.46","0","0","0","0","","",
"5","체력단련장업","10_42_01_P","3660000","CDFH3301062025000019","2025-12-31","","01","영업/정상","13","영업중","","","","","","385.83","","대전광역시 서구 둔산동 925","대전광역시 서구 둔산중로134번길 39, 5층 503호 (둔산동)","35209","피트니스 태산 헬스 PT 대전둔산점","2025-12-31 14:03:20","I","2026-01-03 00:20:02","","234851.48","317645.430000001","체력단련장업","사립","","2","0","9945.19","0","0","0","0","","",
"6","체력단련장업","10_42_01_P","5350000","CDFH3301062024000011","2024-09-20","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 장유동 825-1","경상남도 김해시 율하6로 62, 303,304호 (장유동)","51020","코이짐 율하점 헬스&PT","2025-12-31 13:14:12","U","2026-01-03 02:40:00","","366037.674107947","187435.07729327","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"7","체력단련장업","10_42_01_P","4060000","CDFH3301062024000019","2024-09-26","","01","영업/정상","13","영업중","","","","","","359.17","","경기도 파주시 동패동 1696-2 이지타운 607호","경기도 파주시 청석로 262, 이지타운 607호 (동패동)","10874","607짐","2025-12-31 13:05:47","U","2026-01-03 02:40:00","","175093.052501956","469243.521056542","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"8","체력단련장업","10_42_01_P","3110000","CDFH3301062016000001","2016-02-23","","01","영업/정상","13","영업중","","","","","02-302-5767","351.04","","서울특별시 은평구 신사동 40-1 5층","서울특별시 은평구 가좌로 321 (신사동, 백송빌딩)","03441","리마인드짐","2025-12-31 16:05:52","U","2026-01-03 02:40:00","","191923.49703773","454863.018813635","체력단련장업","사립","","0","0","1546.1","0","0","0","0","","",
"9","체력단련장업","10_42_01_P","3510500","CDFH3301062020000001","2020-01-06","","03","폐업","03","폐업","2025-12-30","","","","","396","","인천광역시 미추홀구 주안동 1298 한덕주상복합아파트","인천광역시 미추홀구 미추홀대로 510, 지2층 (주안동, 한덕주상복합아파트)","22231","KY 휘트니스","2025-12-31 11:49:17","U","2026-01-03 02:40:00","","171532.165270925","437896.859261535","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"10","체력단련장업","10_42_01_P","3560000","CDFH3301062016000003","2016-02-29","","01","영업/정상","13","영업중","","","","","","170.57","","인천광역시 서구 당하동 1092-10 제일아이조움 304호","인천광역시 서구 원당대로 676, 304호 (당하동, 제일아이조움)","22677","FLEX GYM","2025-12-31 14:58:59","U","2026-01-03 02:40:00","","171354.124665268","454600.639663751","체력단련장업","사립","","0","0","7753.33","0","0","0","0","","",
