"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기유지관리업체","11_48_01_P","5690000","2022569037333500001","2022-06-10","","01","영업/정상","01","영업중","","","","","044-866-8285","","","세종특별자치시 나성동 789 제이빌딩","세종특별자치시 나성북1로 18, 제이빌딩 510호 (나성동)","30128","케이티엘리베이터(주)","2026-01-09 21:50:41","U","2026-01-11 02:40:00","","223061.0385","332256.514","유지관리","중저속승강기","100","","810","2","7","","","","","","","","","본점","5278102517",
"2","승강기유지관리업체","11_48_01_P","6410000","405000000010","2001-04-14","","01","영업/정상","1","인허가","","","","","0317473006","","16910","경기도 용인시 기흥구 마북동 173번지","경기도 용인시 기흥구 마북로 141, JK프라자 2층 207,208호 (마북동)","16910","(주)현대개발공사","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","","","유지관리","고속승강기,중저속승강기","502","502","3300","4","20","","","","","","","","","본점","1298113498",
"3","승강기유지관리업체","11_48_01_P","6470000","647000000061","2023-07-04","","01","영업/정상","1","인허가","","","","","0544430082","","","경상북도 구미시 신평동 7-2 SM빌딩2층","경상북도 구미시 야은로 720, SM빌딩 2층 (신평동)","39236","오티스서비스엑스퍼트(유) 대구지사","2026-01-06 10:37:57","U","2026-01-09 02:40:00","","322202.936070007","292466.330287225","유지관리","중저속승강기","2650000000","","3,500","4","","","","","35","","","","","본점","3278501653",
"4","승강기유지관리업체","11_48_01_P","6300000","630000000033","1996-11-25","","01","영업/정상","1","인허가","","","","","0426321801","","34899","대전광역시 중구 유천동 187-9 벽산프라자 501-2호","대전광역시 중구 계백로 1619, 벽산프라자 501-2호 (유천동)","34899","(주)중부엘리베이터","2026-01-15 17:20:31","U","2026-01-17 02:40:00","","235829.331283","313240.04808427","유지관리","중저속승강기","300000000","","2,070","2","0","","","","23","","","","","본점","3058602208",
"5","승강기유지관리업체","11_48_01_P","6300000","630000000054","2002-10-21","","01","영업/정상","1","인허가","","","","","0425389300","","","대전광역시 유성구 구암동 236번지","대전광역시 유성구 유성대로 613-9, 2층 (구암동)","34174","(주)에이알엘리베이터","2026-01-15 14:31:18","U","2026-01-17 02:40:00","","229210.81128132","316538.319189828","유지관리","중저속승강기","310000000","","1,260","2","0","","","","14","","","","","본점","3148161924",
"6","승강기유지관리업체","11_48_01_P","6300000","630000000071","2009-01-16","","01","영업/정상","1","인허가","","","","","0425288887","","302-852","대전광역시 서구 월평동 1475번지","대전광역시 서구 월평새뜸로 6, 지하1층 (월평동)","302-852","아이원엔지니어링(주)","2026-01-13 11:04:59","U","2026-01-15 02:40:00","","231687.362951763","316835.789102003","유지관리","중저속승강기","310000000","","990","3","0","","","","11","","","","","본점","3058195944",
"7","승강기유지관리업체","11_48_01_P","6300000","630000000076","2011-06-16","","01","영업/정상","1","인허가","","","","","0428261213","","15117","경기도 시흥시 정왕동 2665-7","경기도 시흥시 엠티브이북로 313(정왕동)","15117","오티스이앤엠코리아 주식회사 대전지점","2025-12-31 16:29:00","U","2026-01-03 02:40:00","","174272.261053694","423679.267007978","유지관리","고속승강기,중저속승강기","6200000000","","2,340","2","0","","","","26","","","","","본점","3058536865",
"8","승강기유지관리업체","11_48_01_P","6300000","630000000078","2012-02-17","","01","영업/정상","1","인허가","","","","","0425287233","","306-804","대전광역시 대덕구 덕암동 48번지 17호","대전광역시 대덕구 신탄진로681번길 12, 5층 (덕암동)","306-804","우리엘리베이터(주)","2026-01-08 17:06:30","U","2026-01-10 02:40:00","","238110.723678948","326560.214952498","유지관리","중저속승강기","300000000","","720","1","","","","","8","","","","","본점","3148631371",
"9","승강기유지관리업체","11_48_01_P","6310000","631000000027","2024-09-23","","01","영업/정상","1","인허가","","","","","0522926100","","44228","울산광역시 북구 신천동 346-5 성우현대아파트상가 208호","울산광역시 북구 호계로 313, 208호 (신천동, 성우현대아파트)","44228","(주)해광엘리베이터","2026-01-06 15:28:50","U","2026-01-09 02:40:00","","412821.264135121","239344.207391768","유지관리","중저속승강기","100000000","","720","1","","","","","7","","","","","본점","7828703245",
"10","승강기유지관리업체","11_48_01_P","6300000","630000000088","2024-10-14","","01","영업/정상","1","인허가","","","","","0425341122","","","대전광역시 서구 변동 50-3","대전광역시 서구 도산로 185, 3층 (변동)","35322","(주)태산엘리베이터","2026-01-06 15:25:16","U","2026-01-09 02:40:00","","233915.701782563","313874.911710528","유지관리","중저속승강기","200000000","","720","1","","","","","8","","","","","본점","7958702918",
