"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","숙박업","03_11_03_P","4000000","4000000-214-2025-00005","2025-12-30","","01","영업/정상","01","영업","","","","","","1280.58","447-804","경기도 오산시 원동 768-11","경기도 오산시 대원로38번길 17 (원동)","18141","네잎크로바1차","2025-12-30 15:19:42","I","2026-01-03 00:20:02","숙박업(생활)","206401.134280141","404776.790956288","숙박업(생활)","9","0","1","9","0","0","41","0","","","","자가","0","0","N",
"2","숙박업","03_11_03_P","4000000","4000000-214-2025-00004","2025-12-30","","01","영업/정상","01","영업","","","","","","997.28","447-804","경기도 오산시 원동 783-26","경기도 오산시 원동로7번동길 9 (원동)","18142","웰츠타워","2025-12-30 15:20:16","I","2026-01-03 00:20:02","숙박업(생활)","206166.801478728","404633.526531912","숙박업(생활)","10","0","1","10","0","0","43","0","","","","자가","0","0","N",
"3","숙박업","03_11_03_P","3000000","3000000-214-2025-00017","2025-12-30","","01","영업/정상","01","영업","","","","","","103.54","110-122","서울특별시 종로구 종로2가 102-1","서울특별시 종로구 종로 62-1, 4층 (종로2가)","03189","스테이울림","2025-12-31 10:16:35","I","2026-01-03 00:20:02","숙박업(생활)","198549.377397696","451960.972726138","숙박업(생활)","0","0","0","0","0","0","0","2","","","","임대","0","0","N",
"4","숙박업","03_11_03_P","3000000","3000000-214-2025-00018","2025-12-30","","01","영업/정상","01","영업","","","","","","104.00","110-111","서울특별시 종로구 관철동 43-15","서울특별시 종로구 종로8길 15, 3층 (관철동)","03189","찰나호스텔","2025-12-31 10:18:58","I","2026-01-03 00:20:02","숙박업(생활)","198527.201079961","451901.155059874","숙박업(생활)","0","0","3","0","0","0","0","2","","","","임대","0","0","N",
"5","숙박업","03_11_03_P","3000000","3000000-214-2025-00016","2025-12-30","","01","영업/정상","01","영업","","","","","","261.36","110-841","서울특별시 종로구 창신동 414-5","서울특별시 종로구 종로54길 32, 3~4층 (창신동)","03120","247 HOSTEL SEOUL","2025-12-31 10:19:37","I","2026-01-03 00:20:02","숙박업(생활)","201161.5695658","452070.731182291","숙박업(생활)","0","0","3","4","0","0","0","16","","","","임대","0","0","N",
"6","숙박업","03_11_03_P","5220000","5220000-201-2015-00003","2015-09-23","","01","영업/정상","01","영업","","","","","054 972 7890","458.34","718-833","경상북도 칠곡군 석적읍 중리 115-1","경상북도 칠곡군 석적읍 북중리1길 24","39839","라온모텔","2025-12-31 10:21:49","U","2026-01-03 02:40:00","여관업","326792.962367377","287326.17349073","여관업","3","0","1","3","0","0","0","11","","","","자가","0","0","N",
"7","숙박업","03_11_03_P","5130000","5130000-201-2003-00014","2003-03-27","","01","영업/정상","01","영업","","","","","053 811 6360","815.00","712-804","경상북도 경산시 중방동 883-11","경상북도 경산시 원효로4길 3 (중방동)","38632","힐링모텔","2025-12-31 13:43:38","U","2026-01-03 02:40:00","여관업","357106.671487668","259539.819180564","여관업","4","1","1","4","0","0","7","20","","","","자가","","","N",
"8","숙박업","03_11_03_P","5080000","5080000-201-2003-00191","2003-07-30","","03","폐업","02","폐업","2025-12-31","","","","054 4653696","660.00","730-141","경상북도 구미시 오태동 608-2","경상북도 구미시 오태길 17 (오태동)","39358","힐파크모텔","2025-12-31 09:20:52","U","2026-01-03 02:40:00","여관업","321760.553524219","286803.081367082","여관업","0","0","0","0","0","0","2","16","","","","","0","0","N",
"9","숙박업","03_11_03_P","4510000","4510000-201-2007-00003","2007-11-15","","01","영업/정상","01","영업","","","","","041 935 7101","1342.83","355-940","충청남도 보령시 명천동 373-2","충청남도 보령시 한내로 78-28 (명천동)","33481","더불유(W) 부띠끄호텔","2025-12-31 10:01:32","U","2026-01-03 02:40:00","여관업","164954.941140661","315880.837598762","여관업","7","1","3","8","0","0","2","33","","","","자가","","","N",
"10","숙박업","03_11_03_P","3820000","3820000-201-2000-00015","2000-06-12","","03","폐업","02","폐업","2026-01-05","","","","","112.00","480-840","경기도 의정부시 의정부동 25-5","경기도 의정부시 태평로 114-5 (의정부동)","11693","이화여인숙","2025-12-31 14:03:32","U","2026-01-03 02:40:00","여인숙업","204504.599109559","471137.70350723","여인숙업","0","0","0","0","0","0","0","7","","","","","0","0","N",
