"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명","기타내역2",
"1","인터넷컴퓨터게임시설제공업","03_05_05_P","3940000","CDFF2241022025000047","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 마두동 753 산수빌딩","경기도 고양시 일산동구 일산로 251, 산수빌딩 지하층 B102호 (마두동)","10416","에이펙스 피씨방","2025-12-30 10:47:29","I","2026-01-03 00:20:02","","181174.98133946","461782.707180181","인터넷컴퓨터게임시설제공업","유통관련업","0","","","184.46","0","0","","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","","",
"2","인터넷컴퓨터게임시설제공업","03_05_05_P","3910000","CDFF2241022025000111","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 청북읍 옥길리 1161-5 로데오프라자","경기도 평택시 청북읍 안청로2길 33-33, 로데오프라자","17808","행복PC","2025-12-31 16:44:14","I","2026-01-03 00:20:02","","192508.357343717","390670.636996117","인터넷컴퓨터게임시설제공업","유통관련업","0","","","21.56","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"3","인터넷컴퓨터게임시설제공업","03_05_05_P","3420000","CDFF2241022025000011","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 효목동 958-31","대구광역시 동구 동북로 445, 1층 (효목동)","41167","마카오PC","2025-12-31 18:14:28","I","2026-01-03 00:20:02","","347559.908410138","266105.541026709","인터넷컴퓨터게임시설제공업","유통관련업","0","","","38.5","1","0","","0","0","0","0","","","","","","","","","","","","4","","","","","","","",
"4","인터넷컴퓨터게임시설제공업","03_05_05_P","3510500","CDFF2241022025000040","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","인천광역시 미추홀구 주안동 154-8","인천광역시 미추홀구 주안중로 29, 1층 (주안동)","22135","퍼펙트PC방","2025-12-31 10:33:17","I","2026-01-03 00:20:02","","171841.866038136","439929.530680247","인터넷컴퓨터게임시설제공업","유통관련업","0","","","40.74","0","0","","0","0","0","0","","","","","","","","","","","","7","","","","","","일반상업지역","",
"5","인터넷컴퓨터게임시설제공업","03_05_05_P","5200000","CDFF2241022025000002","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 고령군 대가야읍 쾌빈리 554-4","경상북도 고령군 대가야읍 왕릉로 90","40137","알프스PC","2025-12-31 18:28:34","I","2026-01-03 00:20:02","","314500.368439721","248260.87503591","인터넷컴퓨터게임시설제공업","유통관련업","0","","","49.5","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"6","인터넷컴퓨터게임시설제공업","03_05_05_P","3530000","CDFF2241022025000041","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 구월동 1355","인천광역시 남동구 인주대로522번길 49-22, 1층 101호 (구월동)","21566","통큰PC","2025-12-31 17:45:55","I","2026-01-03 00:20:02","","172999.999428398","438610.562987375","인터넷컴퓨터게임시설제공업","유통관련업","0","","","66","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","",
"7","인터넷컴퓨터게임시설제공업","03_05_05_P","3700000","CDFF2241022025000059","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","울산광역시 남구 신정동 1132-12","울산광역시 남구 월평로 18, 2층 (신정동)","44672","월평PC","2025-12-31 13:07:19","I","2026-01-03 00:20:02","","409216.634891022","229227.293458633","인터넷컴퓨터게임시설제공업","유통관련업","0","","","108.33","0","0","","0","0","0","0","","","","","","","","","","","","10","","","","","","","성인PC방",
"8","인터넷컴퓨터게임시설제공업","03_05_05_P","3700000","CDFF2241022025000060","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","울산광역시 남구 신정동 1334-24","울산광역시 남구 봉월로 123, 1층 (신정동)","44625","두바이PC","2025-12-31 13:08:01","I","2026-01-03 00:20:02","","409083.03981842","229532.868282223","인터넷컴퓨터게임시설제공업","유통관련업","0","","","117.52","0","0","","0","0","0","0","","","","","","","","","","","","10","","","","","","","성인PC방",
"9","인터넷컴퓨터게임시설제공업","03_05_05_P","5670000","CDFF2241022025000020","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 오동동 318-1","경상남도 창원시 마산합포구 해안대로 376, 1층 105호 (오동동)","51713","파도PC","2025-12-31 09:15:23","I","2026-01-03 00:20:02","","343881.748727313","190516.769976753","인터넷컴퓨터게임시설제공업","유통관련업","0","","","33.52","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","",
"10","인터넷컴퓨터게임시설제공업","03_05_05_P","5710000","CDFF2241022025000081","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 청원구 우암동 350-8","충청북도 청주시 청원구 직지대로 854, 1층 (우암동)","28539","노다지PC","2025-12-30 16:35:17","I","2026-01-03 00:20:02","","243328.483891872","349898.6302747","인터넷컴퓨터게임시설제공업","유통관련업","0","","","69.8","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","",
"11","인터넷컴퓨터게임시설제공업","03_05_05_P","3740000","CDFF2241022025000068","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 팔달구 장안동 99-8","경기도 수원시 팔달구 화서문로45번길 17, 3층 (장안동)","16250","보드게임카페 홈즈앤루팡 수원행궁점","2025-12-31 17:55:29","I","2026-01-03 00:20:02","","201038.232263321","420461.664933738","인터넷컴퓨터게임시설제공업","유통관련업","0","","게임용 기기(닌텐도) 9EA","173.83","0","0","","0","0","0","0","","","","","","","","","","","","9","","전체이용가","","","","","",
"12","인터넷컴퓨터게임시설제공업","03_05_05_P","4050000","CDFF2241022025000048","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 남사읍 완장리 2-3 1층","경기도 용인시 처인구 남사읍 처인성로 1073, 1층","17115","쏠PC","2025-12-31 11:29:25","I","2026-01-03 00:20:02","","215738.555264335","408811.067780605","인터넷컴퓨터게임시설제공업","유통관련업","0","","","43.65","0","0","","0","0","0","0","","","","","","","","","","","","5","","","","","","","",
"13","인터넷컴퓨터게임시설제공업","03_05_05_P","3780000","CDFF2241022025000021","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 수진동 14","경기도 성남시 수정구 수정남로 71, 1층 (수진동)","13327","미라클PC","2025-12-31 16:50:42","I","2026-01-03 00:20:02","","211928.082624684","437694.213485695","인터넷컴퓨터게임시설제공업","유통관련업","0","","","39.97","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","성인PC방",
"14","인터넷컴퓨터게임시설제공업","03_05_05_P","4060000","CDFF2241022025000029","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 아동동 328-26","경기도 파주시 금정18길 33 (아동동)","10929","엔돌핀PC","2025-12-30 16:08:02","I","2026-01-03 00:20:02","","180155.6326247","473248.783710561","인터넷컴퓨터게임시설제공업","유통관련업","0","","","54.83","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","","",
"15","인터넷컴퓨터게임시설제공업","03_05_05_P","5020000","CDFF2241022025000027","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 죽도동 86-25","경상북도 포항시 북구 칠성천길 30, 1층 (죽도동)","37744","푸들PC","2025-12-31 08:52:11","I","2026-01-03 00:20:02","","412633.89091206","283822.159487369","인터넷컴퓨터게임시설제공업","유통관련업","0","","","53.37","0","0","","0","0","0","0","","","","","","","","","","","","6","","청소년이용불가","","","","","",
"16","인터넷컴퓨터게임시설제공업","03_05_05_P","5590000","CDFF2241022025000018","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 덕계동 670-5 몽펠리에 111호","경기도 양주시 평화로1429번길 36 (덕계동, 몽펠리에)","11443","따봉PC","2025-12-30 14:25:38","I","2026-01-03 00:20:02","","203845.369415338","479688.374316461","인터넷컴퓨터게임시설제공업","유통관련업","0","","","47.24","1","0","","0","0","0","0","","","","","","","","","","","","5","","","","","","","",
