"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자치단체코드","업체유형명","자본금","지정정비업종명","면허일자","면허유효기간시작일자","면허유효기간종료일자","자격면허발급기관",
"1","국제물류주선업","11_45_01_P","6290000","6290000-63-44","2019-05-21","","01","영업/정상","0010","운행","","","","","","","62334","광주광역시 광산구 산정동 939번지 태양아파트 2동 203호","광주광역시 광산구 산정공원로71번길 27, 2동 2층 203호 (산정동, 태양아파트)","62334","(유)남양물류","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","182163.108854132","186041.352525956","6290000","국제물류주선업","300000000","","","","","",
"2","국제물류주선업","11_45_01_P","6290000","6290000-63-5","2006-01-18","","01","영업/정상","0010","운행","","","","","","","62355","광주광역시 광산구 우산동 1585-2","광주광역시 광산구 사암로216번길 10-11(우산동)","62355","(유)동국상운","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","182574.242416471","184844.962799279","6290000","국제물류주선업","500000000","","","","","",
"3","국제물류주선업","11_45_01_P","6290000","6290000-63-10","2013-05-29","","01","영업/정상","0010","운행","","","","","0629565973","","","","광주광역시 서구 월드컵4강로116번길 2 (화정동)","","(유)고고","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","","","6290000","국제물류주선업","300000000","","","","","",
"4","국제물류주선업","11_45_01_P","6290000","6290000-63-21","2015-01-06","","01","영업/정상","0010","운행","","","","","0623517441","","","","광주광역시 서구 월드컵4강로28번길 50-14, 상가동 2층 201호 (화정동)","","주식회사 운창로지텍","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","189143.790416688","182305.127742942","6290000","국제물류주선업","300000000","","","","","",
"5","국제물류주선업","11_45_01_P","6290000","6290000-63-22","2015-04-07","","01","영업/정상","0010","운행","","","","","","0","","광주광역시 광산구 오선동 254번지 4호 2층","광주광역시 광산구 손재로 415, 2층 (오선동)","","(유)지엘로지스","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","181240.998874436","189299.962224445","6290000","국제물류주선업","300000000","","","","","",
"6","국제물류주선업","11_45_01_P","6290000","6290000-63-57","2022-07-28","","01","영업/정상","0010","운행","","","","","023613369","","62377","광주광역시 광산구 소촌동 16-5","광주광역시 광산구 사암로69번길 10, 3층(소촌동)","62377","태화국제물류(주)","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","182297.49132937","183505.433135555","6290000","국제물류주선업","300000000","","","","","",
"7","국제물류주선업","11_45_01_P","6290000","6290000-63-45","2019-09-10","","01","영업/정상","0010","운행","","","","","","","62334","광주광역시 광산구 산정동 916번지","광주광역시 광산구 용아로 356, 성진주유소 1층 (산정동)","62334","유한회사 수연물류","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","182114.731704517","186204.261301518","6290000","국제물류주선업","300000000","","","","","",
"8","국제물류주선업","11_45_01_P","6530000","6530000-63-13","2022-07-28","","01","영업/정상","0010","운행","","","","","","","26335","강원특별자치도 원주시 우산동 390번지","강원특별자치도 원주시 우산로 177(우산동)","26335","삼양로지스틱스(주)","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","282952.964980929","431133.811000084","6530000","국제물류주선업","1841180030","","","","","",
"9","국제물류주선업","11_45_01_P","6260000","6260000-63-1425","2012-01-11","","01","영업/정상","0010","운행","","","","","","","49425","부산광역시 사하구 하단동 597-2","부산광역시 사하구 낙동남로 1372, 405호 (하단동)","49425","(주)무승해운항공","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","378775.817090149","180288.83261552","6260000","국제물류주선업","300000000","","","","","",
"10","국제물류주선업","11_45_01_P","6260000","6260000-63-104","2006-01-23","","01","영업/정상","0010","운행","","","","","0514657900","","48937","부산광역시 중구 중앙동4가 82-1","부산광역시 중구 중앙대로 130(중앙동4가)","48937","마스타해운항공(주)","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","385686.625993097","180773.326305808","6260000","국제물류주선업","300000000","","","","","",
"11","국제물류주선업","11_45_01_P","6260000","6260000-63-143","2008-01-29","","01","영업/정상","0010","운행","","","","","0514635331","","48733","부산광역시 동구 초량동 1201-1 아스티오피스텔 519,520호","부산광역시 동구 중앙대로214번길 7-8, 아스티오피스텔 519,520호(초량동)","48733","아넥스쉬핑(주)","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","386084.250830287","181613.908816635","6260000","국제물류주선업","300000000","","","","","",
"12","국제물류주선업","11_45_01_P","6260000","6260000-63-1138","2019-12-31","","01","영업/정상","0010","운행","","","","","","","48068","부산광역시 해운대구 송정동 80-4 삼양주유소","부산광역시 해운대구 해운대로 1249, 삼양주유소 3층 (송정동)","48068","피앤지네트웍스(주)","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","","","6260000","국제물류주선업","300000000","","","","","",
"13","국제물류주선업","11_45_01_P","6260000","6260000-63-621","2013-01-23","","01","영업/정상","0010","운행","","","","","0514412047","","48553","부산광역시 남구 용당동 217-30 3층","부산광역시 남구 신선로 259-15, 3층 (용당동)","48553","(주)도성물류","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","390615.510125434","181251.314149427","6260000","국제물류주선업","300000000","","","","","",
