"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","자동차야영장업","03_11_05_P","4221000","CDFI2262142023000001","2023-03-15","","02","휴업","02","휴업","","2025-11-16","2026-04-15","","033-552-6721","","","강원특별자치도 태백시 소도동 154-9 소도야영장","강원특별자치도 태백시 천제단길 181, 소도야영장 (소도동)","26043","태백산국립공원 소도야영장","2026-01-06 10:54:18","U","2026-01-09 02:40:00","","373488.178293307","403656.111399788","자동차야영장업","","","0","기타","","DB손해보험","기타","0","0","0","826","","","0","0","","0","0","","0","0","","0","","","","","","","0","20240801","20250801","","0",
"2","자동차야영장업","03_11_05_P","4231000","CDFI2262142015000001","2015-07-13","","02","휴업","02","휴업","","2025-10-13","2026-09-30","","0338010964","","","강원특별자치도 속초시 설악동 산 82 설악산야영장","강원특별자치도 속초시 청봉로 25, 설악산야영장 (설악동)","24904","설악동자동차야영장","2026-01-13 09:07:47","U","2026-01-15 02:40:00","","335256.785451066","518851.629435185","자동차야영장업","","보전녹지지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","97670","","0","","","","","","","0","","","","97670",
"3","자동차야영장업","03_11_05_P","6520000","CDFI2262142015001064","2015-06-05","","02","휴업","02","휴업","","2026-01-07","2028-01-02","","","","","제주특별자치도 서귀포시 강정동 798","제주특별자치도 서귀포시 이어도로 826-58","","돌고래하우스","2026-01-07 14:46:55","U","2026-01-09 02:40:00","","153283.950577115","-29125.6364950089","자동차야영장업","","","0","","","","","0","0","0","","","","","","","","","","","1029","","","","","","","","","0","","","","1029",
"4","자동차야영장업","03_11_05_P","5230000","CDFI2262142024000001","2024-06-27","","03","폐업","03","폐업","2026-01-06","","","","","","","경상북도 예천군 호명읍 산합리 84-3","","","패밀리파크 캠핑장","2026-01-06 15:24:34","U","2026-01-09 02:40:00","","","","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","자동차야영장업","03_11_05_P","4080000","CDFI2262142017000001","2017-05-30","","03","폐업","03","폐업","2026-01-02","","","","","","","경기도 안성시 양성면 동항리 621-4 , 동항리 621-6","경기도 안성시 양성면 도라지길 29-22","17502","집보다 캠핑장","2026-01-02 10:55:09","U","2026-01-04 02:40:00","","216218.672665265","395413.798148931","자동차야영장업","","자연녹지지역","0","","","","기타","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","자동차야영장업","03_11_05_P","4520000","CDFI2262142015000001","2015-07-02","","01","영업/정상","13","영업중","","","","","041 547 7882","","","충청남도 아산시 선장면 죽산리 202-2","충청남도 아산시 선장면 학성로 214","31544","아산글램핑캠핑장","2026-01-08 09:20:05","U","2026-01-10 02:40:00","","191498.769657706","364459.019467337","자동차야영장업","","","0","","","","","0","0","0","185","Asan Glamping Camping","Auto Camping Business","0","0","","0","0","","0","7728","","0","","","","","","","0","","","","7728",
"7","자동차야영장업","03_11_05_P","3820000","CDFI2262142016000001","2016-10-12","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 호원동 205-4 서울 YMCA 다락원 캠프장","경기도 의정부시 평화로49번길 63 (호원동, 서울YMCA다락원캠프장)","11648","서울 YMCA 다락원 캠프장","2025-12-31 10:43:53","U","2026-01-03 02:40:00","","203524.10493466","466008.531165486","자동차야영장업","","","0","","","현대해상","","0","0","0","0","","","0","0","","0","0","","0","4602","","0","","","","","","","0","","","","4602",
"8","자동차야영장업","03_11_05_P","6510000","CDFI2262142016001064","2016-06-01","","01","영업/정상","13","영업중","","","","","070-7011-7274","","","제주특별자치도 제주시 조천읍 선흘리 2861-4","제주특별자치도 제주시 조천읍 중산간동로 1194","63340","벨리타 캠핑장","2026-01-11 16:23:45","U","2026-01-13 02:40:00","","171861.134226409","1307.9710925144","자동차야영장업","","","0","","","NH농협손해보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","자동차야영장업","03_11_05_P","6510000","CDFI2262142014001110","2014-08-22","","01","영업/정상","13","영업중","","","","","064-766-8834","","","제주특별자치도 제주시 구좌읍 동복리 1651-1","제주특별자치도 제주시 구좌읍 일주동로 1622","63347","메이 더 카라반","2026-01-11 16:22:32","U","2026-01-13 02:40:00","","172617.546623796","6257.95573439287","자동차야영장업","","","0","","","DB손해보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","자동차야영장업","03_11_05_P","6510000","CDFI2262142015001027","2015-03-17","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 조천읍 신흥리 15","제주특별자치도 제주시 조천읍 조함해안로 352","","무거카라반","2026-01-13 14:15:21","U","2026-01-15 02:40:00","","167880.338286031","5878.6146700685","자동차야영장업","","","0","","","메리츠화재","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","자동차야영장업","03_11_05_P","6510000","CDFI2262142015001034","2015-03-31","","01","영업/정상","13","영업중","","","","","064-799-2600","","","제주특별자치도 제주시 애월읍 고내리 79-7","제주특별자치도 제주시 애월읍 애월해안로 400-19","","다인카라반","2026-01-11 16:23:15","U","2026-01-13 02:40:00","","139643.584890923","-2670.60700871832","자동차야영장업","","","0","","","삼성화재","","0","0","0","0","","","0","0","","0","0","","0","1523","","0","","","","","","","0","","","","1523",
"12","자동차야영장업","03_11_05_P","4351000","CDFI2262142015000001","2015-05-28","","01","영업/정상","13","영업중","","","","","033-673-1806","","215-811","강원특별자치도 양양군 서면 미천리 산 5","강원특별자치도 양양군 서면 미천골길 115","25040","국립미천골자연휴양림","2026-01-14 18:30:22","U","2026-01-16 02:40:00","","335972.207230971","492112.357144756","자동차야영장업","","관리지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","11174","","0","","","","","","","0","","","","11174",
