"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","무료직업소개소","11_50_01_P","6510000","2018651014614500002","2018-02-27","","01","영업/정상","20","영업중","","","","","0647420604","","","제주특별자치도 제주시 이도일동 1690-8 대한항공빌딩","제주특별자치도 제주시 중앙로 150, 대한항공빌딩 7층 (이도일동)","63198","사단법인 느영나영복지공동체","2026-01-12 11:20:41","U","2026-01-14 02:40:00","","155836.689023658","1062.53864432177","법인","무료",
"2","무료직업소개소","11_50_01_P","3990000","2009399020914500004","2009-04-02","","01","영업/정상","20","영업중","","","","","031 595 9886","","","경기도 남양주시 금곡동 430번지 11호","경기도 남양주시 경춘로 953, 4층 (금곡동, 금마루프라자)","12237","경기남양주지역자활센터","2026-01-05 14:07:57","U","2026-01-07 02:40:00","","218269.386458347","459055.07194202","법인","무료",
"3","무료직업소개소","11_50_01_P","3940000","2016394029714500001","2016-06-01","","01","영업/정상","20","영업중","","","","","0263296904","","","","경기도 고양시 일산동구 하늘마을로 106 (중산동)","10310","한국노인인력개발원","2026-01-09 15:54:48","U","2026-01-11 02:40:00","","180890.179333978","464233.662659044","법인","무료",
"4","무료직업소개소","11_50_01_P","4251000","2017425012114500003","2017-03-21","","01","영업/정상","20","영업중","","","","","0334330662","","","","강원특별자치도 홍천읍 희망로4길 10","25134","대한노인회홍천군지회","2026-01-06 16:10:20","U","2026-01-09 02:40:00","","278002.160919644","465947.326627699","법인","무료",
"5","무료직업소개소","11_50_01_P","3030000","2013303013514500001","2013-01-15","","01","영업/정상","20","영업중","","","","","02  424 1350","","","서울특별시 성동구 성수동2가 317번지 4호","서울특별시 성동구 연무장11길 15, 201호 (성수동2가, 청운재)","133-835","사단법인 한국취업능력개발원","2026-01-15 15:28:09","U","2026-01-17 02:40:00","","204993.190198642","449015.529617758","법인","무료",
"6","무료직업소개소","11_50_01_P","3030000","2018303013514500004","2018-03-28","","01","영업/정상","20","영업중","","","","","000232741112","","","","서울특별시 성동구 성수이로20길 10, (사)한국경비협회회관 5층층 (성수동2가)","04783","사단법인 한국경비협회","2026-01-15 15:30:03","U","2026-01-17 02:40:00","","205023.511610051","449000.007942068","법인","무료",
"7","무료직업소개소","11_50_01_P","3030000","2003303007411200001","2003-05-12","","01","영업/정상","20","영업중","","","","","0222985132","","","서울특별시 종로구 혜화동 90번지 1호","서울특별시 종로구 창경궁로 296-12 (혜화동)","","성동노인종합복지관","2026-01-15 15:27:05","U","2026-01-17 02:40:00","","200306.394323174","453747.650814956","법인","무료",
"8","무료직업소개소","11_50_01_P","3050000","2026305028714500001","2023-08-28","","01","영업/정상","20","영업중","","","","","0220667241","","","서울특별시 동대문구 용두동 104-20","서울특별시 동대문구 무학로36길 34, 4층 (용두동)","02585","국민건강보험동우회사회적협동조합","2026-01-14 16:43:10","I","2026-01-16 00:20:02","","202805.715803696","452786.165629285","법인","무료",
"9","무료직업소개소","11_50_01_P","3640000","2026364018114500001","2013-12-09","","01","영업/정상","20","영업중","","","","","042 719 8323","","","","대전광역시 유성구 가정북로 96 (장동)","305-343","대전일자리경제진흥원","2026-01-07 09:08:27","I","2026-01-09 00:20:01","","232251.394714952","321348.445710962","법인","무료",
"10","무료직업소개소","11_50_01_P","3740000","2026561001814500001","2026-01-06","","01","영업/정상","20","영업중","","","","","0312478855","","","","경기도 수원시 영통구 창룡대로 260, 광교 센트럴비즈타워 8층 801호 (이의동)","16229","(사)경기도외투기업협의회","2026-01-06 11:02:27","I","2026-01-09 00:20:01","","203248.317007337","421498.090312553","법인","무료",
"11","무료직업소개소","11_50_01_P","5710000","2026572002514500001","2026-01-15","","01","영업/정상","20","영업중","","","","","0432921912","","","","충청북도 청주시 상당구 단재로 397 (지북동)","28759","청주청남시니어클럽","2026-01-15 13:20:35","I","2026-01-17 00:20:02","","245238.601022347","343874.171030108","법인","무료",
"12","무료직업소개소","11_50_01_P","4490000","2023565003214500001","2023-04-05","","01","영업/정상","20","영업중","","","","","041 413 7051","","","","충청남도 천안시 동남구 충절로 535-13 (삼룡동)","31071","충청남도시각장애인복지관","2025-12-31 16:31:38","U","2026-01-03 02:40:00","","215925.738415301","364050.769037556","법인","무료",
