"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"1","세탁업","06_20_01_P","5530000","5530000-205-2025-00012","2025-12-31","","01","영업/정상","01","영업","","","","","","66.56","445-380","경기도 화성시 안녕동 186-9","경기도 화성시 효행로 528-20, 1층 일부호 (안녕동)","18325","주식회사 세탁포유","2025-12-31 13:37:04","I","2026-01-03 00:20:02","일반세탁업","199239.096157891","411473.615640854","일반세탁업","0","0","1","1","0","0","","","","","2","0","0","2","N",
"2","세탁업","06_20_01_P","4090000","4090000-205-2025-00008","2025-12-31","","01","영업/정상","01","영업","","","","","","333.38","415-868","경기도 김포시 통진읍 수참리 416-4","경기도 김포시 통진읍 김포대로1950번길 60, 가동","10014","주식회사 세봄","2025-12-31 09:23:50","I","2026-01-03 00:20:02","일반세탁업","167234.04911218","464278.788287262","일반세탁업","0","0","0","0","0","0","","","","임대","0","0","0","0","N",
"3","세탁업","06_20_01_P","3530000","3530000-205-2025-00006","2025-12-31","","01","영업/정상","01","영업","","","","","","24.40","405-849","인천광역시 남동구 논현동 448 논현2차푸르지오시티","인천광역시 남동구 남동서로236번길 30, 논현2차푸르지오시티 137호 (논현동)","21632","해피크리닝","2025-12-31 17:29:08","I","2026-01-03 00:20:02","일반세탁업","172937.577216559","434208.033824157","일반세탁업","0","0","1","1","0","0","","","","","1","0","0","1","N",
"4","세탁업","06_20_01_P","4520000","4520000-205-2011-00005","2011-07-25","","01","영업/정상","01","영업","","","","","041 5482244","36.72","336-020","충청남도 아산시 실옥동 156-24 중부팬더아파트상가 106호","충청남도 아산시 아산로 103-17, 106호 (실옥동,중부팬더아파트상가)","31503","일류세탁 이분점","2025-12-31 16:38:19","U","2026-01-03 02:40:00","일반세탁업","199382.08383133","365422.658113057","일반세탁업","0","0","","","","","","","","","2","","","1","N",
"5","세탁업","06_20_01_P","4241000","4241000-205-2021-00001","2021-12-01","","01","영업/정상","01","영업","","","","","","95.82","","강원특별자치도 삼척시 사직동 59-1 삼척장애인종합복지센터","강원특별자치도 삼척시 중앙로 28, 삼척장애인종합복지센터 (사직동)","25930","삼척시장애인보호작업장","2025-12-31 16:40:56","U","2026-01-03 02:40:00","일반세탁업","392608.719332317","438787.556123547","일반세탁업","2","0","1","0","0","0","","","","","3","0","0","3","N",
"6","세탁업","06_20_01_P","4231000","4231000-205-2003-00045","1998-11-05","","01","영업/정상","01","영업","","","","","033637 9772","488.80","","강원특별자치도 속초시 대포동 37","강원특별자치도 속초시 방축길 86 (대포동)","24899","백설실업","2025-12-31 10:21:28","U","2026-01-03 02:40:00","세탁업 기타","339444.653491768","520101.885992243","세탁업 기타","0","0","0","0","0","0","","","","","0","0","0","0","N",
"7","세탁업","06_20_01_P","4840000","4840000-205-2003-00028","2003-07-01","","03","폐업","02","폐업","2025-12-31","","","","061 7615134","","545-807","전라남도 광양시 광양읍 인서리 484-14","전라남도 광양시 광양읍 인서1길 18","57757","반도크리닝세탁소","2025-12-31 17:19:39","U","2026-01-03 02:40:00","일반세탁업","253363.500526371","163310.57369914","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"8","세탁업","06_20_01_P","3120000","3120000-205-2019-00003","2019-07-12","","03","폐업","02","폐업","2025-12-31","","","","02 3042145","29.44","120-130","서울특별시 서대문구 북가좌동 484 성공타워2 상가 A동 1층107호","서울특별시 서대문구 수색로6길 17-14, 성공타워2 상가A동 1층 107호 (북가좌동)","03791","성공세탁","2025-12-31 11:30:21","U","2026-01-03 02:40:00","일반세탁업","192178.634161709","452110.722725976","일반세탁업","0","0","1","1","0","0","","","","임대","1","0","0","0","N",
"9","세탁업","06_20_01_P","4060000","4060000-205-2022-00002","2022-01-14","","03","폐업","02","폐업","2025-12-31","","","","","53.00","413-100","경기도 파주시 동패동 1915 1층일부","경기도 파주시 동패로63번길 36-11, 1층일부 (동패동)","10902","명품 크린플러스","2025-12-31 09:05:23","U","2026-01-03 02:40:00","운동화전문세탁업","176810.229986368","467582.894533797","운동화전문세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"10","세탁업","06_20_01_P","4050000","5630000-205-2023-00005","2023-05-26","","01","영업/정상","01","영업","","","","","","186.66","446-599","경기도 용인시 기흥구 신갈동 423-1","경기도 용인시 기흥구 상미로50번길 8-9, 1층 (신갈동)","17094","사계절 세탁","2025-12-31 11:36:32","U","2026-01-03 02:40:00","일반세탁업","208973.267084205","419197.972937117","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
