"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","6510000","CDFI2260042025000032","2025-12-31","","01","영업/정상","13","영업중","","","","","064-747-8255","","","제주특별자치도 제주시 노형동 716","제주특별자치도 제주시 한라대학로 114, 105호 (노형동)","63092","영하TOUR","2025-12-31 11:10:41","I","2026-01-03 00:20:02","","151862.414404646","-2196.28583079105","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","404786912","","","","0","",
"2","종합여행업","03_12_03_P","5530000","CDFI2260042025000020","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 영천동 873-4","경기도 화성시 동탄대로 636-3, 1106호 (영천동)","18467","주식회사 월드투어가이드","2025-12-31 14:43:06","I","2026-01-03 00:20:02","","208773.208500488","412073.497774566","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"3","종합여행업","03_12_03_P","3940000","CDFI2260042025000052","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 향동동 467","경기도 고양시 덕양구 꽃마을로 37, 디엠씨스타비즈3st 211호 (향동동)","10545","무지개투어","2025-12-31 14:08:59","I","2026-01-03 00:20:02","","190289.435594486","455449.040073419","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"4","종합여행업","03_12_03_P","3030000","CDFI2260042025000021","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동2가 289-202","서울특별시 성동구 광나루로 240-30 (성수동2가)","04795","주식회사 아토즈소프트(ATOZSOFT Corp.)","2025-12-31 10:31:42","I","2026-01-03 00:20:02","","204881.238131849","449600.71199175","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"5","종합여행업","03_12_03_P","3000000","CDFI2260042018000008","2018-01-17","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","02-733-0550","","","서울특별시 종로구 창신동 330-1 동대문빌딩","서울특별시 종로구 종로 328, 동대문빌딩 6층 (창신동)","03121","(주)오마이티켓","2025-12-31 16:23:30","U","2026-01-03 02:40:00","","201191.947416628","452231.244364391","종합여행업","","","0","","","서울보증보험(50,000,000)","","0","0","0","0","Ohmyticket Co.,Ltd","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","45.89","","0","","","","","","","100000000","20260101","20261231","","46","",
"6","종합여행업","03_12_03_P","3130000","CDFI2260042019000028","2019-03-22","","03","폐업","03","폐업","2025-12-31","","","","02-322-0501","","","서울특별시 마포구 동교동 155-27 효성홍익인간오피스텔 2층","서울특별시 마포구 양화로 183, 효성홍익인간오피스텔 2층 (동교동)","03994","주식회사 궁금해","2025-12-31 17:41:40","U","2026-01-03 02:40:00","","193314.124814503","450682.987554634","종합여행업","","","0","","","서울보증보험","","0","0","0","0","I Wonder Inc.","General  travel business","0","0","","0","0","","0","0","","0","","","","","","","0","20190918","20200917","","0","",
"7","종합여행업","03_12_03_P","6510000","CDFI2260042018000016","2018-06-19","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 연동 276-6 대경빌딩","제주특별자치도 제주시 연동8길 30, 대경빌딩 9층 (연동)","63136","(주)프라이데이투어","2025-12-31 11:10:30","U","2026-01-03 02:40:00","","153104.319511813","-491.213133448616","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","20250619","20260618","","0","",
"8","종합여행업","03_12_03_P","6510000","CDFI2260042010001001","2004-08-30","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 노형동 244-1","제주특별자치도 제주시 1100로 3047, 2층 (노형동)","63078","(주)에이티투어","2025-12-31 11:10:18","U","2026-01-03 02:40:00","","154412.306853768","-244.995816004437","종합여행업","","","0","","","제주특별자치도 관광협회","","0","0","0","0","","","0","0","","0","0","","0","122.63","","0","","","","","","","350000000","20251111","20261111","","123","",
"9","종합여행업","03_12_03_P","3700000","CDFI2260042024000008","2024-10-10","","01","영업/정상","13","영업중","","","","","","","","울산광역시 남구 옥동 587-3","울산광역시 남구 문수로333번길 10, 2층 (옥동)","44645","(주)폴링투어","2025-12-31 10:19:35","U","2026-01-03 02:40:00","","407623.682127548","228728.823032015","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20251011","20261010","","0","",
"10","종합여행업","03_12_03_P","3120000","CDFI2260042024000018","2024-11-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 대현동 90-3 6층","서울특별시 서대문구 이화여대1안길 8-3, 6층 (대현동)","03766","(주)헤이웨이","2025-12-31 15:37:12","U","2026-01-03 02:40:00","","195030.347997395","450619.877088133","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251107","20261106","","0","",
"11","종합여행업","03_12_03_P","3600000","CDFI2260042010000007","2010-11-29","","01","영업/정상","13","영업중","","","","","062-374-1881","","502-152","광주광역시 서구 벽진동 266-1","광주광역시 서구 풍서우로 172 (벽진동)","","(유)이유여행사","2025-12-31 14:34:00","U","2026-01-03 02:40:00","","185655.691183066","181081.853853005","종합여행업","","","1","","","한국관광협회중앙회 관광공제회","","0","0","0","0","","","0","0","","0","0","","0","43","","0","","","","","","","205000000","20251227","20261227","","43","",
"12","종합여행업","03_12_03_P","3180000","CDFI2260042024000020","2024-05-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동2가 30-2 영등포유통상가","서울특별시 영등포구 영등포로 109, 영등포유통상가 지하1층 제라열 50호 (당산동2가)","07264","썬트리 트래블","2025-12-31 10:57:35","U","2026-01-03 02:40:00","","190555.768991595","446698.814322782","종합여행업","","","0","","","한국여행업협회 관광공제회","","0","0","0","0","SUNTREE TRAVEL","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260117","20270117","","0","",
"13","종합여행업","03_12_03_P","3270000","CDFI2260042025000017","2014-03-13","","01","영업/정상","13","영업중","","","","","051-462-9918","","","부산광역시 동구 범일동 825-7 두산위브포세이돈Ⅱ","부산광역시 동구 자성로116번길 2, 105동 602호 (범일동, 두산위브포세이돈Ⅱ)","48748","주식회사 한성여행","2025-12-31 10:54:15","U","2026-01-03 02:40:00","","388040.090360392","183818.845448598","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","20240407","20250407","","0","",
