"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기판매(임대)업","01_02_03_P","3030000","PHMG120253030033047000079","2024-07-23","","01","영업/정상","13","영업중","","","","","02-511-6239","","","서울특별시 성동구 성수동*가 ***-*** KD타워 **층","서울특별시 성동구 왕십리로 ***, KD타워 **층 (성수동*가)","04766","(주)덱스터크레마","2025-12-31 10:47:54","I","2026-01-03 00:20:02","","203808.758780095","449612.381770941","","","","",
"2","의료기기판매(임대)업","01_02_03_P","3560000","PHMG120253560021047000153","2024-03-13","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 당하동 ***-* 태평아파트","인천광역시 서구 독정로**번길 **-*, ***동 ***호 (당하동, 태평아파트)","22686","SI BIO","2025-12-31 13:27:08","I","2026-01-03 00:20:02","","171571.426907197","453726.926481447","","","","",
"3","의료기기판매(임대)업","01_02_03_P","3560000","PHMG120253560021047000154","2022-07-21","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 청라동 **-* 청라 큐브시그니처 *차 오피스텔","인천광역시 서구 청라한내로***번길 **, 청라 큐브시그니처 *차 오피스텔 ***,***호-Z***호 (청라동)","22758","살루스코리아","2025-12-31 13:19:55","I","2026-01-03 00:20:02","","167099.874794454","448018.76163157","","","","",
"4","의료기기판매(임대)업","01_02_03_P","3190000","PHMG120253190033047000059","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 상도동 ***-*** 동신주택","서울특별시 동작구 국사봉**길 **, ***호 (상도동, 동신주택)","07052","달콩달콩","2025-12-31 11:43:03","I","2026-01-03 00:20:02","","193887.458357869","443582.45560798","","","","",
"5","의료기기판매(임대)업","01_02_03_P","3070000","PHMG120253070034047000064","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동선동*가 **","서울특별시 성북구 아리랑로 **-*, ***호 (동선동*가)","02829","슈닝 눈썹&속눈썹","2025-12-31 17:27:24","I","2026-01-03 00:20:02","","201372.577093039","454702.9728815","","","","",
"6","의료기기판매(임대)업","01_02_03_P","4090000","PHMG120254090023047000169","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 풍무동 *** 한화유로메트로아파트","경기도 김포시 풍무로**번길 **, ***동 ***호 (풍무동, 한화유로메트로아파트)","10115","한울초이","2025-12-31 16:56:13","I","2026-01-03 00:20:02","","175852.788133971","455555.615954577","","","","",
"7","의료기기판매(임대)업","01_02_03_P","4520000","PHMG120254520031047000048","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 둔포면 봉재리 ***-*","충청남도 아산시 둔포면 충무로 ****","31423","세븐일레븐 아산봉재희망점","2025-12-31 09:22:41","I","2026-01-03 00:20:02","","202562.643459999","375202.022168643","","","","",
"8","의료기기판매(임대)업","01_02_03_P","4520000","PHMG120254520031047000049","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 공수리 ****","충청남도 아산시 배방읍 배방로 **, *-*층","31482","동진케어플러스","2025-12-31 09:24:34","I","2026-01-03 00:20:02","","204820.442067972","363777.118418785","","","","",
"9","의료기기판매(임대)업","01_02_03_P","3220000","PHMG120253220033047000362","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 청담동 **-* 영빌딩","서울특별시 강남구 삼성로***길 *, 영빌딩 ***호 (청담동)","06068","미프로청담","2025-12-31 11:40:56","I","2026-01-03 00:20:02","","204233.714996438","446397.471957171","","","126","",
"10","의료기기판매(임대)업","01_02_03_P","3220000","PHMG120253220033047000363","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 대치동 ***-** 샹제리제센터","서울특별시 강남구 선릉로**길 **, 샹제리제센터 비동 ***호 (대치동)","06192","(주)코디몰","2025-12-31 13:28:45","I","2026-01-03 00:20:02","","204353.139588107","444636.716818796","","","","",
"11","의료기기판매(임대)업","01_02_03_P","4910000","PHMG120254910015047000006","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","전라남도 장흥군 장흥읍 삼산리 ***-*","전라남도 장흥군 장흥읍 산단*로 ***","59316","글로우앤케어","2025-12-31 13:49:54","I","2026-01-03 00:20:02","","195027.637800966","132011.296864038","","","9.92","",
