"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술설계업체","09_28_13_P","6270000","202162700008500002","2021-07-22","","01","영업/정상","1","인허가","","","","","07047930038","","41243","대구광역시 동구 신천동 331-1 부띠끄시티테라스 306호","대구광역시 동구 동부로26길 5, 부띠끄시티테라스 1동 3층 306호 (신천동)","41243","스텝","2026-01-02 14:46:21","U","2026-01-04 02:40:00","","346969.129572158","265145.040121004","설계업","전문설계업1종","","0",
"2","전력기술설계업체","09_28_13_P","6540000","202364500008500002","2023-02-14","","01","영업/정상","1","인허가","","","","","0635382753","","56162","전북특별자치도 정읍시 시기동 204-53","전북특별자치도 정읍시 대흥3길 16-7, 2층(시기동)","56162","(주)백석이엔씨","2026-01-02 17:31:39","U","2026-01-04 02:40:00","","186416.762998995","229597.663329679","설계업","전문설계업2종","","90891112",
"3","전력기술설계업체","09_28_13_P","6460000","202364600008500001","2023-01-26","","03","폐업","3","폐업","","","","","0625757416","","59031","전라남도 해남군 해남읍 구교리 435-6 이츠","전라남도 해남군 해남읍 중앙1로 477","59031","강부건설이엔지 주식회사","2026-01-05 17:53:28","U","2026-01-07 02:40:00","","161718.045019929","120137.853331236","설계업","전문설계업1종","","0",
"4","전력기술설계업체","09_28_13_P","6460000","202264600008500005","2022-08-12","","01","영업/정상","1","인허가","","","","","0612867827","","57978","전라남도 순천시 연향동 1353-6","전라남도 순천시 연향2로 19(연향동)","57978","금아이엔지(주)","2026-01-05 17:53:27","U","2026-01-07 02:40:00","","247201.375167151","161151.954833873","설계업","전문설계업1종","","452043264",
"5","전력기술설계업체","09_28_13_P","6500000","201965000008500002","2019-10-24","","01","영업/정상","1","인허가","","","","","0647943644","","63528","제주특별자치도 서귀포시 안덕면 사계리 320번지","제주특별자치도 서귀포시 안덕면 산방로288번길 44, 1층","63528","주식회사 제현엔지니어링","2026-01-06 14:26:14","U","2026-01-09 02:40:00","","135049.150823988","-28596.3217968655","설계업","전문설계업1종","대한민국","30000000",
"6","전력기술설계업체","09_28_13_P","6430000","201864300008500004","2018-09-03","","01","영업/정상","1","인허가","","","","","0436512303","","27163","충청북도 제천시 청전동 485-49","충청북도 제천시 명륜로4길 4, 1층 101호 (청전동)","27163","한경이엔지","2026-01-06 18:04:44","U","2026-01-09 02:40:00","","239010.6234622","349120.175075603","설계업","전문설계업1종","","78542064",
"7","전력기술설계업체","09_28_13_P","6540000","201864500008500004","2018-03-08","","03","폐업","3","폐업","2026-01-08","","","","0638430621","","54653","전북특별자치도 익산시 모현동2가 196-5 지안빌딩","전북특별자치도 익산시 동서로 42-9, 지안빌딩 3층(모현동2가)","54653","주식회사 대상기술단","2026-01-08 16:39:50","U","2026-01-10 02:40:00","","194492.993620667","273134.291241199","설계업","전문설계업2종","","0",
"8","전력기술설계업체","09_28_13_P","6540000","199864500008500002","1998-08-20","","03","폐업","3","폐업","2026-01-09","","","","000000000000","","560-822","전북특별자치도 전주시 완산구 서신동 860번지 6호","전북특별자치도 전주시 완산구 전룡로 36 (서신동)","560-822","동재감리주식회사","2026-01-09 18:27:14","U","2026-01-11 02:40:00","","210504.086138143","258478.244358374","설계업","전문설계업2종","","10000000",
"9","전력기술설계업체","09_28_13_P","6430000","200164300008500001","2001-01-11","","01","영업/정상","1","인허가","","","","","0432736016","","28576","충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 306호","충청북도 청주시 흥덕구 공단로 134, 세중테크노밸리 306호 (송정동)","28576","㈜태창전기설계사무소","2026-01-10 12:23:23","U","2026-01-12 02:40:00","","239010.6234622","349120.175075603","설계업","전문설계업1종","대한민국","0",
"10","전력기술설계업체","09_28_13_P","6260000","202462600008500002","2024-01-19","","01","영업/정상","1","인허가","","","","","0513121356","","47006","부산광역시 사상구 주례동 60-8 동서빌딩 1301호","부산광역시 사상구 가야대로 370, 동서빌딩 1301호 (주례동)","47006","(주)태경엔지니어링","2026-01-13 11:21:08","U","2026-01-15 02:40:00","","383357.296661898","185392.274752991","설계업","전문설계업1종","대한민국","50000000",
"11","전력기술설계업체","09_28_13_P","6260000","200762600008500005","2007-09-03","","01","영업/정상","1","인허가","","","","","0516370316","","607-834","부산광역시 동래구 온천1동 474번지 19호  403호","부산광역시 동래구 동래로19번길 2, 403호 (온천동)","607-834","(주)한국엔지니어링","2026-01-14 14:14:58","U","2026-01-16 02:40:00","","389156.480753965","192373.526379535","설계업","전문설계업1종","대한민국","38766000",
