"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","5710000","CDFI2260032025000001","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 청원구 내덕동 725-52","충청북도 청주시 청원구 새터로142번길 23 (내덕동)","28344","스테이 올디스","2025-12-31 17:44:09","I","2026-01-03 00:20:02","","242599.0601969","351159.477648016","관광숙박업","","주거지역","2","주택가주변","","","숙박시설","2","0","0","0","","","0","0","","0","0","","0","141.83","","0","","","","","","","0","","","","142","호스텔업",
"2","관광숙박업","03_11_01_P","6520000","CDFI2260032015001016","2015-02-13","","01","영업/정상","13","영업중","","","","","064-733-2001","","","제주특별자치도 서귀포시 토평동 486-3","제주특별자치도 서귀포시 칠십리로 242","","서귀포KAL호텔","2025-12-31 16:10:51","U","2026-01-03 02:40:00","","160909.251922292","-27664.1419499329","관광숙박업","","자연녹지지역","11","기타","","","호텔","9","2","225","22187","","","","","","","","","","22187.14","","","","","","","","","0","","","","22187","관광호텔업",
"3","관광숙박업","03_11_01_P","6520000","CDFI2260032011001014","2011-07-22","","02","휴업","02","휴업","","2025-12-01","2026-11-30","","","","","제주특별자치도 서귀포시 강정동 3789","","","제이하우스","2025-12-31 08:59:30","U","2026-01-03 02:40:00","","","","관광숙박업","","","0","","","","","0","0","21","1562","","","0","0","","0","0","","0","1561.6","","0","","","","","","","0","","","","1562","호스텔업",
"4","관광숙박업","03_11_01_P","3350000","CDFI2260032014000001","2014-10-29","","01","영업/정상","13","영업중","","","","","513-9123~5","","609-853","부산광역시 금정구 구서동 420-40","부산광역시 금정구 금정로 242 (구서동)","46274","(주)덴바스타호텔구서점","2025-12-31 15:56:15","U","2026-01-03 02:40:00","","390347.549734077","195952.674076618","관광숙박업","","일반상업지역","10","기타","","수협","","10","1","51","0","","","0","0","","0","0","","0","2615","","0","","","","","","","0","","","","2615","관광호텔업",
"5","관광숙박업","03_11_01_P","3050000","CDFI2260032025000002","2025-10-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 장안동 372-14","서울특별시 동대문구 장한로21길 8 (장안동)","02624","동대문 시그니처 관광호텔","2025-12-31 11:01:19","U","2026-01-03 02:40:00","","206091.537162593","451990.224278208","관광숙박업","","일반상업지역","15","","","","","14","1","67","320","","","0","0","","0","0","","0","2914.95","","0","","","","","","","19000000","","","","2915","관광호텔업",
"6","관광숙박업","03_11_01_P","3290000","CDFI2260032025000008","2025-04-28","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 연지동 42-12 연지아담재","부산광역시 부산진구 성지로8번길 10, 301,302,303,401,402호 (연지동, 연지아담재)","47123","아미스테이","2025-12-31 14:54:49","U","2026-01-03 02:40:00","","387287.958896937","187750.931707706","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"7","관광숙박업","03_11_01_P","3380000","CDFI2260032026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 176-29","부산광역시 수영구 광안해변로277번길 3, 2층 (민락동)","48286","하나 여름","2026-01-02 10:14:46","I","2026-01-04 00:20:12","","393469.641387294","186162.120397291","관광숙박업","","준주거지역","0","","","","","2","0","0","0","","","0","0","","0","0","","0","121.94","","0","","","","","","","27500000","","","","122","호스텔업",
"8","관광숙박업","03_11_01_P","3380000","CDFI2260032026000002","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 179-3","부산광역시 수영구 광안해변로 235, 4층 (민락동)","48284","컨셉스테이","2026-01-02 10:17:26","I","2026-01-04 00:20:12","","393085.150482681","186011.990468756","관광숙박업","","상업지역","0","","","","","4","0","0","0","","","0","0","","0","0","","0","316.11","","0","","","","","","","320501632","","","","316","호스텔업",
"9","관광숙박업","03_11_01_P","4641000","CDFI2260032026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 금암동 761-5 신성파크텔","전북특별자치도 전주시 덕진구 용산1길 5, 4층 (금암동)","54933","전주호텔 스테이 복이 한옥마을점","2026-01-02 13:20:22","I","2026-01-04 00:20:12","","211691.904306946","259523.2069497","관광숙박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","89.04","","0","","","","","","","0","","","","89","호스텔업",
"10","관광숙박업","03_11_01_P","3250000","CDFI2260032025000005","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동5가 47-3","부산광역시 중구 동광길 35 (동광동5가)","48927","메종드노크","2026-01-02 15:19:04","U","2026-01-04 02:40:00","","385430.425497418","180251.86558137","관광숙박업","","일반상업지역","3","","","","","0","0","0","0","","","0","0","","0","0","","0","243.95","","0","","","","","","","0","","","","244","호스텔업",
