"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","3860000","2025386077632500003","2025-12-31","","01","영업/정상","01","영업중","","","","","02-3415-9901","","","경기도 부천시 오정구 오정동 802 켄달스퀘어 부천 로지스틱스파크","경기도 부천시 오정구 신흥로511번길 80, 켄달스퀘어 부천 로지스틱스파크 1층 (오정동)","14446","로젠 주식회사","2025-12-31 15:37:47","I","2026-01-03 00:20:02","","179910.321490597","447601.603825997","1","25156.45","0","0.","0","10","컨베이어벨트, 상하차슈트","","법인","","1","","",
"2","물류창고업체","11_45_02_P","3940000","2023394046332500003","2023-08-31","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 고양시 일산동구 문봉동 200-1","경기도 고양시 일산동구 문봉길62번길 32-33 (문봉동)","10257","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:29:48","U","2026-01-03 02:40:00","","183826.897258045","467250.262501799","3","3240.93","0","0","0","50","테이블리프트2개소","","법인","1","1","","",
"3","물류창고업체","11_45_02_P","3940000","2023394046332500001","2023-07-03","","01","영업/정상","01","영업중","","","","","031-917-8444","","","경기도 고양시 일산서구 덕이동 990-1 삼양식품","경기도 고양시 일산서구 송포백송길 6, 삼양식품 (덕이동)","10212","삼양로지스틱스(주)","2025-12-31 15:30:37","U","2026-01-03 02:40:00","","176951.429109462","465809.732961233","1","1604.52","0","0","0","16","렉,지게차,핸드자키","","법인","1","","","",
"4","물류창고업체","11_45_02_P","3560000","2017356009532500003","2017-05-12","","03","폐업","03","폐업","2025-12-31","","","","032-886-3003","","","","인천광역시 서구 정서진4로 28 (오류동)","22850","삼영물류(주)청라물류센터","2026-01-01 19:04:17","U","2026-01-03 02:40:00","","166010.265705902","450510.629604114","2","3465.4","0","0","0.0","8","(1)지게차 : 좌승식 1.5톤 2대, 입식 1.8톤 2대 (2)파렛트렉 : 80대(2585*1000*6000) (3)경량렉 : 20조(1200*600*2100)","","법인","1","","","",
"5","물류창고업체","11_45_02_P","3910000","2012391022832500030","2013-03-04","","03","폐업","03","폐업","","","","","031-8053-5911","","459-090","경기도 평택시 도일동 1175번지 3호","경기도 평택시 도일유통길 64 (도일동)","459-090","아디다스코리아(유)","2025-12-31 14:45:48","U","2026-01-03 02:40:00","","209346.488646051","392916.022337961","1","50825.88","0","0","0","","","","법인","","","","",
"6","물류창고업체","11_45_02_P","4080000","2021408024132500002","2021-05-24","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 안성시 죽산면 장능리 35-4","경기도 안성시 죽산면 녹배길 35","17521","쿠팡로지스틱스서비스 유한회사","2025-12-31 10:11:18","U","2026-01-03 02:40:00","","235507.519568415","396230.33719013","1","3388.00","0","0.00","0","0","컨베이어벨트, 소터, 지게차, 쟈키, 자바라, EPJ 등","","법인","1","","","",
"7","물류창고업체","11_45_02_P","4080000","2021408024132500003","2021-05-24","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 안성시 원곡면 칠곡리 915","경기도 안성시 원곡면 원곡물류단지1로 61","17555","쿠팡로지스틱스서비스 유한회사","2025-12-31 10:14:12","U","2026-01-03 02:40:00","","214392.541437773","394136.674520778","1","4846.00","0","0.00","0","0","컨베이어벨트, 소터, 지게차, 쟈키, 자바라, EPJ 등","","법인","1","1","","",
"8","물류창고업체","11_45_02_P","3940000","2022394042332500007","2022-08-26","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 고양시 덕양구 덕은동 12","경기도 고양시 덕양구 중앙로62번길 32 (덕은동)","10539","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:26:30","U","2026-01-03 02:40:00","","189260.375932153","454896.1455224","1","1013.78","0","0","0","132","지게차, 네트워크장비, PDA, 롤테이너 등","","법인","1","1","","",
"9","물류창고업체","11_45_02_P","3940000","2022394042332500008","2022-08-26","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 고양시 덕양구 원흥동 701","경기도 고양시 덕양구 권율대로 570, 1층 (원흥동)","10550","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:33:14","U","2026-01-03 02:40:00","","188790.308950858","459790.525078022","1","11818","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너 등","","법인","1","1","","",
"10","물류창고업체","11_45_02_P","3940000","2022394042332500009","2022-08-26","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 고양시 일산동구 식사동 604-1","경기도 고양시 일산동구 고양대로1080번길 24 (식사동)","10304","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:28:02","U","2026-01-03 02:40:00","","183056.277962544","462928.011754112","1","1678.60","0","0","0","132","지게차, 네트워크장비, PDA, 롤테이너 등","","법인","1","1","","",
"11","물류창고업체","11_45_02_P","5680000","2022568030432500002","2022-08-10","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","충청남도 당진시 송악읍 금곡리 41-21","충청남도 당진시 송악읍 신평로 1331","31729","쿠팡로지스틱스서비스(유)","2025-12-31 11:07:11","U","2026-01-03 02:40:00","","177467.643590827","379927.284984198","1","1690","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너 등","","법인","1","1","","",
"12","물류창고업체","11_45_02_P","4080000","2023408024132500012","2023-12-11","","01","영업/정상","01","영업중","","","","","","","","경기도 안성시 미양면 개정리 109-2","경기도 안성시 미양면 미양로 156, 4층","17602","쿠팡로지스틱스서비스 유한회사","2025-12-31 10:11:05","U","2026-01-03 02:40:00","","217396.247228784","384658.086055309","1","7489.36","0","0","0","5","지게차 등","","법인","","1","","",
"13","물류창고업체","11_45_02_P","3940000","2023394046332500004","2023-09-15","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 고양시 일산동구 식사동 2-8","경기도 고양시 일산동구 사리현로 101-11, 2층 (식사동)","10315","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:23:25","U","2026-01-03 02:40:00","","184819.613703634","465322.772359624","1","5087.91","0","0","0","20","창고렉,지게차 등","","법인","1","1","","",
"14","물류창고업체","11_45_02_P","3940000","2023394046332500005","2023-10-04","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 고양시 덕양구 오금동 687","경기도 고양시 덕양구 삼막3길 10, 3,7층 (오금동)","10575","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:28:52","U","2026-01-03 02:40:00","","193023.074630481","462910.322906523","1","20345.24","0","0","0","270","오토소터,컨베이어,지게차","","법인","1","1","","",
"15","물류창고업체","11_45_02_P","3940000","2024394046332500001","2024-12-30","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 고양시 일산동구 설문동 789-7","경기도 고양시 일산동구 고봉로678번길 41 (설문동)","10251","쿠팡로지스틱스서비스 유한회사","2025-12-31 15:25:12","U","2026-01-03 02:40:00","","181526.868081671","468325.03231819","2","1026.26","0","0","0","20","테이블리프트2개소","","법인","1","1","","",
"16","물류창고업체","11_45_02_P","5670000","2023567076532500008","2023-09-11","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 의창구 팔용동 14-6","경상남도 창원시 의창구 차상로150번길 64 (팔용동)","51401","쿠팡로지스틱스서비스","2026-01-02 13:16:46","U","2026-01-04 02:40:00","","349120.678006911","194014.793272829","1","1677.53","0","0","0","5","테이블리프트 2개소","","법인","","","","",
"17","물류창고업체","11_45_02_P","4201000","2022420034232500001","2022-09-08","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","강원특별자치도 강릉시 구정면 금광리 1013-13 ,775-7","강원특별자치도 강릉시 구정면 범일로 56","25624","쿠팡로지스틱스서비스 유한회사","2026-01-02 10:03:12","U","2026-01-04 02:40:00","","368374.141094416","469404.039986942","1","1031.43","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너 등","","법인","1","","","",
"18","물류창고업체","11_45_02_P","5530000","2024553059332500003","2024-08-14","","01","영업/정상","01","영업중","","","","","","","","경기도 화성시 장지동 213-7","경기도 화성시 경기동로 220-17 (장지동)","18509","쿠팡로지스틱스서비스 유한회사","2026-01-02 15:19:03","U","2026-01-04 02:40:00","","208562.873543034","406172.476126043","1","6260.6","0","0","0","3","지게차 2대","","법인","1","","","",
"19","물류창고업체","11_45_02_P","3990000","2024399047732500007","2024-07-29","","01","영업/정상","01","영업중","","","","","","","","경기도 남양주시 화도읍 녹촌리 496-89 GS물류센타","경기도 남양주시 화도읍 마치로 306, GS물류센타 1,2층","12178","쿠팡로지스틱스서비스(유)","2026-01-02 08:32:44","U","2026-01-04 02:40:00","","224614.799262866","461294.549537369","1","2977.07","0","0.00","0","5","지게차 2대","","법인","1","1","","",
"20","물류창고업체","11_45_02_P","3990000","2024399047732500008","2024-07-30","","01","영업/정상","01","영업중","","","","","","","","경기도 남양주시 화도읍 녹촌리 496-89 GS물류센타","경기도 남양주시 화도읍 마치로 306, GS물류센타 3,4층","12178","쿠팡로지스틱스서비스(유)","2026-01-02 15:35:05","U","2026-01-04 02:40:00","","224614.799262866","461294.549537369","1","3797.56","0","0","0","10","지게차, 팔레트, 테이블리프트 2개소","","법인","1","1","","",
"21","물류창고업체","11_45_02_P","4090000","2024409041632500005","2024-07-19","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 김포시 고촌읍 전호리 726","경기도 김포시 고촌읍 아라육로 37, 1층","10136","쿠팡로지스틱스서비스 유한회사","2026-01-02 10:34:39","U","2026-01-04 02:40:00","","181826.109478316","454364.143460249","1","8583","0","0","0","35","무동력 컨베이어 4대","","법인","","1","","",
"22","물류창고업체","11_45_02_P","4090000","2024409041632500003","2024-05-28","","01","영업/정상","01","영업중","","","","","","","","경기도 김포시 양촌읍 대포리 455","경기도 김포시 양촌읍 대포산단로 73, 4층","10048","쿠팡로지스틱스서비스유한회사","2026-01-02 10:36:27","U","2026-01-04 02:40:00","","","","1","13842","0","0","0","100","컨베이어, 기타 운반장비(롤테이너 등)","","법인","1","1","","",
"23","물류창고업체","11_45_02_P","5670000","2023567076532500006","2023-05-10","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 의창구 팔용동 39-15 집배송센타","경상남도 창원시 의창구 차룡로48번길 49 (팔용동)","51391","쿠팡로지스틱스서비스 유한회사","2026-01-02 13:22:05","U","2026-01-04 02:40:00","","348536.495451945","194859.885021809","1","7983.47","0","0","0","200","-","","법인","1","1","","",
