"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","비상시설위치","시설구분명","시설명건물명","해제일자",
"1","민방위급수시설","11_46_01_P","3730000","3730000-E202500002","2025-12-31","","01","영업/정상","18","사용중","","","","","","100","","울산광역시 울주군 두동면 이전리 822-1","","","장성","2025-12-31 15:12:12","I","2026-01-03 00:20:02","","400111.282707734","241156.573622233","울산광역시 울주군 두동면 이전리 822-1","공공용시설","장성","",
"2","민방위급수시설","11_46_01_P","3730000","3730000-E202500001","2025-12-31","","01","영업/정상","18","사용중","","","","","","72","","울산광역시 울주군 두동면 이전리 628-6","울산광역시 울주군 두동면 이전장성길 87","44916","곽성","2025-12-31 13:04:07","I","2026-01-03 00:20:02","","400969.804189936","240596.631602031","울산광역시 울주군 두동면 이전리 628-6","공공용시설","곽성","",
"3","민방위급수시설","11_46_01_P","3390000","3390000-E201900001","2019-04-17","","01","영업/정상","18","사용중","","","","","","50","","부산광역시 사상구 삼락동 339번지 5호","부산광역시 사상구 낙동대로1436번길 46 (삼락동, 청우화학)","46905","청우화학","2025-12-31 13:59:01","U","2026-01-03 02:40:00","","380375.319081046","189375.650209626","부산광역시 사상구 삼락동 339번지 5호","공공용시설","청우화학","",
"4","민방위급수시설","11_46_01_P","3940000","4100100-E199700001","1997-11-05","","01","영업/정상","18","사용중","","","","","","110","","경기도 고양시 일산서구 대화동 2201","경기도 고양시 일산서구 강성로 203 (대화동)","10380","대화공원","2025-12-31 16:04:07","U","2026-01-03 02:40:00","","178142.13365608","463578.719800075","경기도 고양시 일산서구 대화동 2201","정부지원시설","대화공원","",
"5","민방위급수시설","11_46_01_P","3940000","4100100-E199800001","1998-10-15","","01","영업/정상","18","사용중","","","","","","120","","경기도 고양시 일산서구 대화동 2104","경기도 고양시 일산서구 일산로 663 (대화동)","10370","성저공원","2025-12-31 16:04:18","U","2026-01-03 02:40:00","","178351.503523991","464363.982363254","경기도 고양시 일산서구 대화동 2104","정부지원시설","성저공원","",
"6","민방위급수시설","11_46_01_P","3940000","4100100-E200500007","2005-06-14","","01","영업/정상","18","사용중","","","","","","510","","경기도 고양시 일산서구 대화동 2324번지","경기도 고양시 일산서구 대화로 362 (대화동)","411-754","고양농산물유통센터","2025-12-31 16:12:27","U","2026-01-03 02:40:00","","177648.225192203","464571.275236154","경기도 고양시 일산서구 대화동 2324번지","공공용시설","고양농산물유통센터","",
"7","민방위급수시설","11_46_01_P","3940000","4100100-E200800004","2008-05-16","","01","영업/정상","18","사용중","","","","","","70","","경기도 고양시 일산서구 덕이동 1184번지 1호","경기도 고양시 일산서구 덕이로 299-0 (덕이동)","411-809","동패IC주유소","2025-12-31 16:34:07","U","2026-01-03 02:40:00","","176309.899066202","466674.039534325","경기도 고양시 일산서구 덕이동 1184번지 1호","공공용시설","동패IC주유소","",
"8","민방위급수시설","11_46_01_P","3940000","4100100-E200500010","2005-05-16","","01","영업/정상","18","사용중","","","","","","50","","경기도 고양시 일산서구 대화동 2046번지 6호","경기도 고양시 일산서구 성저로38번길 71 (대화동)","411-803","평양막국수초계탕","2025-12-31 16:07:45","U","2026-01-03 02:40:00","","178397.871305178","464570.193125668","경기도 고양시 일산서구 대화동 2046번지 6호","공공용시설","평양막국수초계탕","",
"9","민방위급수시설","11_46_01_P","3940000","4100100-E200500011","2005-05-16","","01","영업/정상","18","사용중","","","","","","270","","경기도 고양시 일산서구 대화동 84번지 1호","경기도 고양시 일산서구 대수길 223 (대화동)","411-802","장어양식장","2025-12-31 16:52:42","U","2026-01-03 02:40:00","","177746.322336896","464908.029994023","경기도 고양시 일산서구 대화동 84번지 1호","공공용시설","장어양식장","",
"10","민방위급수시설","11_46_01_P","3560000","3560000-E200500011","2005-11-10","","01","영업/정상","18","사용중","","","","","","25","","인천광역시 서구 석남동 557번지 25호","인천광역시 서구 건지로311번길 33-1 (석남동)","404-828","대명마트","2025-12-31 10:00:56","U","2026-01-03 02:40:00","","171348.588819718","444484.082161885","인천광역시 서구 석남동 557번지 25호","공공용시설","대명마트","",
"11","민방위급수시설","11_46_01_P","3120000","3120000-E200200001","2002-01-01","","01","영업/정상","18","사용중","","","","","","300","","서울특별시 서대문구 홍은동 201번지 1호","서울특별시 서대문구 연희로 353 (홍은동, 그랜드힐튼호텔)","03650","그랜드힐튼호텔(주차장)","2025-12-31 13:54:25","U","2026-01-03 02:40:00","","194211.997213753","454098.970268002","서울특별시 서대문구 홍은동 201번지 1호","공공용시설","그랜드힐튼호텔(주차장)","",
"12","민방위급수시설","11_46_01_P","3120000","3120000-E197600002","1976-08-10","","01","영업/정상","18","사용중","","","","","","216","","서울특별시 서대문구 홍은동 48번지","서울특별시 서대문구 홍은중앙로 13 (홍은동, 서울홍제초등학교)","03616","홍제초등학교","2025-12-31 17:14:38","U","2026-01-03 02:40:00","","194976.3838965","454477.712168964","서울특별시 서대문구 홍은동 48번지","정부지원시설","홍제초등학교","",
"13","민방위급수시설","11_46_01_P","3120000","3120000-E198900002","1989-10-01","","01","영업/정상","18","사용중","","","","","","120","","서울특별시 서대문구 창천동 500번지 23호","서울특별시 서대문구 신촌로7길 21-0 (창천동)","","후기성도교회(최윤환)","2025-12-31 11:16:04","U","2026-01-03 02:40:00","","193856.044672295","450704.746762065","서울특별시 서대문구 창천동 500번지 23호","공공용시설","후기성도교회(최윤환)","",
"14","민방위급수시설","11_46_01_P","3120000","3120000-E201200002","2012-08-01","","01","영업/정상","18","사용중","","","","","","150","","서울특별시 서대문구 연희동 194번지 30호","서울특별시 서대문구 연희로 82 (연희동, 브라운스톤연희)","03726","브라운스톤(연희)","2025-12-31 12:06:28","U","2026-01-03 02:40:00","","193762.64108662","451445.274814853","서울특별시 서대문구 연희동 194번지 30호","공공용시설","브라운스톤(연희)","",
"15","민방위급수시설","11_46_01_P","3120000","3120000-E198600005","1986-03-01","","01","영업/정상","18","사용중","","","","","","100","","서울특별시 서대문구 창천동 493번지","서울특별시 서대문구 연희로 26 (창천동, 동방사회복지회본관)","03784","동방사회복지(김득황)","2025-12-31 11:07:04","U","2026-01-03 02:40:00","","193495.757756376","450974.599119239","서울특별시 서대문구 창천동 493번지","공공용시설","동방사회복지(김득황)","",
"16","민방위급수시설","11_46_01_P","3120000","3120000-E198800005","2018-12-03","","01","영업/정상","18","사용중","","","","","","150","","서울특별시 서대문구 연희동 711번지 30호","서울특별시 서대문구 홍연길 41 (연희동, 홍연아파트)","03695","연희파크푸르지오","2025-12-31 17:19:47","U","2026-01-03 02:40:00","","","","서울특별시 서대문구 연희동 711번지 30호","정부지원시설","연희파크푸르지오","",
"17","민방위급수시설","11_46_01_P","3120000","3120000-E198900001","1989-11-01","","01","영업/정상","18","사용중","","","","","","82","","서울특별시 서대문구 홍은동 275번지 59호","서울특별시 서대문구 모래내로 330 (홍은동, 미도빌딩)","03658","(주)미도복장","2025-12-31 10:52:46","U","2026-01-03 02:40:00","","194093.323180004","453052.898302227","서울특별시 서대문구 홍은동 275번지 59호","공공용시설","(주)미도복장","",
"18","민방위급수시설","11_46_01_P","3120000","3120000-E200500001","2005-10-31","","01","영업/정상","18","사용중","","","","","","57","","서울특별시 서대문구 북가좌동 392번지 27호","서울특별시 서대문구 수색로 123 (북가좌동, 연일가스주유소)","03715","연일가스산업(주)","2025-12-31 10:51:20","U","2026-01-03 02:40:00","","191658.428464659","452377.751892338","서울특별시 서대문구 북가좌동 392번지 27호","공공용시설","연일가스산업(주)","",
"19","민방위급수시설","11_46_01_P","3120000","3120000-E199200002","1992-05-01","","01","영업/정상","18","사용중","","","","","","570","","서울특별시 서대문구 충정로3가 139번지","서울특별시 서대문구 충정로 29 (충정로3가, 동아일보사건물)","03737","동아일보(김병관)","2025-12-31 13:17:25","U","2026-01-03 02:40:00","","196694.508582738","451070.359709608","서울특별시 서대문구 충정로3가 139번지","공공용시설","동아일보(김병관)","",
"20","민방위급수시설","11_46_01_P","3120000","3120000-E200400002","2004-05-25","","01","영업/정상","18","사용중","","","","","","72","","서울특별시 서대문구 홍은동 379번지 6호","서울특별시 서대문구 가좌로 106 (홍은동, 신우주유소)","03659","신우주유소","2025-12-31 10:50:24","U","2026-01-03 02:40:00","","193447.061786569","453332.086866044","서울특별시 서대문구 홍은동 379번지 6호","공공용시설","신우주유소","",
"21","민방위급수시설","11_46_01_P","3120000","3120000-E201200005","2012-08-01","","01","영업/정상","18","사용중","","","","","","92","","서울특별시 서대문구 남가좌동 105번지 1호","서울특별시 서대문구 모래내로 143 (남가좌동, 창덕에버빌)","03712","오성사우나","2025-12-31 12:15:19","U","2026-01-03 02:40:00","","192616.804543873","451914.670305267","서울특별시 서대문구 남가좌동 105번지 1호","공공용시설","오성사우나","",
"22","민방위급수시설","11_46_01_P","3120000","3120000-E199700001","1997-12-27","","01","영업/정상","18","사용중","","","","","","165","","서울특별시 서대문구 홍제동 373번지","서울특별시 서대문구 세검정로3길 63 (홍제동, 태영으뜸아파트)","03623","태영으뜸아파트","2025-12-31 17:13:07","U","2026-01-03 02:40:00","","195226.922673727","454593.887808749","서울특별시 서대문구 홍제동 373번지","정부지원시설","태영으뜸아파트","",
"23","민방위급수시설","11_46_01_P","3120000","3120000-E201200004","2012-08-01","","01","영업/정상","18","사용중","","","","","","100","","서울특별시 서대문구 영천동 100번지","서울특별시 서대문구 독립문로 10 (영천동, 독립문삼호아파트)","03743","삼호아파트","2025-12-31 12:02:45","U","2026-01-03 02:40:00","","196259.607806599","452003.400133964","서울특별시 서대문구 영천동 100번지","공공용시설","삼호아파트","",
"24","민방위급수시설","11_46_01_P","3120000","3120000-E197600001","1976-08-10","","01","영업/정상","18","사용중","","","","","","152","","서울특별시 서대문구 홍제동 245번지 1호","서울특별시 서대문구 세무서길 33-9 (홍제동, 서울인왕초등학교)","03629","인왕초등학교","2025-12-31 14:38:53","U","2026-01-03 02:40:00","","195101.777433897","454216.466591887","서울특별시 서대문구 홍제동 245번지 1호","정부지원시설","인왕초등학교","",
