"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"1","치과기공소","01_02_04_P","3660000","PHMB320253660023062300003","2024-11-22","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 괴정동 3-18 삼영빌딩","대전광역시 서구 계룡로 568, 2층 209호 일부호 (괴정동, 삼영빌딩)","35269","덴탈핑 디지털랩","2025-12-31 16:21:55","I","2026-01-03 00:20:02","","234643.915331391","315735.278890309","1","3","6","0","1","1","2","1","1","1","1","3","1","1","0",
"2","치과기공소","01_02_04_P","3450000","PHMB320133450022062300005","2013-09-02","","03","폐업","03","폐업","2015-08-13","","","","","","702-722","대구광역시 북구 태전1동 산 7번지 1호 대구보건대학 창업보육센터 성실동 5504호","대구광역시 북구 영송로 15, 성실동 5층 5504호 (태전동, 대구보건대 창업보육센터)","41453","대성덴텍","2025-12-31 09:42:32","U","2026-01-03 02:40:00","","339229.079763468","270912.150061368","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"3","치과기공소","01_02_04_P","3450000","PHMB320163450022062300005","2016-05-18","","03","폐업","03","폐업","2018-12-31","","","","","","","대구광역시 북구 침산동 1388번지 2호 1층","대구광역시 북구 오봉로16길 33, 1층 (침산동)","41552","씨엠(CM)치과기공소","2025-12-31 09:56:17","U","2026-01-03 02:40:00","","342757.430267054","267098.587233601","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"4","치과기공소","01_02_04_P","3460000","PHMB320013460023062300001","2001-12-06","","01","영업/정상","13","영업중","","","","","053-752-8077","","","대구광역시 수성구 황금동 249-6","대구광역시 수성구 청호로 242, 3층 (황금동)","42181","한백치과기공소","2025-12-30 14:31:31","U","2026-01-03 02:40:00","","349315.606883012","262459.838702314","1","1","3","1","1","1","1","1","2","1","1","1","2","1","1",
"5","치과기공소","01_02_04_P","3410000","PHMB320243410023062300002","2024-06-26","","01","영업/정상","13","영업중","","","","","","","","대구광역시 중구 서문로2가 66-5 덕영치과","대구광역시 중구 국채보상로 511, 덕영치과 3층 (서문로2가)","41921","로이스치과기공소","2025-12-31 10:57:45","U","2026-01-03 02:40:00","","343218.26319516","264534.810551392","2","1","12","1","1","1","1","1","1","1","1","1","1","1","1",
"6","치과기공소","01_02_04_P","4010000","PHMB320224010281062300001","2022-01-19","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 시흥시 신천동 755-9","경기도 시흥시 신천1길 12, 1층 2호 (신천동)","14948","제민(J.M)치과기공소","2025-12-31 13:36:50","U","2026-01-03 02:40:00","","180552.414300698","437523.181191671","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"7","치과기공소","01_02_04_P","3130000","PHMB320173130033062300002","2012-04-30","","01","영업/정상","13","영업중","","","","","396-2275","","","서울특별시 마포구 노고산동 1번지 23호","서울특별시 마포구 신촌로 140 (노고산동, 신촌예스빌딩)","04104","아레나덴탈스튜디오","2025-12-31 13:58:33","U","2026-01-03 02:40:00","","194722.647685251","450434.656581416","1","1","5","1","1","1","2","1","1","1","1","2","1","1","1",
"8","치과기공소","01_02_04_P","3110000","PHMB320053110032062300003","2005-10-18","","03","폐업","03","폐업","2025-12-31","","","","02-383-6725","","122-020","서울특별시 은평구 녹번동 73번지 17호","서울특별시 은평구 은평로 205-7 (녹번동)","03383","미소치과기공소","2025-12-31 10:46:59","U","2026-01-03 02:40:00","","193863.651063943","455474.371028711","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"9","치과기공소","01_02_04_P","3860000","PHMB320253860384062300005","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 원미구 춘의동 195 삼보테크노타워","경기도 부천시 원미구 조마루로385번길 122, 삼보테크노타워 2306호 (춘의동)","14556","DN치과기공소","2026-01-02 11:32:51","I","2026-01-04 00:20:12","","181500.171358432","444400.914500838","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"10","치과기공소","01_02_04_P","3240000","PHMB320263240033062300001","2026-01-02","","01","영업/정상","13","영업중","","","","","02-427-4216","","","서울특별시 강동구 명일동 306-9 호산에이스","서울특별시 강동구 양재대로 1657-19, 호산에이스 3층 (명일동)","05257","강동스카이치과기공소","2026-01-02 14:43:22","I","2026-01-04 00:20:12","","212570.976601454","450138.772259042","1","2","7","1","1","2","3","1","1","1","2","1","2","1","1",
"11","치과기공소","01_02_04_P","4681000","PHMB320194680066062300002","2019-04-10","","03","폐업","03","폐업","2026-01-01","","","","","","","전북특별자치도 익산시 남중동 375-201","전북특별자치도 익산시 동서로 218, 202호 (남중동)","54619","세움치과기공소","2026-01-02 14:29:05","U","2026-01-04 02:40:00","","196148.28540534","272568.052854949","1","1","3","1","1","1","1","1","1","1","1","2","1","1","1",
"12","치과기공소","01_02_04_P","3310000","PHMB320073310024062300001","2007-03-07","","03","폐업","03","폐업","2026-01-05","","","","","","","부산광역시 남구 대연동 1122-15","부산광역시 남구 석포로 123, 3층 (대연동)","48486","엘림치과기공소","2026-01-05 17:16:14","U","2026-01-07 02:40:00","","390523.904328179","183030.890449133","2","1","4","1","2","2","2","1","1","1","1","2","1","1","1",
"13","치과기공소","01_02_04_P","3050000","PHMB320093050034062300002","2009-02-02","","01","영업/정상","13","영업중","","","","","02-2252-2852","","130-810","서울특별시 동대문구 신설동 102번지 12호  대성빌딩 3층","서울특별시 동대문구 천호대로 15, 3층 (신설동)","02582","늘솜치과기공소","2026-01-05 14:58:55","U","2026-01-07 02:40:00","","202159.285360366","452509.350892968","1","2","10","2","1","3","3","1","2","1","1","1","1","1","1",
"14","치과기공소","01_02_04_P","3030000","PHMB320213030033062300001","1984-01-14","","03","폐업","03","폐업","2026-01-05","","","","02-921-6367","","","서울특별시 성동구 성수동2가 280-15 에이스성수타워1","서울특별시 성동구 광나루로8길 10, 에이스성수타워1 503호 (성수동2가)","04799","삼아치과기공소","2026-01-05 15:25:50","U","2026-01-07 02:40:00","","205557.941680639","449473.46380541","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"15","치과기공소","01_02_04_P","3170000","PHMB320263170035062300001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 독산동 291-1 현대지식산업센터 A동 3층 304-4호","서울특별시 금천구 두산로 70, 현대지식산업센터 A동 3층 304-4호 (독산동)","08584","웨일 치과기공소","2026-01-06 17:08:22","I","2026-01-09 00:20:01","","190694.880295092","440764.426277932","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0",
"16","치과기공소","01_02_04_P","3060000","PHMB320263060034062300001","2017-02-02","","01","영업/정상","13","영업중","","","","","02-971-8470","","","서울특별시 중랑구 면목동 147-23","서울특별시 중랑구 겸재로23길 5, 2층 (면목동)","02147","온 치과기공소","2026-01-07 17:16:27","I","2026-01-09 00:20:01","","207145.507734464","453902.269717837","1","1","2","1","1","1","1","1","1","1","1","2","1","1","0",
"17","치과기공소","01_02_04_P","3220000","PHMB320263220033062300001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 9-1 연호빌딩","서울특별시 강남구 도산대로24길 17, 연호빌딩 3층 301호 (논현동)","06040","라뷰치과기공소","2026-01-07 09:41:44","I","2026-01-09 00:20:01","","202297.852275874","446179.759195314","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
