"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","제조구분명","사업장부지용도구분명",
"1","고압가스업","09_28_05_P","4810000","2025481045202200004","2025-12-31","","01","영업/정상","01","영업중","","","","","","","","전라남도 여수시 신월동 805","전라남도 여수시 신월로 411 (신월동)","59747","한화에어로스페이스㈜ 여수사업장","2025-12-31 14:26:29","I","2026-01-03 00:20:02","제조","263766.763199289","137458.184487996","냉동","",
"2","고압가스업","09_28_05_P","3710000","1990371000902100011","2007-07-02","","01","영업/정상","01","영업중","","","","","","","","울산광역시 동구 방어동 1381","울산광역시 동구 방어진순환도로 100 (방어동)","","에이치디현대중공업 주식회사_냉동제조허가","2025-12-31 14:13:20","U","2026-01-03 02:40:00","제조","417802.794202797","225326.968907405","냉동","주상나지",
"3","고압가스업","09_28_05_P","4600000","2011460009102100001","2011-03-24","","01","영업/정상","01","영업중","","","","","","","","충청남도 홍성군 홍성읍 고암리 1042","충청남도 홍성군 홍성읍 조양로247번길 9","","롯데마트 홍성점","2025-12-31 17:18:21","U","2026-01-03 02:40:00","제조","170963.816189316","344485.565134627","냉동","상업용",
"4","고압가스업","09_28_05_P","4490000","2015565003002100006","2015-07-31","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 동남구 성남면 대화리 368","충청남도 천안시 동남구 성남면 5산단3로 30","","(주)덕산테코피아 천안사업장","2025-12-31 17:07:38","U","2026-01-03 02:40:00","저장소","222423.566376427","359854.49257946","","",
"5","고압가스업","09_28_05_P","4490000","2003449013102200008","2003-06-23","","03","폐업","03","폐업","2025-12-31","","","","","","","충청남도 천안시 서북구 두정동 549","","","참아름다운교회","2025-12-31 16:27:38","U","2026-01-03 02:40:00","제조","211411.076335296","370200.456356599","냉동","업무용",
"6","고압가스업","09_28_05_P","5700000","2007411000902100002","2007-08-17","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 여주시 흥천면 문장리 273-1","경기도 여주시 흥천면 이여로 975","","(주)현대가스텍 백년가스지점","2025-12-31 13:03:54","U","2026-01-03 02:40:00","판매","245814.277745048","429624.161550847","","",
"7","고압가스업","09_28_05_P","3200000","2019320024402100001","2019-06-21","","01","영업/정상","01","영업중","","","","","","","","서울특별시 관악구 봉천동 729-22 롯데백화점","서울특별시 관악구 봉천로 209, 롯데백화점 (봉천동)","08708","롯데쇼핑 주식회사","2025-12-31 13:28:58","U","2026-01-03 02:40:00","제조","193301.885808714","443151.561302292","냉동","",
"8","고압가스업","09_28_05_P","5400000","2023540011802100001","2023-06-16","","01","영업/정상","01","영업중","","","","","","","","경상남도 함안군 산인면 신산리 750-10","경상남도 함안군 산인면 신산로 159-15","52032","현우가스","2025-12-31 20:52:34","U","2026-01-03 02:40:00","판매","334976.643557563","197483.869631943","","",
"9","고압가스업","09_28_05_P","4201000","2016420027002100005","2016-10-10","","01","영업/정상","01","영업중","","2018-07-30","2019-07-30","","","","","강원특별자치도 강릉시 포남동 산 105 강릉하키센터","강원특별자치도 강릉시 수리골길 98, 강릉하키센터 (포남동)","25472","강원도청(아이스하키Ⅰ주경기장)","2025-12-31 09:01:01","U","2026-01-03 02:40:00","제조","","","","",
"10","고압가스업","09_28_05_P","4970000","2004497007802100005","2004-02-19","","01","영업/정상","01","영업중","","","","","","","","전라남도 영광군 군서면 남죽리 58-6","전라남도 영광군 군서면 천년로 1277","57033","신화가스","2025-12-31 13:24:21","U","2026-01-03 02:40:00","판매","153413.173407252","196008.457047226","","",
"11","고압가스업","09_28_05_P","3640000","2019364011402100001","2019-04-04","","02","휴업","02","휴업","","2025-12-31","2026-12-30","","","","","대전광역시 동구 대성동 206-1","","","중도가스(주)대전영업소 수소충전소","2025-12-31 18:11:25","U","2026-01-03 02:40:00","제조","241317.838030016","310505.895907872","충전","위험시설",
"12","고압가스업","09_28_05_P","4341000","2021434007302200002","2021-05-25","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 고성군 거진읍 거진리 22-21","","","거진에코다이빙리조트","2025-12-31 13:34:01","U","2026-01-03 02:40:00","제조","327644.216685618","550482.336256241","충전","",
"13","고압가스업","09_28_05_P","4910000","2003491004502200001","2003-08-21","","02","휴업","02","휴업","","2025-12-10","2026-12-09","","","","","전라남도 장흥군 장흥읍 건산리 715-11","","","장흥군청","2025-12-31 17:32:02","U","2026-01-03 02:40:00","제조","191399.052254703","131490.762471892","일반","상업기타",
