"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","목재수입유통업","09_27_01_P","3500000","350000090201700004","2017-10-13","","03","폐업","3","폐업","","","","","032-589-8450","","","인천광역시 동구 송림동 ***","인천광역시 동구 방축로**번길 **, **동 ***호 (송림동, (송림동,인천산업용품유통센터))","","주식회사 드림우드","2025-12-31 17:32:11","U","2026-01-03 02:40:00","","169424.109924844","442692.722669138","목재수입유통업","","제재목, 합판","","20000","50","폐업",
"2","목재수입유통업","09_27_01_P","6520000","652000090201400002","2014-12-30","","02","휴업","2","휴업","","","","","","","","","제주특별자치도 서귀포시 대정읍 무영로**번길 **","","주식회사 웅진티엔씨(T&C)","2025-12-31 17:52:31","U","2026-01-03 02:40:00","","127843.337743367","-25179.9552097344","목재수입유통업","","","","0","0","휴업",
"3","목재수입유통업","09_27_01_P","5450000","545000090202600001","2025-12-29","","01","영업/정상","1","정상","","","","","","","","경상남도 산청군 산청읍 차탄리 ***-*","경상남도 산청군 산청읍 산수로 ***-**","52212","(주)자연과사람들","2026-01-02 10:06:37","I","2026-01-04 00:20:12","","278948.804731092","214661.59556437","목재수입유통업","","목재펠릿, 목재칩, 목재브리켓, 성형목탄","","10","880","영업",
"4","목재수입유통업","09_27_01_P","4050000","405000090202600001","2026-01-06","","01","영업/정상","1","정상","","","","","","","","경기도 용인시 기흥구 신갈동 ***-*","경기도 용인시 기흥구 신정로 *** (신갈동)","17093","기흥인터내셔널 유한회사 (웨버코리아기흥)","2026-01-06 13:36:21","I","2026-01-09 00:20:01","","209040.966662733","419964.497600605","목재수입유통업","","목재펠릿, 성형목탄, 목재칩","","10","500","영업",
"5","목재수입유통업","09_27_01_P","5410000","541000090202600001","2026-01-06","","01","영업/정상","1","정상","","","","","","","","경상남도 창녕군 도천면 예리 ****","경상남도 창녕군 도천면 논리우강길 ***, *동","50348","(주)엔씨코어홀딩스","2026-01-06 11:42:43","I","2026-01-09 00:20:01","","339092.274431157","215838.587301756","목재수입유통업","","제재목","1","100","10","영업",
"6","목재수입유통업","09_27_01_P","4671000","467100090202600001","2026-01-07","","01","영업/정상","1","정상","","","","","063-910-1124","","","전북특별자치도 군산시 나운동 ***-** 강천아케이트 ***호","전북특별자치도 군산시 나운안길 **, 강천아케이트 ***호 (나운동)","54140","유한회사 케이엠아이","2026-01-07 11:07:41","I","2026-01-09 00:20:01","","173153.864879426","273803.880814597","목재수입유통업","","원목, 우드칩, 우드펠릿, 톱밥","1명","0","10","영업",
"7","목재수입유통업","09_27_01_P","3740000","374000090201800003","2018-10-08","","03","폐업","3","폐업","","","","","07075806091","","","","경기도 수원시 팔달구 중부대로**번길 * (영동)","16262","(주)브이씨엘","2026-01-07 18:41:02","U","2026-01-09 02:40:00","","201525.486746638","419280.576304657","목재수입유통업","","목재펠릿","3","1000","300","폐업",
"8","목재수입유통업","09_27_01_P","4960000","496000090202000002","2020-09-21","","01","영업/정상","1","정상","","","","","","","","","전라남도 함평군 해보면 산내길 ***-**","57119","***","2026-01-06 11:09:12","U","2026-01-09 02:40:00","","162511.976353069","184262.261310162","목재수입유통업","","목재펠릿,톱밥,목재칩","","0","0","영업",
"9","목재수입유통업","09_27_01_P","3520000","352000090202600001","2026-01-08","","01","영업/정상","BBBB","","","","","","","","","인천광역시 연수구 송도동 **-* 송도 센트로드","인천광역시 연수구 인천타워대로 ***, 송도 센트로드 A동 **층 *호 (송도동)","22007","주식회사 마스터스","2026-01-08 15:38:57","I","2026-01-10 00:20:07","","167146.853558482","433106.400418521","목재수입유통업","","목탄(성형숯)","","0","50","",
"10","목재수입유통업","09_27_01_P","3630000","363000090202600001","2026-01-12","","01","영업/정상","1","정상","","","","","062-945-8889","","","광주광역시 광산구 소촌동 ***-*","광주광역시 광산구 소촌로**번길 **-** (소촌동)","62386","주식회사 좋은나무","2026-01-12 17:20:07","I","2026-01-14 00:20:02","","180725.582336502","183657.620803656","목재수입유통업","","편백가공품","","0","0","영업",
