"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3450000","345000065201400001","2014-04-08","","01","영업/정상","11","영업","","","","","053 351 8585","","","대구광역시 북구 노원동3가 558","대구광역시 북구 팔달로 53 (노원동3가)","","기아(주) 대구서비스센터","2026-01-14 10:16:12","U","2026-01-16 02:40:00","","340462.14241044","266722.760263707","배출가스전문정비사업자","","","","","0","","0",
"2","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4090000","409000064202600003","2026-01-06","","01","영업/정상","11","영업","","","","","031-998-1533","","","경기도 김포시 양촌읍 구래리 750-38","경기도 김포시 양촌읍 봉수대로 1824","10069","(주)현대자동차정비공업사","2026-01-06 13:29:53","I","2026-01-09 00:20:01","자동차 종합 수리업","","","확인검사대행자","자동차 종합 수리업","","","","0","","0",
"3","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4090000","409000064202600002","2026-01-06","","01","영업/정상","11","영업","","","","","02-2666-6268","","","경기도 김포시 고촌읍 전호리 727","경기도 김포시 고촌읍 아라육로57번길 87-11","10136","강서상용현대서비스(주)","2026-01-06 13:24:16","I","2026-01-09 00:20:01","자동차 종합 수리업","181914.327974326","454445.369446838","확인검사대행자","자동차 종합 수리업","","","","0","","0",
"4","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4090000","409000064202600001","2026-01-06","","01","영업/정상","11","영업","","","","","031-996-3441","","","경기도 김포시 양촌읍 양곡리 62-4","경기도 김포시 양촌읍 김포대로1759번길 136","10056","1급김포현대카독크(주)","2026-01-06 13:16:09","I","2026-01-09 00:20:01","자동차 종합 수리업","167943.111288727","462777.363209994","확인검사대행자","자동차 종합 수리업","","","","0","","0",
"5","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","5020000","502000064202500001","2026-01-07","","01","영업/정상","11","영업","","","","","","","","경상북도 포항시 북구 동빈2가 120-4","경상북도 포항시 북구 해동로 251 (동빈2가)","37728","한돌","2026-01-07 10:20:37","I","2026-01-09 00:20:01","","413529.752002166","284967.86247351","확인검사대행자","","","","","0","","0",
"6","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","5360000","536000064200000019","2000-02-12","","01","영업/정상","11","영업","","","","","3543861","","627-120","경상남도 밀양시 교동 938-9","경상남도 밀양시 밀양대로 1755, 102동  902호(삼문동,제일훼미리)","627-754","밀양자동차정비공업사","2026-01-14 11:22:17","U","2026-01-16 02:40:00","","358929.939597355","223612.099681504","확인검사대행자","","","","","0","","0",
"7","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","5360000","536000064200000018","2000-02-12","","01","영업/정상","11","영업","","","","","3543861","","627-120","경상남도 밀양시 교동 938-9","경상남도 밀양시 밀양대로 1755, 102동  902호(삼문동,제일훼미리)","627-754","밀양자동차정비공업사","2026-01-14 11:22:05","U","2026-01-16 02:40:00","","358929.939597355","223612.099681504","확인검사대행자","","","","","0","","0",
"8","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3480000","348000065201500001","2015-06-02","","03","폐업","2","폐업","2025-12-31","","","","0536154747","","","대구광역시 달성군 논공읍 금포리 1115-1","대구광역시 달성군 논공읍 비슬로 1847","","창림종합정비공장","2025-12-31 14:22:54","U","2026-01-03 02:40:00","자동차 종합 수리업","328890.981000862","254011.863860483","배출가스전문정비사업자","자동차 종합 수리업","","","","0","","0",
"9","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4800000","480000064199300001","1993-11-04","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-01-09","","","","0612835004","","","전라남도 목포시 상동 713-22","전라남도 목포시 옥암로 153 (상동)","58658","한국교통안전공단목포자동차검사소","2026-01-13 16:09:33","U","2026-01-15 02:40:00","","147125.821628362","146077.685557054","확인검사대행자","","","","","0","","0",
"10","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","5360000","536000065201300001","2013-06-13","","04","취소/말소/만료/정지/중지","4","폐쇄","2020-01-03","","","","3543861","","627-120","경상남도 밀양시 교동 938-9","경상남도 밀양시 밀양대로 1755, 102동  902호(삼문동,제일훼미리)","627-754","밀양자동차정비공업사","2026-01-14 11:24:18","U","2026-01-16 02:40:00","","358929.939597355","223612.099681504","배출가스전문정비사업자","","","","","0","","0",
