"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"1","저수조청소업","09_30_14_P","4191000","419100031202500002","2025-12-31","","01","영업/정상","11","정상","","","","","07040075582","","","강원특별자치도 원주시 반곡동 ****-** ***호","강원특별자치도 원주시 입춘로 **, ***호 (반곡동)","26461","이루다종합환경","2025-12-31 17:12:34","I","2026-01-03 00:20:02","","286883.804264631","425428.261895332","31","","0","","","","","저수조청소업",
"2","저수조청소업","09_30_14_P","3030000","303000031200400001","2013-03-12","","03","폐업","2","폐업","2025-12-31","","","","02-2281-9114","","","서울특별시 성동구 마장동 ***-* (창고는 마장동 ***-*호 *동 ***호 지하)","서울특별시 성동구 마장로 *** (마장동,(창고는 마장동 ***-*호 *동 ***호 지하))","","(주)신웅환경시스템","2026-01-02 11:19:15","U","2026-01-04 02:40:00","","203709.590135792","451490.666502232","31","","0","","","","","저수조청소업",
"3","저수조청소업","09_30_14_P","3680000","368000031202400002","2024-02-19","","03","폐업","2","폐업","2026-01-02","","","","042-255-4112","","","대전광역시 대덕구 중리동 ***-*","대전광역시 대덕구 계족로***번길 **, *층 (중리동)","34411","사회복지법인 신영복지재단","2026-01-02 14:01:49","U","2026-01-04 02:40:00","","238976.575032505","318071.10253326","31","","0","","","","인력확보 어려움 등","저수조청소업",
"4","저수조청소업","09_30_14_P","5710000","571000031201400003","2014-12-23","","01","영업/정상","11","정상","","","","","043-235-2036","","","충청북도 청주시 흥덕구 원평동 ***-*","충청북도 청주시 흥덕구 원평로**번길 ***, *동 (원평동)","28303","뉴크린텍","2026-01-05 11:09:33","U","2026-01-07 02:40:00","","239276.32179064","352421.736069763","31","","0","","","","","저수조청소업",
"5","저수조청소업","09_30_14_P","4540000","454000031201300001","2020-06-30","","01","영업/정상","11","정상","","","","","","","","충청남도 논산시 노성면 병사리 ***-*","충청남도 논산시 노성면 노성로***번길 **","32902","푸르름환경","2026-01-05 20:12:20","U","2026-01-07 02:40:00","","208780.319850943","309267.856292697","31","","0","","","","","저수조청소업",
"6","저수조청소업","09_30_14_P","5670000","567000031202600001","2026-01-06","","01","영업/정상","11","정상","","","","","","","","경상남도 창원시 의창구 팔용동 **-** 영풍전자(주)","경상남도 창원시 의창구 죽전로**번길 **, 영풍전자(주) (팔용동)","51390","영풍전자","2026-01-06 15:17:23","I","2026-01-09 00:20:01","","347940.229140385","195300.086487742","31","","0","","","","","저수조청소업",
"7","저수조청소업","09_30_14_P","3600000","360000031201900001","2019-09-10","","01","영업/정상","11","정상","","","","","062-383-1482","","","광주광역시 서구 덕흥동 **-*","광주광역시 서구 무진대로 *** (덕흥동)","61900","이조은주식회사","2026-01-06 19:20:26","U","2026-01-09 02:40:00","","185536.082380335","184910.801253235","31","","0","","","","","저수조청소업",
"8","저수조청소업","09_30_14_P","4080000","408000031201800001","2026-01-06","","01","영업/정상","11","정상","","","","","031-673-5153","","","경기도 안성시 원곡면 반제리 ***-*","경기도 안성시 원곡면 원당로 ***, *층 ***호","17557","부성건설 주식회사","2026-01-07 10:54:49","U","2026-01-09 02:40:00","","214678.009248232","391688.328076917","31","","0","","","","","저수조청소업",
"9","저수조청소업","09_30_14_P","5570000","557000031202500001","2025-11-27","","01","영업/정상","11","정상","","","","","","","","충청북도 증평군 증평읍 창동리 *** ***호","충청북도 증평군 증평읍 중앙로*길 **, ***호","27928","그린환경연구소","2026-01-07 08:37:55","U","2026-01-09 02:40:00","","251435.452211347","364843.596814535","31","","0","","","","","저수조청소업",
"10","저수조청소업","09_30_14_P","3460000","346000031200000004","2000-12-02","","01","영업/정상","11","정상","","","","","744-8250","","","대구광역시 수성구 수성동*가 **-*","대구광역시 수성구 청솔로 **-*, *층 (수성동*가)","42138","(주)크린피아","2026-01-07 17:34:24","U","2026-01-09 02:40:00","","346332.619983645","262669.921693358","31","","0","","","","","저수조청소업",
