"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물미용업","02_03_11_P","3190000","319000004920250005","2025-12-30","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 동작구 대방동 ***-**","서울특별시 동작구 여의대방로**길 **, *층 (대방동)","07055","펫대손손 애견센터 신대방점","2025-12-31 11:20:37","I","2026-01-03 00:20:02","","193224.770608462","444045.833532044","동물미용업","동물미용업(일반)","000","0",
"2","동물미용업","02_03_11_P","3090000","309000004920250008","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 도봉구 도봉동 **-***","서울특별시 도봉구 도봉로***길 **, *층 (도봉동)","01321","둥개둥개","2025-12-31 14:53:13","I","2026-01-03 00:20:02","","204032.692870182","464208.266258174","동물미용업","동물미용업(일반)","000","0",
"3","동물미용업","02_03_11_P","3990000","399000004920250023","2025-12-30","","01","영업/정상","0000","정상","","","","","","0","","경기도 남양주시 다산동 **** 다산 헤리움 그랑비스타 *차 ***호","경기도 남양주시 다산중앙로***번길 **-**, 다산 헤리움 그랑비스타 *차 ***호 (다산동)","12248","몽벨르","2025-12-30 14:15:50","I","2026-01-03 00:20:02","","213356.995429197","458141.915231658","동물미용업","동물미용업(일반)","000","0",
"4","동물미용업","02_03_11_P","4641000","464100004920250027","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","전북특별자치도 전주시 덕진구 인후동*가 ***-*","전북특별자치도 전주시 덕진구 아중로 ***-*, *층 (인후동*가)","55024","맘바이 전주점","2025-12-31 16:28:13","I","2026-01-03 00:20:02","","214756.646238758","258407.538263312","동물미용업","동물미용업(일반)","000","0",
"5","동물미용업","02_03_11_P","4641000","464100004920250028","2025-12-31","","01","영업/정상","0000","정상","","","","","0632275885","0","","전북특별자치도 전주시 완산구 효자동*가 ****-* 정원빌","전북특별자치도 전주시 완산구 문학대*길 **-*, 정원빌 (효자동*가)","54959","Dogin 효자샬롱","2025-12-31 16:26:59","I","2026-01-03 00:20:02","","209439.71","258495.560000001","동물미용업","동물미용업(일반)","000","0",
"6","동물미용업","02_03_11_P","4070000","407000004920250007","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","경기도 이천시 부발읍 신하리 ***","경기도 이천시 부발읍 대산로 ***-*, 서화상가 ***호","17327","헤이댕댕 2호점","2025-12-31 10:25:46","I","2026-01-03 00:20:02","","242440.010569709","417634.839971485","동물미용업","동물미용업(일반)","000","0",
"7","동물미용업","02_03_11_P","3510500","351050004920230010","2023-07-24","","04","취소/말소/만료/정지/중지","0004","말소","2025-12-31","","","","032-888-9910","0","","인천광역시 미추홀구 용현동 ***-**","인천광역시 미추홀구 인주대로 ** (용현동)","22177","D&C Land","2025-12-31 18:18:49","U","2026-01-03 02:40:00","","168839.819084359","439481.746469013","동물미용업","동물미용업(일반)","000","0",
"8","동물미용업","02_03_11_P","4010000","401000004920230015","2023-09-05","","03","폐업","0002","폐업","2025-12-31","","","","","0","","경기도 시흥시 매화동 ***-*","경기도 시흥시 매화*로 **-*, *층 (매화동)","14940","이뿌개 사랑할개","2025-12-31 16:19:46","U","2026-01-03 02:40:00","","183400.444684331","434856.495289216","동물미용업","동물미용업(일반)","000","0",
"9","동물미용업","02_03_11_P","3860000","386000004920240001","2024-01-11","","03","폐업","0002","폐업","2025-12-31","","","","","0","","경기도 부천시 원미구 중동 **** 위브더스테이트 *동 ***호","경기도 부천시 원미구 신흥로 ***, 위브더스테이트 *동 ***호 (중동)","14574","옐레드 부천 신중동점","2025-12-31 10:57:05","U","2026-01-03 02:40:00","","180317.015615374","443971.656322195","동물미용업","동물미용업(일반)","000","0",
"10","동물미용업","02_03_11_P","5580000","558000004920230002","2023-05-25","","03","폐업","0002","폐업","2025-12-31","","","","042-551-0530","0","","충청남도 계룡시 금암동 **-* 반석빌딩","충청남도 계룡시 계룡대로 ***, 반석빌딩 *층 (금암동)","32827","주동물병원","2025-12-31 17:17:02","U","2026-01-03 02:40:00","","223241.298303936","307571.224960624","동물미용업","동물미용업(일반)","000","0",
