"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"1","담배소매업","11_43_02_P","3490000","2025349024205600050","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 중구 북성동3가 4-2","인천광역시 중구 차이나타운로 37-4, 지하1층 (북성동3가)","22311","씨유 인천차이나타운점","2025-12-31 14:22:57","I","2026-01-03 00:20:02","","166294.974610196","441598.339974561","20251231","제7조의3제2항에따른경우",
"2","담배소매업","11_43_02_P","3990000","2025399051205600085","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 남양주시 별내동 558-29","경기도 남양주시 불암로 41-160, 1층일부(정면:우측) (별내동)","12100","지에스(GS)25 삼육대학교점","2025-12-31 15:29:54","I","2026-01-03 00:20:02","","209593.391322933","460190.331721973","20251231","제7조의3제2항에따른경우",
"3","담배소매업","11_43_02_P","4191000","2025419100605600070","2025-12-31","","01","영업/정상","0","정상영업","","","","","02-6916-1500","","","강원특별자치도 원주시 무실동 1857-17","강원특별자치도 원주시 능라동길 27, 105,106호 (무실동)","26392","이마트24 원주센트럴점","2025-12-31 14:11:35","I","2026-01-03 00:20:02","","282175.317805616","426098.320760993","20251231","제7조의3제2항에따른경우",
"4","담배소매업","11_43_02_P","4080000","2025408026205600046","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 안성시 공도읍 만정리 302-13","경기도 안성시 공도읍 서동대로 4312","17559","씨유 안성공도만정점","2025-12-31 14:35:07","I","2026-01-03 00:20:02","","216093.867437822","389242.337539419","20251231","제7조의3제2항에따른경우",
"5","담배소매업","11_43_02_P","4080000","2025408026205600047","2025-12-31","","01","영업/정상","0","정상영업","","","","","02-535-6108","","","경기도 안성시 고삼면 봉산리 산 11-9","","","(주)비지에프휴먼넷 CU E고삼호수휴게소점","2025-12-31 14:37:21","I","2026-01-03 00:20:02","","226091.115261549","397303.328076191","20251231","제7조의3제2항에따른경우",
"6","담배소매업","11_43_02_P","4080000","2025408026205600048","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 안성시 죽산면 장계리 580","경기도 안성시 죽산면 걸미로 630","17522","씨유안성장계리점","2025-12-31 14:38:09","I","2026-01-03 00:20:02","","236517.758326356","394447.264189444","20251231","제7조의3제2항에따른경우",
"7","담배소매업","11_43_02_P","4490000","2025566002905600101","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","충청남도 천안시 서북구 백석동 957 1층 103호","충청남도 천안시 서북구 한들3로 78-9, 1층 103호 (백석동)","31091","플레이버포에버","2025-12-31 17:21:30","I","2026-01-03 00:20:02","","211029.828861671","369930.658850977","20251231","제7조의3제2항에따른경우",
"8","담배소매업","11_43_02_P","4490000","2025566002905600102","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","충청남도 천안시 서북구 성성동 827 상가동 104호","충청남도 천안시 서북구 성성6로 21, 상가동 104호 (성성동, 천안시티자이)","31078","지에스25(GS25)성성자이점","2025-12-31 17:19:24","I","2026-01-03 00:20:02","","210829.918086031","371228.281425083","20251231","제7조의3제2항에따른경우",
"9","담배소매업","11_43_02_P","5060000","2025506030705600025","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경상북도 김천시 대항면 향천리 311-13","경상북도 김천시 대항면 황학동길 40, 1층","39565","지에스(GS)25직지사점","2025-12-31 09:40:53","I","2026-01-03 00:20:02","","291545.923555309","290974.545789088","20251231","제7조의3제2항에따른경우",
"10","담배소매업","11_43_02_P","3660000","2025366021605600096","2025-12-30","","01","영업/정상","0","정상영업","","","","","","","","대전광역시 서구 도마동 584 도마 e편한세상 포레나","대전광역시 서구 도산로 8, 상가1동 101호, 102호 (도마동, 도마 e편한세상 포레나)","35402","씨유 대전도마포레나점","2025-12-31 08:31:42","I","2026-01-03 00:20:02","","234472.291450235","312469.451055091","20251230","제7조의3제2항에따른경우",
