"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","식육포장처리업","07_22_06_P","3620000","362000010420250011","2023-03-24","","01","영업/정상","0000","정상","","","","","","1408","","광주광역시 북구 지야동 807-6","광주광역시 북구 지산마을길 45-11, 1층 (지야동)","61027","서민축산(주)농업회사법인","2025-12-31 10:30:44","I","2026-01-03 00:20:02","","190289.931693926","192253.892429197","식육포장처리업","식육포장처리업","0","L00","0",
"2","식육포장처리업","07_22_06_P","4530000","453000010420250001","2025-12-31","","01","영업/정상","0000","정상","","","","","041-665-2657","0","","충청남도 서산시 해미면 웅소성리 128","충청남도 서산시 해미면 노루골길 200-89, 1,3동","31958","농업회사법인 주식회사아성푸드","2025-12-31 10:39:07","I","2026-01-03 00:20:02","","155853.378361888","359607.363789925","식육포장처리업","식육포장처리업","0","L00","0",
"3","식육포장처리업","07_22_06_P","3630000","363000010420250016","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","광주광역시 광산구 우산동 220-20","광주광역시 광산구 상무대로 507-17 (우산동)","62362","대산푸드","2025-12-31 15:04:05","I","2026-01-03 00:20:02","","183588.269722789","182810.525228772","식육포장처리업","식육포장처리업","0","000","0",
"4","식육포장처리업","07_22_06_P","5370000","537000010420250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","경상남도 거제시 옥포동 523-16 A동 1호","경상남도 거제시 옥포로22길 22-1, A동 1층 (옥포동)","53222","(유)청년","2025-12-31 16:41:44","I","2026-01-03 00:20:02","","354687.43600047","156454.962176584","식육포장처리업","식육포장처리업","0","L00","0",
"5","식육포장처리업","07_22_06_P","4830000","483000010420250013","2025-12-31","","01","영업/정상","0000","정상","","","","","","2380","","전라남도 나주시 노안면 용산리 805-3","전라남도 나주시 노안면 노안삼도로 358","58205","(주)해온푸드","2025-12-31 16:21:27","I","2026-01-03 00:20:02","","172910.73658527","175396.394813086","식육포장처리업","식육포장처리업","0","L00","0",
"6","식육포장처리업","07_22_06_P","5120000","512000010420250001","2025-12-31","","01","영업/정상","0000","정상","","","","","00-9014-1683","4662","","경상북도 문경시 마성면 외어리 산 116-8","경상북도 문경시 마성면 봉명길 208","36921","농업회사법인 대산축산 주식회사","2025-12-31 11:18:50","I","2026-01-03 00:20:02","","301205.615098145","356374.633302352","식육포장처리업","식육포장처리업","0","L00","0",
"7","식육포장처리업","07_22_06_P","3360000","336000010420190018","2019-07-19","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 강서구 신호동 252-1","부산광역시 강서구 신호이로75번길 30-7, 우리집 1층 오른쪽 2호 (신호동)","46759","강동푸드","2025-12-31 11:34:40","U","2026-01-03 02:40:00","","371309.70104845","177506.633931042","식육포장처리업","식육포장처리업","0","000","0",
"8","식육포장처리업","07_22_06_P","3730000","373000010420160005","2016-10-14","","03","폐업","0002","폐업","2025-12-31","","","","052-254-8584","0","","울산광역시 울주군 삼남읍 신화리 1481-9","울산광역시 울주군 삼남읍 중남2길 3","44953","태양F&C","2025-12-31 17:45:44","U","2026-01-03 02:40:00","","391188.754529971","228467.664791616","식육포장처리업","식육포장처리업","0","000","0",
"9","식육포장처리업","07_22_06_P","5380000","538000010420200001","2020-01-06","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 명동 791","경상남도 양산시 서창로 37 (명동)","50536","정푸드","2025-12-31 09:22:12","U","2026-01-03 02:40:00","","396529.585294112","213829.986905698","식육포장처리업","식육포장처리업","0","000","0",
"10","식육포장처리업","07_22_06_P","5410000","541000010420180001","2018-06-14","","01","영업/정상","0000","정상","","","","","055-532-7876","14630","","경상남도 창녕군 대지면 효정리 391","경상남도 창녕군 대지면 우포2로 1069-79","50319","우신 농업회사법인주식회사","2025-12-31 08:46:34","U","2026-01-03 02:40:00","","334111.73028008","229752.515374016","식육포장처리업","식육포장처리업","0","L00","0",
