"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","부속의료기관","01_01_03_P","5670000","PHMA320225670554041300001","2022-07-29","","02","휴업","02","휴업","","2026-01-03","2026-04-03","","","","","","경상남도 창원시 성산구 창원대로 1124, 지엠대우창원공장 (성주동)","51539","한국지엠 주식회사 창원공장 부속의원","2026-01-05 14:21:23","U","2026-01-07 02:40:00","","354934.615950986","189907.545549006","부속의원","3","0","0","274","101 104 105 114 124","내과, 외과, 정형외과, 피부과, 직업환경의학과","","","","0","0","","","0","",
"2","부속의료기관","01_01_03_P","4191000","PHMA320134190023021300001","2013-02-01","","03","폐업","03","폐업","2026-01-07","","","","033-741-6114","","","강원특별자치도 원주시 소초면 수암리 87-9","강원특별자치도 원주시 소초면 바우실길 217","26308","36사단 의무근무대","2026-01-05 18:04:34","U","2026-01-07 02:40:00","","289223.908652062","432179.457450847","군부대시설","2","0","2","1174","605 211 210 209 208 207 206 205 203 202 201 121 120 119 118 116 114 113 112 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 안과, 이비인후과, 피부과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 결핵과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과, 치과, 의무대","","","","0","0","","","0","",
"3","부속의료기관","01_01_03_P","3620000","PHMA320123620020041300001","2012-08-08","","01","영업/정상","13","영업중","","","","","062-970-5095","","500-480","광주광역시 북구 오룡동 1119번지","광주광역시 북구 앰코로 70 (오룡동, 삼성전자(주))","61010","삼성전자(주)부속의원","2026-01-09 17:26:43","U","2026-01-11 02:40:00","","186730.810769657","191810.525908249","부속의원","2","0","0","136","101 103 104 105 112 122 114 120 113","내과, 정신건강의학과, 외과, 정형외과, 안과, 이비인후과, 피부과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"4","부속의료기관","01_01_03_P","3010000","PHMA319903010033041300001","1990-02-20","","01","영업/정상","13","영업중","","","","","02-2151-5824","","","서울특별시 중구 태평로2가 120 대경빌딩 신한은행 본점","서울특별시 중구 세종대로9길 20, 대경빌딩 신한은행 본점 15층 (태평로2가)","04513","신한은행부속의원","2026-01-09 04:13:15","U","2026-01-11 02:40:00","","197699.396252332","450972.803825672","부속의원","1","0","0","52.8","101","내과","","","","0","0","","","0","",
"5","부속의료기관","01_01_03_P","3210000","PHMA320153210034041300001","2015-11-06","","01","영업/정상","13","영업중","","","","","02-6147-3690","","","","서울특별시 서초구 성촌길 34, F동 지1층 (우면동, (주)삼성전자 우면R&D 쎈터)","06765","삼성전자 서울알앤디(R&D) 부속의원","2026-01-07 16:22:19","U","2026-01-10 02:40:00","","202070.429402224","440438.965829416","부속의원","9","0","0","963.95","103 122","정신건강의학과, 가정의학과","","","","0","0","","","0","",
"6","부속의료기관","01_01_03_P","3210000","PHMA320153210034041300002","2015-12-07","","01","영업/정상","13","영업중","","","","","02-6147-3699","","","","서울특별시 서초구 성촌길 34, F동 지1층 (우면동, (주)삼성전자 우면R&D 쎈터)","06765","삼성전자 서울알앤디(R&D)부속 치과의원","2026-01-07 16:27:49","U","2026-01-10 02:40:00","","202070.429402224","440438.965829416","부속의원","1","0","0","325.05","412","통합치의학과","","","","0","0","","","0","",
"7","부속의료기관","01_01_03_P","3210000","PHMA320183210034041300001","2018-06-25","","01","영업/정상","13","영업중","","","","","02-2107-1119","","","서울특별시 서초구 방배동 2724 (주)CJ ENM","서울특별시 서초구 과천대로 870-13, (주)CJ ENM (방배동)","06761","씨제이이엔엠(CJ ENM)부속의원","2026-01-09 06:43:19","U","2026-01-11 02:40:00","","198836.324746887","440753.993971457","부속의원","2","0","0","215.98","101 105 122","내과, 정형외과, 가정의학과","","","","0","0","","","0","",
"8","부속의료기관","01_01_03_P","3010000","PHMA320173010033041300001","2017-11-14","","01","영업/정상","13","영업중","","","","","02-6950-1688","","","","서울특별시 중구 을지로 100, A동 3층 301호 (을지로2가)","04551","신한카드부속의원","2026-01-09 06:43:15","U","2026-01-11 02:40:00","","198921.241301241","451495.985361171","부속의원","1","0","0","180.94","122","가정의학과","","","","0","0","","","0","",
"9","부속의료기관","01_01_03_P","4490000","PHMA320024490042041300001","2002-07-04","","01","영업/정상","13","영업중","","","","","041-925-3117","","331-710","충청남도 천안시 서북구 성성동 510번지","충청남도 천안시 서북구 번영로 465 (성성동)","31086","삼성천안부속의원","2025-12-30 14:01:11","U","2026-01-03 02:40:00","","210214.074983585","371135.756827183","부속의원","6","0","0","167.42","101 104 122 114 105 112 103","내과, 정신건강의학과, 외과, 정형외과, 안과, 피부과, 가정의학과","","","","0","0","","","0","",
"10","부속의료기관","01_01_03_P","4520000","PHMA320114520031041300001","2011-07-05","","01","영업/정상","13","영업중","","","","","041-623-9372","","","","충청남도 아산시 탕정면 탕정로 380-2","31454","삼성디스플레이(주) 아산2 부속의원","2026-01-15 22:43:25","U","2026-01-17 02:40:00","","205572.745307463","368619.108181335","부속의원","10","0","0","304.88","101 103 104 105 112 114 122","내과, 정신건강의학과, 외과, 정형외과, 안과, 피부과, 가정의학과","","","","0","0","","","0","",
