"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6260000","201462600000040003-20140701","2014-07-01","","01","영업/정상","0","운영","","","","","0518978232","","","부산광역시 부산진구 개금동 182-13 미래산후조리원6층","부산광역시 부산진구 가야대로 474, 미래산후조리원 6층(개금동)","","가족사랑요양보호사교육원","2026-01-02 10:00:55","U","2026-01-04 02:40:00","","","","","","","",
"2","요양보호사교육기관","11_49_01_P","6260000","202262600000040002-20220727","2022-07-27","","01","영업/정상","0","운영","","","","","0517107883","","","부산광역시 수영구 수영동 446-14","부산광역시 수영구 연수로 419, 3층(수영동)","","영광 요양보호사교육원","2026-01-02 09:44:03","U","2026-01-04 02:40:00","","","","","","","",
"3","요양보호사교육기관","11_49_01_P","6470000","202664700000040001-20260105","2026-01-05","","01","영업/정상","0","운영","","","","","0549799565","","","경상북도 칠곡군 기산면 봉산리 123번지 경북과학대학교","경상북도 칠곡군 기산면 지산로 634, 경북과학대학교","47850","경북과학대학교 부설 요양보호사교육원","2026-01-05 17:05:46","I","2026-01-07 00:20:36","","321384.908516028","276639.805804405","","","","",
"4","요양보호사교육기관","11_49_01_P","6470000","202664700000040002-20260105","2026-01-05","","01","영업/정상","0","운영","","","","","0538501363","","","경상북도 경산시 자인면 단북리 63번지 대경대학","경상북도 경산시 자인면 단북1길 65, 대경대학","47290","대경대학교 부설 요양보호사교육원","2026-01-05 17:25:03","I","2026-01-07 00:20:36","","364611.019535449","260984.712045934","","","","",
"5","요양보호사교육기관","11_49_01_P","6480000","202164800000040018-20210806","2021-08-06","","01","영업/정상","0","운영","","","","","0553650222","","","경상남도 양산시 중부동 692-3 나래프라자701호중일부","경상남도 양산시 양산역1길 18, 나래프라자701호중일부(중부동)","","양산제일요양보호사교육원","2026-01-05 09:15:31","U","2026-01-07 02:40:00","","","","","","","",
"6","요양보호사교육기관","11_49_01_P","6460000","201964600000040004-20190729","2019-07-29","","01","영업/정상","0","운영","","","","","0617833344","","","전라남도 구례군 구례읍 봉남리 301-1","전라남도 구례군 구례읍 중앙로 37, 3층","","새희망 구례요양보호사교육원","2026-01-07 15:24:09","U","2026-01-09 02:40:00","","","","","","","",
"7","요양보호사교육기관","11_49_01_P","6110000","202361100000040010-20230321","2023-03-21","","01","영업/정상","0","운영","","","","","029079979","","","서울특별시 도봉구 쌍문동 372-11","서울특별시 도봉구 노해로 137, 4층(쌍문동)","","케어플러스요양보호사교육원","2026-01-06 09:04:34","U","2026-01-09 02:40:00","","","","","","","",
"8","요양보호사교육기관","11_49_01_P","6260000","202262600000040003-20220829","2022-08-29","","01","영업/정상","0","운영","","","","","0519280508","","","부산광역시 사상구 괘법동 554-11 비철금속","부산광역시 사상구 사상로163번길 20, 비철금속 2층(괘법동)","","온정 요양보호사교육원","2026-01-06 15:06:02","U","2026-01-09 02:40:00","","","","","","","",
"9","요양보호사교육기관","11_49_01_P","6110000","202361100000040024-20230925","2023-09-25","","01","영업/정상","0","운영","","","","","0218334523","","","서울특별시 성동구 옥수동 284-3","서울특별시 성동구 독서당로 210, 3층 (옥수동)","","케어에듀옥수요양보호사교육원","2026-01-07 14:12:56","U","2026-01-09 02:40:00","","","","","","","",
"10","요양보호사교육기관","11_49_01_P","6480000","202264800000040010-20220328","2022-03-28","","01","영업/정상","0","운영","","","","","0553247008","","","경상남도 김해시 삼방동 194-3","경상남도 김해시 활천로 294, 4층(삼방동)","","은석요양보호사교육원","2026-01-08 17:17:29","U","2026-01-10 02:40:00","","","","","","","",
