"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","가축분뇨 수집운반업","09_30_01_P","6510000","651000053201900003","2019-12-26","","03","폐업","2","폐업","2026-01-06","","","","064-759-5458","","","제주특별자치도 제주시 도두이동 1125 제주위생처리장","제주특별자치도 제주시 제성1길 50, 제주위생처리장 (도두이동)","63116","청수환경위생(주)","2026-01-06 09:49:13","U","2026-01-09 02:40:00","분뇨 및 축산분뇨 처리업","151854.037068843","326.328735325469","분뇨등관련영업관리","분뇨 및 축산분뇨 처리업","","","","0","","0",
"2","가축분뇨 수집운반업","09_30_01_P","3110000","311000053200200001","2002-03-13","","03","폐업","2","폐업","2026-01-09","","","","","","122-010","서울특별시 은평구 응암동 109-3 서강스카이빌상가 101호","","","(주)성신환경","2026-01-09 16:53:26","U","2026-01-11 02:40:00","","192994.628012876","455276.677445927","분뇨등관련영업관리","","","","","0","","0",
"3","가축분뇨 수집운반업","09_30_01_P","4301000","430100053201400001","2014-10-07","","01","영업/정상","3","영업","","","","","","","269-816","강원특별자치도 철원군 동송읍 이평리 268-1","강원특별자치도 철원군 동송읍 금학로 36","269-816","농업회사법인(주)금학환경","2026-01-12 16:33:15","U","2026-01-14 02:40:00","","219851.940020193","521204.119732536","분뇨등관련영업관리","","","","","0","","0",
"4","가축분뇨 수집운반업","09_30_01_P","4301000","430100053201500003","2015-11-11","","01","영업/정상","3","영업","","","","","452-3385","","269-850","강원특별자치도 철원군 근남면 풍암리 243","","","원환경","2026-01-12 16:33:14","U","2026-01-14 02:40:00","","242336.56501004","528644.429411369","분뇨등관련영업관리","","","","","0","","0",
"5","가축분뇨 수집운반업","09_30_01_P","4930000","493000053201500001","2015-03-02","","01","영업/정상","3","영업","","","","","061-536-3214","","","전라남도 해남군 해남읍 용정리 91-6 좋은농부들","전라남도 해남군 해남읍 용머리길 21-20, 좋은농부들","59032","좋은농부들영농조합법인","2026-01-09 17:07:10","U","2026-01-11 02:40:00","분뇨 및 축산분뇨 처리업","162013.837093879","118172.573034898","분뇨등관련영업관리","분뇨 및 축산분뇨 처리업","","","","0","","0",
"6","가축분뇨 수집운반업","09_30_01_P","4050000","405000053202000001","2020-01-10","","01","영업/정상","3","영업","","","","","031-333-7821","","","경기도 용인시 처인구 양지읍 남곡리 638 미성석재","경기도 용인시 처인구 양지읍 은이로 165-4, 미성석재","17161","정인","2026-01-02 10:54:57","U","2026-01-04 02:40:00","축산분뇨 처리업","224721.896974614","412730.067649225","분뇨등관련영업관리","축산분뇨 처리업","","","","0","","0",
"7","가축분뇨 수집운반업","09_30_01_P","4311000","431100053202600001","2026-01-15","","01","영업/정상","3","영업","","","","","033-452-8472","","","강원특별자치도 철원군 갈말읍 군탄리 779-3 씨아이바이오텍(주)","강원특별자치도 철원군 갈말읍 풍전길 44, 씨아이바이오텍(주)","24032","(주)에코이에스","2026-01-15 17:53:17","I","2026-01-17 00:20:02","종합 건설업","226835.565989817","517739.00304739","분뇨등관련영업관리","종합 건설업","","","","0","","0",
"8","가축분뇨 수집운반업","09_30_01_P","4520000","452000053200500001","2005-04-11","","01","영업/정상","3","영업","","","","","0415422929","","","충청남도 아산시 법곡동 334 신원더파크 2차아파트","충청남도 아산시 법곡길 20-12, 101동 6층 604호 (법곡동, 신원더파크 2차아파트)","31560","온양정화","2026-01-08 15:23:39","U","2026-01-10 02:40:00","","200813.44800062","362634.138951951","분뇨등관련영업관리","","","","","0","","0",
"9","가축분뇨 수집운반업","09_30_01_P","4520000","452000053199800008","1998-01-21","","01","영업/정상","3","영업","","","","","545-5531","","336-120","충청남도 아산시 득산동 75-11","충청남도 아산시 득산로41번길 7-28 (득산동)","336-120","(자)온양위생","2026-01-08 15:13:50","U","2026-01-10 02:40:00","","197350.197220842","363971.673908827","분뇨등관련영업관리","","","","","0","","0",
"10","가축분뇨 수집운반업","09_30_01_P","4691000","469100053200000005","2008-01-04","","01","영업/정상","3","영업","","","","","","","580-833","전북특별자치도 정읍시 덕천면 하학리 337-1","전북특별자치도 정읍시 덕천면 동학로 521","","그린미화사","2026-01-09 11:19:11","U","2026-01-11 02:40:00","","182574.657548453","236024.598555896","분뇨등관련영업관리","","","","","0","","0",
"11","가축분뇨 수집운반업","09_30_01_P","4691000","469100053200000003","2007-12-31","","01","영업/정상","3","영업","","","","","","","","전북특별자치도 정읍시 상동 976 상동1차 영무예다음아파트","전북특별자치도 정읍시 학산로 89-96, 102동 1102호 (상동, 상동1차 영무예다음아파트)","56194","친환경","2026-01-12 17:35:36","U","2026-01-14 02:40:00","","","","분뇨등관련영업관리","","","","","0","","0",
"12","가축분뇨 수집운반업","09_30_01_P","4691000","469100053200200001","2008-01-04","","01","영업/정상","3","영업","","","","","","","580-804","전북특별자치도 정읍시 수성동 1010-8","전북특별자치도 정읍시 수성5로 27-11 (수성동)","","정읍미화사","2026-01-08 16:33:42","U","2026-01-10 02:40:00","","187185.265677817","231781.557768613","분뇨등관련영업관리","","","","","0","","0",
"13","가축분뇨 수집운반업","09_30_01_P","4610000","461000053200700001","2007-11-14","","01","영업/정상","3","영업","","","","","","","","충청남도 예산군 예산읍 신례원리 292-6","충청남도 예산군 예산읍 신례원로 173","32421","태선위생","2026-01-06 09:11:13","U","2026-01-09 02:40:00","","185886.128822737","358182.643338008","분뇨등관련영업관리","","","","","0","","0",
"14","가축분뇨 수집운반업","09_30_01_P","4530000","453000053200900001","2009-02-06","","01","영업/정상","3","영업","","","","","041)664-0909","","","충청남도 서산시 잠홍동 386-1","충청남도 서산시 홍천로 73-1 (잠홍동)","31966","서산축산액비유통영농조합법인","2026-01-13 13:33:14","U","2026-01-15 02:40:00","","153715.241834174","365969.904134432","분뇨등관련영업관리","","","","","0","","0",
"15","가축분뇨 수집운반업","09_30_01_P","5530000","553000053202400004","2024-11-20","","01","영업/정상","3","영업","","","","","031-356-0612","","","경기도 화성시 서신면 용두리 276-1","경기도 화성시 서신면 궁평항로 1442","18556","(주)선인로지스","2026-01-13 16:37:31","U","2026-01-15 02:40:00","","173378.520508106","404835.299130138","분뇨등관련영업관리","","","","","0","","0",
