"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","대기오염물질배출시설설치사업장","09_30_08_P","4721000","472100021202500012","2025-12-30","","01","영업/정상","11","영업","","","","","063-242-7288","","","전북특별자치도 완주군 용진읍 구억리 818-1","전북특별자치도 완주군 용진읍 구억명덕로 39-20","55353","태을로","2025-12-31 17:58:28","I","2026-01-03 00:20:02","욕탕업","214409.558065399","263884.862934435","대기배출업소관리","욕탕업","5종","","24","365","24","365","4640685784",
"2","대기오염물질배출시설설치사업장","09_30_08_P","4721000","472100021202500011","2025-12-30","","01","영업/정상","11","영업","","","","","063-244-0045","","","전북특별자치도 완주군 용진읍 운곡리 26-1","전북특별자치도 완주군 용진읍 신지송광로 328-6","55352","전주첨성대한증막","2025-12-31 17:59:03","I","2026-01-03 00:20:02","욕탕업","217032.772627501","266570.554955447","대기배출업소관리","욕탕업","5종","","24","365","24","365","4490202949",
"3","대기오염물질배출시설설치사업장","09_30_08_P","4721000","472100021202500009","2025-12-30","","01","영업/정상","11","영업","","","","","063-221-4005","","","전북특별자치도 완주군 구이면 안덕리 95","전북특별자치도 완주군 구이면 장파길 72","55363","안덕한증막","2025-12-31 17:59:30","I","2026-01-03 00:20:02","욕탕업","208966.407430871","243908.936911938","대기배출업소관리","욕탕업","5종","","24","365","24","365","5844200828",
"4","대기오염물질배출시설설치사업장","09_30_08_P","4721000","472100021202500010","2025-12-30","","01","영업/정상","11","영업","","","","","063-246-4836","","","전북특별자치도 완주군 소양면 해월리 738-24","전북특별자치도 완주군 소양면 전진로 893-21","55347","소양참숯찜질방","2025-12-31 17:59:38","I","2026-01-03 00:20:02","욕탕업","223307.524262805","261455.724140113","대기배출업소관리","욕탕업","5종","","24","365","24","365","4493401290",
"5","대기오염물질배출시설설치사업장","09_30_08_P","4090000","409000021202500083","2025-12-30","","01","영업/정상","11","영업","","","","","0319898031","","","경기도 김포시 하성면 원산리 693","경기도 김포시 하성면 애기봉로 763-31","10011","극동중전기(주)","2025-12-31 13:28:22","I","2026-01-03 00:20:02","변압기 제조업","","","대기배출업소관리","변압기 제조업","5종","","8","300","8","300","1378151396",
"6","대기오염물질배출시설설치사업장","09_30_08_P","4980000","498000021202500003","2025-12-31","","01","영업/정상","11","영업","","","","","","","","전라남도 장성군 동화면 남산리 684","전라남도 장성군 동화면 금강산로 236","57242","(유)대승산업","2025-12-31 14:09:56","I","2026-01-03 00:20:02","","174678.764302518","195631.034445537","대기배출업소관리","","5종","","8","300","8","300","6808601167",
"7","대기오염물질배출시설설치사업장","09_30_08_P","5400000","540000021202500023","2025-10-24","","01","영업/정상","11","영업","","","","","","","","경상남도 함안군 군북면 유현리 823-1 선진타이어","경상남도 함안군 군북면 현포로 138","52063","(주)지구생각","2025-12-31 14:28:37","I","2026-01-03 00:20:02","","322974.616623273","199516.603736777","대기배출업소관리","","4종","","8","300","8","300","8758703509",
"8","대기오염물질배출시설설치사업장","09_30_08_P","5400000","540000021202500024","2025-10-17","","01","영업/정상","11","영업","","","","","0552313006","","","경상남도 함안군 군북면 사도리 1248-4","경상남도 함안군 군북면 함안산단4길 10","52061","(주)지은산업","2025-12-31 15:41:14","I","2026-01-03 00:20:02","","319948.788090024","199877.991965162","대기배출업소관리","","4종","","10","300","10","300","8318803340",
"9","대기오염물질배출시설설치사업장","09_30_08_P","3000000","300000021201500036","2015-12-08","","01","영업/정상","11","영업","","","","","740-8114","","","서울특별시 종로구 연건동 28-2","서울특별시 종로구 대학로 103 (연건동, 서울대학교 의과대학)","03080","서울대학교의과대학","2025-12-31 12:31:48","U","2026-01-03 02:40:00","부동산 임대업","199884.542817692","453159.275389535","대기배출업소관리","부동산 임대업","4종","","12","360","12","360","1018221207",
"10","대기오염물질배출시설설치사업장","09_30_08_P","3030000","303000021201900001","2019-02-19","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-31","","","","","","","서울특별시 성동구 성수동2가 271-3 2, 3층","서울특별시 성동구 연무장길 87, 2,3층 (성수동2가)","04783","㈜헐크모터스","2025-12-31 15:07:17","U","2026-01-03 02:40:00","도장 및 기타 피막처리업","205139.510454711","448820.400834501","대기배출업소관리","도장 및 기타 피막처리업","5종","","","0","","0","8328102549",
