"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"1","옥외광고업","04_15_01_P","5190000","2025519012308500001","2025-12-31","","01","영업/정상","20","정상","","","","","","","","","경상북도 청도군 청도읍 냉정길 **","38339","예가애드","2025-12-31 16:02:20","I","2026-01-03 00:20:02","","357480.063852568","240030.355830134","",
"2","옥외광고업","04_15_01_P","4540000","2011454018308500005","2025-12-31","","01","영업/정상","20","정상","","","","","","","","충청남도 논산시 연무읍 안심리 **-**","충청남도 논산시 연무읍 연무로***번길 **","33007","연무광고 안전공사","2025-12-31 09:56:55","U","2026-01-03 02:40:00","","209313.443111539","292422.712885545","판촉, 인쇄물 광고물 제작 및 설치",
"3","옥외광고업","04_15_01_P","5100000","2023510025808500001","2025-04-16","","03","폐업","40","폐업","2025-12-31","","","","","","","","경상북도 영천시 영화새싹길 **-*, ***호 (화룡동)","38839","주식회사 에쓰엠텍","2025-12-31 13:02:34","U","2026-01-03 02:40:00","","373272.997545136","275486.337463361","부산 사상구 전출",
"4","옥외광고업","04_15_01_P","3320000","2024332009408500003","2023-06-21","","01","영업/정상","20","정상","","","","","","","","부산광역시 북구 구포동 ****-** 평해빌딩","부산광역시 북구 낙동북로***번길 **-*, 평해빌딩 ***호 (구포동)","46586","부경기획","2025-12-31 14:38:14","U","2026-01-03 02:40:00","","381432.330084105","190402.183262767","옥외광고대행, 광고대행",
"5","옥외광고업","04_15_01_P","5310000","2017531024308500014","2017-11-29","","03","폐업","40","폐업","2025-12-31","","","","070 89945201","","","경상남도 진주시 충무공동 **-* 윙스타워 B동 ****호","경상남도 진주시 동부로***번길 **, 윙스타워 B동 ****호 (충무공동)","52818","단디기획","2025-12-31 17:58:48","U","2026-01-03 02:40:00","","302626.809267343","185667.81402946","옥외광고물 등
컴퓨터그래픽스운용기능사-강은정",
"6","옥외광고업","04_15_01_P","5310000","2009531002408500008","2012-05-15","","02","휴업","30","휴업","","2025-12-31","2026-12-31","","055  7631072","","","경상남도 진주시 가좌동 ****-*","경상남도 진주시 가좌길**번길 ** (가좌동)","52822","(주)그린숀","2025-12-31 17:58:39","U","2026-01-03 02:40:00","","300773.868510601","185124.504046149","간판 및 광고물제작
옥외광고사-김찬훈",
"7","옥외광고업","04_15_01_P","4400000","1991440000008205354","2025-12-29","","01","영업/정상","20","정상","","","","","043  6429211","","","충청북도 제천시 동현동 ***","충청북도 제천시 숭의로**길 ** (동현동)","27181","아름미술광고사·고소작업차","2025-12-31 09:25:06","U","2026-01-03 02:40:00","","308299.82302919","403934.303786164","광고제작업",
"8","옥외광고업","04_15_01_P","3940000","2001394006308200007","2001-03-09","","03","폐업","40","폐업","2025-12-29","","","","031 967 6362","","","경기도 고양시 일산동구 성석동 ***-* ***호","경기도 고양시 일산동구 성현로 ***, ***호 (성석동)","10252","한창에이디공사","2025-12-31 07:49:26","U","2026-01-03 02:40:00","","182914.212108239","467427.447690833","광고업",
"9","옥외광고업","04_15_01_P","3350000","2025335014808500001","2025-01-16","","03","폐업","40","폐업","2025-12-31","","","","","","","부산광역시 금정구 장전동 ***-*","부산광역시 금정구 장전로 **-*, *층 (장전동)","46294","잼머스","2025-12-31 15:23:43","U","2026-01-03 02:40:00","","389649.943306863","194189.183530548","기업 홍보 및 영상 제작, 마케팅 광고 대행 및 운영",
"10","옥외광고업","04_15_01_P","3230000","2026323030308500001","2026-01-02","","01","영업/정상","20","정상","","","","","","","","","서울특별시 송파구 법원로*길 **, 에이치비즈니스파크 C동 ***호 (문정동)","05836","지엠테크(주)","2026-01-02 14:36:50","I","2026-01-04 00:20:12","","","","옥외광고물 제작, 설치, 광고대행",
"11","옥외광고업","04_15_01_P","3050000","2026305030408500001","2026-01-02","","01","영업/정상","20","정상","","","","","","","","서울특별시 동대문구 제기동 ***-*","서울특별시 동대문구 제기로 **, *층 (제기동)","02478","시소사인","2026-01-02 13:10:57","I","2026-01-04 00:20:12","","203239.882826386","453786.147833158","간판제조",
"12","옥외광고업","04_15_01_P","3040000","2026304021508500001","2025-12-31","","01","영업/정상","20","정상","","","","","","","","","서울특별시 광진구 군자로 ***, B*층 G-**호 (군자동)","04998","스타트간판","2026-01-02 09:53:54","I","2026-01-04 00:20:12","","206686.595268579","450299.12481082","",
