"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"1","대규모점포","08_25_01_P","4691000","2025469107607500001","2025-12-31","","01","영업/정상","1","정상영업","","","","","063-570-2500","11219.01","","전북특별자치도 정읍시 농소동 446-1 롯데마트","전북특별자치도 정읍시 벚꽃로 85, 롯데마트 (농소동)","56156","롯데쇼핑(주) 롯데마트 정읍점","2025-12-31 18:00:40","I","2026-01-03 00:20:02","대형마트","185466.212511596","231110.263474669","대규모점포",
"2","대규모점포","08_25_01_P","5350000","2013535019607500001","2013-07-03","","01","영업/정상","1","정상영업","","","","","055 340 2802","11249.63","621-010","경상남도 김해시 부원동  부원역세권지구 A-1블럭","경상남도 김해시 김해대로 2330 (부원동)","621-907","롯데쇼핑(주) 롯데마트 김해점","2025-12-31 11:28:16","U","2026-01-03 02:40:00","대형마트","371275.452046503","193430.416033372","대규모점포",
"3","대규모점포","08_25_01_P","4800000","2002480001307500012","2002-05-16","","01","영업/정상","1","정상영업","","2021-09-23","2022-01-30","","061 2802542","10361.1","","전라남도 목포시 상동 1134호","전라남도 목포시 원형서로 15 (상동)","530-826","롯데쇼핑(주)롯데마트맥스 목포점","2025-12-31 15:18:37","U","2026-01-03 02:40:00","대형마트","147706.171172646","144446.120390505","대규모점포",
"4","대규모점포","08_25_01_P","3150000","2008315012307500001","2008-10-31","","02","휴업","2","휴업처리","","2025-12-28","2026-12-27","","02-2063-2080","10037","157-202","서울특별시 강서구 가양동 18번지 24호","서울특별시 강서구 양천로 431 (가양동, 홈플러스)","157-800","홈플러스(주) 가양점","2025-12-31 09:22:21","U","2026-01-03 02:40:00","대형마트","186687.131804431","451342.773451086","대규모점포",
"5","대규모점포","08_25_01_P","3210000","2015321015507500001","2015-02-03","","01","영업/정상","1","정상영업","","","","","02-2145-8000","12066.12","","서울특별시 서초구 서초동 1498-5 마제스타시티, 힐스테이트 서리풀","서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티, 힐스테이트 서리풀)","06655","롯데쇼핑(주) 롯데마트 서초점","2025-12-31 10:44:38","U","2026-01-03 02:40:00","복합쇼핑몰","200440.010811975","443124.671418408","대규모점포",
"6","대규모점포","08_25_01_P","3630000","2002363004107500001","2002-10-18","","01","영업/정상","1","정상영업","","","","","062-962-2500","8467.14","","광주광역시 광산구 쌍암동 694번지 3호","광주광역시 광산구 첨단강변로99번길 22 (쌍암동, 롯데마트)","62279","롯데쇼핑(주)롯데마트첨단점","2025-12-31 14:04:33","U","2026-01-03 02:40:00","복합쇼핑몰","186442.331564071","190821.237685395","대규모점포",
"7","대규모점포","08_25_01_P","3630000","2009363008007500002","2009-09-22","","01","영업/정상","1","정상영업","","","","","062-975-2522","8499","506-251","광주광역시 광산구 장덕동 1678번지 1호","광주광역시 광산구 장신로 98 (장덕동)","506-859","롯데쇼핑(주) 롯데마트 수완점","2025-12-31 14:05:20","U","2026-01-03 02:40:00","대형마트","183530.641093884","187845.528746071","대규모점포",
"8","대규모점포","08_25_01_P","3740000","2015374030907500004","2000-11-13","","02","휴업","2","휴업처리","","2025-12-28","2026-12-25","","031-252-2080","9326.64","","경기도 수원시 영통구 원천동 177번지 1호","경기도 수원시 영통구 중부대로 437 (원천동)","16513","홈플러스(주) 원천점","2025-12-31 17:05:19","U","2026-01-03 02:40:00","대형마트","205572.586871555","418683.704929064","대규모점포",
"9","대규모점포","08_25_01_P","3740000","2011374017307500004","2002-12-05","","01","영업/정상","1","정상영업","","","","","031-246-9092","1482.6","","","경기도 수원시 장안구 정자천로 187 (정자동)","440-301","롯데쇼핑(주) 롯데슈퍼 정자점","2025-12-31 17:21:45","U","2026-01-03 02:40:00","구분없음","199524.963492432","421620.627876998","준대규모점포",
"10","대규모점포","08_25_01_P","3740000","2011374017307500010","2009-07-10","","01","영업/정상","1","정상영업","","","","","031-217-5604","402","442-828","경기도 수원시 팔달구 인계동 362번지","경기도 수원시 팔달구 권광로 262 (인계동)","442-828","롯데쇼핑(주) 롯데슈퍼 인계점","2025-12-31 17:14:22","U","2026-01-03 02:40:00","구분없음","203100.01965872","418750.284714679","준대규모점포",
"11","대규모점포","08_25_01_P","3740000","2011374017307500012","2010-02-27","","01","영업/정상","1","정상영업","","","","","031-216-5603","253.8","","","경기도 수원시 팔달구 중부대로143번길 39 (우만동)","442-191","롯데쇼핑(주) 롯데슈퍼 우만점","2025-12-31 17:22:15","U","2026-01-03 02:40:00","구분없음","202779.748295951","419781.817002439","준대규모점포",
"12","대규모점포","08_25_01_P","4641000","2004464027907500001","2004-05-21","","01","영업/정상","1","정상영업","","","","","063-289-3611","28179","","전북특별자치도 전주시완산구 서신동 971호","전북특별자치도 전주시 완산구 온고을로 2 (서신동)","","롯데쇼핑(주) 롯데백화점 전주점","2026-01-01 06:37:08","U","2026-01-03 02:40:00","백화점","210932.176422652","259384.667767568","대규모점포",
"13","대규모점포","08_25_01_P","3630000","2012363017007500001","2012-02-23","","01","영업/정상","1","정상영업","","","","","062-616-2013","24715.98","506-251","광주광역시 광산구 장덕동 1678번지","광주광역시 광산구 장신로 98 (장덕동)","506-251","롯데쇼핑(주)롯데아울렛 수완점","2025-12-31 14:04:58","U","2026-01-03 02:40:00","쇼핑센터","183530.641093884","187845.528746071","대규모점포",
"14","대규모점포","08_25_01_P","5670000","2012567035807500001","2012-05-02","","01","영업/정상","1","정상영업","","","","","02-2145-8473","15537.26","","경상남도 창원시 마산회원구 양덕동 84번지 14호","경상남도 창원시 마산회원구 삼호로 80 (양덕동)","51322","롯데쇼핑(주) 롯데마트 양덕점","2025-12-31 07:46:58","U","2026-01-03 02:40:00","대형마트","344258.629103871","192909.719460689","대규모점포",
"15","대규모점포","08_25_01_P","5670000","2010567002307500001","2010-12-15","","01","영업/정상","1","정상영업","","","","","0552402500","13646","642-030","경상남도 창원시 성산구 중앙동 92번지","경상남도 창원시 성산구 중앙대로 123 (중앙동)","642-845","롯데쇼핑(주) 롯데마트맥스 창원중앙점","2025-12-31 07:31:40","U","2026-01-03 02:40:00","복합쇼핑몰","352898.792946041","193096.389570807","대규모점포",
"16","대규모점포","08_25_01_P","5670000","2002528011707500001","2002-04-13","","01","영업/정상","1","정상영업","","","","","055 230 2523","9420.86","","경상남도 마산시 창포동1가 8번지 1호","경상남도 창원시 마산합포구 신마산시장길 33 (창포동3가)","631-343","롯데쇼핑(주) 롯데마트 마산점","2025-12-31 07:24:32","U","2026-01-03 02:40:00","구분없음","342094.201087284","188019.880247417","대규모점포",
"17","대규모점포","08_25_01_P","5670000","2008527018207500001","2008-06-02","","01","영업/정상","1","정상영업","","","","","055-385-2500","10040.05","","경상남도 창원시 성산구 대원동 121 더시티세븐","경상남도 창원시 성산구 원이대로 320, 더시티세븐 (대원동)","51408","롯데쇼핑(주) 롯데마트 시티세븐점","2025-12-31 07:26:57","U","2026-01-03 02:40:00","대형마트","350381.455011533","194669.203835745","대규모점포",
"18","대규모점포","08_25_01_P","4530000","2014453023307500001","2002-03-06","","01","영업/정상","1","정상영업","","","","","041-661-0005","8324.71","","충청남도 서산시 예천동 508-10","충청남도 서산시 충의로 27 (예천동)","31988","롯데쇼핑(주)롯데마트서산점","2025-12-31 11:12:52","U","2026-01-03 02:40:00","대형마트","149832.159460757","363740.98236237","대규모점포",
