"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","국제회의기획업","03_08_01_P","6510000","CDFI2263102025000006","2025-12-31","","01","영업/정상","13","영업중","","","","","064-747-8255","","","제주특별자치도 제주시 노형동 716","제주특별자치도 제주시 한라대학로 114, 105호 (노형동)","63092","영하TOUR","2025-12-31 11:10:54","I","2026-01-03 00:20:02","","151862.414404646","-2196.28583079105","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","5000000","","","","0",
"2","국제회의기획업","03_08_01_P","3210000","CDFI2263102011000007","2011-07-21","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 서초구 서초동 1355-8 중앙로얄오피스텔","서울특별시 서초구 서운로 13, 중앙로얄오피스텔 지하1층 126-나93호 (서초동)","06732","(주)코넥시아","2025-12-31 16:17:26","U","2026-01-03 02:40:00","","202481.661169413","442563.269271521","국제회의기획업","","","6","","","","","5","","","","","","","","","","","","","89.97","","","","","","","","","50000000","","","","90",
"3","국제회의기획업","03_08_01_P","4810000","CDFI2263102026000001","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 학동 84-7","전라남도 여수시 망마로 33, 2층 1호 (학동)","59676","잘해브로스 주식회사","2026-01-05 15:29:59","I","2026-01-07 00:20:36","","260971.841518266","140355.857578123","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"4","국제회의기획업","03_08_01_P","3700000","CDFI2263102026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","울산광역시 남구 신정동 179-9","울산광역시 남구 월평로 70 (신정동)","44690","새운광고디자인","2026-01-06 13:48:14","I","2026-01-09 00:20:01","","409726.692674776","229398.183954154","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","국제회의기획업","03_08_01_P","3220000","CDFI2263102020000004","2017-03-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 도곡동 467-24 우성캐릭터199","서울특별시 강남구 언주로 118, 3003호 (도곡동, 우성캐릭터199)","06295","주식회사 케이피이엠","2026-01-06 17:38:52","U","2026-01-09 02:40:00","","203878.661321417","442331.15866787","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","31","","0","","","","","","","200000000","","","","31",
"6","국제회의기획업","03_08_01_P","3000000","CDFI2263102023000003","2023-05-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로2가 75-6 삼양빌딩","서울특별시 종로구 종로 80-2, 삼양빌딩 3층 (종로2가)","03190","(주)트리니티컴즈","2026-01-06 17:47:07","U","2026-01-09 02:40:00","","200056.223282344","452997.428256313","국제회의기획업","","","0","","","","","0","0","0","0","Trinity Communications","International conference planning business","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"7","국제회의기획업","03_08_01_P","3180000","CDFI2263102024000002","2021-08-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동1가 459 생각공장 당산","서울특별시 영등포구 영등포로 150, 생각공장 당산 비동 1001호, 1002호 (당산동1가)","07292","(주)팀즈코리아","2026-01-07 15:15:17","U","2026-01-09 02:40:00","","190940.034564342","446461.996000435","국제회의기획업","","","0","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","27.78","","0","","","","","","","70000000","","","","28",
"8","국제회의기획업","03_08_01_P","3220000","CDFI2263102009000001","2009-02-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 76-3 621빌딩","서울특별시 강남구 영동대로 621, 621빌딩 4층 (삼성동)","06087","(주)엠씨아이코리아","2026-01-06 18:03:04","U","2026-01-09 02:40:00","","204987.462329279","445453.355251637","국제회의기획업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"9","국제회의기획업","03_08_01_P","3230000","CDFI2263102022000004","2022-05-11","","01","영업/정상","13","영업중","","","","","02-430-5740","","","서울특별시 송파구 문정동 642-3 문정역SKV1","서울특별시 송파구 법원로 128, 문정역SKV1 B동 1017호 (문정동)","05854","주식회사 채널케이","2026-01-07 09:04:21","U","2026-01-09 02:40:00","","","","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","179.2","","0","","","","","","","50000000","","","","179",
"10","국제회의기획업","03_08_01_P","3160000","CDFI2263102026000001","2018-06-22","","01","영업/정상","13","영업중","","","","","02-6952-3345","","","서울특별시 구로구 구로동 197-11 아티스포럼","서울특별시 구로구 디지털로31길 62, 아티스포럼 1507,1508호 (구로동)","08376","(주)플랜엑스","2026-01-09 17:18:43","I","2026-01-11 00:20:02","","190399.724477247","442702.053385749","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","40","","0","","","","","","","50000000","","","","40",
"11","국제회의기획업","03_08_01_P","3330000","CDFI2263102026000001","2026-01-09","","01","영업/정상","13","영업중","","","","","051-740-8800","","","부산광역시 해운대구 우동 1413-4 벡스코제2전시장","부산광역시 해운대구 APEC로 30, 벡스코제2전시장 218호 (우동)","48060","(주)마이스브로","2026-01-09 17:18:50","I","2026-01-11 00:20:02","","394457.407487917","187231.530457387","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
