"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물운송업","02_03_12_P","5710000","571000005020250007","2025-12-30","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 운동동 **-**","충청북도 청주시 상당구 목련로 ***, *층 (운동동)","28758","멍세권","2025-12-30 15:57:47","I","2026-01-03 00:20:02","","247238.20080999","345236.583599583","동물운송업","동물운송업","000","0",
"2","동물운송업","02_03_12_P","3100000","310000005020250013","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 중계동 ***-* 중계*단지주공아파트","서울특별시 노원구 한글비석로*길 **, ***동 ***호 (중계동, 중계*단지주공아파트)","01745","pet266무7370","2025-12-31 10:06:20","I","2026-01-03 00:20:02","","206578.473028246","460440.769777988","동물운송업","동물운송업","000","0",
"3","동물운송업","02_03_12_P","5590000","559000005020250023","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","경기도 양주시 덕계동 *** 회천 베네스트 하우스","경기도 양주시 회천중앙로 ***, ****동 **층 *호 (덕계동, 회천 베네스트 하우스)","11444","옐레드 애견유치원&애견호텔 노원상계점","2025-12-31 13:14:35","I","2026-01-03 00:20:02","","204562.948299078","479152.21874179","동물운송업","동물운송업","000","0",
"4","동물운송업","02_03_12_P","5540000","554000005020250014","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 목현동 **-**","경기도 광주시 이배재로 ***-** (목현동)","12765","pet378다4346","2025-12-31 14:18:31","I","2026-01-03 00:20:02","","220710.448456907","436420.622532376","동물운송업","동물운송업","000","0",
"5","동물운송업","02_03_12_P","3180000","318000005020240011","2024-10-07","","03","폐업","0002","폐업","2025-12-19","","","","","0","","서울특별시 영등포구 대림동 ***-* 우성아파트","서울특별시 영등포구 도림로 ***, *동 ***호 (대림동, 우성아파트)","07410","pet146저6900","2025-12-31 10:25:08","U","2026-01-03 02:40:00","","191166.735605259","443801.50786284","동물운송업","동물운송업","000","0",
"6","동물운송업","02_03_12_P","3170000","317000005020240006","2024-11-14","","03","폐업","0002","폐업","2025-12-31","","","","","0","","서울특별시 금천구 독산동 ****-** 석원에버빌 ***동 ***호","서울특별시 금천구 시흥대로***길 **, ***동 ***호 (독산동, 석원에버빌)","08579","pet26수7790","2025-12-31 14:42:52","U","2026-01-03 02:40:00","","191046.942149392","440722.878444453","동물운송업","동물운송업","000","0",
"7","동물운송업","02_03_12_P","4520000","452000005020240001","2024-08-04","","03","폐업","0002","폐업","2025-12-30","","","","","0","","충청남도 아산시 배방읍 세교리 **** 아산배방 엘에이치**단지","충청남도 아산시 배방읍 동방로 ***, ****동 ***호 (아산배방 엘에이치**단지)","31473","다이아나 캐터리","2025-12-31 10:58:11","U","2026-01-03 02:40:00","","208978.935723945","364618.281585617","동물운송업","동물운송업","000","0",
"8","동물운송업","02_03_12_P","3560000","356000005020240007","2024-04-30","","03","폐업","0002","폐업","2025-12-31","","","","","0","","인천광역시 서구 당하동 ****-* 풍림아이원아파트","인천광역시 서구 청마로 ***, ***동 ****호 (당하동, 풍림아이원아파트)","22678","펫파라다이스 주식회사 인천","2025-12-31 10:33:31","U","2026-01-03 02:40:00","","171486.305217136","454371.452186442","동물운송업","동물운송업","000","0",
"9","동물운송업","02_03_12_P","4030000","403000005020240002","2024-03-12","","03","폐업","0002","폐업","2025-12-31","","","","","0","","경기도 의왕시 오전동 *** 의왕 더샵 캐슬","경기도 의왕시 어내들로 *, ***동 ****호 (오전동, 의왕 더샵 캐슬)","16046","pet295저6005","2025-12-31 16:27:41","U","2026-01-03 02:40:00","","196756.890595833","428729.574681733","동물운송업","동물운송업","000","0",
"10","동물운송업","02_03_12_P","5540000","554000005020250009","2025-09-05","","01","영업/정상","0000","정상","","","","","070-7525-8952","0","","경기도 광주시 문형동 ***-*","경기도 광주시 보뚱치길 ** (문형동)","12774","티파니가든 애견카페 애견유치원 애견호텔","2025-12-31 09:05:23","U","2026-01-03 02:40:00","","","","동물운송업","동물운송업","L00","0",
"11","동물운송업","02_03_12_P","3530000","353000005020230001","2023-01-12","","03","폐업","0002","폐업","2025-12-01","","","","","0","","인천광역시 남동구 논현동 ***-*","인천광역시 남동구 포구로 **, ****동 ***호 (논현동, 휴먼시아푸르내마을**단지아파트)","21662","pet19소0914","2025-12-31 17:38:03","U","2026-01-03 02:40:00","","176474.340489638","433913.889794795","동물운송업","동물운송업","000","0",
"12","동물운송업","02_03_12_P","3080000","308000005020180036","2018-11-13","","03","폐업","0002","폐업","2025-12-31","","","","","0","","서울특별시 강북구 미아동 ***-**","서울특별시 강북구 도봉로**길 **-** (미아동)","01159","펫을 부탁해","2025-12-31 14:58:06","U","2026-01-03 02:40:00","","202627.647744396","457852.663344403","동물운송업","동물운송업","000","0",
"13","동물운송업","02_03_12_P","3350000","335000005020190015","2019-12-13","","03","폐업","0002","폐업","2025-12-31","","","","","0","","부산광역시 금정구 남산동 ***-** 외인주택 A동 *호","부산광역시 금정구 금단로***번길 **, 외인주택 A동 *호 (남산동)","46215","파트라슈 펫 택시","2025-12-31 18:23:08","U","2026-01-03 02:40:00","","390445.141534752","197888.336201618","동물운송업","동물운송업","000","0",
"14","동물운송업","02_03_12_P","5340000","534000005020230001","2023-12-18","","01","영업/정상","0000","정상","","","","","","0","","경상남도 사천시 사천읍 선인리 ***-**","경상남도 사천시 사천읍 옥산로 ***-**, 세진빌딩 *층","52522","붐","2025-12-31 15:24:50","U","2026-01-03 02:40:00","","299939.950559783","175972.425742701","동물운송업","동물운송업","000","0",
"15","동물운송업","02_03_12_P","3100000","310000005020240010","2024-12-19","","02","휴업","0001","휴업","","2025-12-31","2029-12-31","","","0","","서울특별시 노원구 상계동 ***-* 벽산아파트","서울특별시 노원구 한글비석로 ***, ***동 ****호 (상계동, 벽산아파트)","01663","PET22조3377","2025-12-31 17:19:23","U","2026-01-03 02:40:00","","206356.22314833","462123.478004887","동물운송업","동물운송업","000","0",
"16","동물운송업","02_03_12_P","4540000","454000005020260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","0","","충청남도 논산시 취암동 **","충청남도 논산시 체육로 *** (취암동)","32984","논산애견","2026-01-02 17:02:04","I","2026-01-04 00:20:12","","209113.020155529","299176.599813908","동물운송업","동물운송업","000","0",
"17","동물운송업","02_03_12_P","3990000","399000005020260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","0","","경기도 남양주시 금곡동 ***-* 우석그랜드캐슬 *차","경기도 남양주시 경춘로양골*길 *-**, ***호 (금곡동, 우석그랜드캐슬 *차)","12232","Pet257두2146","2026-01-02 10:19:48","I","2026-01-04 00:20:12","","219016.246838981","459424.750559573","동물운송업","동물운송업","000","0",
"18","동물운송업","02_03_12_P","3140000","314000005020260001","2026-01-02","","01","영업/정상","0000","정상","","","","","0263385959","0","","서울특별시 양천구 신정동 ****-**","서울특별시 양천구 중앙로**길 ** (신정동)","08085","몽몽바블펫#","2026-01-02 10:00:08","I","2026-01-04 00:20:12","","187251.318032271","446377.962032352","동물운송업","동물운송업","000","0",
"19","동물운송업","02_03_12_P","3040000","304000005020260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 광진구 중곡동 ***-*** 보이드 군자 ***호","서울특별시 광진구 긴고랑로**길 **-**, ***호 (중곡동, 보이드 군자)","04926","pet193로1927","2026-01-02 13:33:26","I","2026-01-04 00:20:12","","207476.727207256","450792.612173452","동물운송업","동물운송업","000","0",
"20","동물운송업","02_03_12_P","3560000","356000005020260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 서구 왕길동 ***-* 드림파크어울림 *단지 ***동 ***호","인천광역시 서구 봉화로 **, ***동 ***호 (왕길동, 드림파크어울림 *단지)","22657","pet29마5825","2026-01-02 16:45:11","I","2026-01-04 00:20:12","","168005.600649602","454779.470473458","동물운송업","동물운송업","000","0",
"21","동물운송업","02_03_12_P","4520000","452000005020220004","2022-09-02","","03","폐업","0002","폐업","2024-11-28","","","","","0","","충청남도 아산시 배방읍 장재리 ****","충청남도 아산시 배방읍 희망로 **, ****호","31470","펫 온 - Pet on","2026-01-02 15:15:46","U","2026-01-04 02:40:00","","209209.408317859","365085.921406351","동물운송업","동물운송업","000","0",
