"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프연습장업","10_31_01_P","3630000","CDFH3301052010000002","2010-02-05","","03","폐업","03","폐업","2025-12-29","","","","959-0742","","","광주광역시 광산구 수완동 1475 애플타워 1003호","광주광역시 광산구 임방울대로 330, 1003호 (수완동)","62306","수완스크린골프존","2025-12-31 14:58:38","U","2026-01-03 02:40:00","","183901.460617606","187807.413655339","골프연습장업","사립","","0","0","0","0","","",
"2","골프연습장업","10_31_01_P","5540000","CDFH3301052024000005","2024-09-11","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 태전동 87-33","경기도 광주시 태봉로 116-18 (태전동)","12788","넥스트 골프 아카데미 광주태전동점","2025-12-31 09:00:48","U","2026-01-03 02:40:00","","220100.544782195","431259.783884472","골프연습장업","사립","","0","0","0","0","","",
"3","골프연습장업","10_31_01_P","3620000","CDFH3301052008000003","2008-03-21","","01","영업/정상","13","영업중","","","","","267-5750","","","광주광역시 북구 오치동 949-2","광주광역시 북구 안산로 6, 지하1층 (오치동)","61054","허심천골프","2025-12-31 11:10:18","U","2026-01-03 02:40:00","","191066.014123906","187615.683141274","골프연습장업","사립","","0","0","0","0","","",
"4","골프연습장업","10_31_01_P","3520000","CDFH3301052014000005","2014-08-31","","03","폐업","03","폐업","2025-12-31","","","","","","406-081","인천광역시 연수구 송도동 3-6 아크리아1, 6층 610호","인천광역시 연수구 신송로125번길 13, 6층 610호 (송도동)","21995","MGA 골프","2025-12-31 14:24:43","U","2026-01-03 02:40:00","","169034.025271855","432560.215153888","골프연습장업","사립","","0","0","0","0","","",
"5","골프연습장업","10_31_01_P","4010000","CDFH3301052003000004","2003-06-16","","01","영업/정상","13","영업중","","","","","","","429-921","경기도 시흥시 정왕동 2166-1","경기도 시흥시 산기대학로 105 (정왕동)","15081","(주)화인골프클럽","2025-12-31 14:56:29","U","2026-01-03 02:40:00","","175261.167079369","427301.238354067","골프연습장업","사립","","2","0","0","0","","",
"6","골프연습장업","10_31_01_P","3050000","CDFH3301052020000002","2020-05-22","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","","서울특별시 동대문구 장안동 146-20","서울특별시 동대문구 한천로 126, 1~3층 (장안동)","02623","카카오 프렌즈 동대문","2025-12-31 14:02:29","U","2026-01-03 02:40:00","","205786.886634508","452221.768842444","골프연습장업","사립","Y","0","0","0","0","","",
"7","골프연습장업","10_31_01_P","3660000","CDFH3301052014000004","2014-11-28","","03","폐업","03","폐업","2025-12-31","","","","4870072","","302-847","대전광역시 서구 월평동 267","대전광역시 서구 청사서로 36, 3층 (월평동)","35214","럭키스크린골프","2025-12-31 10:24:35","U","2026-01-03 02:40:00","","233757.548690547","317864.598186933","골프연습장업","사립","","","1","1977.03","","","",
"8","골프연습장업","10_31_01_P","4671000","CDFH3301052015000002","2015-06-09","","03","폐업","03","폐업","2025-12-31","","","","","","573-876","전북특별자치도 군산시 산북동 1281-5","전북특별자치도 군산시 공항로 156 (산북동)","54160","G SWING 스크린골프","2025-12-31 15:02:33","U","2026-01-03 02:40:00","","170434.581628821","274691.001701495","골프연습장업","사립","","0","0","361","0","","",
"9","골프연습장업","10_31_01_P","3050000","CDFH3301052015000003","2015-10-01","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","02-962-0753","","","서울특별시 동대문구 용두동 26-14","서울특별시 동대문구 고산자로 420 (용두동, 경동플라자)","02560","투어스크린 골프","2025-12-31 14:01:28","U","2026-01-03 02:40:00","","203360.831597984","452785.12119758","골프연습장업","사립","Y","0","0","21289","0","","",
"10","골프연습장업","10_31_01_P","3050000","CDFH3301052008000006","2008-07-16","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","130-020","서울특별시 동대문구 전농동 647-1","서울특별시 동대문구 서울시립대로 36 (전농동)","02594","조이스크린골프","2025-12-31 13:57:54","U","2026-01-03 02:40:00","","204082.111844228","452472.990548179","골프연습장업","사립","","0","0","0","0","","",
"11","골프연습장업","10_31_01_P","3050000","CDFH3301052022000004","2022-06-15","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","","서울특별시 동대문구 이문동 325-20 민족통일 대통령 리빙텔","서울특별시 동대문구 이문로 86, 민족통일 대통령 리빙텔 지하1층 (이문동)","02440","엠제이골프","2025-12-31 20:44:18","U","2026-01-03 02:40:00","","205168.470915668","454684.271383055","골프연습장업","사립","","0","0","0","0","","",
"12","골프연습장업","10_31_01_P","3860000","CDFH3301052009000016","2009-10-07","","03","폐업","03","폐업","2025-12-29","","","","032-348-0755","","","경기도 부천시 소사구 괴안동 113-1 역곡하이뷰5층","경기도 부천시 소사구 경인로 505, 5층 (괴안동, 역곡하이뷰)","14676","하이뷰스크린골프","2025-12-31 09:02:31","U","2026-01-03 02:40:00","","183213.665567153","442488.861130868","골프연습장업","사립","","0","0","34556.49","100","","",
"13","골프연습장업","10_31_01_P","4191000","CDFH3301052013000001","2013-01-09","","01","영업/정상","13","영업중","","","","","744-4158","","","강원특별자치도 원주시 명륜동 833-1","강원특별자치도 원주시 남원로469번길 7 (명륜동)","26482","마스타골프연습장","2026-01-02 18:07:33","U","2026-01-04 02:40:00","","283445.570846743","425455.484263598","골프연습장업","사립","","0","1","2815.69","0","","",
"14","골프연습장업","10_31_01_P","3620000","CDFH3301052002000001","2002-04-18","","03","폐업","03","폐업","2026-01-02","","","","574-0288","","500-816","광주광역시 북구 매곡동 44-39","광주광역시 북구 매곡로 36-1 (매곡동)","","나이스 실내골프연습장","2026-01-02 11:20:38","U","2026-01-04 02:40:00","","190321.702976226","187683.435676373","골프연습장업","사립","","0","0","0","0","","",
"15","골프연습장업","10_31_01_P","4641000","CDFH3301052006000008","2006-12-01","","01","영업/정상","13","영업중","","","","","236-2500","","","전북특별자치도 전주시 완산구 삼천동1가 287-14","전북특별자치도 전주시 완산구 거마평로 57 (삼천동1가)","55086","필드로실내골프연습장","2026-01-02 10:34:18","U","2026-01-04 02:40:00","","210471.941864098","255282.605126339","골프연습장업","사립","","0","0","0","0","","",
"16","골프연습장업","10_31_01_P","3460000","CDFH3301052011000017","2011-10-20","","01","영업/정상","13","영업중","","","","","053-794-1234","","","대구광역시 수성구 시지동 173-1 외 1필지","대구광역시 수성구 달구벌대로 3057 (시지동)","42261","LA골프존","2026-01-02 16:17:33","U","2026-01-04 02:40:00","","352742.827004461","261745.382654146","골프연습장업","사립","","","","","","","",
"17","골프연습장업","10_31_01_P","3240000","CDFH3301051993000003","1993-04-21","","03","폐업","03","폐업","2026-01-02","","","","","","","서울특별시 강동구 명일동 48-9","서울특별시 강동구 동남로71길 20-9 (명일동, 파라빌딩)","05269","홀인원 골프연습장","2026-01-02 12:56:03","U","2026-01-04 02:40:00","","213609.027053522","450016.007254736","골프연습장업","사립","","","","","","","",
"18","골프연습장업","10_31_01_P","3340000","CDFH3301052023000002","2023-10-10","","01","영업/정상","13","영업중","","","","","0512070753","","","부산광역시 사하구 신평동 20","부산광역시 사하구 다대로 95, 신관3층 3층 (신평동)","49393","미르 골프존파크","2026-01-02 10:35:40","U","2026-01-04 02:40:00","","380332.156225284","179017.73663837","골프연습장업","사립","Y","0","0","0","0","","",
"19","골프연습장업","10_31_01_P","4170000","CDFH3301052000000001","2000-07-31","","01","영업/정상","13","영업중","","","","","031)771-7009","","476-813","경기도 양평군 서종면 문호리 1081-3","경기도 양평군 서종면 수대울길 199-1","","서종골프연습장","2026-01-05 10:26:55","U","2026-01-07 02:40:00","","231760.352592736","453013.300051581","골프연습장업","사립","","0","0","0","0","","",
"20","골프연습장업","10_31_01_P","4170000","CDFH3301052018000003","2018-05-21","","01","영업/정상","13","영업중","","","","","031-771-1797","","","경기도 양평군 양평읍 오빈리 416-5","경기도 양평군 양평읍 경강로 1598","12545","수크린골프","2026-01-05 10:44:39","U","2026-01-07 02:40:00","","240527.557542813","444822.356253379","골프연습장업","사립","","0","0","0","0","","",
"21","골프연습장업","10_31_01_P","6510000","CDFH3301052011000001","2011-03-22","","03","폐업","03","폐업","2026-01-02","","","","","","690-191","제주특별자치도 제주시 외도일동 550-10 2층","제주특별자치도 제주시 우정로11길 12, 2층 (외도일동)","63070","외도스크린골프클럽","2026-01-05 08:43:29","U","2026-01-07 02:40:00","","147149.634323611","-826.101007363655","골프연습장업","사립","","0","0","496.98","0","","",
"22","골프연습장업","10_31_01_P","4170000","CDFH3301052024000001","2024-01-17","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 서종면 문호리 729-2","경기도 양평군 서종면 북한강로 809, 2층 201호","12502","베러골프스쿨","2026-01-05 10:46:11","U","2026-01-07 02:40:00","","230773.411980156","456405.627155392","골프연습장업","사립","","0","0","0","0","","",
"23","골프연습장업","10_31_01_P","5710000","CDFH3301052010100006","2010-08-06","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 청원구 내수읍 학평리 149-19 내수골프죤스크린","충청북도 청주시 청원구 내수읍 청암로 86, 1층","28145","골프존파크 내수스크린","2026-01-05 14:41:38","U","2026-01-07 02:40:00","","248106.387034041","358302.458758537","골프연습장업","사립","","0","0","376.78","0","","",
"24","골프연습장업","10_31_01_P","4450000","CDFH3301052013000002","2013-07-02","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 광혜원면 광혜원리 585","충청북도 진천군 광혜원면 구암길 16, A동 101호","27803","광혜원 프렌즈 스크린 골프","2026-01-05 09:00:38","U","2026-01-07 02:40:00","","238575.084997093","387859.217283487","골프연습장업","사립","","","1","492.8","","","",
"25","골프연습장업","10_31_01_P","4520000","CDFH3301052024000001","2024-02-15","","01","영업/정상","13","영업중","","","","","0415413500","","","충청남도 아산시 탕정면 매곡리 614-8","충청남도 아산시 탕정면 이순신대로 720-7, 1,2,3,4층","31461","골프킹 골프연습장","2026-01-06 09:29:51","U","2026-01-08 02:40:00","","207318.028333478","365647.439350398","골프연습장업","사립","","0","0","11190875","0","","",
"26","골프연습장업","10_31_01_P","4681000","CDFH3301052026000001","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 익산시 팔봉동 364-1","전북특별자치도 익산시 무왕로38길 10, 1, 2층 (팔봉동)","54582","골프존GDR 팔봉 상테힐점","2026-01-07 16:25:54","I","2026-01-09 00:20:01","","201627.799096686","274225.266038814","골프연습장업","사립","","0","0","0","0","","",
"27","골프연습장업","10_31_01_P","5350000","CDFH3301052011000014","2011-10-10","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 구산동 1051-2","경상남도 김해시 삼계로 30, 303호 (구산동)","50905","골프존파크 구산구지점","2026-01-06 15:05:42","U","2026-01-09 02:40:00","","370068.912932196","196908.619084462","골프연습장업","사립","","0","1","19720.76","0","","",
"28","골프연습장업","10_31_01_P","4241000","CDFH3301052003000004","2003-04-22","","01","영업/정상","13","영업중","","","","","033-575-0755","","","강원특별자치도 삼척시 우지동 70 청봉골프연습장","강원특별자치도 삼척시 우지길 122-18, 청봉골프연습장 (우지동)","25908","청봉골프연습장","2026-01-07 15:39:03","U","2026-01-09 02:40:00","","390221.968459362","442157.771946527","골프연습장업","사립","","0","0","0","0","","",
"29","골프연습장업","10_31_01_P","4820000","CDFH3301052009000004","2009-07-17","","01","영업/정상","13","영업중","","","","","","","540-976","전라남도 순천시 연향동 1588-9","전라남도 순천시 율산1길 4-15 (연향동)","58003","호반스크린골프(6:4)","2026-01-06 11:04:13","U","2026-01-09 02:40:00","","247882.02245219","160494.62560276","골프연습장업","사립","","","","493.2","","","",
"30","골프연습장업","10_31_01_P","4830000","CDFH3301052014000001","2014-02-13","","03","폐업","03","폐업","2026-01-06","","","","","","520-822","전라남도 나주시 금천면 동악리 606-19","전라남도 나주시 금천면 호수로 58","520-822","JJ실내골프","2026-01-06 17:00:36","U","2026-01-09 02:40:00","","180643.668423095","168285.555","골프연습장업","사립","","0","1","484","0","","",
"31","골프연습장업","10_31_01_P","4830000","CDFH3301052014000002","2014-05-14","","03","폐업","03","폐업","2026-01-06","","","","","","520-952","전라남도 나주시 이창동 734-2","전라남도 나주시 풍물시장2길 21 (이창동)","58274","Y.H 골프실내 연습장","2026-01-06 16:29:33","U","2026-01-09 02:40:00","","173225.887729075","166069.683688817","골프연습장업","사립","","1","0","284.36","0","","",
"32","골프연습장업","10_31_01_P","4830000","CDFH3301052015000001","2015-07-07","","03","폐업","03","폐업","2026-01-06","","","","","","","","전라남도 나주시 풍물시장2길 21 (이창동, 스타웨딩홀)","58274","삼삼골프","2026-01-06 16:30:21","U","2026-01-09 02:40:00","","173238.758191451","166080.713997108","골프연습장업","사립","","0","0","661.44","0","","",
"33","골프연습장업","10_31_01_P","4830000","CDFH3301052018000001","2018-04-26","","03","폐업","03","폐업","2026-01-06","","","","","","","전라남도 나주시 빛가람동 348-1 씨티원 빌딩 707호","전라남도 나주시 빛가람로 676, 씨티원 빌딩 707호 (빛가람동)","58325","GDR","2026-01-06 15:59:02","U","2026-01-09 02:40:00","","180336.979586973","169113.610775317","골프연습장업","사립","","0","0","20130.36","0","","",
"34","골프연습장업","10_31_01_P","4830000","CDFH3301052018000002","2018-05-18","","03","폐업","03","폐업","2026-01-06","","","","","","","전라남도 나주시 빛가람동 348-1 씨티원 빌딩 703, 704호","전라남도 나주시 빛가람로 676, 씨티원 빌딩 7층 703,704호 (빛가람동)","58325","푸른솔","2026-01-06 15:59:43","U","2026-01-09 02:40:00","","180336.979586973","169113.610775317","골프연습장업","사립","","0","0","0","0","","",
