"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"1","안전상비의약품 판매업소","01_01_05_P","4820000","PHMH320254820026087500013","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","전라남도 순천시 연향동 1345 대우아파트","전라남도 순천시 연향2로 55, 상가동 101-1, 101-2호 (연향동, 대우아파트)","57976","세븐일레븐 순천연향대우점","2025-12-31 10:03:47","I","2026-01-03 00:20:02","","247539.059214258","161225.415681677","54.3",
"2","안전상비의약품 판매업소","01_01_05_P","6520000","PHMH320256520074087500009","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 서귀포시 색달동 2812-4 호텔롯데제주 1층, 야외별관","제주특별자치도 서귀포시 중문관광로72번길 35, 호텔롯데제주 (색달동)","63535","세븐일레븐 서귀포롯데호텔점","2025-12-31 17:58:45","I","2026-01-03 00:20:02","","144978.785179313","-27367.5418606473","0",
"3","안전상비의약품 판매업소","01_01_05_P","5080000","PHMH320255080035087500029","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 신평동 326-5","경상북도 구미시 구미대로26길 4 (신평동)","39254","지에스25신평대로점","2025-12-30 14:03:49","I","2026-01-03 00:20:02","","322693.842520821","291416.451090863","95",
"4","안전상비의약품 판매업소","01_01_05_P","4080000","PHMH320254080023087500010","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 안성시 공도읍 만정리 302-13","경기도 안성시 공도읍 서동대로 4312","17559","씨유 안성공도만정점","2025-12-31 17:54:45","I","2026-01-03 00:20:02","","216093.867437822","389242.337539419","3.3",
"5","안전상비의약품 판매업소","01_01_05_P","3110000","PHMH320253110032087500016","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 대조동 196-25 1층","서울특별시 은평구 연서로26길 11, 1층 (대조동)","03385","지에스(GS)25연신내제일점","2025-12-31 18:11:16","I","2026-01-03 00:20:02","","192945.891991944","457172.764137396","0",
"6","안전상비의약품 판매업소","01_01_05_P","5670000","PHMH320255670071087500007","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 진해구 안골동 375 창원 마린 2차 푸르지오","경상남도 창원시 진해구 안골로298번길 26, 상가2동 지하1층 비101, 102호 (안골동, 창원 마린 2차 푸르지오)","51609","씨유진해안골바다점","2025-12-30 08:59:10","I","2026-01-03 00:20:02","","364486.556401616","179047.399520072","65.2",
"7","안전상비의약품 판매업소","01_01_05_P","3860000","PHMH320253860384087500028","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 원미구 중동 1127-6","경기도 부천시 원미구 부흥로307번길 52, 1층 (중동)","14582","지에스(GS)25중동중앙점","2025-12-30 17:53:39","I","2026-01-03 00:20:02","","180166.69154122","443869.146605714","0",
"8","안전상비의약품 판매업소","01_01_05_P","3340000","PHMH320253340025087500012","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사하구 신평동 633-6","부산광역시 사하구 하신번영로151번길 40, 1층 (신평동)","49431","지에스(GS)25 신평공단점","2025-12-30 13:01:44","I","2026-01-03 00:20:02","","378455.809542805","179234.911144621","0",
"9","안전상비의약품 판매업소","01_01_05_P","3520000","PHMH320253520019087500030","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 동춘동 937-8","인천광역시 연수구 먼우금로 94, 105,106호 (동춘동)","21972","세븐일레븐 동춘점","2025-12-31 10:00:15","I","2026-01-03 00:20:02","","170751.741489048","433961.024609931","79.2",
"10","안전상비의약품 판매업소","01_01_05_P","4390000","PHMH320254390029087500015","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","충청북도 충주시 교현동 600-21","충청북도 충주시 예성5길 16, 1층 (교현동)","27377","지에스25 충주엔젤점","2025-12-31 15:26:38","I","2026-01-03 00:20:02","","282767.88660435","386595.605889354","1",
"11","안전상비의약품 판매업소","01_01_05_P","3190000","PHMH320253190033087500018","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 사당동 120 두성 상가 아파트","서울특별시 동작구 동작대로29길 77, 1층 (사당동, 두성 상가 아파트)","06999","지에스25더동작점","2025-12-30 11:21:37","I","2026-01-03 00:20:02","","197966.147578504","442938.620021597","3.3",
"12","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320154200028087500001","2015-01-26","","01","영업/정상","13","영업중","","","","","033-648-1055","","","","강원특별자치도 강릉시 정원로 48 (교동)","25515","GS25 교동온누리","2026-01-01 16:32:25","D","2026-01-03 02:30:00","","365292.662572265","474974.196092047","52",
"13","안전상비의약품 판매업소","01_01_05_P","4490000","PHMH320154490261087500024","2015-06-22","","01","영업/정상","13","영업중","","","","","","","331-818","충청남도 천안시 서북구 백석동 930번지 상가동 105호","충청남도 천안시 서북구 번영로 306-15, 상가동 105호 (백석동)","31095","(주)코리아세븐천안이수점","2025-12-30 11:06:22","U","2026-01-03 02:40:00","","210250.018281959","369736.872097003","0",
"14","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320224060023087500022","2022-04-21","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 다율동 0","경기도 파주시 해올2길 7, 127, 128호 (다율동)","10865","씨유 운정다율타워점","2025-12-31 10:58:03","U","2026-01-03 02:40:00","","","","0",
"15","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320224060023087500023","2022-04-25","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 와동동 205 가람마을8단지 동문굿모닝힐","경기도 파주시 금바위로 47, 상가동 B01호 (와동동, 가람마을8단지 동문굿모닝힐)","10894","씨유 운정가람8단지점","2025-12-31 11:08:15","U","2026-01-03 02:40:00","","178420.419869325","469575.799955529","0",
"16","안전상비의약품 판매업소","01_01_05_P","4620000","PHMH320124620040087500004","2012-11-12","","01","영업/정상","13","영업중","","","","","041-672-0122","","","","충청남도 태안군 태안읍 샘골로 69","32141","씨유태안샘골점","2026-01-01 11:26:15","U","2026-01-03 02:40:00","","137742.352831472","361774.961728636","0",
"17","안전상비의약품 판매업소","01_01_05_P","4620000","PHMH320184620040087500004","2018-07-04","","03","폐업","03","폐업","2025-12-31","","","","041-675-1522","","","충청남도 태안군 태안읍 동문리 256번지 1호 정훈빌딩 101호","충청남도 태안군 태안읍 중앙로 165, 정훈빌딩 101호","32140","이마트24태안중앙점","2026-01-01 11:25:59","U","2026-01-03 02:40:00","","137940.104116461","361176.908182101",".5",
"18","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320164060023087500068","2016-11-25","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 신촌동 445번지","경기도 파주시 지목로 10, 101,102호 (신촌동)","10881","CU문발산업단지","2025-12-31 11:04:51","U","2026-01-03 02:40:00","","172794.759640609","469271.623083018","115.5",
"19","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320124060023087500012","2012-11-05","","01","영업/정상","13","영업중","","","","","031-948-2284","","413-120","경기도 파주시 문발동 531번지 6호","경기도 파주시 회동길 77-3 (문발동)","10881","CU이채씰크빌점","2025-12-31 11:06:26","U","2026-01-03 02:40:00","","172322.691327295","467124.152929247","0",
"20","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320164060023087500059","2016-10-31","","01","영업/정상","13","영업중","","","","","031-942-2341","","","경기도 파주시 목동동 941","경기도 파주시 교하로 83, 106호 (목동동)","10892","지에스(GS)25 운정스타점","2025-12-31 11:05:39","U","2026-01-03 02:40:00","","176456.466798759","469529.2877741","65.6",
"21","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320164060023087500065","2016-11-16","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 교하동 542번지 3호 1동","경기도 파주시 교하로 1349, 1동 (교하동)","10867","세븐일레븐 파주교하로점","2025-12-31 11:05:17","U","2026-01-03 02:40:00","","177166.897843485","472252.151805669","86.8",
"22","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320164060023087500039","2016-08-16","","01","영업/정상","13","영업중","","","","","031-943-5176","","","경기도 파주시 문발동 495번지 122호","경기도 파주시 자유로 2210 (문발동, 자유로휴게소)","10881","자유로 휴게소 편의점","2025-12-31 11:05:58","U","2026-01-03 02:40:00","","172018.085178786","466546.983737208","95",
"23","안전상비의약품 판매업소","01_01_05_P","3440000","PHMH320233440024087500013","2023-06-26","","03","폐업","03","폐업","2025-12-31","","","","","","","대구광역시 남구 대명동 3072 대명역센트럴엘리프","대구광역시 남구 대명로14길 60, 501동 지하1층 111호 (대명동, 대명역센트럴엘리프)","42483","씨유 센트럴엘리프점","2025-12-31 14:22:15","U","2026-01-03 02:40:00","","341273.052474244","260863.595098348","0",
"24","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320144070023087500009","2014-07-22","","03","폐업","03","폐업","2025-12-29","","","","636-3115","","467-080","경기도 이천시 사음동 16번지 11호","경기도 이천시 황무로 724 (사음동)","17308","씨유 이천송정점","2025-12-30 14:40:07","U","2026-01-03 02:40:00","","237953.293903696","422524.515826531","75.57",
