"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물약국","02_03_02_P","3510500","351050001120250016","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","인천광역시 미추홀구 주안동 23-17","인천광역시 미추홀구 석정로 430, 1층 (주안동)","22129","위드팜 굿모닝 약국","2025-12-31 09:27:37","I","2026-01-03 00:20:02","","171917.651987823","440510.544861645","동물약국","","000","0",
"2","동물약국","02_03_02_P","3440000","344000001120180001","2018-02-07","","03","폐업","0002","폐업","2025-12-31","","","","05362211990","994.9","","대구광역시 남구 대명동 1676-1","대구광역시 남구 현충로 99, 1층 (대명동)","42465","서약국","2025-12-31 14:24:03","U","2026-01-03 02:40:00","","342647.348215218","261330.459051059","동물약국","","000","0",
"3","동물약국","02_03_02_P","3050000","305000001120240008","2024-05-09","","03","폐업","0002","폐업","2025-12-31","","","","","","","서울특별시 동대문구 용두동 100-1 랜드마크타워1","서울특별시 동대문구 천호대로25길 81, 랜드마크타워1 103호 (용두동)","02585","청수약국","2025-12-31 14:23:38","U","2026-01-03 02:40:00","","202929.480858008","452835.10567055","동물약국","","000","0",
"4","동물약국","02_03_02_P","4810000","481000001120210008","2021-09-07","","04","취소/말소/만료/정지/중지","0004","말소","","","","","061-920-6699","451.23","","전라남도 여수시 화장동 793-7","전라남도 여수시 무선중앙로 23(화장동)","59639","조은약국","2025-12-31 09:12:15","U","2026-01-03 02:40:00","","259243.02","142023.515","동물약국","","000","0",
"5","동물약국","02_03_02_P","3930000","393000001120180002","2018-03-29","","03","폐업","0002","폐업","2025-12-30","","","","","0","","경기도 안산시 단원구 고잔동 707-2 삼성홈플러스","경기도 안산시 단원구 광덕대로 175, 삼성홈플러스 2층 (고잔동)","15471","건강플러스동물약국","2026-01-01 13:12:54","U","2026-01-03 02:40:00","","184766.070784522","423338.223688148","동물약국","","000","0",
"6","동물약국","02_03_02_P","3410000","341000001120220011","2022-08-23","","03","폐업","0002","폐업","2025-12-31","","","","256-8822","","","대구광역시 중구 남산동 2445-10","대구광역시 중구 남산로 48, 1층 (남산동)","41970","스마일약국","2025-12-31 13:14:35","U","2026-01-03 02:40:00","","342899.611328886","263450.913065781","동물약국","","000","0",
"7","동물약국","02_03_02_P","3180000","318000001120140002","2014-03-21","","03","폐업","0002","폐업","2016-09-05","","","","2634-1323","0","","서울특별시 영등포구 당산동1가 16-1 진로아파트 상가 105호","서울특별시 영등포구 당산로 68, 105호 (당산동1가, 진로아파트상가)","07292","조은약국","2025-12-31 10:30:25","U","2026-01-03 02:40:00","","190766.238732198","446496.183037224","동물약국","","000","0",
"8","동물약국","02_03_02_P","3180000","318000001120210001","2021-01-06","","03","폐업","0002","폐업","2025-12-30","","","","","0","","서울특별시 영등포구 당산동6가 339-4","서울특별시 영등포구 양평로 68, DN빌딩 1층 (당산동6가)","07222","수성약국","2025-12-31 10:28:32","U","2026-01-03 02:40:00","","191046.720915509","448126.220291917","동물약국","","000","0",
"9","동물약국","02_03_02_P","4090000","409000001120240023","2024-12-12","","03","폐업","0002","폐업","2025-12-20","","","","","","","경기도 김포시 마산동 646-1","경기도 김포시 김포한강8로 172, 104호 (마산동)","10068","봄빛약국","2025-12-31 09:07:11","U","2026-01-03 02:40:00","","168550.059735451","459518.508870583","동물약국","","000","0",
"10","동물약국","02_03_02_P","3620000","362000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","광주광역시 북구 각화동 721 각화센트럴파크 3차","광주광역시 북구 동문대로249번길 7, 303동 104호 (각화동, 각화센트럴파크 3차)","61135","호약국","2026-01-02 22:02:23","I","2026-01-04 00:20:12","","","","동물약국","","000","0",
"11","동물약국","02_03_02_P","4090000","409000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","경기도 김포시 마산동 646-1","경기도 김포시 김포한강8로 172, 104호 (마산동)","10068","봄빛약국","2026-01-02 08:47:51","I","2026-01-04 00:20:12","","168550.059735451","459518.508870583","동물약국","","000","0",
"12","동물약국","02_03_02_P","4020000","402000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","경기도 군포시 산본동 1142-2 대우디오플러스 303호","경기도 군포시 번영로 505, 대우디오플러스 3층 303호 (산본동)","15865","주차편한365약국","2026-01-02 19:14:35","I","2026-01-04 00:20:12","","194028.371987654","428538.874931021","동물약국","","000","0",
"13","동물약국","02_03_02_P","3170000","317000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","서울특별시 금천구 독산동 291-7 홈플러스 금천점","서울특별시 금천구 시흥대로 391, 홈플러스 금천점 3층 (독산동)","08584","금천메가팩토리약국","2026-01-02 13:23:45","I","2026-01-04 00:20:12","","190809.507840375","440728.382273075","동물약국","","000","0",
"14","동물약국","02_03_02_P","3110000","311000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","서울특별시 은평구 대조동 14-18 1층","서울특별시 은평구 통일로 723, 1층 (대조동)","03397","진호메디칼약국","2026-01-02 10:50:06","I","2026-01-04 00:20:12","","193735.91191965","456421.405234256","동물약국","","000","0",
"15","동물약국","02_03_02_P","3110000","311000001120260002","2026-01-02","","01","영업/정상","0000","정상","","","","","02-355-8322","","","서울특별시 은평구 역촌동 62-1","서울특별시 은평구 연서로 73 (역촌동)","03417","곰약국","2026-01-02 16:46:51","I","2026-01-04 00:20:12","","192429.140308928","455926.649379898","동물약국","","000","0",
"16","동물약국","02_03_02_P","3100000","310000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","서울특별시 노원구 상계동 292-1 와우쇼핑몰","서울특별시 노원구 노해로 507, 와우쇼핑몰 1114~1116, 1125~1127등호 (상계동)","01695","와우스타약국","2026-01-02 13:09:49","I","2026-01-04 00:20:12","","205557.013355638","461441.687971047","동물약국","","000","0",
"17","동물약국","02_03_02_P","3150000","315000001120260001","2026-01-02","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 마곡동 779-1","서울특별시 강서구 마곡중앙8로1길 81, 제비티 1층 108호 (마곡동)","07790","구름힐약국","2026-01-02 10:14:26","I","2026-01-04 00:20:12","","185602.711828867","451826.62016058","동물약국","","000","0",
