"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"1","건설폐기물처리업","09_30_05_P","4850000","485000092200300001","2011-05-12","","01","영업/정상","BBBB","영업","","","","","0613820048","","","전라남도 담양군 고서면 동운리 564-1","전라남도 담양군 고서면 원등2길 1","57385","고서환경골재","2025-12-31 13:39:40","U","2026-01-03 02:40:00","","197693.471320785","191611.903787897","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"2","건설폐기물처리업","09_30_05_P","3740000","374000092201800004","2019-04-17","","01","영업/정상","BBBB","영업","","","","","031-224-3303","","","경기도 수원시 장안구 파장동 208-4 한성빌라","경기도 수원시 장안구 수일로16번길 3, 나동 102호 (파장동, 한성빌라)","16205","예안환경","2025-12-31 14:28:46","U","2026-01-03 02:40:00","","202424.644551945","420632.615546308","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"3","건설폐기물처리업","09_30_05_P","4211000","421100092200700006","2009-12-18","","01","영업/정상","BBBB","영업","","","","","033-532-0794","","240-010","강원특별자치도 동해시 천곡동 960-9","강원특별자치도 동해시 감추5길 35-3 (천곡동)","25777","동성흥업","2025-12-31 15:09:54","U","2026-01-03 02:40:00","","387305.825733834","448329.953645679","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"4","건설폐기물처리업","09_30_05_P","4820000","482000092199800007","1998-07-08","","01","영업/정상","BBBB","영업","","","","","061-755-7781","","","전라남도 순천시 서면 압곡리 127-3 호남산업(주)","전라남도 순천시 서면 매천로 209, 호남산업(주)","57903","호남산업(주)","2025-12-31 12:59:26","U","2026-01-03 02:40:00","","248206.153129849","165904.938865263","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","44000","",
"5","건설폐기물처리업","09_30_05_P","3030000","303000092201000001","2025-06-19","","01","영업/정상","BBBB","영업","","","","","466-2371","","133-160","서울특별시 성동구 송정동 73-37 승산빌딩","서울특별시 성동구 자동차시장1길 81, 801호 (용답동)","133-850","성원이앤아이(주)","2025-12-31 16:12:10","U","2026-01-03 02:40:00","","205486.300862045","449853.073688806","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"6","건설폐기물처리업","09_30_05_P","3430000","343000092202100002","2021-02-03","","01","영업/정상","BBBB","영업","","","","","","","","대구광역시 서구 상리동 239-73","대구광역시 서구 가르뱅이로 49, 202호 (상리동)","41750","(주)신성그린","2025-12-31 14:56:50","U","2026-01-03 02:40:00","","338276.084404908","265698.072370925","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"7","건설폐기물처리업","09_30_05_P","3650000","365000092201500001","2015-03-23","","03","폐업","2","폐업","2025-12-31","","","","5326820","","","","대전광역시 중구 유등천동로 506 (태평동)","301-845","개별환경","2025-12-31 17:50:01","U","2026-01-03 02:40:00","","234987.170399767","313977.496696174","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"8","건설폐기물처리업","09_30_05_P","5020000","502000092201100003","2011-08-03","","01","영업/정상","BBBB","영업","","","","","0542859277","","790-881","경상북도 포항시 남구 연일읍 우복리 179-2","경상북도 포항시 남구 연일읍 남성길1번길 66 (상도동)","790-881","금강환경(주)","2025-12-31 09:41:19","U","2026-01-03 02:40:00","","411752.514025029","277016.252742998","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"9","건설폐기물처리업","09_30_05_P","5670000","567018492201000002","2017-03-22","","01","영업/정상","BBBB","영업","","","","","0552232222","","630-856","경상남도 창원시 마산회원구 내서읍 호계리 683-1","경상남도 창원시 마산회원구 내서읍 수곡로 6-103","630-856","대부개발(주)","2025-12-31 09:16:55","U","2026-01-03 02:40:00","","337547.902811828","196880.188581925","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","18774","",
"10","건설폐기물처리업","09_30_05_P","5670000","567018492201200006","2012-09-11","","01","영업/정상","BBBB","영업","","","","","0552232222","","630-856","경상남도 창원시 마산회원구 내서읍 호계리 683-1","경상남도 창원시 마산회원구 내서읍 수곡로 6-103","630-856","대부개발(주)","2025-12-31 09:21:24","U","2026-01-03 02:40:00","","337547.902811828","196880.188581925","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"11","건설폐기물처리업","09_30_05_P","5670000","567018492200600003","2022-09-21","","03","폐업","2","폐업","2022-09-21","","","","055-295-8882","","630-857","경상남도 창원시 마산회원구 내서읍 중리 1250-3","경상남도 창원시 마산회원구 내서읍 중리공단로 120","51242","(주)무성환경","2025-12-31 09:46:14","U","2026-01-03 02:40:00","","337417.984835664","194624.827285689","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"12","건설폐기물처리업","09_30_05_P","4671000","467100092202300002","2024-01-19","","01","영업/정상","BBBB","영업","","","","","","","","전북특별자치도 군산시 개정동 29-17","전북특별자치도 군산시 달여길 24 (개정동)","54068","가온철거환경","2025-12-31 11:31:36","U","2026-01-03 02:40:00","","178556.070972991","274531.663698891","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"13","건설폐기물처리업","09_30_05_P","3670000","367000092201200001","2012-02-17","","01","영업/정상","BBBB","영업","","","","","042-546-9797","","305-251","대전광역시 유성구 대정동 259-4 유성구청","대전광역시 유성구 한우물로 35 (대정동)","305-251","화산건설산업(주)","2025-12-31 09:12:25","U","2026-01-03 02:40:00","","228828.323790033","312334.002487184","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"14","건설폐기물처리업","09_30_05_P","4470000","447000092201100001","2024-10-22","","01","영업/정상","BBBB","영업","","","","","0438724664","","","충청북도 음성군 원남면 하노리 272-1","충청북도 음성군 원남면 상경로 324-21","","정화환경산업(주)","2025-12-31 14:23:59","U","2026-01-03 02:40:00","","261779.81865556","377888.780050178","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"15","건설폐기물처리업","09_30_05_P","3670000","367000092201200008","2025-03-31","","01","영업/정상","BBBB","영업","","","","","042-546-9797","","305-251","대전광역시 유성구 대정동 259-4 유성구청","대전광역시 유성구 한우물로 35 (대정동)","305-251","화산건설산업(주)","2025-12-31 09:12:25","U","2026-01-03 02:40:00","","228828.323790033","312334.002487184","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"16","건설폐기물처리업","09_30_05_P","4050000","405000092199700003","2022-12-29","","01","영업/정상","BBBB","영업","","","","","0313231004","","449-884","경기도 용인시 처인구 남사읍 통삼리 619-2 외4필지(619-2,14,10,20)","경기도 용인시 처인구 남사읍 경기동로 52","17118","(주)지솔알이에이치","2026-01-02 18:02:54","U","2026-01-04 02:40:00","","211781.539806266","404910.194991874","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
