"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산판매업","07_22_04_P","5200000","520000000920250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","26.4","","경상북도 고령군 대가야읍 고아리 37","경상북도 고령군 대가야읍 고헌3길 24","40141","대가생닭","2025-12-31 10:34:12","I","2026-01-03 00:20:02","식육판매업","314682.745342497","248344.940679319","축산물판매업","식육판매업","0","000","0",
"2","축산판매업","07_22_04_P","4040000","404000000920250053","2025-12-31","","01","영업/정상","0000","정상","","","","","","9","","경기도 하남시 망월동 1089 성산타워플러스","경기도 하남시 미사강변중앙로204번길 45, 성산타워플러스 305-에이124호 (망월동)","12913","주식회사 나노에프앤비","2025-12-31 15:06:08","I","2026-01-03 00:20:02","식육판매업","216751.278017278","451538.401273551","축산물판매업","식육판매업","0","L00","0",
"3","축산판매업","07_22_04_P","3620000","362000000920250036","2018-06-26","","01","영업/정상","0000","정상","","","","","","38.64","","광주광역시 북구 연제동 6-1","광주광역시 북구 양산제로 109-7, 1층 (연제동)","61079","평화계란","2025-12-31 17:57:33","I","2026-01-03 00:20:02","식용란수집판매업","188118.193886893","189411.665047614","축산물판매업","식용란수집판매업","0","000","0",
"4","축산판매업","07_22_04_P","3620000","362000000920250037","2021-03-18","","01","영업/정상","0000","정상","","","","","","198","","광주광역시 북구 지야동 807-6","광주광역시 북구 지산마을길 45-11, 1층 (지야동)","61027","서민축산(주)농업회사법인","2025-12-31 10:41:13","I","2026-01-03 00:20:02","식육판매업","190289.931693926","192253.892429197","축산물판매업","식육판매업","0","L00","0",
"5","축산판매업","07_22_04_P","3860000","386000000920250040","2025-12-31","","01","영업/정상","0000","정상","","","","","02-6956-1258","44.16","","경기도 부천시 원미구 도당동 247-66 연합조명상가 2층 일부","경기도 부천시 원미구 정주로 46, 연합조명상가 2층 일부호 (도당동)","14532","(주)에스티푸드","2025-12-31 13:42:20","I","2026-01-03 00:20:02","축산물유통전문판매업","180269.853731252","445193.897613268","축산물판매업","축산물유통전문판매업","0","L00","0",
"6","축산판매업","07_22_04_P","4271000","427100000920250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","33.75","","강원특별자치도 영월군 주천면 신일리 737-1","강원특별자치도 영월군 주천면 솔치로 527","26205","영월이네","2025-12-31 13:08:54","I","2026-01-03 00:20:02","축산물유통전문판매업","309908.221804549","419145.998306605","축산물판매업","축산물유통전문판매업","0","L00","0",
"7","축산판매업","07_22_04_P","4271000","427100000920250003","2025-12-31","","01","영업/정상","0000","정상","","","","","","45.6","","강원특별자치도 영월군 영월읍 하송리 407-3","강원특별자치도 영월군 영월읍 하송로 146-5","26239","정성 정육식당","2025-12-31 13:10:52","I","2026-01-03 00:20:02","식육판매업","329299.445198826","409356.709517892","축산물판매업","식육판매업","0","000","0",
"8","축산판매업","07_22_04_P","4671000","467100000920250023","2025-12-31","","01","영업/정상","0000","정상","","","","","070-4117-8013","22.9","","전북특별자치도 군산시 회현면 대정리 61-2 회현농협","전북특별자치도 군산시 회현면 광지산길 4, 회현농협","54177","회현농협 하나로마트 축산물판매장","2025-12-31 15:19:28","I","2026-01-03 00:20:02","식육판매업","177919.856623489","268035.256753162","축산물판매업","식육판매업","0","L00","0",
"9","축산판매업","07_22_04_P","4590000","459000000920250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","52","","충청남도 청양군 청양읍 읍내리 175-10","충청남도 청양군 청양읍 중앙로 117","33331","시장정육점","2025-12-31 13:21:19","I","2026-01-03 00:20:02","식육판매업","182235.511540149","327703.349165142","축산물판매업","식육판매업","0","000","0",
"10","축산판매업","07_22_04_P","3780000","378000000920250143","2025-12-31","","01","영업/정상","0000","정상","","","","","031-755-4675","68.77","","경기도 성남시 중원구 여수동 183 성남 여수 오렌지카운티","경기도 성남시 중원구 성남대로 993, 성남 여수 오렌지카운티 10층 1002호 (여수동)","13438","(주)미트내츄럴","2025-12-31 17:54:11","I","2026-01-03 00:20:02","축산물유통전문판매업","211274.523545674","435164.426859155","축산물판매업","축산물유통전문판매업","0","L00","0",
"11","축산판매업","07_22_04_P","5690000","569000000920250026","2025-12-30","","01","영업/정상","0000","정상","","","","","","41","","세종특별자치시 부강면 등곡리 367-5","세종특별자치시 부강면 시목부강로 549","30078","진미계란","2025-12-30 15:36:48","I","2026-01-03 00:20:02","식용란수집판매업","234005.918851966","334835.833542793","축산물판매업","식용란수집판매업","0","000","0",
"12","축산판매업","07_22_04_P","4231000","423100000920250008","2025-12-31","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 속초시 대포동 945-4","강원특별자치도 속초시 농공단지1길 41 (대포동)","24899","(주)엠메이크잇 자연푸드","2025-12-31 13:50:11","I","2026-01-03 00:20:02","축산물유통전문판매업","339907.633763456","520056.309475073","축산물판매업","축산물유통전문판매업","0","L00","0",
"13","축산판매업","07_22_04_P","3360000","336000000920250095","2019-05-01","","01","영업/정상","0000","정상","","","","","","194","","부산광역시 강서구 대저2동 2453-7","부산광역시 강서구 공항앞길85번길 81-3 (대저2동)","46720","제이 앤 에스 미트","2025-12-31 11:40:22","I","2026-01-03 00:20:02","식육판매업","377950.45062861","187912.248885654","축산물판매업","식육판매업","0","000","0",
"14","축산판매업","07_22_04_P","3730000","373000000920250016","2025-12-31","","01","영업/정상","0000","정상","","","","","","103.67","","울산광역시 울주군 두동면 천전리 988","울산광역시 울주군 두동면 천전대현로 50-19, 1층","44913","금성농장","2025-12-31 09:35:38","I","2026-01-03 00:20:02","식육판매업","395141.681197259","237162.435252289","축산물판매업","식육판매업","0","000","0",
"15","축산판매업","07_22_04_P","6510000","651000000920250044","2025-12-31","","01","영업/정상","0000","정상","","","","","","22","","제주특별자치도 제주시 구좌읍 동복리 665-7","제주특별자치도 제주시 구좌읍 구좌해안로 52-5","63347","곰막옆집","2025-12-31 08:03:00","I","2026-01-03 00:20:02","식육판매업","","","축산물판매업","식육판매업","0","000","0",
"16","축산판매업","07_22_04_P","6510000","651000000920250045","2025-12-31","","01","영업/정상","0000","정상","","","","","064-796-5552","37.38","","제주특별자치도 제주시 구좌읍 송당리 1891-4","제주특별자치도 제주시 구좌읍 비자림로 1724","63355","(주)우영미트","2025-12-31 09:09:29","I","2026-01-03 00:20:02","식육판매업","","","축산물판매업","식육판매업","0","L00","0",
"17","축산판매업","07_22_04_P","3090000","309000000920250013","2015-04-17","","01","영업/정상","0000","정상","","","","","","7.92","","서울특별시 도봉구 창동 812 현대타운아파트","서울특별시 도봉구 도봉로114길 22-8, 101동 177호 (창동, 현대타운아파트)","01455","서울우유우정유통","2025-12-31 11:12:40","I","2026-01-03 00:20:02","우유류판매업","203039.327074879","460524.018199419","축산물판매업","우유류판매업","0","000","0",
"18","축산판매업","07_22_04_P","4470000","447000000920250033","2025-12-31","","01","영업/정상","0000","정상","","","","","","27","","충청북도 음성군 대소면 오류리 890 다동 6열 6-1호","충청북도 음성군 대소면 대금로 165-18, 다동 6열 6-1호","27659","성일축산","2025-12-31 10:47:20","I","2026-01-03 00:20:02","식육부산물전문판매업","241528.431466756","386949.953452858","축산물판매업","식육부산물전문판매업","0","000","0",
"19","축산판매업","07_22_04_P","4510000","451000000920250005","2025-12-31","","01","영업/정상","0000","정상","","","","","041-934-2859","23.1","","충청남도 보령시 동대동 1807","충청남도 보령시 작은오랏5길 24 (동대동)","33470","유한종합식품","2025-12-31 16:38:26","I","2026-01-03 00:20:02","축산물유통전문판매업","164400.358842139","316228.128157297","축산물판매업","축산물유통전문판매업","0","000","0",
