"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"1","환경컨설팅회사","09_30_18_P","6410000","641000020202600001","2026-01-05","","01","영업/정상","N","신규","","","","","","","","경기도 용인시 기흥구 영덕동 1029번지 U-TOWER 910호","경기도 용인시 기흥구 흥덕중앙로 120, U-TOWER 910호 (영덕동)","","(주)지앤지인텍","2026-01-05 17:14:50","I","2026-01-07 00:20:36","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"2","환경컨설팅회사","09_30_18_P","6410000","641000020202200004","2026-01-05","","01","영업/정상","N","신규","","","","","","","15426","경기도 안산시 단원구 신길동 1229번지 리드스마트스퀘어지식산업센터 에프304호","경기도 안산시 단원구 산단로 325, 리드스마트스퀘어지식산업센터 3층 에프304호(신길동)","15426","(주)한국환경안전기술","2026-01-05 13:14:51","U","2026-01-07 02:40:00","","180878.941038538","424612.422892591","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","1708601239",
"3","환경컨설팅회사","09_30_18_P","6470000","647000020202400002","2026-01-05","","01","영업/정상","N","신규","","","","","","","","경상북도 구미시 진평동 20-1","경상북도 구미시 인동22길 9, 5층 (진평동)","","(주)세신환경기술","2026-01-05 15:02:33","U","2026-01-07 02:40:00","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","5138141243",
"4","환경컨설팅회사","09_30_18_P","6410000","641000020202600002","2026-01-06","","01","영업/정상","N","신규","","","","","","","14067","경기도 안양시 동안구 관양동 1591-9","경기도 안양시 동안구 시민대로248번길 25, 경기창조산업안양센터 401,402호 (관양동)","14067","(주)기후위기대응연구원","2026-01-06 11:19:01","I","2026-01-09 00:20:01","","196294.847581902","432235.380833476","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"5","환경컨설팅회사","09_30_18_P","6460000","646000020201600001","2026-01-06","","01","영업/정상","N","신규","","","","","","","57372","전라남도 담양군 봉산면 양지리 558-1","전라남도 담양군 봉산면 양지길 19","57372","(주)장강이엔지","2026-01-06 13:29:41","U","2026-01-09 02:40:00","","194369.894628541","194996.951382069","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","4478800022",
"6","환경컨설팅회사","09_30_18_P","6280000","628000020202400001","2024-10-24","","01","영업/정상","N","신규","","","","","","","22772","인천광역시 서구 석남동 223-242","인천광역시 서구 건지로97번길 51 (석남동)","22772","(주)서강엔지니어링","2026-01-07 09:42:26","U","2026-01-09 02:40:00","","169190.619569289","444678.892609514","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"7","환경컨설팅회사","09_30_18_P","6410000","641000020202400027","2026-01-08","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 매송면 원평리 103-26","경기도 화성시 매송면 화성로2357번길 12","","(주)다원환경기술","2026-01-08 08:15:21","U","2026-01-10 02:40:00","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"8","환경컨설팅회사","09_30_18_P","6110000","611000020202300014","2024-02-23","","01","영업/정상","N","신규","","","","","","","06567","서울특별시 서초구 방배동 1929번지 가나빌딩","서울특별시 서초구 동작대로 140, 가나빌딩 2층 (방배동)","06567","(주)화학안전연구소","2026-01-12 15:43:06","U","2026-01-14 02:40:00","","198409.588839873","442989.106068574","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"9","환경컨설팅회사","09_30_18_P","6410000","641000020201400010","2026-01-12","","01","영업/정상","N","신규","","","","","","","425-809","경기도 안산시 단원구 고잔동 729번지 9호 윈윈프라자 104호","경기도 안산시 단원구 광덕4로 260, 104호 (고잔동,윈윈프라자)","425-809","보성환경이엔텍(주)","2026-01-12 09:46:43","U","2026-01-14 02:40:00","","185871.930223931","423597.658528151","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","1238141074",
"10","환경컨설팅회사","09_30_18_P","6310000","631000020202500003","2026-01-12","","01","영업/정상","N","신규","","","","","0522641314","","","울산광역시 울주군 언양읍 반천리 1104-4","울산광역시 울주군 언양읍 반천산업로 135-17","","(주)윈테크","2026-01-12 19:43:56","U","2026-01-14 02:40:00","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","6158171188",
"11","환경컨설팅회사","09_30_18_P","6460000","646000020202500002","2026-01-13","","01","영업/정상","N","신규","","","","","","","62374","광주광역시 광산구 우산동 1071-3 나동","광주광역시 광산구 사암로92번길 79 (우산동)","62374","(주)상원기술개발","2026-01-13 14:34:24","U","2026-01-15 02:40:00","","182781.699116048","183738.332210894","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"12","환경컨설팅회사","09_30_18_P","6410000","641000020202600003","2026-01-14","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 새솔동 99-1 501호","경기도 화성시 노들길 6-18, 501호 (새솔동)","","청담환경기술 주식회사","2026-01-14 13:13:17","I","2026-01-16 00:20:02","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"13","환경컨설팅회사","09_30_18_P","6410000","641000020202400033","2026-01-14","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 반월동 345-3","경기도 화성시 효행로 1369, 201호 (반월동)","","(주)청녹엔텍","2026-01-14 13:13:42","U","2026-01-16 02:40:00","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
