"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","테마파크업(기타)","03_07_08_P","5080000","CDFI5272002025000009","2025-12-31","","01","영업/정상","13","영업중","","","","","053-782-5898","","","경상북도 구미시 양호동 614-10","경상북도 구미시 체육공원안길 98 (양호동)","39193","구미 낙동강 스노우파크","2025-12-31 15:29:04","I","2026-01-03 00:20:02","","323237.193507905","293867.521412359","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"2","테마파크업(기타)","03_07_08_P","5670000","CDFI5272002023000007","2023-06-16","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 진전면 양촌리 1059-33","경상남도 창원시 마산합포구 진전면 팔의사로 342-22","51795","(주)드윌레저캠프 양촌지점","2025-12-31 10:05:04","U","2026-01-03 02:40:00","","325626.841711819","181595.59518817","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","테마파크업(기타)","03_07_08_P","4610000","CDFI5272002024000003","2024-09-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 예산군 삽교읍 목리 935 내포프라자","충청남도 예산군 삽교읍 청사로 202, 내포프라자","32416","몬스터플레이파크","2026-01-01 10:54:38","U","2026-01-03 02:40:00","","171104.608884862","351276.472606837","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","붕붕뜀틀(트램펄린) 8대, 미니에어바운스(홈바운스 개구리왕눈이) 1대, 배터리카 8대","3","","","","","","","0","","","","0",
"4","테마파크업(기타)","03_07_08_P","5080000","CDFI5272002019000010","2019-12-11","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 산동읍 신당리 1395","경상북도 구미시 산동읍 신당4로 115, 8층 801~806호","39164","킨더그라운드","2025-12-31 11:12:21","U","2026-01-03 02:40:00","","328492.51216324","295910.904874319","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","2종 3대","2","","","","","","","0","","","","0",
"5","테마파크업(기타)","03_07_08_P","5530000","CDFI5272002022000001","2022-02-23","","01","영업/정상","13","영업중","","","","","031-8003-2969","","","경기도 화성시 반송동 98 메타폴리스","경기도 화성시 동탄중앙로 200, B동 3층 (반송동, 메타폴리스)","18445","동탄점 챔피언 더 블랙벨트","2025-12-30 15:31:39","U","2026-01-03 02:40:00","","206007.25472163","411214.942059565","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"6","테마파크업(기타)","03_07_08_P","4020000","CDFI5272002018000001","2018-04-26","","04","취소/말소/만료/정지/중지","35","직권말소","2025-11-05","","","","031-8033-1279","","","경기도 군포시 산본동 1145-6 롯데 피트인 산본","경기도 군포시 번영로 485, 롯데 피트인 산본 9층 (산본동)","15866","캐리키즈카페 롯데피트인 산본점","2025-12-31 14:06:25","U","2026-01-03 02:40:00","","193789.410732019","428419.578316283","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","457.07","붕붕뜀틀","1","","","","","","","0","","","","457",
"7","테마파크업(기타)","03_07_08_P","3820000","CDFI5272002018000005","2018-09-20","","01","영업/정상","13","영업중","","","","","031-827-8866","","","경기도 의정부시 신곡동 471 건영아파트","경기도 의정부시 능곡로26번길 28, 건영아파트 상가동 지하층 101,102호 (신곡동)","11747","아이노리키즈카페","2025-12-30 14:45:33","U","2026-01-03 02:40:00","","205421.214448215","470812.461624323","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","3","","","","","","","0","","","","0",
"8","테마파크업(기타)","03_07_08_P","5330000","CDFI5272002026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 용남면 장평리 717-1","경상남도 통영시 용남면 연기길 170","53024","아스트로 펜션","2026-01-02 11:10:02","I","2026-01-04 00:20:12","","333911.287545016","154351.237685097","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002021000002","2021-06-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신동면 증리 425-5","강원특별자치도 춘천시 신동면 금병의숙길 9-18","24412","브이스페이스","2026-01-02 09:44:46","U","2026-01-04 02:40:00","","263004.731189241","479449.263938293","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"10","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002016000003","2016-12-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 죽림동 189 브라운가","강원특별자치도 춘천시 중앙로67번길 18, 4115~4119,6113,6119,61121호 (죽림동, 브라운가)","24354","컬쳐스페이스","2026-01-02 17:28:56","U","2026-01-04 02:40:00","","263954.075694438","486406.885561246","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","592.89","","0","","","","","","","0","","","","593",
