"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"1","소독업","09_30_11_P","3640000","PHMB520253640023042500009","2017-04-10","","01","영업/정상","13","영업중","","","","","042-286-9791","","","대전광역시 동구 효동 122-1","대전광역시 동구 대전로 591, 4층, 6층 (효동)","34688","(주)세스코 대전지역단","2025-12-31 14:03:44","I","2026-01-03 00:20:02","","239511.004673302","312613.233043632","209.13","68.2","5","2","0","6","5","5","5","1",
"2","소독업","09_30_11_P","3420000","PHMB520253420023042500006","2025-12-31","","01","영업/정상","13","영업중","","","","","053-965-0188","","","대구광역시 동구 율암동 1264","대구광역시 동구 안심뉴타운5로 5, 2층 (율암동)","41128","(주)세스코 대구경북사업부","2025-12-31 13:02:13","I","2026-01-03 00:20:02","","353940.128239028","265036.556188677","206.5","86.9","2","2","0","3","10","10","15","3",
"3","소독업","09_30_11_P","3700000","PHMB520253700018042500012","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","","울산광역시 남구 눌재로 6 (무거동)","44637","종합보수센타","2025-12-31 16:22:18","I","2026-01-03 00:20:02","","406496.771690607","230017.96260666","17.86","20.14","1","2","0","3","5","5","5","1",
"4","소독업","09_30_11_P","4020000","PHMB520254020028042500003","2025-12-31","","01","영업/정상","13","영업중","","","","","031-399-7955","","","경기도 군포시 금정동 847-2 동영센트럴타워","경기도 군포시 산본로324번길 8, 동영센트럴타워 314, 410호 (금정동)","15829","(주)세스코 수도권서부사업부","2025-12-31 14:40:27","I","2026-01-03 00:20:02","","194175.53731115","428660.541903351","329.21","74.99","1","2","0","5","5","5","5","1",
"5","소독업","09_30_11_P","6510000","PHMB520256510096042500016","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 일도이동 393-6","제주특별자치도 제주시 고마로17길 11-22 (일도이동)","63254","세계로방역","2025-12-31 09:15:13","I","2026-01-03 00:20:02","","157341.220812392","1230.94610861443","0","0","2","2","0","3","5","5","5","1",
"6","소독업","09_30_11_P","6510000","PHMB520256510096042500017","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 일도이동 325","제주특별자치도 제주시 고마로9길 26, 3층 (일도이동)","63253","탑케어","2025-12-31 09:33:19","I","2026-01-03 00:20:02","","157346.245937352","1683.77574340775","0","0","1","2","0","3","5","5","5","1",
"7","소독업","09_30_11_P","4490000","PHMB520124490260042500001","2012-04-30","","02","휴업","02","휴업","","2025-02-07","2026-12-31","","","","330-940","충청남도 천안시 동남구 신방동 784번지 1호 사동 5002호","충청남도 천안시 동남구 신촌로 24, 사동 5층 5002호 (신방동)","31177","링크앤하이테크","2025-12-31 14:57:21","U","2026-01-03 02:40:00","","210769.482928735","365154.552924088","31.6","28.5","1","2","1","5","5","5","5","1",
"8","소독업","09_30_11_P","4000000","PHMB520144000018042500001","2014-07-15","","01","영업/정상","13","영업중","","","","","","","447-804","경기도 오산시 원동 578번지 4호 다짐프라자 206호","경기도 오산시 밀머리로 64, 206호 (원동, 다짐프라자)","18144","(주)스퀴지","2025-12-31 09:11:50","U","2026-01-03 02:40:00","","206744.266699605","403938.228757143","72.56","16.91","1","2","1","5","5","5","5","1",
"9","소독업","09_30_11_P","4000000","PHMB520124000018042500001","2012-01-03","","01","영업/정상","13","영업중","","","","","374-2553","","447-310","경기도 오산시 갈곶동 715번지","경기도 오산시 경기대로 40 (갈곶동)","18145","녹색환경연합","2025-12-31 09:13:43","U","2026-01-03 02:40:00","","206449.832455372","403085.727525309","62","18","1","2","1","5","5","5","5","1",
"10","소독업","09_30_11_P","3130000","PHMB520103130033042500007","2010-12-29","","03","폐업","03","폐업","2025-12-31","","","","02-707-3612","","121-825","서울특별시 마포구 망원동 426번지 7호 한성빌딩  201호","서울특별시 마포구 월드컵로29길 57, 201호 (망원동)","03959","오라산업관리(주)","2025-12-31 14:40:00","U","2026-01-03 02:40:00","","191380.378322633","450748.498740401","36.68","13.86","1","2","1","5","5","5","5","1",
"11","소독업","09_30_11_P","3420000","PHMB520233420023042500004","2023-08-24","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","","","","대구광역시 동구 신천동 325-8","대구광역시 동구 동부로22길 29, 4층 (신천동)","41243","주식회사 더라인에이치","2025-12-31 16:37:45","U","2026-01-03 02:40:00","","346874.261209636","264971.273496254","285","396","1","2","0","3","5","5","5","1",
"12","소독업","09_30_11_P","3420000","PHMB520083420023042500004","2008-01-03","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","624-9437","","701-854","대구광역시 동구 지저동 826번지 1호 (1층)","대구광역시 동구 공항로52길 33 (지저동)","41048","윤성기업","2025-12-31 16:32:09","U","2026-01-03 02:40:00","","347883.977171472","267047.404499716","16","11","1","2","1","5","5","5","5","1",
"13","소독업","09_30_11_P","3420000","PHMB520143420023042500008","2014-10-31","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","","","701-820","대구광역시 동구 신암동 795번지 9호","대구광역시 동구 아양로 23, 3층 (신암동)","41196","태인비엠씨","2025-12-31 16:21:07","U","2026-01-03 02:40:00","","345905.846341199","265826.500958899","133.6","40","1","2","1","5","5","5","5","1",
"14","소독업","09_30_11_P","3560000","PHMB520193560021042500002","2019-03-26","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 심곡동 336-1 광명아파트 205,206호","인천광역시 서구 심곡로 9, 광명아파트 205,206호 (심곡동)","22728","엠오엠테크 & 매니지먼트","2026-01-01 11:50:50","U","2026-01-03 02:40:00","","170828.106945406","449016.06148702","20","22","1","2","0","3","5","5","5","1",
"15","소독업","09_30_11_P","4940000","PHMB520164940017042500002","2016-08-19","","01","영업/정상","13","영업중","","","","","473-3200","","","전라남도 영암군 시종면 만수리 894번지 2호","전라남도 영암군 시종면 고분로 26","58427","스마일협동조합","2025-12-31 17:51:02","U","2026-01-03 02:40:00","","164433.503360681","152387.234172026","13.2","40","1","2","0","3","5","5","5","2",
"16","소독업","09_30_11_P","3180000","PHMB520243180034042500008","2024-09-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동3가 42","서울특별시 영등포구 양산로25길 5, B1층 (당산동3가)","07259","에스에스사업단","2025-12-31 14:08:58","U","2026-01-03 02:40:00","","190949.769353418","446896.70991345","65","20","1","2","0","3","5","5","5","1",
"17","소독업","09_30_11_P","3540000","PHMB520243540021042500007","2024-08-28","","02","휴업","02","휴업","","2025-12-31","2026-02-28","","","","","인천광역시 부평구 삼산동 462-3 대경프라자","인천광역시 부평구 체육관로 18, 대경프라자 5층 501-6077호 (삼산동)","21344","클렌드","2025-12-31 11:14:39","U","2026-01-03 02:40:00","","176378.53666649","445159.787999837","12.5","9","1","2","0","3","5","5","5","1",
"18","소독업","09_30_11_P","3600000","PHMB520153600020042500003","2015-06-18","","02","휴업","02","휴업","","2025-12-20","2026-12-19","","","","502-842","화정동 1185번지","광주광역시 서구 염화로 159, 지하1층 (화정동)","62039","현대방역(큐랜드)","2025-12-31 13:34:16","U","2026-01-03 02:40:00","","189151.669144483","182731.129450634","0","0","2","2","1","5","5","5","5","1",
"19","소독업","09_30_11_P","5080000","PHMB520035080035042500001","2003-01-12","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","054)442-0651","","730-921","경상북도 구미시 원평동 530번지 2호","경상북도 구미시 금오시장로3길 18 (원평동)","","경북방역공사","2025-12-31 11:42:17","U","2026-01-03 02:40:00","","320476.757134353","292611.432728433","50","8","1","2","1","5","5","5","5","1",
"20","소독업","09_30_11_P","5080000","PHMB519995080035042500001","1999-05-17","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","054)473-4089","","730-720","경상북도 구미시 임수동 (구미공구상가)산업유통단지 9동 321호","경상북도 구미시 3공단1로 302-7, 9동 3층 321호 (임수동)","39391","계림기업","2025-12-31 11:42:57","U","2026-01-03 02:40:00","","326256.19455618","290803.711977208","25","14","1","2","1","5","5","5","5","1",
"21","소독업","09_30_11_P","3460000","PHMB520223460023042500002","2022-02-11","","03","폐업","03","폐업","2025-12-31","","","","053-716-3549","","","대구광역시 수성구 범어동 428-15","대구광역시 수성구 국채보상로 960, 1층 (범어동)","42022","미르크린파워","2025-12-31 11:13:28","U","2026-01-03 02:40:00","","347651.762125797","264245.953239334","29","9","1","2","0","3","5","5","5","1",
"22","소독업","09_30_11_P","3210000","PHMB520033210034042500001","2003-02-13","","03","폐업","03","폐업","2025-12-31","","","","3474-5030","","","서울특별시 서초구 방배동 1038번지 대우효령아파트상가 1층 12호","서울특별시 서초구 효령로 84 (방배동, 대우효령아파트상가 1층 12호)","06696","현대크린테크","2025-12-31 15:59:41","U","2026-01-03 02:40:00","","199390.558094651","441930.413285718","0","0","1","2","1","5","5","5","5","1",
"23","소독업","09_30_11_P","3210000","PHMB520153210034042500001","2025-01-08","","03","폐업","03","폐업","2025-12-31","","","","598-6362","","137-877","서울특별시 서초구 서초동 1603번지 68호","서울특별시 서초구 효령로 305, 202호 (서초동)","06643","그레이펄슨(주)","2025-12-31 16:05:20","U","2026-01-03 02:40:00","","201483.609635369","442597.838330435","0","0","1","2","1","5","5","5","5","1",
"24","소독업","09_30_11_P","3180000","PHMB520213180034042500017","2021-12-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 여의도동 13-2 삼보빌딩","서울특별시 영등포구 국회대로74길 9, 삼보빌딩 10층 1004호 (여의도동)","07238","(주)대림파트너스","2025-12-31 13:22:43","U","2026-01-03 02:40:00","","192974.136279143","447585.389404675","228.07","26.53","1","2","0","3","5","5","5","1",
"25","소독업","09_30_11_P","3660000","PHMB520243660023042500007","2024-05-27","","03","폐업","03","폐업","2025-12-31","","","","042-487-9745","","","대전광역시 서구 둔산동 1941","대전광역시 서구 둔산남로179번길 22, 2층 201호 (둔산동)","35250","주식회사 민","2025-12-31 17:05:46","U","2026-01-03 02:40:00","","235613","316651.85","22","10","1","2","0","3","5","5","5","1",
"26","소독업","09_30_11_P","3420000","PHMB520203420023042500011","2020-08-03","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","1833-2647","","","","대구광역시 동구 화랑로 145, 2층 (효목동)","41241","(주)제대로","2025-12-31 16:19:01","U","2026-01-03 02:40:00","","348212.647306467","265126.736956611","0","0","1","2","0","3","5","5","5","1",
"27","소독업","09_30_11_P","3180000","PHMB520163180034042500011","2016-12-15","","01","영업/정상","13","영업중","","","","","02-2679-0325","","","","서울특별시 영등포구 선유로 231, 204호 (양평동4가, 영창빌딩)","07209","(주)휴먼이솔루션","2025-12-31 14:12:47","U","2026-01-03 02:40:00","","190701.543638236","447951.84799243","0","0","1","2","0","3","5","5","5","1",
"28","소독업","09_30_11_P","3920000","PHMB520203920017042500001","2020-05-06","","01","영업/정상","13","영업중","","","","","","","","경기도 동두천시 송내동 672-3","경기도 동두천시 중앙로33번길 110, 로하스빌 1층 (송내동)","11354","가나안 방역","2025-12-31 09:19:02","U","2026-01-03 02:40:00","","205394.857093463","487758.548515887","27.3","11.7","1","2","0","3","5","5","5","1",
"29","소독업","09_30_11_P","3910000","PHMB520213910165042500017","2021-09-30","","01","영업/정상","13","영업중","","","","","031-666-1472","","","경기도 평택시 서정동 781-2","경기도 평택시 서정북로 87, 3층 (서정동)","17766","주식회사 일사천리종합서비스","2025-12-31 12:51:34","U","2026-01-03 02:40:00","","205176.835638465","396610.252897211","21.5","70","1","2","0","3","5","5","5","1",
"30","소독업","09_30_11_P","3130000","PHMB520213130033042500016","2021-12-09","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 마포구 공덕동 456 한국사회복지회관 르네상스타워","서울특별시 마포구 만리재로 14, 한국사회복지회관 르네상스타워 2206호 (공덕동)","04195","우리여행협동조합","2025-12-31 13:47:55","U","2026-01-03 02:40:00","","195766.588069694","449083.306922623","0","0","1","2","0","3","5","5","5","1",
"31","소독업","09_30_11_P","3180000","PHMB520233180034042500004","2023-02-15","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 영등포구 영등포로5길 19, 동아프라임밸리 (양평동2가)","07275","주식회사 홍익덕원","2025-12-31 14:10:47","U","2026-01-03 02:40:00","","189700.355755718","446888.903509382","0","0","1","2","0","3","5","5","5","1",
"32","소독업","09_30_11_P","3150000","PHMB520243150037042500002","2024-01-24","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 강서구 등촌동 698-1 세신등촌종합상가 B146호","서울특별시 강서구 공항대로41길 66, 세신등촌종합상가 B146호 (등촌동)","07587","크린테라피","2025-12-31 15:34:22","U","2026-01-03 02:40:00","","186378.231818091","450937.877207072","13.92","2.55","1","2","0","3","5","5","5","1",
"33","소독업","09_30_11_P","3540000","PHMB520203540021042500006","2020-08-12","","02","휴업","02","휴업","","2025-12-31","2026-06-30","","032-288-4068","","","인천광역시 부평구 부평동 217-44 406호","인천광역시 부평구 부흥로 344, 406호 (부평동)","21391","클린솔","2025-12-31 14:44:27","U","2026-01-03 02:40:00","","176019.244861001","443987.25612854","20.53","5","1","2","0","3","5","5","5","1",
"34","소독업","09_30_11_P","4040000","PHMB520224040023042500016","2022-12-01","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 하남시 풍산동 490-2 하우스디스마트밸리","경기도 하남시 미사강변서로 16, 하우스디스마트밸리 9층 F912호 (풍산동)","12918","주식회사 태영","2025-12-31 14:08:13","U","2026-01-03 02:40:00","","216230.173359713","449965.495275694","36","9","1","2","0","3","5","5","5","1",
"35","소독업","09_30_11_P","3420000","PHMB520213420023042500007","2021-06-21","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","053-201-3511","","","대구광역시 동구 신천동 314-4","대구광역시 동구 동부로30길 90, 202호 (신천동)","41251","(주)에어디톡스","2025-12-31 16:44:02","U","2026-01-03 02:40:00","","347055.116205664","264426.670586826","50","15","1","2","0","3","5","5","5","1",
