"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유및석유대체연료판매업체","09_28_07_P","6270000","200262700006500001","2002-05-16","","01","영업/정상","7","영업개시","","","","","0533414500","","702-817","대구광역시 북구 노원동3가 527번지 2호","대구광역시 북구 3공단로 8 (노원동3가)","702-817","(주)다온에너지","2026-02-04 00:00:00","U","2026-02-06 02:40:00","일반대리점","340283.837023222","266882.779266912","100000000","S-Oil",
"2","석유및석유대체연료판매업체","09_28_07_P","6260000","202562600006500030","2025-08-04","","01","영업/정상","7","영업개시","","","","","0514642348","","48943","부산광역시 중구 중앙동5가 23번지 경보이리스오션더스타 1601호","부산광역시 중구 대교로 133, 경보이리스오션더스타 1601호 (중앙동5가)","48943","(주)홍익트레이딩","2026-02-03 00:00:00","U","2026-02-06 02:40:00","일반대리점","385700.878885929","179993.35953","150000000","기타",
"3","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500061","2007-11-27","","01","영업/정상","7","영업개시","","","","","0514634618","","48934","부산광역시 중구 중앙동4가 74-7 한국선원센터 606호","부산광역시 중구 충장대로9번길 66, 한국선원센터 606호 (중앙동4가)","48934","(주)그린석유","2026-02-06 00:00:00","U","2026-02-08 02:40:00","일반대리점","385868.447858934","180991.89207114","200000000","기타",
"4","석유및석유대체연료판매업체","09_28_07_P","6260000","202062600006500009","2020-04-13","","01","영업/정상","7","영업개시","","","","","","","46734","부산광역시 강서구 녹산동 1213-2","부산광역시 강서구 낙동남로 432 (녹산동)","46734","도하에너지㈜","2026-02-06 00:00:00","U","2026-02-08 02:40:00","일반대리점","370182.889639438","180783.24695457","100000000","기타",
"5","석유및석유대체연료판매업체","09_28_07_P","6500000","199765000006500001","1997-10-24","","01","영업/정상","7","영업개시","","","","","0647535151","","690-819","제주특별자치도 제주시 용담일동  265번지 4호","제주특별자치도 제주시 남성로 60 (용담일동)","690-819","삼남석유(주)","2026-02-09 00:00:00","U","2026-02-11 02:40:00","일반대리점","154766.896566192","1081.7814800014","142000000","GS칼텍스",
"6","석유및석유대체연료판매업체","09_28_07_P","6260000","202562600006500014","2025-03-31","","01","영업/정상","7","영업개시","","","","","","","48932","부산광역시 중구 대청동1가 37-1 코모도에스테이트","부산광역시 중구 대청로 121-1, 102동 205호 (대청동1가, 코모도에스테이트)","48932","대경에너지(주)","2026-02-11 00:00:00","U","2026-02-13 02:40:00","일반대리점","385306.698877013","180120.939470648","100000000","기타",
"7","석유및석유대체연료판매업체","09_28_07_P","6310000","202563100006600001","2025-11-03","","01","영업/정상","1","신규","","","","","0553849210","","44965","울산광역시 울주군 웅촌면 은현리 49-73","울산광역시 울주군 웅촌면 은현공단2길 21","44965","(주)씨앤티","2026-02-12 00:00:00","U","2026-02-14 02:40:00","용제대리점","397603.425333413","221688.655823135","300000000","기타",
"8","석유및석유대체연료판매업체","09_28_07_P","6260000","201962600006500008","2019-02-26","","01","영업/정상","7","영업개시","","","","","0516337890","","48738","부산광역시 동구 범일동 830-51 705호","부산광역시 동구 범일로102번길 9, 705호 (범일동)","48738","태양이엔지(주)","2026-02-20 00:00:00","U","2026-02-22 02:40:00","일반대리점","387737.686999928","184174.145315634","100000000","기타",
"9","석유및석유대체연료판매업체","09_28_07_P","6110000","201961100006500004","2019-06-19","","01","영업/정상","7","영업개시","","","","","0221381017","","04525","서울특별시 중구 소공동 110번지 소공동한화빌딩","서울특별시 중구 소공로 109, 소공동한화빌딩 3층(소공동)","04525","(주)리드코프","2026-02-20 00:00:00","U","2026-02-22 02:40:00","일반대리점","198034.125156517","451321.55784154","1377774100","S-Oil",
"10","석유및석유대체연료판매업체","09_28_07_P","6110000","200361100006500001","2003-02-04","","01","영업/정상","7","영업개시","","","","","027240592","","","서울특별시 강남구 논현동 91번지 3호","서울특별시 강남구 도산대로 306, 4층층 (논현동)","06054","극동유화(주) 경인지사","2026-02-20 00:00:00","U","2026-02-22 02:40:00","일반대리점","203017.475514607","446573.054038776","100000000","S-Oil",
