"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"1","세탁업","06_20_01_P","3480000","3480000-205-2026-00001","2026-04-01","","01","영업/정상","01","영업","","","","","","0.00","","대구광역시 달성군 옥포읍 본리리 2623 1층","대구광역시 달성군 옥포읍 비슬로447길 38, 1층","42971","카시트세탁 유모차세탁 지우미 대구점","2026-04-01 09:42:40","I","2026-04-03 00:20:02","세탁업 기타","332492.309362597","255761.753392933","세탁업 기타","0","0","0","0","0","0","","","","","0","0","0","0","N",
"2","세탁업","06_20_01_P","3930000","5560000-205-2026-00001","2026-04-01","","01","영업/정상","01","영업","","","","","","0.00","425-882","경기도 안산시 단원구 고잔동 720 호수공원대림아파트 동문상가 (상가1동) 108호","경기도 안산시 단원구 광덕서로 15, 호수공원대림아파트 동문상가 (상가1동) 108호 (고잔동)","15484","e편한 세탁소","2026-04-01 11:13:08","I","2026-04-03 00:20:02","일반세탁업","184303.335260488","422730.687370719","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"3","세탁업","06_20_01_P","6510000","6510000-205-2023-00004","2023-07-25","","01","영업/정상","01","영업","","","","","0647495855","86.31","690-817","제주특별자치도 제주시 연동 1528-10","제주특별자치도 제주시 연화로4길 9-1, 1층 (연동)","63140","빠숑크리닝","2026-04-01 14:50:21","U","2026-04-03 02:40:00","일반세탁업","152363.667173813","-2062.43682629044","일반세탁업","0","0","0","0","0","0","","","","","3","0","0","1","N",
"4","세탁업","06_20_01_P","3300000","3300000-205-2017-00003","2017-07-10","","01","영업/정상","01","영업","","","","","","0.00","607-825","부산광역시 동래구 안락동 163-12","부산광역시 동래구 온천천로531번길 48-7 (안락동)","47905","SJ클린","2026-04-01 13:30:05","U","2026-04-03 02:40:00","세탁업 기타","392358.329406063","190147.704866937","세탁업 기타","0","0","0","0","0","0","","","","","0","0","0","0","N",
"5","세탁업","06_20_01_P","3210000","3210000-205-2005-00020","2005-09-12","","01","영업/정상","01","영업","","","","","","30.28","137-907","서울특별시 서초구 잠원동 57-20 신반포스퀘어 101호","서울특별시 서초구 잠원로8길 25, 신반포스퀘어 101호 (잠원동)","06518","반포명품세탁소","2026-04-01 11:41:40","U","2026-04-03 02:40:00","일반세탁업","200958.810528572","445792.191399183","일반세탁업","0","0","2","2","0","0","","","","","0","0","0","0","N",
"6","세탁업","06_20_01_P","5590000","5590000-205-2003-00002","2003-04-07","","03","폐업","02","폐업","2026-03-18","","","","031 8792445","33.06","482-836","경기도 양주시 백석읍 복지리 128-1","","","복지세탁","2026-04-01 10:32:10","U","2026-04-03 02:40:00","일반세탁업","199207.631175392","476007.731246804","일반세탁업","1","0","0","1","0","0","","","","임대","0","0","0","0","N",
"7","세탁업","06_20_01_P","3010000","3010000-205-2003-00003","2003-02-13","","03","폐업","02","폐업","2026-04-01","","","","0222346805","24.73","100-819","서울특별시 중구 신당동 111-11 1층","서울특별시 중구 퇴계로80길 16, 1층 (신당동)","04577","율원세탁","2026-04-01 13:37:30","U","2026-04-03 02:40:00","일반세탁업","201507.259850547","451387.818358857","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"8","세탁업","06_20_01_P","5100000","5100000-205-2021-00001","2021-10-07","","01","영업/정상","01","영업","","","","","054 3369053","40.48","770-905","경상북도 영천시 완산동 952-26","경상북도 영천시 약전길 15-6 (완산동)","38894","영천클린세탁","2026-04-01 14:01:55","U","2026-04-03 02:40:00","일반세탁업","374939.076124748","275222.064615258","일반세탁업","0","0","1","1","0","0","","","","","3","0","1","0","N",
"9","세탁업","06_20_01_P","3550000","3550000-205-2013-00009","2013-06-05","","01","영업/정상","01","영업","","","","","","208.38","407-831","인천광역시 계양구 효성동 497-5","인천광역시 계양구 효서로 90-1, 1층 (효성동)","21105","크린아이","2026-04-01 13:55:58","U","2026-04-03 02:40:00","일반세탁업","173931.075169768","447298.412928203","일반세탁업","2","0","1","1","0","0","","","","임대","5","0","0","2","N",
"10","세탁업","06_20_01_P","4900000","4900000-205-2024-00002","2024-03-11","","01","영업/정상","01","영업","","","","","","224.64","","전라남도 화순군 사평면 사평리 104-10","전라남도 화순군 사평면 사호로 236-6","58144","화순 사평빨래방","2026-04-01 14:50:58","U","2026-04-03 02:40:00","일반세탁업","208726.777396235","167487.309955023","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
"11","세탁업","06_20_01_P","3150000","3150000-205-2009-00002","2009-02-13","","01","영업/정상","01","영업","","","","","0226675488","26.15","157-937","서울특별시 강서구 내발산동 749 마곡수명산파크5단지아파트 103호","서울특별시 강서구 수명로2길 105, 103호 (내발산동, 마곡수명산파크5단지아파트)","07635","5.6.8 수명산세탁소","2026-04-01 11:37:50","U","2026-04-03 02:40:00","일반세탁업","184649.245365728","449983.398407927","일반세탁업","2","0","1","0","0","0","","","","임대","2","0","0","1","N",
"12","세탁업","06_20_01_P","4010000","4010000-205-2007-00025","2007-11-05","","03","폐업","02","폐업","2026-04-01","","","","031 493 4963","71.68","429-881","경기도 시흥시 거모동 1772-10 건영타운 B동 1층 101호","경기도 시흥시 도일로112번길 9-1 (거모동,건영타운 B동 1층 101호)","15069","아진세탁소","2026-04-01 15:35:26","U","2026-04-03 02:40:00","일반세탁업","180868.361712177","426528.394822025","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"13","세탁업","06_20_01_P","3940000","3950000-205-2026-00003","2026-04-02","","01","영업/정상","01","영업","","","","","","45.67","412-170","경기도 고양시 덕양구 덕은동 596 DMC한강 호반써밋 210동 3-4호","경기도 고양시 덕양구 대덕산로 31, 210동 3-4호 (덕은동, DMC한강 호반써밋)","10543","DMC세탁전문점","2026-04-02 15:09:30","I","2026-04-04 00:20:02","일반세탁업","","","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","2","N",
