"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","제조구분명","사업장부지용도구분명",
"1","고압가스업","09_28_05_P","5670000","2026567057402100002","2026-03-03","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 진해구 두동 1196","경상남도 창원시 진해구 청안로 75 (두동)","51600","(주)디엔아이로지스틱스","2026-03-03 16:54:12","I","2026-03-05 00:20:02","저장소","363123.172753496","180336.053563672","","",
"2","고압가스업","09_28_05_P","4070000","2026407026402100001","2026-03-03","","01","영업/정상","01","영업중","","","","","","","","경기도 이천시 부발읍 아미리 712-7 에스케이하이닉스","경기도 이천시 부발읍 경충대로 2091, 에스케이하이닉스","17336","SK하이닉스(주)","2026-03-03 09:08:13","I","2026-03-05 00:20:02","제조","243104.079290009","416797.645145138","일반","",
"3","고압가스업","09_28_05_P","4191000","2000419007902200001","2000-06-20","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 원주시 일산동 162","강원특별자치도 원주시 일산로 20 (일산동)","","연세대학교원주세브란스기독병원","2026-03-03 15:49:24","I","2026-03-05 00:20:02","제조","283684.602363569","427758.377832632","냉동","연립",
"4","고압가스업","09_28_05_P","5710000","2014438003902100002","2014-04-30","","01","영업/정상","01","영업중","","","","","","","","","충청북도 청주시 흥덕구 직지대로 337 (향정동)","","에스케이하이닉스(주) (3캠퍼스 PGS)","2026-03-03 11:29:10","U","2026-03-05 02:40:00","저장소","238346.857851857","349554.242031072","","",
"5","고압가스업","09_28_05_P","4281000","2016428009402200000","2016-05-18","","03","폐업","03","폐업","2026-03-03","","","","","","","강원특별자치도 평창군 봉평면 면온리 922","강원특별자치도 평창군 봉평면 태기로 228-95","25307","호텔어라운드평창","2026-03-03 10:21:49","U","2026-03-05 02:40:00","제조","317721.075516227","453496.543743229","일반","",
"6","고압가스업","09_28_05_P","5530000","2012553023202100002","2012-02-07","","01","영업/정상","01","영업중","","","","","","","","","경기도 화성시 동탄구 삼성1로1길 56 (석우동)","","도쿄일렉트론코리아(주) (냉동허가2012-1)","2026-03-03 19:39:37","U","2026-03-05 02:40:00","제조","206205.1042398","413023.61362775","냉동","",
"7","고압가스업","09_28_05_P","4721000","2025472105002200006","2025-12-08","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 완주군 봉동읍 제내리 1260","전북특별자치도 완주군 봉동읍 첨단산업6로 23","55313","한국가스안전공사 수소안전검사처","2026-03-03 14:12:40","U","2026-03-05 02:40:00","제조","210019.842784394","275254.526642916","냉동","",
"8","고압가스업","09_28_05_P","4721000","2025472105002100010","2025-12-09","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 완주군 봉동읍 용암리 762 현대자동차","전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차","55322","현대자동차(주) 전주공장","2026-03-03 17:54:03","U","2026-03-05 02:40:00","제조","212323.79075542","272293.693606327","일반","",
"9","고압가스업","09_28_05_P","4450000","2025445014902100009","2025-10-16","","01","영업/정상","01","영업중","","","","","","","","충청북도 진천군 진천읍 송두리 122-1","","","샘찬에너지(주)","2026-03-03 11:25:26","U","2026-03-05 02:40:00","제조","241168.761764839","374813.323047296","일반","지정되지않음",
"10","고압가스업","09_28_05_P","4490000","2026565003202200001","2026-02-26","","02","휴업","02","휴업","","2026-02-26","2027-02-25","","","","","충청남도 천안시 동남구 성남면 대화리 349","충청남도 천안시 동남구 성남면 5산단3로 33","31245","(주)제이쓰리","2026-03-03 17:14:06","U","2026-03-05 02:40:00","제조","222562.920813453","359878.259364649","냉동","",
"11","고압가스업","09_28_05_P","4731000","2021473012102200001","2021-03-30","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 진안군 진안읍 군상리 79-1 진안소방서","전북특별자치도 진안군 진안읍 쇠징계로 9, 진안소방서","55422","진안소방서(진안119안전센터)","2026-03-03 17:31:10","U","2026-03-05 02:40:00","제조","239282.147343405","255514.960539479","충전","",
"12","고압가스업","09_28_05_P","4490000","1999449013102100004","2008-03-11","","01","영업/정상","01","영업중","","","","","","52743.9","","충청남도 천안시 서북구 차암동 404","충청남도 천안시 서북구 백석공단1로 200-23 (차암동)","","동아에스티(주)","2026-03-03 09:11:34","U","2026-03-05 02:40:00","제조","209834.029839446","370954.757491104","냉동","공업용",
"13","고압가스업","09_28_05_P","4070000","1986407001702100050","2010-08-04","","01","영업/정상","01","영업중","","","","","","","","경기도 이천시 부발읍 아미리 산 136-1","경기도 이천시 부발읍 경충대로 2091","","SK하이닉스(주)","2026-03-03 09:07:58","U","2026-03-05 02:40:00","저장소","243104.079290009","416797.645145138","일반","특수토지",
"14","고압가스업","09_28_05_P","5690000","2026569020002100001","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","세종특별자치시 부강면 노호리 90-2","세종특별자치시 부강면 노호등곡로 30-9","30078","대성에어가스","2026-03-04 13:15:33","I","2026-03-06 00:20:02","제조","236343.940802842","332783.395145278","충전","",
"15","고압가스업","09_28_05_P","4711000","2005471014802100002","2005-06-04","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 김제시 금산면 용산리 9-13","전북특별자치도 김제시 금산면 구성길 630","","(주)농협목우촌 김제육가공공장","2026-03-04 13:05:54","I","2026-03-06 00:20:02","제조","200300.017690188","250391.520658765","냉동","",
"16","고압가스업","09_28_05_P","4711000","2026471107602200001","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 김제시 백구면 유강리 565-2","전북특별자치도 김제시 백구면 유강10길 113","54327","유한회사 에어솔루션","2026-03-04 14:06:57","I","2026-03-06 00:20:02","제조","193673.360990285","267422.338384886","일반","",
"17","고압가스업","09_28_05_P","3670000","2007367007502100014","2009-04-16","","01","영업/정상","01","영업중","","","","","","","","대전광역시 유성구 어은동 52 한국생명공학연구원","대전광역시 유성구 과학로 125, 한국생명공학연구원 (어은동)","34141","한국생명공학연구원","2026-03-04 16:11:33","I","2026-03-06 00:20:02","제조","232026.858200113","319653.598131383","냉동","기타",
"18","고압가스업","09_28_05_P","3020000","2026302021902200001","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","서울특별시 용산구 이태원동 22-34","서울특별시 용산구 장문로 9 (이태원동)","04392","용산일레븐 주식회사(로즈우드 서울 1호기)","2026-03-04 16:27:52","I","2026-03-06 00:20:02","제조","199305.125668168","447556.568722769","냉동","",
"19","고압가스업","09_28_05_P","3020000","2026302021902200002","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","서울특별시 용산구 이태원동 22-34","서울특별시 용산구 장문로 9 (이태원동)","04392","용산일레븐 주식회사(로즈우드 서울 2호기)","2026-03-04 16:42:38","I","2026-03-06 00:20:02","제조","199305.125668168","447556.568722769","냉동","",
"20","고압가스업","09_28_05_P","3020000","2026302021902200003","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","서울특별시 용산구 이태원동 22-34","서울특별시 용산구 장문로 9 (이태원동)","04392","용산일레븐 주식회사(로즈우드 서울 3호기)","2026-03-04 16:59:51","I","2026-03-06 00:20:02","제조","199305.125668168","447556.568722769","냉동","",
"21","고압가스업","09_28_05_P","5380000","2026538028702100001","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","경상남도 양산시 평산동 800","경상남도 양산시 덕계서로 75 (평산동)","50541","양산시 상하수도사업소 웅상정수장","2026-03-04 14:11:43","I","2026-03-06 00:20:02","저장소","394077.915622395","209641.846280235","","",
"22","고압가스업","09_28_05_P","3220000","2026322017602100003","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","서울특별시 강남구 역삼동 702-19 동훈타워","서울특별시 강남구 테헤란로 317, 동훈타워 (역삼동)","06151","주-동훈","2026-03-04 14:53:11","I","2026-03-06 00:20:02","제조","203975.167638837","444639.853315714","냉동","기타",
"23","고압가스업","09_28_05_P","3930000","2026393053002100004","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","경기도 안산시 단원구 성곡동 670-4","경기도 안산시 단원구 시화로 186 (성곡동)","15413","캄스퀘어안산데이터센터피에프브이(주)","2026-03-04 16:33:03","I","2026-03-06 00:20:02","저장소","177017.601176417","424029.314355968","","",
"24","고압가스업","09_28_05_P","3910000","2000391001402150015","2000-09-01","","01","영업/정상","01","영업중","","","","","","","","경기도 평택시 팽성읍 추팔리 391-4 에이지(주)","경기도 평택시 팽성읍 추팔산단1길 213, 에이지(주)","17998","에이지(주)","2026-03-04 17:20:17","U","2026-03-06 02:40:00","저장소","206485.599285375","383889.878443583","일반","주.상복합용",
"25","고압가스업","09_28_05_P","5570000","2019557005602100001","2019-06-07","","01","영업/정상","01","영업중","","","","","","","","충청북도 증평군 도안면 노암리 902","","","(주)티에스엘","2026-03-04 11:30:20","U","2026-03-06 02:40:00","저장소","252670.959685029","369290.915703623","","공업용",
"26","고압가스업","09_28_05_P","4810000","2004481001902200002","2010-06-21","","01","영업/정상","01","영업중","","","","","","","","전라남도 여수시 화치동 319","전라남도 여수시 여수산단2로 218 (화치동)","","금호피앤비화학(주)제1공장","2026-03-04 16:10:08","U","2026-03-06 02:40:00","제조","259787.331054461","146410.960205471","특정","공업용",
"27","고압가스업","09_28_05_P","5530000","2005553012202100014","2011-01-25","","01","영업/정상","01","영업중","","","","","","","","경기도 화성시 병점구 반월동 948","경기도 화성시 병점구 삼성전자로 1 (반월동)","18448","삼성전자(주)화성사업장(저장소 78호)","2026-03-04 13:48:46","U","2026-03-06 02:40:00","저장소","205820.890952409","413028.454932076","일반","기타",
"28","고압가스업","09_28_05_P","3010000","2016301012402100002","2016-04-05","","01","영업/정상","01","영업중","","","","","","","","서울특별시 중구 을지로2가 206 IBK파이낸스타워","서울특별시 중구 을지로 82, IBK파이낸스타워 (을지로2가)","04538","중소기업은행(IBK파이낸스타워)","2026-03-04 17:19:13","U","2026-03-06 02:40:00","제조","198791.046999434","451496.528160092","냉동","",
"29","고압가스업","09_28_05_P","4810000","2025481045202200004","2025-12-31","","01","영업/정상","01","영업중","","","","","","","","전라남도 여수시 신월동 805","전라남도 여수시 신월로 411 (신월동)","59747","한화에어로스페이스㈜ 여수사업장","2026-03-04 16:25:39","U","2026-03-06 02:40:00","제조","263766.763199289","137458.184487996","냉동","",
"30","고압가스업","09_28_05_P","4080000","2013408014102100007","2013-07-25","","02","휴업","02","휴업","","2025-10-30","2026-10-29","","","","","경기도 안성시 일죽면 주천리 220-3","경기도 안성시 일죽면 주래본죽로 142","","티이엠씨씨엔에스(주)","2026-03-04 16:07:15","U","2026-03-06 02:40:00","판매","243524.182186546","399071.262555541","","",
"31","고압가스업","09_28_05_P","3980000","2003398005002200002","2003-10-20","","03","폐업","03","폐업","2026-03-03","","","","","","","경기도 구리시 교문동 462-3 구리경찰서","경기도 구리시 아차산로 359 (교문동)","","구리경찰서","2026-03-04 09:46:48","U","2026-03-06 02:40:00","제조","211329.170208762","453885.252329867","일반","업무용",
"32","고압가스업","09_28_05_P","3100000","2025310029702200001","2025-12-17","","03","폐업","03","폐업","2026-02-10","","","","","","","서울특별시 노원구 공릉동 172 서울과학기술대학교","서울특별시 노원구 공릉로 232, 서울과학기술대학교 정문 앞 (공릉동)","01811","(주)시즌스토리","2026-03-04 16:01:08","U","2026-03-06 02:40:00","제조","206981.454072644","458960.471391303","냉동","",
"33","고압가스업","09_28_05_P","3730000","2025373018602200017","2025-11-21","","01","영업/정상","01","영업중","","","","","","","","울산광역시 울주군 온산읍 이진리 279 엘에스니꼬동제련(주)","울산광역시 울주군 온산읍 당월로 336, 엘에스니꼬동제련(주)","44996","엘에스엠앤엠 주식회사","2026-03-04 17:52:42","U","2026-03-06 02:40:00","제조","413563.928594853","217650.121748708","냉동","",
"34","고압가스업","09_28_05_P","3730000","2023373018602100001","2023-02-28","","03","폐업","03","폐업","2026-02-26","","","","","","","울산광역시 울주군 두동면 구미리 729-7","","","(주)티엠코","2026-03-04 08:51:58","U","2026-03-06 02:40:00","저장소","399148.347812771","242449.459863009","","",
"35","고압가스업","09_28_05_P","3670000","2025367021802100010","2025-09-08","","01","영업/정상","01","영업중","","","","","","","","대전광역시 유성구 구룡동 823-1","","","아이쓰리시스템(주)","2026-03-04 13:36:17","U","2026-03-06 02:40:00","저장소","","","","",
"36","고압가스업","09_28_05_P","5670000","2006527007602100044","2006-11-28","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 성산구 내동 452-9","경상남도 창원시 성산구 삼동로 90 (내동)","","셰플러코리아 유한책임회사(창원1공장)","2026-03-04 10:20:33","U","2026-03-06 02:40:00","제조","350573.43561531","192560.118150777","냉동","공업용",
