"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","체육도장업","10_41_01_P","3940000","CDFH3301022026000003","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 삼송동 135-33","경기도 고양시 덕양구 삼송로136번길 56, 2층 (삼송동)","10590","이지펀치 복싱","2026-03-03 10:48:33","I","2026-03-05 00:20:02","권투","190383.619486957","461124.283516733","체육도장업","사립","","1","1","0","0","","",
"2","체육도장업","10_41_01_P","3940000","CDFH3301022026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 도내동 1092 선프라자","경기도 고양시 덕양구 도래울로 42-2, 선프라자 401호 (도내동)","10551","명지태권도(도래울점)","2026-03-03 16:43:24","I","2026-03-05 00:20:02","태권도","188381.203271695","458550.271260898","체육도장업","사립","","1","1","0","0","","",
"3","체육도장업","10_41_01_P","3240000","CDFH3301022026000001","2021-10-18","","01","영업/정상","13","영업중","","","","","02-2249-7944","","","서울특별시 강동구 천호동 340-34 명화빌딩","서울특별시 강동구 올림픽로 683, 명화빌딩 3층 300호 (천호동)","05246","임팩트 복싱클럽","2026-03-03 15:40:49","I","2026-03-05 00:20:02","권투","210931.005191598","448917.62261412","체육도장업","사립","","1","0","0","0","","",
"4","체육도장업","10_41_01_P","5690000","CDFH3301022026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 나성동 745 에스빌딩 201호","세종특별자치시 한누리대로 253, 에스빌딩 (나성동)","30127","세종센트럴검도관","2026-03-03 10:56:51","I","2026-03-05 00:20:02","검도","222978.404701732","331786.569463989","체육도장업","사립","","1","1","16692.78","0","","",
"5","체육도장업","10_41_01_P","4060000","CDFH3301022026000006","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 동패동 1710","경기도 파주시 책향기로 197, 401호 (동패동)","10874","나래태권도장","2026-03-03 09:05:32","I","2026-03-05 00:20:02","태권도","175248.306578453","468828.304001518","체육도장업","사립","","0","0","0","0","","",
"6","체육도장업","10_41_01_P","3210000","CDFH3301022022000003","2022-04-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 양재동 309 언남고등학교,언남교육문화회관","서울특별시 서초구 동산로13길 35, 언남고등학교,언남교육문화회관 지층 (양재동)","06780","국가대표 탑 태권도장","2026-03-03 09:11:10","U","2026-03-05 02:40:00","태권도","203747.849806806","441192.958631143","체육도장업","사립","","1","0","0","0","","",
"7","체육도장업","10_41_01_P","3370000","CDFH3301022024000005","2024-08-23","","01","영업/정상","13","영업중","","","","","","","","부산광역시 연제구 연산동 580-2 월드메디컬센터빌딩","부산광역시 연제구 거제천로 248, 월드메디컬센터빌딩 5층 (연산동)","47518","용인대 우아유도관","2026-03-03 16:31:25","U","2026-03-05 02:40:00","유도","389742.147741202","190070.780157603","체육도장업","사립","","1","1","1519.05","0","","",
"8","체육도장업","10_41_01_P","3930000","CDFH3301022017000003","2017-02-14","","01","영업/정상","13","영업중","","","","","0314027771","","","경기도 안산시 단원구 고잔동 766 그린빌주공8단지아파트 상가동","경기도 안산시 단원구 광덕2로 245, 그린빌주공8단지아파트 상가동 201,202호 (고잔동)","15468","하빛태권도","2026-03-03 10:49:47","U","2026-03-05 02:40:00","태권도","185527.419315721","423198.577362803","체육도장업","사립","","0","0","0","0","","",
"9","체육도장업","10_41_01_P","3940000","CDFH3301022014000029","2014-12-15","","03","폐업","03","폐업","2026-03-03","","","","","","","경기도 고양시 일산동구 마두동 751-1 지하1층","경기도 고양시 일산동구 일산로 235, 지하1층 (마두동)","10416","jkj복싱스튜디오","2026-03-03 15:48:37","U","2026-03-05 02:40:00","권투","181239.558915667","461642.986608753","체육도장업","사립","","1","0","0","0","","",
"10","체육도장업","10_41_01_P","3230000","CDFH3301022019000007","2019-11-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 장지동 904-2 센트라포레","서울특별시 송파구 위례순환로 478, 센트라포레 5층 504~507호 (장지동)","05814","국가대표별빛태권도장","2026-03-03 18:22:24","U","2026-03-05 02:40:00","태권도","211788.824","441720.322","체육도장업","사립","","1","0","8451.11","0","","",
