"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물용의약품도매상","02_03_04_P","5710000","571000001220260001","2026-02-09","","01","영업/정상","0000","정상","","","","","043-260-3420","0","","충청북도 청주시 서원구 사창동 316-37","충청북도 청주시 서원구 예체로 91, 2층 (사창동)","28649","주식회사 정진팜","2026-02-09 15:33:46","I","2026-02-11 00:20:41","","241831.577593903","348224.310034083","동물용의약품도매상","","L00","0",
"2","동물용의약품도매상","02_03_04_P","4691000","469100001220030001","2003-07-14","","01","영업/정상","0000","정상","","","","","","630","","전북특별자치도 정읍시 태인면 오봉리 983","전북특별자치도 정읍시 태인면 석지로 1273, 정주가축약품","56114","농업회사법인 유한회사 정주가축약품","2026-02-03 09:20:27","U","2026-02-06 02:40:00","","193286.401335855","240763.060531016","동물용의약품도매상","","000","0",
"3","동물용의약품도매상","02_03_04_P","4080000","408000001220260001","2026-02-13","","01","영업/정상","0000","정상","","","","","031-654-5406","0","","경기도 안성시 원곡면 외가천리 264-2","경기도 안성시 원곡면 가천중앙3길 12","17556","선동물병원 주식회사","2026-02-13 17:09:46","I","2026-02-15 00:20:02","","211331.947331052","393012.912881508","동물용의약품도매상","","L00","0",
"4","동물용의약품도매상","02_03_04_P","3780000","378000001220240001","2024-06-28","","01","영업/정상","0000","정상","","","","","","","","경기도 성남시 분당구 서현동 254-4 여암빌딩","경기도 성남시 분당구 황새울로351번길 10, 여암빌딩 401-S03호 (서현동)","13590","주식회사 안다","2026-02-14 10:09:35","U","2026-02-16 02:40:00","","210834.307532665","431738.329161906","동물용의약품도매상","","000","0",
"5","동물용의약품도매상","02_03_04_P","4960000","496000001220050001","2005-03-17","","01","영업/정상","0000","정상","","","","","061-324-2456","61.69","","전라남도 함평군 함평읍 내교리 209-22","전라남도 함평군 함평읍 내바람길 53","57153","청정동물약품","2026-02-09 16:56:01","U","2026-02-11 02:40:00","","156283.849809666","173879.257822045","동물용의약품도매상","","L00","0",
"6","동물용의약품도매상","02_03_04_P","5530000","553000001220100001","2010-06-17","","01","영업/정상","0000","정상","","","","","211-0516","0","","서울특별시 강동구 명일동","경기도 화성시 동탄구 삼성1로4길  22 (석우동)","18449","(주)바이오노트","2026-02-09 10:27:28","U","2026-02-11 02:40:00","","","","동물용의약품도매상","","000","0",
"7","동물용의약품도매상","02_03_04_P","5530000","553000001220040002","2008-05-08","","01","영업/정상","0000","정상","","","","","350-6146","0","","경기도 화성시 만세구 향남읍 상신리 904-3","경기도 화성시 만세구 향남읍 제약공단1길 66","18622","대한뉴팜(주)","2026-02-02 17:57:31","U","2026-02-04 02:40:00","","191406.01741699","398779.684729339","동물용의약품도매상","","L00","0",
"8","동물용의약품도매상","02_03_04_P","4500000","450000001220230001","2023-03-14","","01","영업/정상","0000","정상","","","","","","99","","충청남도 공주시 태봉동 177-1","충청남도 공주시 우금티로 157(태봉동)","32600","이인동물약품","2026-02-11 17:54:30","U","2026-02-13 02:40:00","","208407.862556858","323926.318485374","동물용의약품도매상","","000","0",
"9","동물용의약품도매상","02_03_04_P","3830000","383000001220240001","2024-02-22","","01","영업/정상","0000","정상","","","","","070-8777-1070","0","","경기도 안양시 동안구 관양동 224-5 대륭테크노타운15차 205호","경기도 안양시 동안구 시민대로 401, 대륭테크노타운15차 2층 205호 (관양동)","14057","주식회사 파마루","2026-02-03 14:53:42","U","2026-02-06 02:40:00","","197692.013396525","432777.290185295","동물용의약품도매상","","000","0",
"10","동물용의약품도매상","02_03_04_P","3420000","342000001220260001","2026-02-05","","01","영업/정상","0000","정상","","","","","053-795-8868","0","","대구광역시 동구 용계동 57","대구광역시 동구 용계로2길 17-16, 2층 (용계동)","41124","빅팜 주식회사","2026-02-05 16:53:52","I","2026-02-07 00:20:02","","352968.797056544","265226.404752639","동물용의약품도매상","","L00","0",
"11","동물용의약품도매상","02_03_04_P","5100000","510000001220260001","2026-02-10","","01","영업/정상","0000","정상","","","","","","99.56","","경상북도 영천시 조교동 371","경상북도 영천시 장천길 283, 1층 (조교동)","38865","바른동물약품","2026-02-10 10:33:08","I","2026-02-12 00:20:02","","377016.620643001","277012.623501672","동물용의약품도매상","","000","0",
"12","동물용의약품도매상","02_03_04_P","3470000","347000001220130001","2010-07-06","","03","폐업","0002","폐업","2026-02-04","","","2026-02-04","053-626-6001","82.72","","대구광역시 달서구 송현동 1989-5","대구광역시 달서구 중흥로16길 38, 1층 (송현동)","42819","도은약품","2026-02-04 10:49:05","U","2026-02-06 02:40:00","","340688.778067217","259706.287980197","동물용의약품도매상","","000","0",
"13","동물용의약품도매상","02_03_04_P","5530000","553000001220030008","2003-03-18","","03","폐업","0002","폐업","2004-05-06","","","","","0","","경기도 화성시 만세구 남양읍 남양리 509","","","부흥가축약품","2004-05-06 10:48:20","I","2026-02-04 01:35:23","","183159.174733359","411695.148484562","동물용의약품도매상","","000","0",
"14","동물용의약품도매상","02_03_04_P","3390000","339000001220250001","2025-02-06","","03","폐업","0002","폐업","2026-02-06","","","2026-02-06","","0","","부산광역시 사상구 모라동 657-6","부산광역시 사상구 모덕로67번길 151, 4층 (모라동)","46922","주한약품","2026-02-06 11:45:49","U","2026-02-08 02:40:00","","380743.719917055","189499.991278479","동물용의약품도매상","","000","0",
