번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),지정일자,민원종류명,Unnamed: 30,record_key
982,담배소매업,11_43_02_P,3410000,2026341018205600009,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,대구광역시 중구 동성로3가 82-1,"대구광역시 중구 동성로1길 25, 1층 (동성로3가)",41942,지에스(GS)동성로토요코인점,2026-02-13 13:18:41,I,2026-02-15 00:20:02,,343987.63587157,264125.760517809,20260213.0,제7조의3제2항에따른경우,,지에스(GS)동성로토요코인점_대구광역시중구동성로3가82-1
991,담배소매업,11_43_02_P,3860000,2026387100705600008,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,경기도 부천시 원미구 심곡동 162-4 은가람 팰리스,"경기도 부천시 원미구 부흥로402번길 49, 101, 102호 (심곡동, 은가람 팰리스)",14640,가람,2026-02-13 17:05:35,I,2026-02-15 00:20:02,,180869.025782398,442883.076392,20260213.0,제7조의3제2항에따른경우,,가람_경기도부천시원미구심곡동162-4은가람팰리스
1009,담배소매업,11_43_02_P,5710000,2026573002305600010,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청북도 청주시 흥덕구 오송읍 봉산리 798 오송역 파라곤 센트럴시티,"충청북도 청주시 흥덕구 오송읍 오송생명7로 151, A-B203,204,205호 (오송역 파라곤 센트럴시티)",28222,씨유 오송파라곤1차점,2026-02-13 09:07:53,I,2026-02-15 00:20:02,,228014.817337788,346824.282014071,20260213.0,제7조의3제2항에따른경우,,씨유오송파라곤1차점_충청북도청주시흥덕구오송읍봉산리798오송역파라곤센트럴시티
1007,담배소매업,11_43_02_P,5130000,2026513018005600010,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,경상북도 경산시 진량읍 내리리 72-17,경상북도 경산시 진량읍 대구대로60길 5-11,38454,지에스(GS)25 뉴대구대점,2026-02-13 14:59:18,I,2026-02-15 00:20:02,,367299.503311888,267447.444954101,20260213.0,제7조의3제2항에따른경우,,지에스(GS)25뉴대구대점_경상북도경산시진량읍내리리72-17
1006,담배소매업,11_43_02_P,5580000,2026558008305600002,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청남도 계룡시 엄사면 엄사리 384 비사벌아파트 상가동,"충청남도 계룡시 엄사면 번영3길 43, 상가동 1층 114, 115호 (비사벌아파트)",32811,씨유 엄사센트럴점,2026-02-13 17:19:21,I,2026-02-15 00:20:02,,221402.788381803,309385.961001508,20260213.0,제7조의3제2항에따른경우,,씨유엄사센트럴점_충청남도계룡시엄사면엄사리384비사벌아파트상가동
1002,담배소매업,11_43_02_P,5710000,2026572002505600007,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청북도 청주시 상당구 방서동 653 방서중흥에스클래스,"충청북도 청주시 상당구 단재로 312, 방서중흥에스클래스 제상가143동 106호 (방서동)",28787,방서 컨설팅,2026-02-13 13:01:08,I,2026-02-15 00:20:02,,,,20260213.0,제7조의3제2항에따른경우,,방서컨설팅_충청북도청주시상당구방서동653방서중흥에스클래스
999,담배소매업,11_43_02_P,4820000,2026482033705600003,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,전라남도 순천시 해룡면 신대리 2031,"전라남도 순천시 해룡면 매안2길 16-4, 1층 101호",58016,세븐일레븐 순천신대지구점,2026-02-13 10:37:44,I,2026-02-15 00:20:02,,250406.636920344,158951.824180289,20260213.0,제7조의3제2항에따른경우,,세븐일레븐순천신대지구점_전라남도순천시해룡면신대리2031
997,담배소매업,11_43_02_P,4450000,2026445014905600010,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청북도 진천군 진천읍 사석리 284-2,충청북도 진천군 진천읍 문진로 1053,27826,메리밀,2026-02-13 16:41:02,I,2026-02-15 00:20:02,,236583.650269391,369454.217143953,20260213.0,제7조의3제2항에따른경우,,메리밀_충청북도진천군진천읍사석리284-2
996,담배소매업,11_43_02_P,4450000,2026445014905600009,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청북도 진천군 광혜원면 실원리 312-2 101호,"충청북도 진천군 광혜원면 생거진천로 2941, 1층 101호",27800,중부휴게소 편의점,2026-02-13 09:06:21,I,2026-02-15 00:20:02,,238798.470018381,389361.566975995,20260213.0,제7조의3제2항에따른경우,,중부휴게소편의점_충청북도진천군광혜원면실원리312-2101호
995,담배소매업,11_43_02_P,5600000,2026560022905600005,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,경기도 포천시 이동면 도평리 467-1,경기도 포천시 이동면 화동로 2495,11110,씨유백운계곡점,2026-02-13 10:01:01,I,2026-02-15 00:20:02,,233931.388308098,506929.628627521,20260213.0,제7조의3제2항에따른경우,,씨유백운계곡점_경기도포천시이동면도평리467-1
992,담배소매업,11_43_02_P,4540000,2026454031005600001,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청남도 논산시 은진면 와야리 128-2,"충청남도 논산시 은진면 와야2길 39-1, 1층",32998,지에스25(GS25) 건양대학사점,2026-02-13 14:10:27,I,2026-02-15 00:20:02,,210159.767541444,297880.33094623,20260213.0,제7조의3제2항에따른경우,,지에스25(GS25)건양대학사점_충청남도논산시은진면와야리128-2
989,담배소매업,11_43_02_P,4490000,2026566002905600018,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청남도 천안시 서북구 성성동 699 1층 101호,"충청남도 천안시 서북구 성성10길 57, 1층 101호 (성성동)",31079,씨유 천안 성성초점,2026-02-13 14:22:30,I,2026-02-15 00:20:02,,212015.098862145,370953.242771621,20260213.0,제7조의3제2항에따른경우,,씨유천안성성초점_충청남도천안시서북구성성동6991층101호
1012,담배소매업,11_43_02_P,3030000,2026303009105600005,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,서울특별시 성동구 사근동 110 한양대학교,"서울특별시 성동구 왕십리로 222, 한양대학교 (사근동)",04763,세븐일레븐 New Wave 한양대프라자점,2026-02-13 09:47:24,I,2026-02-15 00:20:02,,204117.965772206,450608.519334481,20260213.0,제7조의3제2항에따른경우,,세븐일레븐NewWave한양대프라자점_서울특별시성동구사근동110한양대학교
988,담배소매업,11_43_02_P,4490000,2026566002905600017,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,충청남도 천안시 서북구 백석동 1200 천안백석3차 IPARK 118호,"충청남도 천안시 서북구 한들3로 36-17, 118호 (백석동, 천안백석3차 IPARK)",31098,씨유 백석아이파크3차점,2026-02-13 14:02:03,I,2026-02-15 00:20:02,,211152.094512875,369595.314991515,20260213.0,제7조의3제2항에따른경우,,씨유백석아이파크3차점_충청남도천안시서북구백석동1200천안백석3차IPARK118호
987,담배소매업,11_43_02_P,4060000,2026406055205600013,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,경기도 파주시 광탄면 영장리 231,"경기도 파주시 광탄면 기산로 58, 1층 일부호",10953,영장마트,2026-02-13 15:10:09,I,2026-02-15 00:20:02,,191558.102800272,474627.657830119,20260213.0,제7조의3제2항에따른경우,,영장마트_경기도파주시광탄면영장리231
986,담배소매업,11_43_02_P,4080000,2026408026205600006,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,"경기도 안성시 공도읍 진사리 643-1 105,6호","경기도 안성시 공도읍 진건중길 15-9, 105, 106호",17564,GS25진사쌍용점,2026-02-13 14:34:52,I,2026-02-15 00:20:02,,212720.112037087,388010.241681174,20260213.0,제7조의3제2항에따른경우,,"GS25진사쌍용점_경기도안성시공도읍진사리643-1105,6호"
985,담배소매업,11_43_02_P,4040000,2026404032105600012,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,경기도 하남시 풍산동 515 골드프라자,"경기도 하남시 미사강변대로34번길 82, 골드프라자 1층 109호 (풍산동)",12919,씨유 뉴미사골드점,2026-02-13 14:00:37,I,2026-02-15 00:20:02,,216534.4158938,450444.858253506,20260213.0,제7조의3제2항에따른경우,,씨유뉴미사골드점_경기도하남시풍산동515골드프라자
984,담배소매업,11_43_02_P,3650000,2026365014705600008,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,대전광역시 중구 대흥동 177 대흥빌딩,"대전광역시 중구 대종로 447, 대흥빌딩 1층 (대흥동)",34920,하카 대전 중앙로역 직영점,2026-02-13 18:07:17,I,2026-02-15 00:20:02,,238349.316780511,313843.89328244,20260213.0,제7조의3제2항에따른경우,,하카대전중앙로역직영점_대전광역시중구대흥동177대흥빌딩
983,담배소매업,11_43_02_P,3650000,2026365014705600007,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,대전광역시 중구 선화동 290-8,"대전광역시 중구 보문로291번길 16, 1층 (선화동)",34862,이마트 24대전통합청사점,2026-02-13 14:39:09,I,2026-02-15 00:20:02,,237622.350986255,314242.844443345,20260213.0,제7조의3제2항에따른경우,,이마트24대전통합청사점_대전광역시중구선화동290-8
981,담배소매업,11_43_02_P,5690000,2026569040805600004,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,세종특별자치시 장군면 금암리 226-3,세종특별자치시 장군면 대학길 192,30056,지에스25(GS25)한국영상대점,2026-02-13 16:52:23,I,2026-02-15 00:20:02,,218883.478429091,328274.928460883,20260213.0,제7조의3제2항에따른경우,,지에스25(GS25)한국영상대점_세종특별자치시장군면금암리226-3
980,담배소매업,11_43_02_P,3010000,2026301024405600005,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,서울특별시 중구 신당동 844 남산타운,"서울특별시 중구 다산로 32, 1층 107~111호 (신당동, 남산타운)",04595,지에스더프레시(남산타운점),2026-02-13 18:01:51,I,2026-02-15 00:20:02,,200750.455125653,449638.824308081,20260213.0,제7조의3제3항에따른경우,,지에스더프레시(남산타운점)_서울특별시중구신당동844남산타운
979,담배소매업,11_43_02_P,4000000,2026400025105600006,2026-02-13,,1,영업/정상,0,정상영업,,,,,,,,경기도 오산시 외삼미동 289-9,"경기도 오산시 외삼미로 80, 1층 (외삼미동)",18111,외삼미마트,2026-02-13 16:04:56,I,2026-02-15 00:20:02,,205210.328333333,410086.333333333,20260213.0,제7조의3제2항에따른경우,,외삼미마트_경기도오산시외삼미동289-9
