"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"1","저수조청소업","09_30_14_P","3700000","370000031202600002","2026-02-02","","01","영업/정상","11","정상","","","","","","","","울산광역시 남구 삼산동 ***-*","울산광역시 남구 돋질로***번길 *, *층 (삼산동)","44712","드림건설 주식회사","2026-02-02 16:06:10","I","2026-02-04 00:20:02","","413145.988137074","229435.053631951","31","","0","","","","","저수조청소업",
"2","저수조청소업","09_30_14_P","5690000","569000031202600002","2026-01-23","","01","영업/정상","11","정상","","","","","","","","세종특별자치시 보람동 *** 네이버타워","세종특별자치시 호려울로 *, 네이버타워 *층 ***호 (보람동)","30150","주식회사 빛나","2026-02-02 16:22:37","I","2026-02-04 00:20:02","","225760.32859147","330716.033106425","31","","0","","","","","저수조청소업",
"3","저수조청소업","09_30_14_P","4191000","419100031199800001","2014-05-28","","01","영업/정상","11","정상","","","","","033-765-0701","","","강원특별자치도 원주시 행구동 ****-*","강원특별자치도 원주시 봉대길 **-* (행구동)","26456","(주)크린이엔지","2026-02-02 13:18:51","U","2026-02-04 02:40:00","","287875.762243927","426302.989017602","31","","0","","","","","저수조청소업",
"4","저수조청소업","09_30_14_P","3930000","393000031200500013","2025-03-26","","01","영업/정상","11","정상","","","","","482-7017","","","경기도 안산시 단원구 원시동 ***-* 대우테크노피아아파트 디동 ***호","경기도 안산시 단원구 산단로 ***, 대우테크노피아아파트 디동 ***호 (원시동)","15433","(주)한국비엠","2026-02-02 12:08:57","U","2026-02-04 02:40:00","","181174.40591547","424448.569834666","31","","0","","","","","저수조청소업",
"5","저수조청소업","09_30_14_P","5690000","569000031202300007","2026-01-28","","01","영업/정상","11","정상","","","","","044-867-0407","","","세종특별자치시 조치원읍 번암리 **-*","세종특별자치시 조치원읍 평안로 *","30037","주식회사 연기수도","2026-02-02 09:57:51","U","2026-02-04 02:40:00","","226382.86776722","342853.533404293","31","","0","","","","","저수조청소업",
"6","저수조청소업","09_30_14_P","4181000","418100031201800011","2024-08-07","","01","영업/정상","11","정상","","","","","033-244-8878","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 방죽길 **","24210","(주)하이크린서비스","2026-01-30 09:16:31","U","2026-02-04 11:04:37","","266213.65155186","490149.751104761","31","","0","","","","","저수조청소업",
"7","저수조청소업","09_30_14_P","4800000","480000031202000001","2026-01-30","","01","영업/정상","11","정상","","","","","061-283-8323","","","전라남도 목포시 대양동 ***-*","전라남도 목포시 대박길 ***-* (대양동)","58603","(주)동일건설","2026-01-30 10:59:15","U","2026-02-04 11:04:37","","146512.26487019","149164.43492115","31","","0","","","","","저수조청소업",
"8","저수조청소업","09_30_14_P","4070000","407000031202600001","2026-01-21","","01","영업/정상","11","정상","","","","","","","","경기도 이천시 신둔면 용면리 ***-**","경기도 이천시 신둔면 황무로***번길 ***","17305","남일환경산업","2026-01-30 14:21:35","U","2026-02-04 11:04:37","","233694.298479181","421783.675571653","31","","0","","","","","저수조청소업",
"9","저수조청소업","09_30_14_P","5690000","569000031202200003","2022-11-21","","01","영업/정상","11","정상","","","","","","","","세종특별자치시 도담동 *** 도담센트럴프라자","세종특별자치시 한누리대로 ***, 도담센트럴프라자 ***층 *호 (도담동)","30098","노벰버원 주식회사","2026-01-30 14:24:50","U","2026-02-04 11:04:37","","223079.820956325","334949.408036074","31","","0","","","","","저수조청소업",
"10","저수조청소업","09_30_14_P","3370000","337000031200800001","2025-03-05","","03","폐업","2","폐업","2026-01-29","","","","051-866-2286","","","부산광역시 연제구 연산동 ***-* *층","부산광역시 연제구 쌍미천로***번길 ** (연산동,*층)","","(주)영우엔지니어링","2026-01-30 15:11:22","U","2026-02-04 11:04:37","","390180.040182107","189522.647112875","31","","0","","","","","저수조청소업",
"11","저수조청소업","09_30_14_P","5060000","506000031202600001","2026-02-04","","01","영업/정상","11","정상","","","","","","","","경상북도 김천시 황금동 **","경상북도 김천시 줄버드나무길 ** (황금동)","39595","푸른환경관리","2026-02-04 15:54:51","I","2026-02-06 00:20:02","","301046.692919299","291357.427380584","31","","0","","","","","저수조청소업",
"12","저수조청소업","09_30_14_P","3610000","361000031201600001","2016-06-07","","01","영업/정상","11","정상","","","","","","","","광주광역시 남구 임암동 ***","광주광역시 남구 효천안길 **, *층 ***호 (임암동)","61755","주식회사 경도씨앤에스","2026-02-03 17:15:53","U","2026-02-06 02:40:00","","184415.942458644","176045.935725741","31","","0","","","","","저수조청소업",
"13","저수조청소업","09_30_14_P","3410000","341000031202200001","2022-04-27","","01","영업/정상","11","정상","","","","","","","","대구광역시 중구 달성동 ***-* 부광빌딩","대구광역시 중구 태평로 **, 부광빌딩 ***호 (달성동)","41900","에코환경","2026-02-03 15:19:24","U","2026-02-06 02:40:00","","342618.637553028","265366.448073843","31","","0","","","","","저수조청소업",
"14","저수조청소업","09_30_14_P","3410000","341000031200500001","2007-12-31","","01","영업/정상","11","정상","","","","","053-527-8885","","","대구광역시 중구 달성동 ***-*","","","(주)삼일이엔에스","2026-02-03 15:10:41","U","2026-02-06 02:40:00","","342618.637553028","265366.448073843","31","","0","","","","","저수조청소업",
"15","저수조청소업","09_30_14_P","3410000","341000031201100001","2011-10-20","","01","영업/정상","11","정상","","","","","","","","대구광역시 중구 대신동 *-* 달성빌딩 ***호","대구광역시 중구 달성공원로*길 **, 달성빌딩 ***호 (대신동)","41925","지에스종합관리","2026-02-03 15:17:57","U","2026-02-06 02:40:00","","342702.717013283","264828.704380355","31","","0","","","","","저수조청소업",
"16","저수조청소업","09_30_14_P","3410000","341000031200800002","2014-06-13","","01","영업/정상","11","정상","","","","","053-422-0797","","","대구광역시 중구 동인동*가 ** 예당","대구광역시 중구 국채보상로***길 *, 예당 *층 (동인동*가)","41907","에스앤티(주)","2026-02-03 15:09:05","U","2026-02-06 02:40:00","","345234.645932443","264393.758487742","31","","0","","","","","저수조청소업",
"17","저수조청소업","09_30_14_P","3410000","341000031200200002","2007-12-31","","01","영업/정상","11","정상","","","","","053-423-0337","","","대구광역시 중구 남산동 ***-**","대구광역시 중구 명륜로 **-**, *층 (남산동)","41961","덕우환경","2026-02-03 15:14:25","U","2026-02-06 02:40:00","","344061.187763242","263453.677863625","31","","0","","","","","저수조청소업",
"18","저수조청소업","09_30_14_P","3410000","341000031200200001","2007-12-27","","01","영업/정상","11","정상","","","","","053-252-6855","","","대구광역시 중구 인교동 ***","대구광역시 중구 북성로*길 ** (인교동)","41921","신라방역공사","2026-02-03 15:12:44","U","2026-02-06 02:40:00","","343033.682866302","264741.889815267","31","","0","","","","","저수조청소업",
