번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
342,동물위탁관리업,02_03_10_P,3330000,333000004820260004,2026-02-26,,1,영업/정상,0,정상,,,,,,0.0,,부산광역시 해운대구 중동 ***-* 해운대신시가지경동메르빌아파트,"부산광역시 해운대구 해운대로***번길 **, 상가동 ***호 (중동, 해운대신시가지경동메르빌아파트)",48104,안녕꼬순내,2026-02-26 10:32:55,I,2026-02-28 00:20:02,,398204.776400898,187458.731376725,동물위탁관리업,동물위탁관리업,000,0,,안녕꼬순내_부산광역시해운대구중동***-*해운대신시가지경동메르빌아파트
343,동물위탁관리업,02_03_10_P,5600000,560000004820260001,2026-02-26,,1,영업/정상,0,정상,,,,,,0.0,,경기도 포천시 군내면 용정리 ***-*,경기도 포천시 군내면 용정경제로 ***,11154,페로,2026-02-26 17:20:52,I,2026-02-28 00:20:02,,218085.305805703,487162.015608681,동물위탁관리업,동물위탁관리업,000,0,,페로_경기도포천시군내면용정리***-*
344,동물위탁관리업,02_03_10_P,3160000,316000004820260001,2026-02-26,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 구로구 구로동 **-**,"서울특별시 구로구 가마산로**길 *-*, *층 (구로동)",8302,거리공원애견유치원,2026-02-26 14:11:46,I,2026-02-28 00:20:02,,190321.123788262,443747.814014983,동물위탁관리업,동물위탁관리업,000,0,,거리공원애견유치원_서울특별시구로구구로동**-**
345,동물위탁관리업,02_03_10_P,3980000,398000004820260002,2026-02-26,,1,영업/정상,0,정상,,,,,,0.0,,경기도 구리시 교문동 ***-* 삼영멤버스텔 ***호,"경기도 구리시 안골로 **, 삼영멤버스텔 *층 ***호 (교문동)",11934,도그포레,2026-02-26 12:31:12,I,2026-02-28 00:20:02,,211982.810588252,454986.059042154,동물위탁관리업,동물위탁관리업,000,0,,도그포레_경기도구리시교문동***-*삼영멤버스텔***호
337,동물위탁관리업,02_03_10_P,3860000,386000004820260002,2026-02-25,,1,영업/정상,0,정상,,,,,,0.0,,경기도 부천시 원미구 상동 *** *차무궁화상가,"경기도 부천시 원미구 송내대로**번길 **, *차무궁화상가 ***~***호 (상동)",14598,즐겁개,2026-02-25 15:44:57,I,2026-02-27 00:20:02,,178029.678603856,443142.273743206,동물위탁관리업,동물위탁관리업,000,0,,즐겁개_경기도부천시원미구상동****차무궁화상가
327,동물위탁관리업,02_03_10_P,3820000,382000004820260003,2026-02-24,,1,영업/정상,0,정상,,,,,,0.0,,경기도 의정부시 호원동 *** *층,"경기도 의정부시 평화로***번길 *, *층 (호원동)",11703,우프라운지,2026-02-24 11:27:13,I,2026-02-26 00:20:08,,204203.617443136,469441.271154957,동물위탁관리업,동물위탁관리업,L00,0,,우프라운지_경기도의정부시호원동****층
329,동물위탁관리업,02_03_10_P,3290000,329000004820260001,2026-02-24,,3,폐업,2,폐업,2026-02-24,,,,,,,부산광역시 부산진구 양정동 ***-**,부산광역시 부산진구 연수로 ** (양정동),47216,옆집강아지,2026-02-24 10:52:15,I,2026-02-26 00:20:08,,388803.364785092,188046.378216388,동물위탁관리업,동물위탁관리업,000,0,,옆집강아지_부산광역시부산진구양정동***-**
328,동물위탁관리업,02_03_10_P,3400000,340000004820260003,2026-02-24,,1,영업/정상,0,정상,,,,,,0.0,,부산광역시 기장군 정관읍 매학리 ** 형진강변아파트,"부산광역시 기장군 정관읍 정관중앙로 **-**, 상가동 ***호 (형진강변아파트)",46015,산책,2026-02-24 09:58:29,I,2026-02-26 00:20:08,,398105.830085508,204860.64439361,동물위탁관리업,동물위탁관리업,000,0,,산책_부산광역시기장군정관읍매학리**형진강변아파트
324,동물위탁관리업,02_03_10_P,3600000,360000004820260003,2026-02-23,,1,영업/정상,0,정상,,,,,,0.0,,광주광역시 서구 금호동 ***-* 호반빌,"광주광역시 서구 화개중앙로 **, 호반빌 *층 (금호동)",62011,꼬담,2026-02-23 08:12:56,I,2026-02-25 00:20:01,,186614.410334127,180744.070237761,동물위탁관리업,동물위탁관리업,000,0,,꼬담_광주광역시서구금호동***-*호반빌
325,동물위탁관리업,02_03_10_P,5590000,559000004820260001,2026-02-23,,1,영업/정상,0,정상,,,,,,0.0,,경기도 양주시 고암동 ***-* ***호,"경기도 양주시 고원*나길 **, ***호 (고암동)",11457,멍쥬앙,2026-02-23 09:56:22,I,2026-02-25 00:20:01,,206357.126846469,480861.261437358,동물위탁관리업,동물위탁관리업,000,0,,멍쥬앙_경기도양주시고암동***-****호
