번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,Unnamed: 51,record_key
31,환경관리대행기관,09_30_15_P,6410000,641000010202600021,2026-02-13,,1,영업/정상,N,신규,,,,,,,,경기도 안양시 만안구 안양동 196-40,경기도 안양시 만안구 전파로24번길 35-21 (안양동),,주식회사 신화환경연구원,2026-02-13 15:30:20,I,2026-02-16 00:20:01,,,,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,주식회사신화환경연구원_경기도안양시만안구안양동196-40
30,환경관리대행기관,09_30_15_P,6290000,629000010202400001,2026-02-13,,1,영업/정상,N,신규,,,,,,,57736,전라남도 광양시 광양읍 구산리 799-20,"전라남도 광양시 광양읍 매천로 723, 1동 1층 102호",57736,(주)지엔테크,2026-02-13 13:42:58,U,2026-02-15 02:40:00,,252565.194063073,164655.485758348,70.76,환경관리대행기관,0,,2920014600.0,62417.0,0.0,913.0,3.0,,,,,,29200.0,2920014600.0,1.0,4289646.0,,0.0,58.0,0.0,62417.0,,(주)지엔테크_전라남도광양시광양읍구산리799-20
29,환경관리대행기관,09_30_15_P,6470000,647000010202400022,2026-02-13,,1,영업/정상,N,신규,,,,,,,790-911,경상북도 포항시 남구 오천읍 원리  1214번지,경상북도 포항시 남구 오천읍 하원로 56,790-911,(주)경북환경,2026-02-13 16:35:45,U,2026-02-15 02:40:00,,416832.540183188,277709.553433312,0.0,환경관리대행기관,0,,4711125621.0,790911.0,1.0,1214.0,,,,,,,47111.0,4711125600.0,0.0,3303056.0,,0.0,56.0,,790911.0,,(주)경북환경_경상북도포항시남구오천읍원리1214번지
28,환경관리대행기관,09_30_15_P,6460000,646000010202400003,2026-02-13,,1,영업/정상,N,신규,,,,,,,58024,전라남도 순천시 해룡면 성산리 241번지,전라남도 순천시 해룡면 정채봉길 77-1,58024,(주)주원이테크,2026-02-13 13:06:56,U,2026-02-15 02:40:00,,250289.685609586,157938.279608185,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,(주)주원이테크_전라남도순천시해룡면성산리241번지
27,환경관리대행기관,09_30_15_P,6470000,647000010202600001,2026-02-13,,1,영업/정상,N,신규,,,,,,,38669,경상북도 경산시 옥산동 816-10,경상북도 경산시 삼성현로15길 12 (옥산동),38669,태령종합건설(주),2026-02-13 16:44:57,I,2026-02-15 00:20:02,,355163.914587187,259634.104617615,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,태령종합건설(주)_경상북도경산시옥산동816-10
33,환경관리대행기관,09_30_15_P,6410000,641000010202500111,2026-02-12,,1,영업/정상,N,신규,,,,,,,,경기도 안산시 단원구 초지동 742-2 키즈타워2 201호,"경기도 안산시 단원구 원포공원1로 64, 키즈타워2 201호 (초지동)",,케이비엔텍(주),2026-02-12 09:22:11,U,2026-02-16 02:40:00,,,,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,케이비엔텍(주)_경기도안산시단원구초지동742-2키즈타워2201호
32,환경관리대행기관,09_30_15_P,6410000,641000010202300053,2026-02-12,,1,영업/정상,N,신규,,,,,,,17015,"경기도 용인시 기흥구 중동 1033번지 에이스동백타워 1동 501,502호","경기도 용인시 기흥구 동백중앙로16번길 16-4, 에이스동백타워 1동 501,502호 (중동)",17015,(주)대일이앤지,2026-02-12 09:22:49,U,2026-02-16 02:40:00,,214576.223559246,417184.705782403,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,"(주)대일이앤지_경기도용인시기흥구중동1033번지에이스동백타워1동501,502호"
26,환경관리대행기관,09_30_15_P,6540000,645000010202300031,2026-02-12,,1,영업/정상,N,신규,,,,,,,54004,전북특별자치도 군산시 소룡동 1659번지 전북인력개발원,"전북특별자치도 군산시 동장산로 119, 전북인력개발원 2층 (소룡동)",54004,케이에스환경(주),2026-02-12 09:27:50,U,2026-02-14 02:40:00,,162520.510812974,273219.666396151,67.6,환경관리대행기관,0,,5213014600.0,54004.0,0.0,1659.0,0.0,,,전북인력개발원,,,52130.0,5213014600.0,1.0,3268026.0,전북인력개발원,0.0,119.0,0.0,54004.0,,케이에스환경(주)_전북특별자치도군산시소룡동1659번지전북인력개발원
25,환경관리대행기관,09_30_15_P,6540000,654000010202400013,2026-02-12,,1,영업/정상,N,신규,,,,,,,,전북특별자치도 군산시 서수면 마룡리 93-53 (주)에코,"전북특별자치도 군산시 서수면 상장곤윗길 58, (주)에코",,(유)위더스환경,2026-02-12 17:26:45,U,2026-02-14 02:40:00,,,,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,(유)위더스환경_전북특별자치도군산시서수면마룡리93-53(주)에코
24,환경관리대행기관,09_30_15_P,6470000,647000010202500003,2026-02-12,,1,영업/정상,N,신규,,,,,,,37881,경상북도 포항시 남구 오천읍 원리 1001-1,"경상북도 포항시 남구 오천읍 중원로 71-9, (주)원환경 3층층",37881,(주)원환경,2026-02-12 15:22:03,U,2026-02-14 02:40:00,,416429.683951482,277673.615488018,198.0,환경관리대행기관,0,,4711125621.0,37881.0,0.0,1001.0,1.0,,,,,,47111.0,4711125621.0,0.0,3303048.0,,0.0,71.0,9.0,37881.0,,(주)원환경_경상북도포항시남구오천읍원리1001-1
23,환경관리대행기관,09_30_15_P,6410000,641000010202400205,2026-02-10,,1,영업/정상,N,신규,,,,,,,12767,경기도 광주시 삼동 261-7,경기도 광주시 순암로 496(삼동),12767,보람환경개발(주),2026-02-10 08:45:30,U,2026-02-12 02:40:00,,217673.457183674,434364.173674119,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,보람환경개발(주)_경기도광주시삼동261-7
22,환경관리대행기관,09_30_15_P,6460000,646000010202400008,2026-02-10,,1,영업/정상,N,신규,,2021-06-11,,,,,57992,전라남도 순천시 연향동 235-8,전라남도 순천시 명말1길 53 (연향동),57992,(주)그린환경종합센터,2026-02-10 08:58:25,U,2026-02-12 02:40:00,,247627.47401881,160468.654171193,0.0,환경관리대행기관,0,,4615011400.0,57992.0,0.0,235.0,8.0,,,,,,46150.0,4615011400.0,1.0,4649317.0,,0.0,53.0,0.0,57992.0,,(주)그린환경종합센터_전라남도순천시연향동235-8
21,환경관리대행기관,09_30_15_P,6280000,628000010201300009,2026-02-09,,1,영업/정상,N,신규,,,,,,,405-817,인천광역시 남동구 고잔동   646번지 1호 남동공단 75B-2L,인천광역시 남동구 은청로 76 (고잔동),405-817,(주)대하엔지니어링,2026-02-09 18:00:43,U,2026-02-11 02:40:00,,173674.214210027,433403.910198401,0.0,환경관리대행기관,0,,2820011100.0,405817.0,1.0,646.0,1.0,,,남동공단 75B-2L,,,28200.0,2820011100.0,1.0,3153061.0,,0.0,76.0,,405817.0,,(주)대하엔지니어링_인천광역시남동구고잔동646번지1호남동공단75B-2L
20,환경관리대행기관,09_30_15_P,6410000,641000010202600020,2026-02-06,,1,영업/정상,N,신규,,,,,,,14912,경기도 시흥시 대야동 541-17 견우프라자 301호,"경기도 시흥시 비둘기공원6길 25, 견우프라자 301호 (대야동)",14912,주식회사 레인퓨어텍,2026-02-06 14:32:50,I,2026-02-08 00:20:01,,181422.46747248,437741.39471819,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,주식회사레인퓨어텍_경기도시흥시대야동541-17견우프라자301호
19,환경관리대행기관,09_30_15_P,6410000,641000010202500067,2026-02-05,,1,영업/정상,N,신규,,,,,,,,경기도 의정부시 의정부동 564-1 401호,"경기도 의정부시 경의로 69, 4층 401호 (의정부동)",,(주)한솔이엔지,2026-02-05 10:38:51,U,2026-02-07 02:40:00,,,,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,(주)한솔이엔지_경기도의정부시의정부동564-1401호
17,환경관리대행기관,09_30_15_P,6470000,647000010202400026,2026-02-05,,1,영업/정상,N,신규,,,,,,,39860,경상북도 칠곡군 동명면 송산리 36-3,경상북도 칠곡군 동명면 송산11길 36,39860,주식회사 케이아이환경,2026-02-05 09:56:53,U,2026-02-07 02:40:00,,339710.711393927,276812.595315988,98.4,환경관리대행기관,0,,4785032031.0,39860.0,0.0,36.0,3.0,,,,,,47850.0,4785032031.0,0.0,4852432.0,,0.0,36.0,0.0,39860.0,,주식회사케이아이환경_경상북도칠곡군동명면송산리36-3
16,환경관리대행기관,09_30_15_P,6290000,629000010202200010,2026-02-05,,1,영업/정상,N,신규,,,,,,,61225,광주광역시 북구 신안동 239-10,광주광역시 북구 자미로 22 (신안동),61225,나노이엔텍(주),2026-02-05 17:51:13,U,2026-02-07 02:40:00,,191125.392497415,185421.680055526,0.0,환경관리대행기관,0,,2917010600.0,61225.0,0.0,239.0,10.0,,,,,,29170.0,2917010600.0,1.0,3162065.0,,0.0,22.0,0.0,61225.0,,나노이엔텍(주)_광주광역시북구신안동239-10
15,환경관리대행기관,09_30_15_P,6480000,648000010202600005,2026-02-05,,1,영업/정상,N,신규,,,,,,,50570,경상남도 양산시 북정동 556-4,경상남도 양산시 북정1길 10 (북정동),50570,(주)한독이엔지,2026-02-05 16:39:32,I,2026-02-07 00:20:02,,385883.704393145,208611.345476947,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,(주)한독이엔지_경상남도양산시북정동556-4
10,환경관리대행기관,09_30_15_P,6260000,626000010202200001,2026-02-04,,1,영업/정상,N,신규,,,,,,,,부산광역시 북구 만덕동 302번지 다산타워,"부산광역시 북구 만덕2로17번길 1, 4층 402호(만덕동, 다산타워)",,세영환경산업(주),2026-02-04 13:33:33,U,2026-02-06 02:40:00,,,,0.0,환경관리대행기관,0,,,,,,,,,,,,,,,,,,,,,,세영환경산업(주)_부산광역시북구만덕동302번지다산타워
